year,pgisced97,regtyp,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,Primary Level,Urban regions,Yes,0.59423,197,317,0.54009,0.64837
2017,Primary Level,Urban regions,No,0.30324,120,317,0.25256,0.35392
2017,Primary Level,Rural regions,Yes,0.57585,82,134,0.49186,0.65984
2017,Primary Level,Rural regions,No,0.26852,52,134,0.19319,0.34384
2017,Lower Secondary Level,Urban regions,Yes,0.60507,1025,1731,0.58204,0.62811
2017,Lower Secondary Level,Urban regions,No,0.35291,706,1731,0.33039,0.37543
2017,Lower Secondary Level,Rural regions,Yes,0.62941,601,994,0.59938,0.65945
2017,Lower Secondary Level,Rural regions,No,0.32914,393,994,0.29991,0.35837
2017,Upper Secondary Level,Urban regions,Yes,0.65813,4548,7188,0.64717,0.66910
2017,Upper Secondary Level,Urban regions,No,0.33005,2640,7188,0.31917,0.34092
2017,Upper Secondary Level,Rural regions,Yes,0.69046,3109,4809,0.67740,0.70353
2017,Upper Secondary Level,Rural regions,No,0.29738,1700,4809,0.28446,0.31030
2017,Post-secondary Non-tertiary Level,Urban regions,Yes,0.57679,869,1578,0.55241,0.60118
2017,Post-secondary Non-tertiary Level,Urban regions,No,0.41111,709,1578,0.38682,0.43539
2017,Post-secondary Non-tertiary Level,Rural regions,Yes,0.52250,303,620,0.48315,0.56185
2017,Post-secondary Non-tertiary Level,Rural regions,No,0.47025,317,620,0.43093,0.50957
2017,First Stage of Tertiary Education,Urban regions,Yes,0.63644,597,886,0.60475,0.66813
2017,First Stage of Tertiary Education,Urban regions,No,0.34299,289,886,0.31172,0.37427
2017,First Stage of Tertiary Education,Rural regions,Yes,0.71387,433,625,0.67841,0.74934
2017,First Stage of Tertiary Education,Rural regions,No,0.27228,192,625,0.23736,0.30721
2017,Second Stage of Tertiary Education,Urban regions,Yes,0.55945,2619,4674,0.54521,0.57368
2017,Second Stage of Tertiary Education,Urban regions,No,0.42998,2055,4674,0.41579,0.44417
2017,Second Stage of Tertiary Education,Rural regions,Yes,0.60821,1083,1800,0.58565,0.63077
2017,Second Stage of Tertiary Education,Rural regions,No,0.37528,717,1800,0.35290,0.39765
2019,Pre-primary Level,Urban regions,Yes,0.20254,71,244,0.15200,0.25307
2019,Pre-primary Level,Urban regions,No,0.43334,173,244,0.37104,0.49565
2019,Pre-primary Level,Rural regions,No,0.26958,60,60,0.15635,0.38281
2019,Primary Level,Urban regions,Yes,0.57442,179,270,0.51533,0.63350
2019,Primary Level,Urban regions,No,0.26949,91,270,0.21647,0.32252
2019,Primary Level,Rural regions,Yes,0.63069,72,110,0.54008,0.72129
2019,Primary Level,Rural regions,No,0.18426,38,110,0.11148,0.25705
2019,Lower Secondary Level,Urban regions,Yes,0.65753,924,1462,0.63319,0.68186
2019,Lower Secondary Level,Urban regions,No,0.28204,538,1462,0.25896,0.30511
2019,Lower Secondary Level,Rural regions,Yes,0.63508,572,908,0.60375,0.66641
2019,Lower Secondary Level,Rural regions,No,0.31553,336,908,0.28528,0.34577
2019,Upper Secondary Level,Urban regions,Yes,0.70072,4464,6541,0.68962,0.71182
2019,Upper Secondary Level,Urban regions,No,0.28670,2077,6541,0.27574,0.29766
2019,Upper Secondary Level,Rural regions,Yes,0.73330,2977,4291,0.72007,0.74654
2019,Upper Secondary Level,Rural regions,No,0.25608,1314,4291,0.24302,0.26915
2019,Post-secondary Non-tertiary Level,Urban regions,Yes,0.60606,909,1504,0.58136,0.63077
2019,Post-secondary Non-tertiary Level,Urban regions,No,0.38454,595,1504,0.35994,0.40913
2019,Post-secondary Non-tertiary Level,Rural regions,Yes,0.59588,335,593,0.55635,0.63541
2019,Post-secondary Non-tertiary Level,Rural regions,No,0.39868,258,593,0.35924,0.43812
2019,First Stage of Tertiary Education,Urban regions,Yes,0.67478,677,943,0.64486,0.70469
2019,First Stage of Tertiary Education,Urban regions,No,0.31238,266,943,0.28278,0.34198
2019,First Stage of Tertiary Education,Rural regions,Yes,0.73434,486,680,0.70112,0.76757
2019,First Stage of Tertiary Education,Rural regions,No,0.25028,194,680,0.21769,0.28286
2019,Second Stage of Tertiary Education,Urban regions,Yes,0.60357,3035,4896,0.58987,0.61727
2019,Second Stage of Tertiary Education,Urban regions,No,0.37727,1861,4896,0.36369,0.39085
2019,Second Stage of Tertiary Education,Rural regions,Yes,0.64133,1236,1875,0.61962,0.66305
2019,Second Stage of Tertiary Education,Rural regions,No,0.33980,639,1875,0.31835,0.36124
2021,Pre-primary Level,Urban regions,Yes,0.18908,41,138,0.12351,0.25465
2021,Pre-primary Level,Urban regions,No,0.30422,97,138,0.22718,0.38126
2021,Pre-primary Level,Rural regions,No,0.33156,37,37,0.17778,0.48535
2021,Primary Level,Urban regions,Yes,0.61177,350,722,0.57619,0.64734
2021,Primary Level,Urban regions,No,0.34999,372,722,0.31518,0.38481
2021,Primary Level,Rural regions,Yes,0.52052,96,205,0.45197,0.58908
2021,Primary Level,Rural regions,No,0.24861,109,205,0.18929,0.30792
2021,Lower Secondary Level,Urban regions,Yes,0.71131,644,1127,0.68484,0.73778
2021,Lower Secondary Level,Urban regions,No,0.25848,483,1127,0.23291,0.28405
2021,Lower Secondary Level,Rural regions,Yes,0.67200,380,617,0.63492,0.70907
2021,Lower Secondary Level,Rural regions,No,0.28830,237,617,0.25253,0.32407
2021,Upper Secondary Level,Urban regions,Yes,0.71393,3039,4513,0.70074,0.72711
2021,Upper Secondary Level,Urban regions,No,0.27537,1474,4513,0.26233,0.28840
2021,Upper Secondary Level,Rural regions,Yes,0.70470,1956,2785,0.68775,0.72164
2021,Upper Secondary Level,Rural regions,No,0.27668,829,2785,0.26007,0.29330
2021,Post-secondary Non-tertiary Level,Urban regions,Yes,0.68575,759,1164,0.65907,0.71243
2021,Post-secondary Non-tertiary Level,Urban regions,No,0.31043,405,1164,0.28384,0.33702
2021,Post-secondary Non-tertiary Level,Rural regions,Yes,0.58488,253,424,0.53792,0.63184
2021,Post-secondary Non-tertiary Level,Rural regions,No,0.40865,171,424,0.36180,0.45550
2021,First Stage of Tertiary Education,Urban regions,Yes,0.70919,429,583,0.67229,0.74609
2021,First Stage of Tertiary Education,Urban regions,No,0.27977,154,583,0.24330,0.31624
2021,First Stage of Tertiary Education,Rural regions,Yes,0.71266,299,409,0.66875,0.75657
2021,First Stage of Tertiary Education,Rural regions,No,0.28607,110,409,0.24222,0.32993
2021,Second Stage of Tertiary Education,Urban regions,Yes,0.59581,2445,4158,0.58090,0.61073
2021,Second Stage of Tertiary Education,Urban regions,No,0.39404,1713,4158,0.37919,0.40889
2021,Second Stage of Tertiary Education,Rural regions,Yes,0.64117,967,1477,0.61670,0.66564
2021,Second Stage of Tertiary Education,Rural regions,No,0.34757,510,1477,0.32327,0.37186
