year,pgisced97,sampreg,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,Second Stage of Tertiary Education,East,No,0.29827,447,1573,0.27566,0.32089
2021,No answer / don't know,West,Yes,0.50469,324,673,0.46689,0.54249
2021,No answer / don't know,West,No,0.49531,349,673,0.45751,0.53311
2021,No answer / don't know,East,Yes,0.57497,66,115,0.48423,0.66572
2021,No answer / don't know,East,No,0.42503,49,115,0.33428,0.51577
2021,Pre-primary Level,West,Yes,0.40762,46,156,0.33026,0.48498
2021,Pre-primary Level,West,No,0.59238,110,156,0.51502,0.66974
2021,Primary Level,West,Yes,0.66687,392,808,0.63435,0.69939
2021,Primary Level,West,No,0.33313,416,808,0.30061,0.36565
2021,Primary Level,East,Yes,0.49291,54,119,0.40271,0.58312
2021,Primary Level,East,No,0.50709,65,119,0.41688,0.59729
2021,Lower Secondary Level,West,Yes,0.73417,877,1488,0.71171,0.75662
2021,Lower Secondary Level,West,No,0.26583,611,1488,0.24338,0.28829
2021,Lower Secondary Level,East,Yes,0.61822,147,256,0.55858,0.67785
2021,Lower Secondary Level,East,No,0.38178,109,256,0.32215,0.44142
2021,Upper Secondary Level,West,Yes,0.71960,3822,5638,0.70787,0.73132
2021,Upper Secondary Level,West,No,0.28040,1816,5638,0.26868,0.29213
2021,Upper Secondary Level,East,Yes,0.72362,1173,1660,0.70210,0.74514
2021,Upper Secondary Level,East,No,0.27638,487,1660,0.25486,0.29790
2021,Post-secondary Non-tertiary Level,West,Yes,0.67331,885,1368,0.64845,0.69817
2021,Post-secondary Non-tertiary Level,West,No,0.32669,483,1368,0.30183,0.35155
2021,Post-secondary Non-tertiary Level,East,Yes,0.61340,128,221,0.54905,0.67775
2021,Post-secondary Non-tertiary Level,East,No,0.38660,93,221,0.32225,0.45095
2021,First Stage of Tertiary Education,West,Yes,0.71783,531,730,0.68516,0.75050
2021,First Stage of Tertiary Education,West,No,0.28217,199,730,0.24950,0.31484
2021,First Stage of Tertiary Education,East,Yes,0.70892,197,262,0.65381,0.76403
2021,First Stage of Tertiary Education,East,No,0.29108,65,262,0.23597,0.34619
2021,Second Stage of Tertiary Education,West,Yes,0.60688,2627,4456,0.59253,0.62122
2021,Second Stage of Tertiary Education,West,No,0.39312,1829,4456,0.37878,0.40747
2021,Second Stage of Tertiary Education,East,Yes,0.64494,785,1179,0.61761,0.67226
2021,Second Stage of Tertiary Education,East,No,0.35506,394,1179,0.32774,0.38239
