year,pgisced97,sex,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,No answer / don't know,female,Yes,0.40747,119,299,0.35168,0.46326
2015,No answer / don't know,female,No,0.59253,180,299,0.53674,0.64832
2015,Pre-primary Level,male,No,0.85648,128,128,0.79550,0.91746
2015,Pre-primary Level,female,Yes,0.36170,63,192,0.29355,0.42984
2015,Pre-primary Level,female,No,0.63830,129,192,0.57016,0.70645
2015,Primary Level,male,Yes,0.56820,84,159,0.49097,0.64544
2015,Primary Level,male,No,0.43180,75,159,0.35456,0.50903
2015,Primary Level,female,Yes,0.73650,162,247,0.68145,0.79155
2015,Primary Level,female,No,0.26350,85,247,0.20845,0.31855
2015,Lower Secondary Level,male,Yes,0.50733,479,1007,0.47644,0.53822
2015,Lower Secondary Level,male,No,0.49267,528,1007,0.46178,0.52356
2015,Lower Secondary Level,female,Yes,0.73328,1083,1639,0.71186,0.75470
2015,Lower Secondary Level,female,No,0.26672,556,1639,0.24530,0.28814
2015,Upper Secondary Level,male,Yes,0.63713,3087,5165,0.62401,0.65024
2015,Upper Secondary Level,male,No,0.36287,2078,5165,0.34976,0.37599
2015,Upper Secondary Level,female,Yes,0.69557,4158,6387,0.68429,0.70686
2015,Upper Secondary Level,female,No,0.30443,2229,6387,0.29314,0.31571
2015,Post-secondary Non-tertiary Level,male,Yes,0.47083,331,703,0.43391,0.50776
2015,Post-secondary Non-tertiary Level,male,No,0.52917,372,703,0.49224,0.56609
2015,Post-secondary Non-tertiary Level,female,Yes,0.57890,672,1233,0.55133,0.60647
2015,Post-secondary Non-tertiary Level,female,No,0.42110,561,1233,0.39353,0.44867
2015,First Stage of Tertiary Education,male,Yes,0.62765,586,929,0.59655,0.65876
2015,First Stage of Tertiary Education,male,No,0.37235,343,929,0.34124,0.40345
2015,First Stage of Tertiary Education,female,Yes,0.71307,395,573,0.67600,0.75014
2015,First Stage of Tertiary Education,female,No,0.28693,178,573,0.24986,0.32400
2015,Second Stage of Tertiary Education,male,Yes,0.56934,1658,2918,0.55137,0.58731
2015,Second Stage of Tertiary Education,male,No,0.43066,1260,2918,0.41269,0.44863
2015,Second Stage of Tertiary Education,female,Yes,0.61101,1624,2888,0.59323,0.62880
2015,Second Stage of Tertiary Education,female,No,0.38899,1264,2888,0.37120,0.40677
2017,No answer / don't know,male,Yes,0.36895,109,325,0.31641,0.42150
2017,No answer / don't know,male,No,0.63105,216,325,0.57850,0.68359
2017,No answer / don't know,female,Yes,0.50696,138,285,0.44881,0.56510
2017,No answer / don't know,female,No,0.49304,147,285,0.43490,0.55119
2017,Pre-primary Level,male,Yes,0.31935,52,190,0.25288,0.38581
2017,Pre-primary Level,male,No,0.68065,138,190,0.61419,0.74712
2017,Pre-primary Level,female,Yes,0.39512,75,217,0.32992,0.46032
2017,Pre-primary Level,female,No,0.60488,142,217,0.53968,0.67008
2017,Primary Level,male,Yes,0.57612,106,187,0.50510,0.64714
2017,Primary Level,male,No,0.42388,81,187,0.35286,0.49490
2017,Primary Level,female,Yes,0.73806,173,264,0.68492,0.79120
2017,Primary Level,female,No,0.26194,91,264,0.20880,0.31508
2017,Lower Secondary Level,male,Yes,0.53069,518,1052,0.50052,0.56086
2017,Lower Secondary Level,male,No,0.46931,534,1052,0.43914,0.49948
2017,Lower Secondary Level,female,Yes,0.70873,1108,1673,0.68695,0.73050
2017,Lower Secondary Level,female,No,0.29127,565,1673,0.26950,0.31305
2017,Upper Secondary Level,male,Yes,0.65164,3371,5448,0.63899,0.66429
2017,Upper Secondary Level,male,No,0.34836,2077,5448,0.33571,0.36101
2017,Upper Secondary Level,female,Yes,0.70221,4286,6549,0.69113,0.71329
2017,Upper Secondary Level,female,No,0.29779,2263,6549,0.28671,0.30887
2017,Post-secondary Non-tertiary Level,male,Yes,0.54316,402,814,0.50892,0.57740
2017,Post-secondary Non-tertiary Level,male,No,0.45684,412,814,0.42260,0.49108
2017,Post-secondary Non-tertiary Level,female,Yes,0.59186,770,1384,0.56596,0.61777
2017,Post-secondary Non-tertiary Level,female,No,0.40814,614,1384,0.38223,0.43404
2017,First Stage of Tertiary Education,male,Yes,0.65499,615,929,0.62440,0.68557
2017,First Stage of Tertiary Education,male,No,0.34501,314,929,0.31443,0.37560
2017,First Stage of Tertiary Education,female,Yes,0.71805,415,582,0.68147,0.75464
2017,First Stage of Tertiary Education,female,No,0.28195,167,582,0.24536,0.31853
2017,Second Stage of Tertiary Education,male,Yes,0.57827,1884,3236,0.56125,0.59529
2017,Second Stage of Tertiary Education,male,No,0.42173,1352,3236,0.40471,0.43875
2017,Second Stage of Tertiary Education,female,Yes,0.57793,1818,3238,0.56091,0.59494
2017,Second Stage of Tertiary Education,female,No,0.42207,1420,3238,0.40506,0.43909
2019,No answer / don't know,male,Yes,0.38188,106,288,0.32567,0.43809
2019,No answer / don't know,male,No,0.61812,182,288,0.56191,0.67433
2019,No answer / don't know,female,Yes,0.60589,146,275,0.54803,0.66375
2019,No answer / don't know,female,No,0.39411,129,275,0.33625,0.45197
2019,Pre-primary Level,male,Yes,0.26913,41,167,0.20166,0.33660
2019,Pre-primary Level,male,No,0.73087,126,167,0.66340,0.79834
2019,Pre-primary Level,female,Yes,0.42397,56,163,0.34787,0.50007
2019,Pre-primary Level,female,No,0.57603,107,163,0.49993,0.65213
2019,Primary Level,male,Yes,0.70847,111,168,0.63954,0.77740
2019,Primary Level,male,No,0.29153,57,168,0.22260,0.36046
2019,Primary Level,female,Yes,0.70248,144,216,0.64137,0.76359
2019,Primary Level,female,No,0.29752,72,216,0.23641,0.35863
2019,Lower Secondary Level,male,Yes,0.60038,525,984,0.56976,0.63100
2019,Lower Secondary Level,male,No,0.39962,459,984,0.36900,0.43024
2019,Lower Secondary Level,female,Yes,0.75383,998,1422,0.73143,0.77622
2019,Lower Secondary Level,female,No,0.24617,424,1422,0.22378,0.26857
2019,Upper Secondary Level,male,Yes,0.68953,3320,5031,0.67674,0.70232
2019,Upper Secondary Level,male,No,0.31047,1711,5031,0.29768,0.32326
2019,Upper Secondary Level,female,Yes,0.75017,4306,6035,0.73924,0.76109
2019,Upper Secondary Level,female,No,0.24983,1729,6035,0.23891,0.26076
2019,Post-secondary Non-tertiary Level,male,Yes,0.56498,469,825,0.53113,0.59883
2019,Post-secondary Non-tertiary Level,male,No,0.43502,356,825,0.40117,0.46887
2019,Post-secondary Non-tertiary Level,female,Yes,0.64103,817,1333,0.61527,0.66679
2019,Post-secondary Non-tertiary Level,female,No,0.35897,516,1333,0.33321,0.38473
2019,First Stage of Tertiary Education,male,Yes,0.67215,731,1070,0.64401,0.70030
2019,First Stage of Tertiary Education,male,No,0.32785,339,1070,0.29970,0.35599
2019,First Stage of Tertiary Education,female,Yes,0.77450,452,577,0.74037,0.80863
2019,First Stage of Tertiary Education,female,No,0.22550,125,577,0.19137,0.25963
2019,Second Stage of Tertiary Education,male,Yes,0.60859,2283,3635,0.59272,0.62445
2019,Second Stage of Tertiary Education,male,No,0.39141,1352,3635,0.37555,0.40728
2019,Second Stage of Tertiary Education,female,Yes,0.64610,2125,3320,0.62983,0.66237
2019,Second Stage of Tertiary Education,female,No,0.35390,1195,3320,0.33763,0.37017
2021,No answer / don't know,male,Yes,0.51425,192,423,0.46657,0.56194
2021,No answer / don't know,male,No,0.48575,231,423,0.43806,0.53343
2021,No answer / don't know,female,Yes,0.50788,197,364,0.45645,0.55931
2021,No answer / don't know,female,No,0.49212,167,364,0.44069,0.54355
2021,Pre-primary Level,male,No,0.63355,70,70,0.51985,0.74724
2021,Pre-primary Level,female,No,0.58973,64,64,0.46826,0.71119
2021,Primary Level,male,Yes,0.51661,199,500,0.47276,0.56045
2021,Primary Level,male,No,0.48339,301,500,0.43955,0.52724
2021,Primary Level,female,Yes,0.80119,247,427,0.76329,0.83909
2021,Primary Level,female,No,0.19881,180,427,0.16091,0.23671
2021,Lower Secondary Level,male,Yes,0.63485,390,787,0.60119,0.66851
2021,Lower Secondary Level,male,No,0.36515,397,787,0.33149,0.39881
2021,Lower Secondary Level,female,Yes,0.78296,633,956,0.75681,0.80910
2021,Lower Secondary Level,female,No,0.21704,323,956,0.19090,0.24319
2021,Upper Secondary Level,male,Yes,0.67987,2106,3337,0.66404,0.69570
2021,Upper Secondary Level,male,No,0.32013,1231,3337,0.30430,0.33596
2021,Upper Secondary Level,female,Yes,0.75629,2887,3959,0.74292,0.76967
2021,Upper Secondary Level,female,No,0.24371,1072,3959,0.23033,0.25708
2021,Post-secondary Non-tertiary Level,male,Yes,0.57817,345,614,0.53907,0.61726
2021,Post-secondary Non-tertiary Level,male,No,0.42183,269,614,0.38274,0.46093
2021,Post-secondary Non-tertiary Level,female,Yes,0.72558,667,974,0.69754,0.75362
2021,Post-secondary Non-tertiary Level,female,No,0.27442,307,974,0.24638,0.30246
2021,First Stage of Tertiary Education,male,Yes,0.68200,420,603,0.64480,0.71920
2021,First Stage of Tertiary Education,male,No,0.31800,183,603,0.28080,0.35520
2021,First Stage of Tertiary Education,female,Yes,0.77780,308,389,0.73644,0.81917
2021,First Stage of Tertiary Education,female,No,0.22220,81,389,0.18083,0.26356
2021,Second Stage of Tertiary Education,male,Yes,0.58737,1696,2928,0.56954,0.60521
2021,Second Stage of Tertiary Education,male,No,0.41263,1232,2928,0.39479,0.43046
2021,Second Stage of Tertiary Education,female,Yes,0.64224,1714,2705,0.62417,0.66031
2021,Second Stage of Tertiary Education,female,No,0.35776,991,2705,0.33969,0.37583
