year,migback,pgisced97,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Indirect migration background,Upper Secondary Level,No,0.24943,158,299,0.20031,0.29856
2013,Indirect migration background,Second Stage of Tertiary Education,Yes,0.20718,41,106,0.12966,0.28470
2013,Indirect migration background,Second Stage of Tertiary Education,No,0.33430,65,106,0.24407,0.42453
2015,No migration background,Pre-primary Level,Yes,0.10178,54,213,0.06108,0.14248
2015,No migration background,Pre-primary Level,No,0.36907,159,213,0.30411,0.43403
2015,No migration background,Primary Level,Yes,0.68342,106,153,0.60947,0.75737
2015,No migration background,Primary Level,No,0.27966,47,153,0.20831,0.35102
2015,No migration background,Lower Secondary Level,Yes,0.68004,1048,1563,0.65690,0.70317
2015,No migration background,Lower Secondary Level,No,0.28275,515,1563,0.26042,0.30508
2015,No migration background,Upper Secondary Level,Yes,0.68542,6233,9368,0.67601,0.69482
2015,No migration background,Upper Secondary Level,No,0.30098,3135,9368,0.29169,0.31027
2015,No migration background,Post-secondary Non-tertiary Level,Yes,0.51387,635,1210,0.48570,0.54205
2015,No migration background,Post-secondary Non-tertiary Level,No,0.46634,575,1210,0.43822,0.49446
2015,No migration background,First Stage of Tertiary Education,Yes,0.64897,885,1343,0.62344,0.67451
2015,No migration background,First Stage of Tertiary Education,No,0.33962,458,1343,0.31428,0.36496
2015,No migration background,Second Stage of Tertiary Education,Yes,0.59604,2718,4573,0.58181,0.61026
2015,No migration background,Second Stage of Tertiary Education,No,0.38423,1855,4573,0.37013,0.39833
2015,Direct migration background,Primary Level,Yes,0.55333,126,220,0.48749,0.61918
2015,Direct migration background,Primary Level,No,0.29010,94,220,0.23000,0.35020
2015,Direct migration background,Lower Secondary Level,Yes,0.49163,399,782,0.45656,0.52669
2015,Direct migration background,Lower Secondary Level,No,0.39404,383,782,0.35977,0.42831
2015,Direct migration background,Upper Secondary Level,Yes,0.48423,746,1563,0.45944,0.50901
2015,Direct migration background,Upper Secondary Level,No,0.40255,817,1563,0.37823,0.42687
2015,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.49743,326,626,0.45823,0.53663
2015,Direct migration background,Post-secondary Non-tertiary Level,No,0.37997,300,626,0.34192,0.41803
2015,Direct migration background,First Stage of Tertiary Education,Yes,0.68299,68,106,0.59398,0.77199
2015,Direct migration background,First Stage of Tertiary Education,No,0.26241,38,106,0.17826,0.34656
2015,Direct migration background,Second Stage of Tertiary Education,Yes,0.40446,467,1005,0.37410,0.43482
2015,Direct migration background,Second Stage of Tertiary Education,No,0.38515,538,1005,0.35505,0.41525
2015,Indirect migration background,Pre-primary Level,No,0.46608,72,72,0.35004,0.58212
2015,Indirect migration background,Lower Secondary Level,Yes,0.35641,115,301,0.30222,0.41061
2015,Indirect migration background,Lower Secondary Level,No,0.55340,186,301,0.49714,0.60966
2015,Indirect migration background,Upper Secondary Level,Yes,0.38966,266,621,0.35127,0.42804
2015,Indirect migration background,Upper Secondary Level,No,0.57952,355,621,0.54066,0.61837
2015,Indirect migration background,Post-secondary Non-tertiary Level,Yes,0.46574,42,100,0.36748,0.56400
2015,Indirect migration background,Post-secondary Non-tertiary Level,No,0.49416,58,100,0.39567,0.59265
2015,Indirect migration background,Second Stage of Tertiary Education,Yes,0.43446,97,228,0.36998,0.49895
2015,Indirect migration background,Second Stage of Tertiary Education,No,0.55077,131,228,0.48606,0.61548
2017,No migration background,Pre-primary Level,Yes,0.20563,90,280,0.15820,0.25305
2017,No migration background,Pre-primary Level,No,0.35344,190,280,0.29734,0.40953
2017,No migration background,Primary Level,Yes,0.70364,112,164,0.63354,0.77375
2017,No migration background,Primary Level,No,0.29502,52,164,0.22500,0.36503
2017,No migration background,Lower Secondary Level,Yes,0.68889,1142,1669,0.66667,0.71110
2017,No migration background,Lower Secondary Level,No,0.27749,527,1669,0.25600,0.29898
2017,No migration background,Upper Secondary Level,Yes,0.69909,6549,9691,0.68996,0.70822
2017,No migration background,Upper Secondary Level,No,0.29044,3142,9691,0.28140,0.29948
2017,No migration background,Post-secondary Non-tertiary Level,Yes,0.56087,775,1425,0.53509,0.58664
2017,No migration background,Post-secondary Non-tertiary Level,No,0.42837,650,1425,0.40267,0.45407
2017,No migration background,First Stage of Tertiary Education,Yes,0.67260,938,1359,0.64764,0.69756
2017,No migration background,First Stage of Tertiary Education,No,0.31111,421,1359,0.28649,0.33573
2017,No migration background,Second Stage of Tertiary Education,Yes,0.60107,3043,5003,0.58750,0.61464
2017,No migration background,Second Stage of Tertiary Education,No,0.39185,1960,5003,0.37833,0.40538
2017,Direct migration background,Pre-primary Level,No,0.35071,31,31,0.17994,0.52147
2017,Direct migration background,Primary Level,Yes,0.53068,147,251,0.46882,0.59254
2017,Direct migration background,Primary Level,No,0.27317,104,251,0.21794,0.32841
2017,Direct migration background,Lower Secondary Level,Yes,0.49959,370,782,0.46452,0.53466
2017,Direct migration background,Lower Secondary Level,No,0.43878,412,782,0.40398,0.47358
2017,Direct migration background,Upper Secondary Level,Yes,0.53923,794,1620,0.51495,0.56351
2017,Direct migration background,Upper Secondary Level,No,0.43222,826,1620,0.40809,0.45635
2017,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.60188,351,658,0.56444,0.63931
2017,Direct migration background,Post-secondary Non-tertiary Level,No,0.38635,307,658,0.34912,0.42358
2017,Direct migration background,First Stage of Tertiary Education,Yes,0.68261,64,99,0.59045,0.77477
2017,Direct migration background,First Stage of Tertiary Education,No,0.27196,35,99,0.18386,0.36006
2017,Direct migration background,Second Stage of Tertiary Education,Yes,0.46496,560,1220,0.43696,0.49296
2017,Direct migration background,Second Stage of Tertiary Education,No,0.49621,660,1220,0.46814,0.52428
2017,Indirect migration background,Pre-primary Level,Yes,0.18648,31,90,0.10556,0.26740
2017,Indirect migration background,Pre-primary Level,No,0.30160,59,90,0.20625,0.39695
2017,Indirect migration background,Lower Secondary Level,Yes,0.36243,114,274,0.30540,0.41945
2017,Indirect migration background,Lower Secondary Level,No,0.59419,160,274,0.53594,0.65244
2017,Indirect migration background,Upper Secondary Level,Yes,0.45599,314,686,0.41869,0.49329
2017,Indirect migration background,Upper Secondary Level,No,0.54345,372,686,0.50615,0.58075
2017,Indirect migration background,Post-secondary Non-tertiary Level,Yes,0.44193,46,115,0.35077,0.53310
2017,Indirect migration background,Post-secondary Non-tertiary Level,No,0.54783,69,115,0.45646,0.63919
2017,Indirect migration background,Second Stage of Tertiary Education,Yes,0.41334,99,251,0.35230,0.47438
2017,Indirect migration background,Second Stage of Tertiary Education,No,0.57971,152,251,0.51852,0.64090
2019,No migration background,Pre-primary Level,Yes,0.21653,70,203,0.15973,0.27333
2019,No migration background,Pre-primary Level,No,0.37309,133,203,0.30639,0.43978
2019,No migration background,Primary Level,Yes,0.75080,105,147,0.68063,0.82096
2019,No migration background,Primary Level,No,0.24755,42,147,0.17754,0.31756
2019,No migration background,Lower Secondary Level,Yes,0.70740,1091,1566,0.68486,0.72994
2019,No migration background,Lower Secondary Level,No,0.24217,475,1566,0.22094,0.26339
2019,No migration background,Upper Secondary Level,Yes,0.74200,6562,9138,0.73302,0.75097
2019,No migration background,Upper Secondary Level,No,0.24898,2576,9138,0.24012,0.25785
2019,No migration background,Post-secondary Non-tertiary Level,Yes,0.60189,904,1498,0.57710,0.62669
2019,No migration background,Post-secondary Non-tertiary Level,No,0.39272,594,1498,0.36798,0.41746
2019,No migration background,First Stage of Tertiary Education,Yes,0.70891,1090,1505,0.68595,0.73187
2019,No migration background,First Stage of Tertiary Education,No,0.28268,415,1505,0.25992,0.30544
2019,No migration background,Second Stage of Tertiary Education,Yes,0.63700,3652,5561,0.62436,0.64964
2019,No migration background,Second Stage of Tertiary Education,No,0.34760,1909,5561,0.33509,0.36012
2019,Direct migration background,Pre-primary Level,No,0.46191,38,38,0.30127,0.62256
2019,Direct migration background,Primary Level,Yes,0.52114,128,204,0.45242,0.58986
2019,Direct migration background,Primary Level,No,0.23395,76,204,0.17572,0.29219
2019,Direct migration background,Lower Secondary Level,Yes,0.55812,331,610,0.51867,0.59756
2019,Direct migration background,Lower Secondary Level,No,0.36298,279,610,0.32479,0.40117
2019,Direct migration background,Upper Secondary Level,Yes,0.62065,743,1307,0.59434,0.64697
2019,Direct migration background,Upper Secondary Level,No,0.34486,564,1307,0.31908,0.37064
2019,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.67167,320,529,0.63161,0.71172
2019,Direct migration background,Post-secondary Non-tertiary Level,No,0.30937,209,529,0.26995,0.34880
2019,Direct migration background,First Stage of Tertiary Education,Yes,0.60825,59,59,0.48262,0.73388
2019,Direct migration background,Second Stage of Tertiary Education,Yes,0.51543,598,1111,0.48603,0.54483
2019,Direct migration background,Second Stage of Tertiary Education,No,0.44557,513,1111,0.41633,0.47481
2019,Indirect migration background,Pre-primary Level,No,0.42396,62,62,0.29995,0.54798
2019,Indirect migration background,Lower Secondary Level,Yes,0.48595,102,231,0.42135,0.55054
2019,Indirect migration background,Lower Secondary Level,No,0.46288,129,231,0.39844,0.52732
2019,Indirect migration background,Upper Secondary Level,Yes,0.45743,324,624,0.41831,0.49655
2019,Indirect migration background,Upper Secondary Level,No,0.53529,300,624,0.49613,0.57446
2019,Indirect migration background,Post-secondary Non-tertiary Level,Yes,0.39367,62,131,0.30969,0.47766
2019,Indirect migration background,Post-secondary Non-tertiary Level,No,0.60633,69,131,0.52234,0.69031
2019,Indirect migration background,First Stage of Tertiary Education,Yes,0.57353,34,34,0.40479,0.74227
2019,Indirect migration background,Second Stage of Tertiary Education,Yes,0.57201,158,284,0.51436,0.62966
2019,Indirect migration background,Second Stage of Tertiary Education,No,0.42295,126,284,0.36539,0.48051
2021,No migration background,Pre-primary Level,Yes,0.20238,32,103,0.12440,0.28035
2021,No migration background,Pre-primary Level,No,0.31195,71,103,0.22204,0.40186
2021,No migration background,Primary Level,Yes,0.70357,65,65,0.59168,0.81545
2021,No migration background,Lower Secondary Level,Yes,0.73025,635,881,0.70093,0.75957
2021,No migration background,Lower Secondary Level,No,0.23327,246,881,0.20533,0.26122
2021,No migration background,Upper Secondary Level,Yes,0.73561,4152,5679,0.72414,0.74708
2021,No migration background,Upper Secondary Level,No,0.25114,1527,5679,0.23986,0.26243
2021,No migration background,Post-secondary Non-tertiary Level,Yes,0.65809,679,1043,0.62929,0.68689
2021,No migration background,Post-secondary Non-tertiary Level,No,0.33734,364,1043,0.30863,0.36605
2021,No migration background,First Stage of Tertiary Education,Yes,0.71468,663,896,0.68510,0.74427
2021,No migration background,First Stage of Tertiary Education,No,0.27742,233,896,0.24809,0.30676
2021,No migration background,Second Stage of Tertiary Education,Yes,0.62131,2647,4054,0.60638,0.63625
2021,No migration background,Second Stage of Tertiary Education,No,0.36789,1407,4054,0.35304,0.38273
2021,Direct migration background,Pre-primary Level,No,0.30867,38,38,0.15982,0.45752
2021,Direct migration background,Primary Level,Yes,0.53960,370,823,0.50553,0.57368
2021,Direct migration background,Primary Level,No,0.39739,453,823,0.36393,0.43084
2021,Direct migration background,Lower Secondary Level,Yes,0.67452,331,745,0.64085,0.70819
2021,Direct migration background,Lower Secondary Level,No,0.30639,414,745,0.27326,0.33951
2021,Direct migration background,Upper Secondary Level,Yes,0.60776,642,1235,0.58052,0.63500
2021,Direct migration background,Upper Secondary Level,No,0.36919,593,1235,0.34226,0.39612
2021,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.70852,284,454,0.66667,0.75037
2021,Direct migration background,Post-secondary Non-tertiary Level,No,0.28600,170,454,0.24438,0.32761
2021,Direct migration background,First Stage of Tertiary Education,Yes,0.77803,44,44,0.65381,0.90224
2021,Direct migration background,Second Stage of Tertiary Education,Yes,0.55143,652,1373,0.52512,0.57775
2021,Direct migration background,Second Stage of Tertiary Education,No,0.43789,721,1373,0.41163,0.46414
2021,Indirect migration background,Lower Secondary Level,Yes,0.50297,58,118,0.41237,0.59357
2021,Indirect migration background,Lower Secondary Level,No,0.43179,60,118,0.34204,0.52154
2021,Indirect migration background,Upper Secondary Level,Yes,0.50074,201,384,0.45066,0.55081
2021,Indirect migration background,Upper Secondary Level,No,0.49891,183,384,0.44883,0.54898
2021,Indirect migration background,Post-secondary Non-tertiary Level,Yes,0.58769,50,92,0.48655,0.68883
2021,Indirect migration background,Post-secondary Non-tertiary Level,No,0.41231,42,92,0.31117,0.51345
2021,Indirect migration background,Second Stage of Tertiary Education,Yes,0.54816,113,208,0.48036,0.61596
2021,Indirect migration background,Second Stage of Tertiary Education,No,0.44867,95,208,0.38091,0.51642
