year,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,"In the distant future, in more than five years",0.00778,188,2068,0.00400,0.01157
2010,As soon as possible,0.04220,1336,4356,0.03623,0.04817
2010,Next year,0.02528,1270,4356,0.02062,0.02995
2010,In the next 2 to 5 years,0.02622,1336,4356,0.02148,0.03097
2010,"In the distant future, in more than five years",0.00846,414,4356,0.00574,0.01118
2011,As soon as possible,0.03462,1386,4256,0.02913,0.04011
2011,Next year,0.02105,1115,4256,0.01674,0.02536
2011,In the next 2 to 5 years,0.02777,1321,4256,0.02283,0.03270
2011,"In the distant future, in more than five years",0.00834,434,4256,0.00561,0.01108
2012,As soon as possible,0.03619,1304,3889,0.03032,0.04206
2012,Next year,0.02492,1074,3889,0.02002,0.02982
2012,In the next 2 to 5 years,0.02568,1101,3889,0.02071,0.03066
2012,"In the distant future, in more than five years",0.00837,410,3889,0.00551,0.01124
2013,As soon as possible,0.03521,1588,4687,0.02993,0.04048
2013,Next year,0.02717,1245,4687,0.02252,0.03183
2013,In the next 2 to 5 years,0.02606,1374,4687,0.02150,0.03063
2013,"In the distant future, in more than five years",0.00756,480,4687,0.00508,0.01004
2014,As soon as possible,0.03668,1326,3818,0.03072,0.04264
2014,Next year,0.02497,1032,3818,0.02002,0.02992
2014,In the next 2 to 5 years,0.02611,1096,3818,0.02105,0.03117
2014,"In the distant future, in more than five years",0.00680,364,3818,0.00419,0.00940
2015,As soon as possible,0.03478,1264,3915,0.02904,0.04052
2015,Next year,0.02393,1021,3915,0.01915,0.02872
2015,In the next 2 to 5 years,0.02813,1257,3915,0.02295,0.03331
2015,"In the distant future, in more than five years",0.00622,373,3915,0.00376,0.00869
2016,As soon as possible,0.03169,2056,5541,0.02708,0.03630
2016,Next year,0.02705,1519,5541,0.02278,0.03132
2016,In the next 2 to 5 years,0.02898,1551,5541,0.02456,0.03339
2016,"In the distant future, in more than five years",0.00751,415,5541,0.00523,0.00978
2017,As soon as possible,0.03008,2141,6290,0.02586,0.03431
2017,Next year,0.02852,1797,6290,0.02441,0.03264
2017,In the next 2 to 5 years,0.02650,1855,6290,0.02253,0.03047
2017,"In the distant future, in more than five years",0.00684,497,6290,0.00480,0.00888
2018,As soon as possible,0.02748,1874,5570,0.02318,0.03177
2018,Next year,0.02843,1658,5570,0.02406,0.03279
2018,In the next 2 to 5 years,0.02556,1638,5570,0.02142,0.02971
2018,"In the distant future, in more than five years",0.00595,400,5570,0.00393,0.00797
2019,As soon as possible,0.02473,1559,4674,0.02028,0.02918
2019,Next year,0.02666,1425,4674,0.02204,0.03128
2019,In the next 2 to 5 years,0.02512,1350,4674,0.02063,0.02960
2019,"In the distant future, in more than five years",0.00614,340,4674,0.00390,0.00838
2020,As soon as possible,0.02575,1814,4959,0.02134,0.03016
2020,Next year,0.02782,1373,4959,0.02325,0.03240
2020,In the next 2 to 5 years,0.02502,1427,4959,0.02067,0.02937
2020,"In the distant future, in more than five years",0.00583,345,4959,0.00371,0.00795
2021,As soon as possible,0.02316,959,3026,0.01780,0.02852
2021,Next year,0.03125,953,3026,0.02505,0.03745
2021,In the next 2 to 5 years,0.02297,839,3026,0.01763,0.02831
2021,"In the distant future, in more than five years",0.00575,275,3026,0.00306,0.00845
