"year","quintil","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2009","5 Einkommensstärkstes Quintil","74.06","64.83","3255","25","41.67","91.67","133.33","250","72.16","75.96","0","500","62.0833320617676","66.6666641235352"
"2010","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2010","2","60.24","50.38","3028","24.58","35","75","105.83","200","59.02","61.46","0","291.67","50","54.1666679382324"
"2010","3","55.76","49.71","3494","20.83","33.33","70.83","93.33","175","54.61","56.91","0","271.67","50","50"
"2010","4","60.4","51.79","3965","22.42","35.75","83.33","101.67","154.17","59.19","61.61","0","500","52.9166679382324","55.8333320617676"
"2010","5 Einkommensstärkstes Quintil","64.39","53.29","4046","25","37.5","83.33","116.67","200","63.11","65.67","0","371.67","54.1666679382324","58.3333320617676"
"2011","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2011","2","55.07","49.58","3551","20","33.33","66.67","94","166.67","53.8","56.34","0","500","50","51.4166679382324"
"2011","3","56.25","49.58","4413","20.83","33.33","66.67","100","175","55.2","57.3","0","406.08","50","51.6666679382324"
"2011","4","59.49","49.79","5418","22.5","33.33","75.83","100","200","58.52","60.46","0","278","50","54.1666679382324"
"2011","5 Einkommensstärkstes Quintil","64.8","54.92","5370","25","37.5","83.33","116.67","208.33","63.6","66","0","583.33","58.3333320617676","58.3333320617676"
"2012","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2012","2","61.72","49.58","3161","20.83","33.33","79.17","112.5","250","60.34","63.1","0.83","266.67","50","56.6666679382324"
"2012","3","59.17","49.96","4388","25","35","75","100","166.67","58.12","60.22","0","291.67","50","53.3333320617676"
"2012","4","61.26","49.92","5380","25","35","79.58","112.5","191.67","60.22","62.3","0","500","51.6666679382324","54.1666679382324"
"2012","5 Einkommensstärkstes Quintil","67.84","58.04","5597","25","41.67","83.33","125","216.67","66.72","68.96","0","466.67","58.3333320617676","60"
"2013","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2013","2","","","","","","","","","","","","","",""
"2013","3","60.26","49.92","4154","24","34.17","79.17","105","166.67","59.17","61.35","0","291.67","50","52.5"
"2013","4","59.32","49.92","5690","23.33","33.83","75","107.67","191.67","58.39","60.25","0","291.67","52.0833320617676","54.5833320617676"
"2013","5 Einkommensstärkstes Quintil","66.5","57.58","5953","24.17","35.83","83.33","125","225","65.35","67.65","0","500","58.3333320617676","58.3333320617676"
"2014","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2014","2","52.6","41.25","3121","3","20.83","75","108.33","250","51.05","54.15","0","283.33","41.6666679382324","49.1666679382324"
"2014","3","54.46","49.71","4201","3","29.17","75","100","166.67","53.33","55.59","0","282.25","50","50"
"2014","4","56.15","49.88","5648","10.83","31.67","75","108.33","166.67","55.17","57.13","0","354.17","50","51.6666679382324"
"2014","5 Einkommensstärkstes Quintil","64.05","53.96","6162","19.17","35.83","83.33","124.17","220","62.93","65.17","0","416.67","55","58.3333320617676"
"2015","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2015","2","","","","","","","","","","","","","",""
"2015","3","","","","","","","","","","","","","",""
"2015","4","","","","","","","","","","","","","",""
"2015","5 Einkommensstärkstes Quintil","3","3","779","3","3","3","3","3","3","3","3","3","3","3"
"2016","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2016","2","","","","","","","","","","","","","",""
"2016","3","42.37","37.08","3552","3","14.17","60","83.33","166.67","41.11","43.63","3","350","41.6666679382324","41.6666679382324"
"2016","4","53.47","48.42","5526","3","26.67","70","100","200","52.35","54.59","2.5","666.67","48.75","50"
"2016","5 Einkommensstärkstes Quintil","56.69","49.92","6388","8.33","30.25","75","100","208.33","55.64","57.74","3","500","50","50"
"2017","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2017","2","","","","","","","","","","","","","",""
"2017","3","51.12","41.5","3747","3","19.58","70","100","216.67","49.76","52.48","2.5","375","45.4166679382324","50"
"2017","4","53.2","43.25","6036","3","25","68.33","101.17","208.33","52.1","54.3","3","400","46.25","50"
"2017","5 Einkommensstärkstes Quintil","59.58","49.96","7784","10.83","31.25","79.67","112.58","241.67","58.52","60.64","3","649.92","50","50.9166679382324"
"2018","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2018","2","","","","","","","","","","","","","",""
"2018","3","48.48","41.5","3303","3","14.17","66.67","100","216.67","47.03","49.93","3","291.67","41.6666679382324","43.3333320617676"
"2018","4","53.35","46.58","5796","3","25","69.17","100","208.33","52.25","54.45","3","375","50","50"
"2018","5 Einkommensstärkstes Quintil","60.05","49.92","7938","13.33","33.33","80","112.08","220","59.08","61.02","1.25","566.67","50","54.1666679382324"
"2019","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2019","2","","","","","","","","","","","","","",""
"2019","3","","","","","","","","","","","","","",""
"2019","4","53.48","45.67","5638","3","25","70.83","102.92","200","52.36","54.6","3","339","50","50"
"2019","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2020","1 Einkommensschwächstes Quintil","25.89","2.33","3483","3","3","41.67","70.83","183.33","24.9","26.88","1.67","375","3","3"
"2020","2","","","","","","","","","","","","","",""
"2020","3","","","","","","","","","","","","","",""
"2020","4","57.52","49.58","5381","3","27.33","75","108.33","233.33","56.07","58.97","3","1000","45.8333320617676","50"
"2020","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
