year,hhtyp,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Multi-generational household,Yes,0.20100,36,136,0.13340,0.26860
2015,Multi-generational household,No,0.74925,100,136,0.67614,0.82237
2015,Other Combinations,Yes,0.20780,59,243,0.15668,0.25892
2015,Other Combinations,No,0.75882,184,243,0.70492,0.81272
2016,Single-person household,Yes,0.08994,349,3351,0.08025,0.09963
2016,Single-person household,No,0.89303,3002,3351,0.88256,0.90349
2016,Couple without children,Yes,0.03245,160,4036,0.02698,0.03792
2016,Couple without children,No,0.94970,3876,4036,0.94295,0.95644
2016,Single parent,Yes,0.29465,494,1514,0.27168,0.31763
2016,Single parent,No,0.69463,1020,1514,0.67142,0.71784
2016,Couple with children,Yes,0.07251,522,4907,0.06525,0.07977
2016,Couple with children,No,0.89653,4385,4907,0.88801,0.90505
2016,Multi-generational household,Yes,0.20171,35,106,0.12496,0.27847
2016,Multi-generational household,No,0.72834,71,106,0.64326,0.81343
2016,Other Combinations,Yes,0.15252,40,194,0.10180,0.20325
2016,Other Combinations,No,0.80382,154,194,0.74780,0.85985
2017,Single-person household,Yes,0.08294,463,4049,0.07444,0.09144
2017,Single-person household,No,0.89953,3586,4049,0.89027,0.90879
2017,Couple without children,Yes,0.03140,190,4620,0.02637,0.03643
2017,Couple without children,No,0.95521,4430,4620,0.94925,0.96118
2017,Single parent,Yes,0.26270,520,1684,0.24168,0.28373
2017,Single parent,No,0.73150,1164,1684,0.71033,0.75268
2017,Couple with children,Yes,0.07248,882,6225,0.06604,0.07893
2017,Couple with children,No,0.90382,5343,6225,0.89650,0.91115
2017,Multi-generational household,Yes,0.22439,44,135,0.15375,0.29502
2017,Multi-generational household,No,0.69844,91,135,0.62073,0.77614
2017,Other Combinations,Yes,0.16823,89,367,0.12990,0.20655
2017,Other Combinations,No,0.81617,278,367,0.77648,0.85585
2018,Single-person household,Yes,0.08103,632,4424,0.07299,0.08907
2018,Single-person household,No,0.90648,3792,4424,0.89790,0.91506
2018,Couple without children,Yes,0.03070,215,4592,0.02571,0.03569
2018,Couple without children,No,0.95834,4377,4592,0.95256,0.96412
2018,Single parent,Yes,0.25308,568,1736,0.23262,0.27353
2018,Single parent,No,0.74474,1168,1736,0.72423,0.76526
2018,Couple with children,Yes,0.06768,1324,6396,0.06152,0.07384
2018,Couple with children,No,0.91444,5072,6396,0.90759,0.92130
2018,Multi-generational household,Yes,0.34427,69,159,0.27018,0.41836
2018,Multi-generational household,No,0.65217,90,159,0.57791,0.72644
2018,Other Combinations,Yes,0.18376,141,405,0.14600,0.22153
2018,Other Combinations,No,0.80611,264,405,0.76756,0.84466
2019,Single-person household,Yes,0.07424,588,4559,0.06663,0.08185
2019,Single-person household,No,0.91356,3971,4559,0.90540,0.92172
2019,Couple without children,Yes,0.02845,226,5130,0.02390,0.03300
2019,Couple without children,No,0.96246,4904,5130,0.95726,0.96766
2019,Single parent,Yes,0.24390,500,1612,0.22293,0.26487
2019,Single parent,No,0.74169,1112,1612,0.72032,0.76307
2019,Couple with children,Yes,0.06613,1318,6478,0.06007,0.07218
2019,Couple with children,No,0.92051,5160,6478,0.91392,0.92709
2019,Multi-generational household,Yes,0.19308,51,139,0.12722,0.25893
2019,Multi-generational household,No,0.80692,88,139,0.74107,0.87278
2019,Other Combinations,Yes,0.14989,143,372,0.11357,0.18621
2019,Other Combinations,No,0.84821,229,372,0.81169,0.88472
2020,Single-person household,Yes,0.07232,714,5297,0.06535,0.07930
2020,Single-person household,No,0.90859,4583,5297,0.90083,0.91635
2020,Couple without children,Yes,0.02826,258,5114,0.02371,0.03280
2020,Couple without children,No,0.95371,4856,5114,0.94795,0.95947
2020,Single parent,Yes,0.23745,507,1583,0.21649,0.25842
2020,Single parent,No,0.74261,1076,1583,0.72107,0.76416
2020,Couple with children,Yes,0.05664,1444,6450,0.05100,0.06228
2020,Couple with children,No,0.91163,5006,6450,0.90471,0.91856
2020,Multi-generational household,Yes,0.16035,48,142,0.09979,0.22092
2020,Multi-generational household,No,0.68053,94,142,0.60357,0.75750
2020,Other Combinations,Yes,0.16322,160,476,0.12998,0.19645
2020,Other Combinations,No,0.82101,316,476,0.78654,0.85549
2021,Single-person household,Yes,0.06650,368,3521,0.05827,0.07473
2021,Single-person household,No,0.92825,3153,3521,0.91973,0.93678
2021,Couple without children,Yes,0.01861,114,3472,0.01411,0.02311
2021,Couple without children,No,0.97695,3358,3472,0.97195,0.98194
2021,Single parent,Yes,0.18627,258,1021,0.16238,0.21016
2021,Single parent,No,0.81323,763,1021,0.78931,0.83714
2021,Couple with children,Yes,0.05617,656,3969,0.04901,0.06334
2021,Couple with children,No,0.92645,3313,3969,0.91832,0.93457
2021,Multi-generational household,No,0.84085,62,62,0.74904,0.93265
2021,Other Combinations,Yes,0.18154,96,350,0.14110,0.22198
2021,Other Combinations,No,0.79814,254,350,0.75603,0.84025
2022,Single-person household,Yes,0.05401,377,5778,0.04819,0.05984
2022,Single-person household,No,0.92902,5401,5778,0.92240,0.93564
2022,Couple without children,Yes,0.01903,132,5743,0.01550,0.02256
2022,Couple without children,No,0.97031,5611,5743,0.96592,0.97470
2022,Single parent,Yes,0.16948,254,1219,0.14841,0.19055
2022,Single parent,No,0.82228,965,1219,0.80081,0.84374
2022,Couple with children,Yes,0.04478,517,5748,0.03943,0.05013
2022,Couple with children,No,0.92918,5231,5748,0.92255,0.93582
2022,Multi-generational household,No,0.83883,72,72,0.75331,0.92436
2022,Other Combinations,Yes,0.06620,91,1163,0.05191,0.08050
2022,Other Combinations,No,0.89977,1072,1163,0.88250,0.91703
