year,migback,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,No migration background,Born in Germany or immigrated <1950,0.85698,17508,17508,0.85180,0.86217
2005,Direct migration background,Not born in Germany,0.96708,2368,2368,0.95989,0.97427
2005,Indirect migration background,Born in Germany or immigrated <1950,0.45971,823,823,0.42564,0.49379
2006,No migration background,Born in Germany or immigrated <1950,0.86111,19034,19034,0.85620,0.86602
2006,Direct migration background,Not born in Germany,0.96474,2385,2385,0.95733,0.97214
2006,Indirect migration background,Born in Germany or immigrated <1950,0.46861,852,852,0.43508,0.50214
2007,No migration background,Born in Germany or immigrated <1950,0.86434,17884,17884,0.85932,0.86936
2007,Direct migration background,Not born in Germany,0.97291,2133,2133,0.96602,0.97980
2007,Indirect migration background,Born in Germany or immigrated <1950,0.49200,833,833,0.45803,0.52597
2008,No migration background,Born in Germany or immigrated <1950,0.86522,16841,16841,0.86006,0.87038
2008,Direct migration background,Not born in Germany,0.97913,1910,1910,0.97271,0.98554
2008,Indirect migration background,Born in Germany or immigrated <1950,0.53035,820,820,0.49617,0.56453
2009,No migration background,Born in Germany or immigrated <1950,0.86564,15839,15839,0.86032,0.87095
2009,Direct migration background,Not born in Germany,0.98325,1667,1667,0.97708,0.98941
2009,Indirect migration background,Born in Germany or immigrated <1950,0.55841,748,748,0.52280,0.59402
2010,No migration background,Born in Germany or immigrated <1950,0.86961,20189,20189,0.86497,0.87426
2010,Direct migration background,Not born in Germany,0.97402,2961,2961,0.96829,0.97975
2010,Indirect migration background,Born in Germany or immigrated <1950,0.48858,1179,1179,0.46004,0.51713
2011,No migration background,Born in Germany or immigrated <1950,0.86471,24216,24216,0.86040,0.86902
2011,Direct migration background,Not born in Germany,0.97375,3326,3326,0.96832,0.97919
2011,Indirect migration background,Born in Germany or immigrated <1950,0.48805,1359,1359,0.46147,0.51464
2012,No migration background,Born in Germany or immigrated <1950,0.86638,23700,23700,0.86204,0.87071
2012,Direct migration background,Not born in Germany,0.97144,3153,3153,0.96563,0.97726
2012,Indirect migration background,Born in Germany or immigrated <1950,0.48977,1314,1314,0.46273,0.51681
2013,No migration background,Born in Germany or immigrated <1950,0.86936,22502,22502,0.86496,0.87377
2013,Direct migration background,Not born in Germany,0.96869,6518,6518,0.96446,0.97292
2013,Indirect migration background,Born in Germany or immigrated <1950,0.49776,2164,2164,0.47669,0.51883
2014,No migration background,Born in Germany or immigrated <1950,0.87019,20527,20527,0.86559,0.87479
2014,Direct migration background,Not born in Germany,0.96871,5273,5273,0.96401,0.97341
2014,Indirect migration background,Born in Germany or immigrated <1950,0.51741,1855,1855,0.49466,0.54016
2015,No migration background,Born in Germany or immigrated <1950,0.87209,19559,19559,0.86741,0.87677
2015,Direct migration background,Not born in Germany,0.96579,6052,6052,0.96121,0.97037
2015,Indirect migration background,Born in Germany or immigrated <1950,0.51105,1732,1732,0.48751,0.53460
2016,No migration background,Born in Germany or immigrated <1950,0.86940,18193,18193,0.86451,0.87430
2016,Direct migration background,Not born in Germany,0.95616,8165,8165,0.95171,0.96060
2016,Indirect migration background,Born in Germany or immigrated <1950,0.53647,1615,1615,0.51214,0.56080
2017,No migration background,Born in Germany or immigrated <1950,0.86915,20516,20516,0.86453,0.87376
2017,Direct migration background,Not born in Germany,0.95197,8984,8984,0.94755,0.95639
2017,Indirect migration background,Born in Germany or immigrated <1950,0.52978,1760,1760,0.50645,0.55310
2018,No migration background,Born in Germany or immigrated <1950,0.87254,19788,19788,0.86790,0.87719
2018,Direct migration background,Not born in Germany,0.95040,8364,8364,0.94574,0.95505
2018,Indirect migration background,Born in Germany or immigrated <1950,0.53820,1737,1737,0.51475,0.56165
2019,No migration background,Born in Germany or immigrated <1950,0.86867,20604,20604,0.86406,0.87329
2019,Direct migration background,Not born in Germany,0.95401,7534,7534,0.94928,0.95874
2019,Indirect migration background,Born in Germany or immigrated <1950,0.53296,1691,1691,0.50917,0.55675
2020,No migration background,Born in Germany or immigrated <1950,0.86631,18904,18904,0.86146,0.87116
2020,Direct migration background,Not born in Germany,0.95231,9481,9481,0.94802,0.95660
2020,Indirect migration background,Born in Germany or immigrated <1950,0.51792,1627,1627,0.49363,0.54221
2021,No migration background,Born in Germany or immigrated <1950,0.86611,13448,13448,0.86035,0.87186
2021,Direct migration background,Not born in Germany,0.94452,5500,5500,0.93847,0.95058
2021,Indirect migration background,Born in Germany or immigrated <1950,0.48939,983,983,0.45812,0.52065
