year,age_gr,pgisced97,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,46-65 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.90972,844,1084,0.89266,0.92679
1984,46-65 y.,Lower Secondary Level,Not born in Germany,0.09028,240,1084,0.07321,0.10734
1984,46-65 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.92482,1329,1583,0.91183,0.93781
1984,46-65 y.,Upper Secondary Level,Not born in Germany,0.07518,254,1583,0.06219,0.08817
1984,46-65 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.93218,47,47,0.85952,1.00484
1984,46-65 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.92874,188,188,0.89187,0.96561
1984,46-65 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.90095,188,221,0.86148,0.94043
1984,46-65 y.,Second Stage of Tertiary Education,Not born in Germany,0.09905,33,221,0.05957,0.13852
1984,66 and older,Lower Secondary Level,Born in Germany or immigrated <1950,0.97370,500,500,0.95965,0.98774
1984,66 and older,Upper Secondary Level,Born in Germany or immigrated <1950,0.98462,560,560,0.97442,0.99482
1984,66 and older,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.97843,61,61,0.94167,1.01519
1985,17-29 y.,Pre-primary Level,Born in Germany or immigrated <1950,0.95631,165,165,0.92503,0.98759
1985,17-29 y.,Primary Level,Born in Germany or immigrated <1950,0.74124,60,163,0.67380,0.80868
1985,17-29 y.,Primary Level,Not born in Germany,0.25876,103,163,0.19132,0.32620
1985,17-29 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.89751,636,959,0.87830,0.91672
1985,17-29 y.,Lower Secondary Level,Not born in Germany,0.10249,323,959,0.08328,0.12170
1985,17-29 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.92546,1137,1431,0.91185,0.93908
1985,17-29 y.,Upper Secondary Level,Not born in Germany,0.07454,294,1431,0.06092,0.08815
1985,17-29 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.86971,80,80,0.79548,0.94394
1985,17-29 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.94244,104,104,0.89746,0.98742
1985,17-29 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.92425,98,98,0.87159,0.97691
1985,30-45 y.,Primary Level,Not born in Germany,0.80778,306,306,0.76355,0.85200
1985,30-45 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.78792,327,679,0.75715,0.81869
1985,30-45 y.,Lower Secondary Level,Not born in Germany,0.21208,352,679,0.18131,0.24285
1985,30-45 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.90904,1391,1761,0.89560,0.92247
1985,30-45 y.,Upper Secondary Level,Not born in Germany,0.09096,370,1761,0.07753,0.10440
1985,30-45 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.74898,38,87,0.65734,0.84062
1985,30-45 y.,Post-secondary Non-tertiary Level,Not born in Germany,0.25102,49,87,0.15938,0.34266
1985,30-45 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.91900,208,208,0.88184,0.95617
1985,30-45 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.90438,310,363,0.87408,0.93467
1985,30-45 y.,Second Stage of Tertiary Education,Not born in Germany,0.09562,53,363,0.06533,0.12592
1985,46-65 y.,Primary Level,Not born in Germany,0.84302,329,329,0.80365,0.88239
1985,46-65 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.90326,779,999,0.88493,0.92160
1985,46-65 y.,Lower Secondary Level,Not born in Germany,0.09674,220,999,0.07840,0.11507
1985,46-65 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.92410,1244,1474,0.91058,0.93763
1985,46-65 y.,Upper Secondary Level,Not born in Germany,0.07590,230,1474,0.06237,0.08942
1985,46-65 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.90790,40,40,0.81714,0.99865
1985,46-65 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.92131,180,180,0.88187,0.96076
1985,46-65 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.90152,184,216,0.86170,0.94135
1985,46-65 y.,Second Stage of Tertiary Education,Not born in Germany,0.09848,32,216,0.05865,0.13830
1985,66 and older,Lower Secondary Level,Born in Germany or immigrated <1950,0.96263,408,408,0.94420,0.98105
1985,66 and older,Upper Secondary Level,Born in Germany or immigrated <1950,0.98150,504,504,0.96972,0.99328
1985,66 and older,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.96350,53,53,0.91252,1.01447
1986,17-29 y.,Pre-primary Level,Born in Germany or immigrated <1950,0.93576,157,188,0.90061,0.97090
1986,17-29 y.,Pre-primary Level,Not born in Germany,0.06424,31,188,0.02910,0.09939
1986,17-29 y.,Primary Level,Born in Germany or immigrated <1950,0.76533,65,162,0.69987,0.83079
1986,17-29 y.,Primary Level,Not born in Germany,0.23467,97,162,0.16921,0.30013
1986,17-29 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.88900,618,948,0.86899,0.90901
1986,17-29 y.,Lower Secondary Level,Not born in Germany,0.11100,330,948,0.09099,0.13101
1986,17-29 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.92848,1127,1395,0.91495,0.94200
1986,17-29 y.,Upper Secondary Level,Not born in Germany,0.07152,268,1395,0.05800,0.08505
1986,17-29 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.90150,76,76,0.83405,0.96894
1986,17-29 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.93385,91,91,0.88251,0.98520
1986,17-29 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.94994,81,81,0.90216,0.99773
1986,30-45 y.,Primary Level,Not born in Germany,0.83985,269,269,0.79594,0.88376
1986,30-45 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.76715,290,617,0.73377,0.80053
1986,30-45 y.,Lower Secondary Level,Not born in Germany,0.23285,327,617,0.19947,0.26623
1986,30-45 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.90601,1307,1657,0.89196,0.92007
1986,30-45 y.,Upper Secondary Level,Not born in Germany,0.09399,350,1657,0.07993,0.10804
1986,30-45 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.74419,43,95,0.65598,0.83239
1986,30-45 y.,Post-secondary Non-tertiary Level,Not born in Germany,0.25581,52,95,0.16761,0.34402
1986,30-45 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.91282,192,192,0.87281,0.95283
1986,30-45 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.89588,317,377,0.86501,0.92675
1986,30-45 y.,Second Stage of Tertiary Education,Not born in Germany,0.10412,60,377,0.07325,0.13499
1986,46-65 y.,Primary Level,Not born in Germany,0.81752,308,308,0.77432,0.86073
1986,46-65 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.89026,710,949,0.87036,0.91016
1986,46-65 y.,Lower Secondary Level,Not born in Germany,0.10974,239,949,0.08984,0.12964
1986,46-65 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.92047,1227,1466,0.90662,0.93433
1986,46-65 y.,Upper Secondary Level,Not born in Germany,0.07953,239,1466,0.06567,0.09338
1986,46-65 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.89796,34,34,0.79469,1.00124
1986,46-65 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.91171,176,176,0.86967,0.95374
1986,46-65 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.90498,192,226,0.86666,0.94330
1986,46-65 y.,Second Stage of Tertiary Education,Not born in Germany,0.09502,34,226,0.05670,0.13334
1986,66 and older,Lower Secondary Level,Born in Germany or immigrated <1950,0.94840,373,373,0.92592,0.97088
1986,66 and older,Upper Secondary Level,Born in Germany or immigrated <1950,0.97275,460,460,0.95786,0.98765
1986,66 and older,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.93821,49,49,0.87009,1.00633
1987,17-29 y.,Pre-primary Level,Born in Germany or immigrated <1950,0.93951,159,191,0.90561,0.97341
1987,17-29 y.,Pre-primary Level,Not born in Germany,0.06049,32,191,0.02659,0.09439
1987,17-29 y.,Primary Level,Born in Germany or immigrated <1950,0.75371,55,136,0.68103,0.82639
1987,17-29 y.,Primary Level,Not born in Germany,0.24629,81,136,0.17361,0.31897
1987,17-29 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.86306,580,924,0.84089,0.88524
1987,17-29 y.,Lower Secondary Level,Not born in Germany,0.13694,344,924,0.11476,0.15911
1987,17-29 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.93221,1136,1398,0.91902,0.94539
1987,17-29 y.,Upper Secondary Level,Not born in Germany,0.06779,262,1398,0.05461,0.08098
1987,17-29 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.88916,76,76,0.81811,0.96021
1987,17-29 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.92776,79,79,0.87030,0.98521
1987,17-29 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.95007,79,79,0.90174,0.99841
1987,30-45 y.,Primary Level,Not born in Germany,0.81330,261,261,0.76593,0.86066
1987,30-45 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.75450,272,588,0.71968,0.78931
1987,30-45 y.,Lower Secondary Level,Not born in Germany,0.24550,316,588,0.21069,0.28032
1987,30-45 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.90437,1267,1601,0.88996,0.91878
1987,30-45 y.,Upper Secondary Level,Not born in Germany,0.09563,334,1601,0.08122,0.11004
1987,30-45 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.76283,49,96,0.67729,0.84836
1987,30-45 y.,Post-secondary Non-tertiary Level,Not born in Germany,0.23717,47,96,0.15164,0.32271
1987,30-45 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.91454,191,191,0.87479,0.95429
1987,30-45 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.90780,314,364,0.87803,0.93756
1987,30-45 y.,Second Stage of Tertiary Education,Not born in Germany,0.09220,50,364,0.06244,0.12197
1987,46-65 y.,Primary Level,Not born in Germany,0.84740,314,314,0.80756,0.88724
1987,46-65 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.87427,662,919,0.85282,0.89572
1987,46-65 y.,Lower Secondary Level,Not born in Germany,0.12573,257,919,0.10428,0.14718
1987,46-65 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.91525,1223,1470,0.90101,0.92949
1987,46-65 y.,Upper Secondary Level,Not born in Germany,0.08475,247,1470,0.07051,0.09899
1987,46-65 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.91879,174,174,0.87808,0.95949
1987,46-65 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.90064,195,230,0.86190,0.93939
1987,46-65 y.,Second Stage of Tertiary Education,Not born in Germany,0.09936,35,230,0.06061,0.13810
1987,66 and older,Lower Secondary Level,Born in Germany or immigrated <1950,0.95034,385,385,0.92862,0.97207
1987,66 and older,Upper Secondary Level,Born in Germany or immigrated <1950,0.97160,482,482,0.95676,0.98645
1987,66 and older,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.97535,67,67,0.93794,1.01276
1987,66 and older,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.92701,54,54,0.85698,0.99704
1988,17-29 y.,Pre-primary Level,Born in Germany or immigrated <1950,0.93199,143,143,0.89058,0.97340
1988,17-29 y.,Primary Level,Born in Germany or immigrated <1950,0.73582,50,128,0.65914,0.81250
1988,17-29 y.,Primary Level,Not born in Germany,0.26418,78,128,0.18750,0.34086
1988,17-29 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.87669,579,916,0.85539,0.89800
1988,17-29 y.,Lower Secondary Level,Not born in Germany,0.12331,337,916,0.10200,0.14461
1988,17-29 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.92611,1051,1312,0.91195,0.94027
1988,17-29 y.,Upper Secondary Level,Not born in Germany,0.07389,261,1312,0.05973,0.08805
1988,17-29 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.91952,80,80,0.85953,0.97951
1988,17-29 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.93514,69,69,0.87660,0.99368
1988,17-29 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.95387,66,66,0.90287,1.00487
1988,30-45 y.,Primary Level,Not born in Germany,0.73161,220,220,0.67293,0.79030
1988,30-45 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.76841,249,534,0.73260,0.80423
1988,30-45 y.,Lower Secondary Level,Not born in Germany,0.23159,285,534,0.19577,0.26740
1988,30-45 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.90850,1204,1505,0.89392,0.92307
1988,30-45 y.,Upper Secondary Level,Not born in Germany,0.09150,301,1505,0.07693,0.10608
1988,30-45 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.77465,46,92,0.68881,0.86050
1988,30-45 y.,Post-secondary Non-tertiary Level,Not born in Germany,0.22535,46,92,0.13950,0.31119
1988,30-45 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.89785,185,185,0.85410,0.94161
1988,30-45 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.93328,305,343,0.90683,0.95972
1988,30-45 y.,Second Stage of Tertiary Education,Not born in Germany,0.06672,38,343,0.04028,0.09317
1988,46-65 y.,Primary Level,Not born in Germany,0.86830,302,302,0.83010,0.90650
1988,46-65 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.86915,625,890,0.84698,0.89132
1988,46-65 y.,Lower Secondary Level,Not born in Germany,0.13085,265,890,0.10868,0.15302
1988,46-65 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.91470,1181,1429,0.90022,0.92919
1988,46-65 y.,Upper Secondary Level,Not born in Germany,0.08530,248,1429,0.07081,0.09978
1988,46-65 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.92094,166,166,0.87977,0.96211
1988,46-65 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.90114,194,227,0.86222,0.94005
1988,46-65 y.,Second Stage of Tertiary Education,Not born in Germany,0.09886,33,227,0.05995,0.13778
1988,66 and older,Lower Secondary Level,Born in Germany or immigrated <1950,0.94809,356,356,0.92501,0.97116
1988,66 and older,Upper Secondary Level,Born in Germany or immigrated <1950,0.96728,476,476,0.95129,0.98328
1988,66 and older,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.96288,66,66,0.91692,1.00884
1988,66 and older,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.91853,52,52,0.84346,0.99361
1989,17-29 y.,Pre-primary Level,Born in Germany or immigrated <1950,0.92802,150,150,0.88652,0.96952
1989,17-29 y.,Primary Level,Born in Germany or immigrated <1950,0.70216,47,120,0.61999,0.78432
1989,17-29 y.,Primary Level,Not born in Germany,0.29784,73,120,0.21568,0.38001
1989,17-29 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.86600,547,858,0.84320,0.88881
1989,17-29 y.,Lower Secondary Level,Not born in Germany,0.13400,311,858,0.11119,0.15680
1989,17-29 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.92041,1045,1309,0.90574,0.93507
1989,17-29 y.,Upper Secondary Level,Not born in Germany,0.07959,264,1309,0.06493,0.09426
1989,17-29 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.91913,95,95,0.86402,0.97425
1989,17-29 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.92259,70,70,0.85954,0.98565
1989,17-29 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.95950,70,70,0.91298,1.00601
1989,30-45 y.,Primary Level,Not born in Germany,0.68950,197,197,0.62473,0.75428
1989,30-45 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.76083,233,498,0.72333,0.79834
1989,30-45 y.,Lower Secondary Level,Not born in Germany,0.23917,265,498,0.20166,0.27667
1989,30-45 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.90621,1171,1464,0.89127,0.92115
1989,30-45 y.,Upper Secondary Level,Not born in Germany,0.09379,293,1464,0.07885,0.10873
1989,30-45 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.79978,52,92,0.71756,0.88200
1989,30-45 y.,Post-secondary Non-tertiary Level,Not born in Germany,0.20022,40,92,0.11800,0.28244
1989,30-45 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.89989,176,176,0.85542,0.94436
1989,30-45 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.92069,296,338,0.89183,0.94954
1989,30-45 y.,Second Stage of Tertiary Education,Not born in Germany,0.07931,42,338,0.05046,0.10817
1989,46-65 y.,Primary Level,Not born in Germany,0.87436,294,294,0.83641,0.91231
1989,46-65 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.84434,560,836,0.81975,0.86893
1989,46-65 y.,Lower Secondary Level,Not born in Germany,0.15566,276,836,0.13107,0.18025
1989,46-65 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.91353,1131,1377,0.89868,0.92838
1989,46-65 y.,Upper Secondary Level,Not born in Germany,0.08647,246,1377,0.07162,0.10132
1989,46-65 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.91979,155,155,0.87689,0.96269
1989,46-65 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.89778,195,226,0.85819,0.93736
1989,46-65 y.,Second Stage of Tertiary Education,Not born in Germany,0.10222,31,226,0.06264,0.14181
1989,66 and older,Lower Secondary Level,Born in Germany or immigrated <1950,0.94487,356,356,0.92113,0.96861
1989,66 and older,Upper Secondary Level,Born in Germany or immigrated <1950,0.95687,446,446,0.93799,0.97574
1989,66 and older,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.95348,64,64,0.90148,1.00549
1989,66 and older,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.87896,49,49,0.78669,0.97124
1990,17-29 y.,Pre-primary Level,Born in Germany or immigrated <1950,0.93654,166,166,0.89934,0.97374
1990,17-29 y.,Primary Level,Born in Germany or immigrated <1950,0.76312,58,119,0.68640,0.83983
1990,17-29 y.,Primary Level,Not born in Germany,0.23688,61,119,0.16017,0.31360
1990,17-29 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.86762,688,979,0.84638,0.88886
1990,17-29 y.,Lower Secondary Level,Not born in Germany,0.13238,291,979,0.11114,0.15362
1990,17-29 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.93571,1725,1974,0.92489,0.94653
1990,17-29 y.,Upper Secondary Level,Not born in Germany,0.06429,249,1974,0.05347,0.07511
1990,17-29 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.92562,138,138,0.88169,0.96956
1990,17-29 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.97063,98,98,0.93703,1.00423
1990,17-29 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.96242,217,217,0.93706,0.98778
1990,30-45 y.,Primary Level,Not born in Germany,0.69990,180,180,0.63276,0.76704
1990,30-45 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.75966,266,534,0.72338,0.79594
1990,30-45 y.,Lower Secondary Level,Not born in Germany,0.24034,268,534,0.20406,0.27662
1990,30-45 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.92446,1994,2285,0.91362,0.93529
1990,30-45 y.,Upper Secondary Level,Not born in Germany,0.07554,291,2285,0.06471,0.08638
1990,30-45 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.79483,84,127,0.72432,0.86534
1990,30-45 y.,Post-secondary Non-tertiary Level,Not born in Germany,0.20517,43,127,0.13466,0.27568
1990,30-45 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.90782,276,276,0.87363,0.94201
1990,30-45 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.94680,768,814,0.93137,0.96223
1990,30-45 y.,Second Stage of Tertiary Education,Not born in Germany,0.05320,46,814,0.03777,0.06863
1990,46-65 y.,Primary Level,Not born in Germany,0.87518,294,294,0.83733,0.91302
1990,46-65 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.84547,673,958,0.82257,0.86837
1990,46-65 y.,Lower Secondary Level,Not born in Germany,0.15453,285,958,0.13163,0.17743
1990,46-65 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.91303,1824,2114,0.90101,0.92504
1990,46-65 y.,Upper Secondary Level,Not born in Germany,0.08697,290,2114,0.07496,0.09899
1990,46-65 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.80081,31,31,0.65789,0.94373
1990,46-65 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.91260,243,243,0.87702,0.94819
1990,46-65 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.89964,484,539,0.87425,0.92503
1990,46-65 y.,Second Stage of Tertiary Education,Not born in Germany,0.10036,55,539,0.07497,0.12575
1990,66 and older,Lower Secondary Level,Born in Germany or immigrated <1950,0.94371,485,485,0.92317,0.96424
1990,66 and older,Upper Secondary Level,Born in Germany or immigrated <1950,0.95376,654,694,0.93812,0.96939
1990,66 and older,Upper Secondary Level,Not born in Germany,0.04624,40,694,0.03061,0.06188
1990,66 and older,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.94484,93,93,0.89819,0.99149
1990,66 and older,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.88255,95,95,0.81747,0.94764
1991,17-29 y.,Pre-primary Level,Born in Germany or immigrated <1950,0.92025,142,142,0.87553,0.96496
1991,17-29 y.,Primary Level,Born in Germany or immigrated <1950,0.78499,82,144,0.71765,0.85233
1991,17-29 y.,Primary Level,Not born in Germany,0.21501,62,144,0.14767,0.28235
1991,17-29 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.85631,664,932,0.83378,0.87884
1991,17-29 y.,Lower Secondary Level,Not born in Germany,0.14369,268,932,0.12116,0.16622
1991,17-29 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.93829,1638,1878,0.92740,0.94918
1991,17-29 y.,Upper Secondary Level,Not born in Germany,0.06171,240,1878,0.05082,0.07260
1991,17-29 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.91842,144,144,0.87355,0.96328
1991,17-29 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.99674,97,97,0.98535,1.00814
1991,17-29 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.94126,185,185,0.90728,0.97523
1991,30-45 y.,Primary Level,Not born in Germany,0.64613,172,172,0.57446,0.71780
1991,30-45 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.75418,269,521,0.71718,0.79119
1991,30-45 y.,Lower Secondary Level,Not born in Germany,0.24582,252,521,0.20881,0.28282
1991,30-45 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.92544,2021,2305,0.91471,0.93616
1991,30-45 y.,Upper Secondary Level,Not born in Germany,0.07456,284,2305,0.06384,0.08529
1991,30-45 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.79586,84,124,0.72463,0.86710
1991,30-45 y.,Post-secondary Non-tertiary Level,Not born in Germany,0.20414,40,124,0.13290,0.27537
1991,30-45 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.89066,276,276,0.85377,0.92754
1991,30-45 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.94650,775,817,0.93106,0.96194
1991,30-45 y.,Second Stage of Tertiary Education,Not born in Germany,0.05350,42,817,0.03806,0.06894
1991,46-65 y.,Primary Level,Not born in Germany,0.88547,284,284,0.84836,0.92257
1991,46-65 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.82996,621,916,0.80562,0.85430
1991,46-65 y.,Lower Secondary Level,Not born in Germany,0.17004,295,916,0.14570,0.19438
1991,46-65 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.90459,1730,2025,0.89179,0.91739
1991,46-65 y.,Upper Secondary Level,Not born in Germany,0.09541,295,2025,0.08261,0.10821
1991,46-65 y.,Post-secondary Non-tertiary Level,Not born in Germany,0.26180,32,32,0.10705,0.41656
1991,46-65 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.91302,239,239,0.87722,0.94883
1991,46-65 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.90064,493,549,0.87560,0.92569
1991,46-65 y.,Second Stage of Tertiary Education,Not born in Germany,0.09936,56,549,0.07431,0.12440
1991,66 and older,Lower Secondary Level,Born in Germany or immigrated <1950,0.93489,457,489,0.91299,0.95678
1991,66 and older,Lower Secondary Level,Not born in Germany,0.06511,32,489,0.04322,0.08701
1991,66 and older,Upper Secondary Level,Born in Germany or immigrated <1950,0.94185,652,702,0.92452,0.95917
1991,66 and older,Upper Secondary Level,Not born in Germany,0.05815,50,702,0.04083,0.07548
1991,66 and older,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.93319,86,86,0.88011,0.98628
1991,66 and older,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.88353,99,99,0.82002,0.94704
