year,age_gr,regtyp,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1989,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.90832,443,572,0.88465,0.93199
1989,30-45 y.,Rural regions,Not born in Germany,0.09168,129,572,0.06801,0.11535
1989,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.86015,1589,2393,0.84626,0.87405
1989,46-65 y.,Urban regions,Not born in Germany,0.13985,804,2393,0.12595,0.15374
1989,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.92072,489,589,0.89889,0.94256
1989,46-65 y.,Rural regions,Not born in Germany,0.07928,100,589,0.05744,0.10111
1989,66 and older,Urban regions,Born in Germany or immigrated <1950,0.93922,699,760,0.92222,0.95622
1989,66 and older,Urban regions,Not born in Germany,0.06078,61,760,0.04378,0.07778
1989,66 and older,Rural regions,Born in Germany or immigrated <1950,0.96265,243,243,0.93876,0.98654
1990,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.89543,1906,2519,0.88347,0.90738
1990,17-29 y.,Urban regions,Not born in Germany,0.10457,613,2519,0.09262,0.11653
1990,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.95926,1230,1321,0.94860,0.96993
1990,17-29 y.,Rural regions,Not born in Germany,0.04074,91,1321,0.03007,0.05140
1990,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.86750,1998,2737,0.85479,0.88020
1990,30-45 y.,Urban regions,Not born in Germany,0.13250,739,2737,0.11980,0.14521
1990,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.93960,1396,1532,0.92767,0.95153
1990,30-45 y.,Rural regions,Not born in Germany,0.06040,136,1532,0.04847,0.07233
1990,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.85634,1964,2788,0.84332,0.86936
1990,46-65 y.,Urban regions,Not born in Germany,0.14366,824,2788,0.13064,0.15668
1990,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.92039,1283,1449,0.90645,0.93433
1990,46-65 y.,Rural regions,Not born in Germany,0.07961,166,1449,0.06567,0.09355
1990,66 and older,Urban regions,Born in Germany or immigrated <1950,0.93727,833,912,0.92152,0.95301
1990,66 and older,Urban regions,Not born in Germany,0.06273,79,912,0.04699,0.07848
1990,66 and older,Rural regions,Born in Germany or immigrated <1950,0.95357,520,520,0.93547,0.97167
1991,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.89043,1839,2419,0.87798,0.90288
1991,17-29 y.,Urban regions,Not born in Germany,0.10957,580,2419,0.09712,0.12202
1991,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.95826,1167,1253,0.94718,0.96934
1991,17-29 y.,Rural regions,Not born in Germany,0.04174,86,1253,0.03066,0.05282
1991,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.86509,2030,2740,0.85229,0.87788
1991,30-45 y.,Urban regions,Not born in Germany,0.13491,710,2740,0.12212,0.14771
1991,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.94138,1409,1535,0.92963,0.95314
1991,30-45 y.,Rural regions,Not born in Germany,0.05862,126,1535,0.04686,0.07037
1991,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.84277,1862,2691,0.82901,0.85652
1991,46-65 y.,Urban regions,Not born in Germany,0.15723,829,2691,0.14348,0.17099
1991,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.91605,1251,1422,0.90163,0.93047
1991,46-65 y.,Rural regions,Not born in Germany,0.08395,171,1422,0.06953,0.09837
1991,66 and older,Urban regions,Born in Germany or immigrated <1950,0.92779,821,912,0.91098,0.94460
1991,66 and older,Urban regions,Not born in Germany,0.07221,91,912,0.05540,0.08902
1991,66 and older,Rural regions,Born in Germany or immigrated <1950,0.94159,496,496,0.92093,0.96225
1992,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.88619,1810,2357,0.87337,0.89901
1992,17-29 y.,Urban regions,Not born in Germany,0.11381,547,2357,0.10099,0.12663
1992,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.95365,1099,1181,0.94165,0.96564
1992,17-29 y.,Rural regions,Not born in Germany,0.04635,82,1181,0.03436,0.05835
1992,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.86239,2044,2716,0.84943,0.87535
1992,30-45 y.,Urban regions,Not born in Germany,0.13761,672,2716,0.12465,0.15057
1992,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.93966,1374,1494,0.92758,0.95174
1992,30-45 y.,Rural regions,Not born in Germany,0.06034,120,1494,0.04826,0.07242
1992,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.83464,1833,2652,0.82050,0.84878
1992,46-65 y.,Urban regions,Not born in Germany,0.16536,819,2652,0.15122,0.17950
1992,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.90979,1181,1356,0.89453,0.92504
1992,46-65 y.,Rural regions,Not born in Germany,0.09021,175,1356,0.07496,0.10547
1992,66 and older,Urban regions,Born in Germany or immigrated <1950,0.92412,825,927,0.90706,0.94117
1992,66 and older,Urban regions,Not born in Germany,0.07588,102,927,0.05883,0.09294
1992,66 and older,Rural regions,Born in Germany or immigrated <1950,0.93487,481,515,0.91353,0.95620
1992,66 and older,Rural regions,Not born in Germany,0.06513,34,515,0.04380,0.08647
1993,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.87882,1817,2318,0.86553,0.89211
1993,17-29 y.,Urban regions,Not born in Germany,0.12118,501,2318,0.10789,0.13447
1993,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.95484,1084,1166,0.94292,0.96677
1993,17-29 y.,Rural regions,Not born in Germany,0.04516,82,1166,0.03323,0.05708
1993,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.86583,2075,2712,0.85300,0.87866
1993,30-45 y.,Urban regions,Not born in Germany,0.13417,637,2712,0.12134,0.14700
1993,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.93589,1370,1486,0.92343,0.94834
1993,30-45 y.,Rural regions,Not born in Germany,0.06411,116,1486,0.05166,0.07657
1993,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.82193,1805,2616,0.80727,0.83660
1993,46-65 y.,Urban regions,Not born in Germany,0.17807,811,2616,0.16340,0.19273
1993,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.90899,1158,1334,0.89355,0.92443
1993,46-65 y.,Rural regions,Not born in Germany,0.09101,176,1334,0.07557,0.10645
1993,66 and older,Urban regions,Born in Germany or immigrated <1950,0.91557,825,941,0.89779,0.93334
1993,66 and older,Urban regions,Not born in Germany,0.08443,116,941,0.06666,0.10221
1993,66 and older,Rural regions,Born in Germany or immigrated <1950,0.92774,492,530,0.90568,0.94981
1993,66 and older,Rural regions,Not born in Germany,0.07226,38,530,0.05019,0.09432
1994,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.87645,1789,2236,0.86281,0.89009
1994,17-29 y.,Urban regions,Not born in Germany,0.12355,447,2236,0.10991,0.13719
1994,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.95341,1034,1109,0.94100,0.96582
1994,17-29 y.,Rural regions,Not born in Germany,0.04659,75,1109,0.03418,0.05900
1994,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.86149,2081,2692,0.84844,0.87454
1994,30-45 y.,Urban regions,Not born in Germany,0.13851,611,2692,0.12546,0.15156
1994,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.93767,1354,1456,0.92525,0.95010
1994,30-45 y.,Rural regions,Not born in Germany,0.06233,102,1456,0.04990,0.07475
1994,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.81989,1778,2561,0.80501,0.83478
1994,46-65 y.,Urban regions,Not born in Germany,0.18011,783,2561,0.16522,0.19499
1994,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.90523,1159,1328,0.88947,0.92098
1994,46-65 y.,Rural regions,Not born in Germany,0.09477,169,1328,0.07902,0.11053
1994,66 and older,Urban regions,Born in Germany or immigrated <1950,0.90375,838,970,0.88518,0.92232
1994,66 and older,Urban regions,Not born in Germany,0.09625,132,970,0.07768,0.11482
1994,66 and older,Rural regions,Born in Germany or immigrated <1950,0.92316,483,522,0.90029,0.94603
1994,66 and older,Rural regions,Not born in Germany,0.07684,39,522,0.05397,0.09971
1995,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.83154,1712,2231,0.81600,0.84707
1995,17-29 y.,Urban regions,Not born in Germany,0.16846,519,2231,0.15293,0.18400
1995,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.94250,1041,1126,0.92889,0.95610
1995,17-29 y.,Rural regions,Not born in Germany,0.05750,85,1126,0.04390,0.07111
1995,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.82480,2105,2883,0.81092,0.83868
1995,30-45 y.,Urban regions,Not born in Germany,0.17520,778,2883,0.16132,0.18908
1995,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.91331,1412,1557,0.89933,0.92729
1995,30-45 y.,Rural regions,Not born in Germany,0.08669,145,1557,0.07271,0.10067
1995,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.81123,1749,2597,0.79618,0.82629
1995,46-65 y.,Urban regions,Not born in Germany,0.18877,848,2597,0.17371,0.20382
1995,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.89756,1176,1370,0.88150,0.91362
1995,46-65 y.,Rural regions,Not born in Germany,0.10244,194,1370,0.08638,0.11850
1995,66 and older,Urban regions,Born in Germany or immigrated <1950,0.88687,844,1007,0.86729,0.90644
1995,66 and older,Urban regions,Not born in Germany,0.11313,163,1007,0.09356,0.13271
1995,66 and older,Rural regions,Born in Germany or immigrated <1950,0.91633,466,515,0.89239,0.94026
1995,66 and older,Rural regions,Not born in Germany,0.08367,49,515,0.05974,0.10761
1996,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.82764,1616,2072,0.81137,0.84390
1996,17-29 y.,Urban regions,Not born in Germany,0.17236,456,2072,0.15610,0.18863
1996,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.93946,1012,1091,0.92530,0.95362
1996,17-29 y.,Rural regions,Not born in Germany,0.06054,79,1091,0.04638,0.07470
1996,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.83759,2190,2903,0.82417,0.85101
1996,30-45 y.,Urban regions,Not born in Germany,0.16241,713,2903,0.14899,0.17583
1996,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.91831,1392,1533,0.90459,0.93202
1996,30-45 y.,Rural regions,Not born in Germany,0.08169,141,1533,0.06798,0.09541
1996,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.81239,1724,2519,0.79715,0.82764
1996,46-65 y.,Urban regions,Not born in Germany,0.18761,795,2519,0.17236,0.20285
1996,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.89619,1195,1382,0.88011,0.91228
1996,46-65 y.,Rural regions,Not born in Germany,0.10381,187,1382,0.08772,0.11989
1996,66 and older,Urban regions,Born in Germany or immigrated <1950,0.87992,854,1029,0.86005,0.89979
1996,66 and older,Urban regions,Not born in Germany,0.12008,175,1029,0.10021,0.13995
1996,66 and older,Rural regions,Born in Germany or immigrated <1950,0.91209,467,519,0.88771,0.93648
1996,66 and older,Rural regions,Not born in Germany,0.08791,52,519,0.06352,0.11229
1997,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.82727,1566,1973,0.81059,0.84395
1997,17-29 y.,Urban regions,Not born in Germany,0.17273,407,1973,0.15605,0.18941
1997,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.94248,985,1056,0.92843,0.95653
1997,17-29 y.,Rural regions,Not born in Germany,0.05752,71,1056,0.04347,0.07157
1997,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.84234,2183,2874,0.82901,0.85566
1997,30-45 y.,Urban regions,Not born in Germany,0.15766,691,2874,0.14434,0.17099
1997,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.92263,1361,1492,0.90907,0.93619
1997,30-45 y.,Rural regions,Not born in Germany,0.07737,131,1492,0.06381,0.09093
1997,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.80627,1707,2472,0.79068,0.82185
1997,46-65 y.,Urban regions,Not born in Germany,0.19373,765,2472,0.17815,0.20932
1997,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.89783,1206,1380,0.88184,0.91381
1997,46-65 y.,Rural regions,Not born in Germany,0.10217,174,1380,0.08619,0.11816
1997,66 and older,Urban regions,Born in Germany or immigrated <1950,0.88360,872,1051,0.86420,0.90300
1997,66 and older,Urban regions,Not born in Germany,0.11640,179,1051,0.09700,0.13580
1997,66 and older,Rural regions,Born in Germany or immigrated <1950,0.90857,477,531,0.88403,0.93311
1997,66 and older,Rural regions,Not born in Germany,0.09143,54,531,0.06689,0.11597
1998,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.84093,1686,2056,0.82512,0.85675
1998,17-29 y.,Urban regions,Not born in Germany,0.15907,370,2056,0.14325,0.17488
1998,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.94513,1044,1109,0.93172,0.95854
1998,17-29 y.,Rural regions,Not born in Germany,0.05487,65,1109,0.04146,0.06828
1998,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.84077,2507,3173,0.82804,0.85351
1998,30-45 y.,Urban regions,Not born in Germany,0.15923,666,3173,0.14649,0.17196
1998,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.93307,1535,1655,0.92102,0.94511
1998,30-45 y.,Rural regions,Not born in Germany,0.06693,120,1655,0.05489,0.07898
1998,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.80904,2044,2808,0.79450,0.82358
1998,46-65 y.,Urban regions,Not born in Germany,0.19096,764,2808,0.17642,0.20550
1998,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.90775,1418,1584,0.89350,0.92201
1998,46-65 y.,Rural regions,Not born in Germany,0.09225,166,1584,0.07799,0.10650
1998,66 and older,Urban regions,Born in Germany or immigrated <1950,0.89049,1052,1236,0.87307,0.90791
1998,66 and older,Urban regions,Not born in Germany,0.10951,184,1236,0.09209,0.12693
1998,66 and older,Rural regions,Born in Germany or immigrated <1950,0.90657,555,619,0.88362,0.92951
1998,66 and older,Rural regions,Not born in Germany,0.09343,64,619,0.07049,0.11638
1999,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.85163,1607,1925,0.83574,0.86751
1999,17-29 y.,Urban regions,Not born in Germany,0.14837,318,1925,0.13249,0.16426
1999,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.95143,998,1048,0.93841,0.96445
1999,17-29 y.,Rural regions,Not born in Germany,0.04857,50,1048,0.03555,0.06159
1999,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.84216,2458,3092,0.82931,0.85502
1999,30-45 y.,Urban regions,Not born in Germany,0.15784,634,3092,0.14498,0.17069
1999,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.93472,1515,1622,0.92269,0.94674
1999,30-45 y.,Rural regions,Not born in Germany,0.06528,107,1622,0.05326,0.07731
1999,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.81196,1976,2679,0.79716,0.82676
1999,46-65 y.,Urban regions,Not born in Germany,0.18804,703,2679,0.17324,0.20284
1999,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.91561,1365,1509,0.90158,0.92964
1999,46-65 y.,Rural regions,Not born in Germany,0.08439,144,1509,0.07036,0.09842
1999,66 and older,Urban regions,Born in Germany or immigrated <1950,0.88120,995,1182,0.86275,0.89965
1999,66 and older,Urban regions,Not born in Germany,0.11880,187,1182,0.10035,0.13725
1999,66 and older,Rural regions,Born in Germany or immigrated <1950,0.90830,556,617,0.88551,0.93109
1999,66 and older,Rural regions,Not born in Germany,0.09170,61,617,0.06891,0.11449
2000,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.82597,2425,2910,0.81219,0.83975
2000,17-29 y.,Urban regions,Not born in Germany,0.17403,485,2910,0.16025,0.18781
2000,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.92889,1566,1672,0.91657,0.94121
2000,17-29 y.,Rural regions,Not born in Germany,0.07111,106,1672,0.05879,0.08343
2000,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.83617,4398,5381,0.82628,0.84606
2000,30-45 y.,Urban regions,Not born in Germany,0.16383,983,5381,0.15394,0.17372
2000,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.92675,2592,2786,0.91707,0.93643
2000,30-45 y.,Rural regions,Not born in Germany,0.07325,194,2786,0.06357,0.08293
2000,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.82776,4089,5084,0.81738,0.83814
2000,46-65 y.,Urban regions,Not born in Germany,0.17224,995,5084,0.16186,0.18262
2000,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.93266,2495,2682,0.92318,0.94215
2000,46-65 y.,Rural regions,Not born in Germany,0.06734,187,2682,0.05785,0.07682
2000,66 and older,Urban regions,Born in Germany or immigrated <1950,0.90507,2082,2338,0.89318,0.91695
2000,66 and older,Urban regions,Not born in Germany,0.09493,256,2338,0.08305,0.10682
2000,66 and older,Rural regions,Born in Germany or immigrated <1950,0.91755,1160,1259,0.90235,0.93275
2000,66 and older,Rural regions,Not born in Germany,0.08245,99,1259,0.06725,0.09765
2001,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.82608,2214,2617,0.81156,0.84061
2001,17-29 y.,Urban regions,Not born in Germany,0.17392,403,2617,0.15939,0.18844
2001,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.92309,1388,1482,0.90952,0.93666
2001,17-29 y.,Rural regions,Not born in Germany,0.07691,94,1482,0.06334,0.09048
2001,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.83899,3976,4849,0.82864,0.84934
2001,30-45 y.,Urban regions,Not born in Germany,0.16101,873,4849,0.15066,0.17136
2001,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.92346,2313,2480,0.91299,0.93392
2001,30-45 y.,Rural regions,Not born in Germany,0.07654,167,2480,0.06608,0.08701
2001,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.83548,3754,4628,0.82480,0.84616
2001,46-65 y.,Urban regions,Not born in Germany,0.16452,874,4628,0.15384,0.17520
2001,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.93280,2296,2466,0.92291,0.94268
2001,46-65 y.,Rural regions,Not born in Germany,0.06720,170,2466,0.05732,0.07709
2001,66 and older,Urban regions,Born in Germany or immigrated <1950,0.90901,1963,2208,0.89701,0.92101
2001,66 and older,Urban regions,Not born in Germany,0.09099,245,2208,0.07899,0.10299
2001,66 and older,Rural regions,Born in Germany or immigrated <1950,0.91957,1101,1191,0.90412,0.93502
2001,66 and older,Rural regions,Not born in Germany,0.08043,90,1191,0.06498,0.09588
2002,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.82205,2303,2663,0.80752,0.83658
2002,17-29 y.,Urban regions,Not born in Germany,0.17795,360,2663,0.16342,0.19248
2002,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.92647,1398,1479,0.91316,0.93978
2002,17-29 y.,Rural regions,Not born in Germany,0.07353,81,1479,0.06022,0.08684
2002,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.83318,4178,5005,0.82285,0.84351
2002,30-45 y.,Urban regions,Not born in Germany,0.16682,827,5005,0.15649,0.17715
2002,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.92872,2292,2435,0.91850,0.93894
2002,30-45 y.,Rural regions,Not born in Germany,0.07128,143,2435,0.06106,0.08150
2002,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.83185,4385,5248,0.82173,0.84197
2002,46-65 y.,Urban regions,Not born in Germany,0.16815,863,5248,0.15803,0.17827
2002,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.92796,2431,2606,0.91803,0.93789
2002,46-65 y.,Rural regions,Not born in Germany,0.07204,175,2606,0.06211,0.08197
2002,66 and older,Urban regions,Born in Germany or immigrated <1950,0.90248,2101,2357,0.89050,0.91446
2002,66 and older,Urban regions,Not born in Germany,0.09752,256,2357,0.08554,0.10950
2002,66 and older,Rural regions,Born in Germany or immigrated <1950,0.92154,1142,1234,0.90653,0.93655
2002,66 and older,Rural regions,Not born in Germany,0.07846,92,1234,0.06345,0.09347
2003,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.83763,2301,2616,0.82350,0.85177
2003,17-29 y.,Urban regions,Not born in Germany,0.16237,315,2616,0.14823,0.17650
2003,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.93698,1326,1391,0.92421,0.94975
2003,17-29 y.,Rural regions,Not born in Germany,0.06302,65,1391,0.05025,0.07579
2003,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.83051,3909,4671,0.81974,0.84127
2003,30-45 y.,Urban regions,Not born in Germany,0.16949,762,4671,0.15873,0.18026
2003,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.92420,2134,2267,0.91330,0.93510
2003,30-45 y.,Rural regions,Not born in Germany,0.07580,133,2267,0.06490,0.08670
2003,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.83126,4235,5048,0.82093,0.84159
2003,46-65 y.,Urban regions,Not born in Germany,0.16874,813,5048,0.15841,0.17907
2003,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.91889,2349,2523,0.90824,0.92955
2003,46-65 y.,Rural regions,Not born in Germany,0.08111,174,2523,0.07045,0.09176
2003,66 and older,Urban regions,Born in Germany or immigrated <1950,0.89930,2137,2400,0.88726,0.91135
