year,sampreg,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,East,Born in Germany or immigrated <1950,0.81763,4761,5674,0.80758,0.82768
2016,East,Not born in Germany,0.04311,913,5674,0.03782,0.04839
2017,West,Born in Germany or immigrated <1950,0.69925,16982,24981,0.69357,0.70494
2017,West,Not born in Germany,0.14939,7999,24981,0.14497,0.15381
2017,East,Born in Germany or immigrated <1950,0.81098,5294,6279,0.80129,0.82066
2017,East,Not born in Germany,0.04320,985,6279,0.03817,0.04823
2018,West,Born in Germany or immigrated <1950,0.69767,16303,23755,0.69182,0.70351
2018,West,Not born in Germany,0.15373,7452,23755,0.14914,0.15831
2018,East,Born in Germany or immigrated <1950,0.81425,5222,6134,0.80452,0.82399
2018,East,Not born in Germany,0.04249,912,6134,0.03744,0.04754
2019,West,Born in Germany or immigrated <1950,0.69275,16866,23612,0.68687,0.69864
2019,West,Not born in Germany,0.15368,6746,23612,0.14908,0.15828
2019,East,Born in Germany or immigrated <1950,0.81558,5356,6141,0.80588,0.82528
2019,East,Not born in Germany,0.04231,785,6141,0.03727,0.04734
2020,West,Born in Germany or immigrated <1950,0.70136,15611,24065,0.69557,0.70714
2020,West,Not born in Germany,0.14190,8454,24065,0.13749,0.14631
2020,East,Born in Germany or immigrated <1950,0.81778,4920,5947,0.80797,0.82759
2020,East,Not born in Germany,0.03989,1027,5947,0.03492,0.04486
2021,West,Born in Germany or immigrated <1950,0.69427,11011,15953,0.68712,0.70142
2021,West,Not born in Germany,0.14571,4942,15953,0.14023,0.15118
2021,East,Born in Germany or immigrated <1950,0.79855,3420,3978,0.78609,0.81102
2021,East,Not born in Germany,0.04960,558,3978,0.04285,0.05635
