year,age_gr,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,17-29 y.,Born in Germany or immigrated <1950,0.90913,2946,3575,0.89970,0.91855
1992,17-29 y.,Not born in Germany,0.09087,629,3575,0.08145,0.10030
1992,30-45 y.,Born in Germany or immigrated <1950,0.88614,3469,4261,0.87660,0.89568
1992,30-45 y.,Not born in Germany,0.11386,792,4261,0.10432,0.12340
1992,46-65 y.,Born in Germany or immigrated <1950,0.85912,3037,4032,0.84838,0.86986
1992,46-65 y.,Not born in Germany,0.14088,995,4032,0.13014,0.15162
1992,66 and older,Born in Germany or immigrated <1950,0.92780,1313,1449,0.91447,0.94113
1992,66 and older,Not born in Germany,0.07220,136,1449,0.05887,0.08553
1993,17-29 y.,Born in Germany or immigrated <1950,0.90332,2901,3484,0.89350,0.91313
1993,17-29 y.,Not born in Germany,0.09668,583,3484,0.08687,0.10650
1993,30-45 y.,Born in Germany or immigrated <1950,0.88684,3445,4198,0.87726,0.89642
1993,30-45 y.,Not born in Germany,0.11316,753,4198,0.10358,0.12274
1993,46-65 y.,Born in Germany or immigrated <1950,0.84955,2963,3950,0.83840,0.86070
1993,46-65 y.,Not born in Germany,0.15045,987,3950,0.13930,0.16160
1993,66 and older,Born in Germany or immigrated <1950,0.91959,1317,1471,0.90569,0.93349
1993,66 and older,Not born in Germany,0.08041,154,1471,0.06651,0.09431
1994,17-29 y.,Born in Germany or immigrated <1950,0.90075,2823,3345,0.89061,0.91088
1994,17-29 y.,Not born in Germany,0.09925,522,3345,0.08912,0.10939
1994,30-45 y.,Born in Germany or immigrated <1950,0.88427,3435,4148,0.87453,0.89400
1994,30-45 y.,Not born in Germany,0.11573,713,4148,0.10600,0.12547
1994,46-65 y.,Born in Germany or immigrated <1950,0.84679,2937,3889,0.83547,0.85811
1994,46-65 y.,Not born in Germany,0.15321,952,3889,0.14189,0.16453
1994,66 and older,Born in Germany or immigrated <1950,0.90994,1321,1492,0.89541,0.92447
1994,66 and older,Not born in Germany,0.09006,171,1492,0.07553,0.10459
1995,17-29 y.,Born in Germany or immigrated <1950,0.86706,2753,3357,0.85557,0.87854
1995,17-29 y.,Not born in Germany,0.13294,604,3357,0.12146,0.14443
1995,30-45 y.,Born in Germany or immigrated <1950,0.85201,3517,4440,0.84156,0.86245
1995,30-45 y.,Not born in Germany,0.14799,923,4440,0.13755,0.15844
1995,46-65 y.,Born in Germany or immigrated <1950,0.83917,2925,3967,0.82774,0.85060
1995,46-65 y.,Not born in Germany,0.16083,1042,3967,0.14940,0.17226
1995,66 and older,Born in Germany or immigrated <1950,0.89609,1310,1522,0.88076,0.91143
1995,66 and older,Not born in Germany,0.10391,212,1522,0.08857,0.11924
1996,17-29 y.,Born in Germany or immigrated <1950,0.86391,2628,3163,0.85196,0.87587
1996,17-29 y.,Not born in Germany,0.13609,535,3163,0.12413,0.14804
1996,30-45 y.,Born in Germany or immigrated <1950,0.86131,3582,4436,0.85114,0.87148
1996,30-45 y.,Not born in Germany,0.13869,854,4436,0.12852,0.14886
1996,46-65 y.,Born in Germany or immigrated <1950,0.83944,2919,3901,0.82792,0.85096
1996,46-65 y.,Not born in Germany,0.16056,982,3901,0.14904,0.17208
1996,66 and older,Born in Germany or immigrated <1950,0.88977,1321,1548,0.87417,0.90538
1996,66 and older,Not born in Germany,0.11023,227,1548,0.09462,0.12583
1997,17-29 y.,Born in Germany or immigrated <1950,0.86414,2552,3030,0.85194,0.87634
1997,17-29 y.,Not born in Germany,0.13586,478,3030,0.12366,0.14806
1997,30-45 y.,Born in Germany or immigrated <1950,0.86615,3544,4366,0.85605,0.87625
1997,30-45 y.,Not born in Germany,0.13385,822,4366,0.12375,0.14395
1997,46-65 y.,Born in Germany or immigrated <1950,0.83574,2913,3852,0.82404,0.84744
1997,46-65 y.,Not born in Germany,0.16426,939,3852,0.15256,0.17596
1997,66 and older,Born in Germany or immigrated <1950,0.89128,1349,1582,0.87593,0.90662
1997,66 and older,Not born in Germany,0.10872,233,1582,0.09338,0.12407
1998,17-29 y.,Born in Germany or immigrated <1950,0.87380,2730,3165,0.86222,0.88537
1998,17-29 y.,Not born in Germany,0.12620,435,3165,0.11463,0.13778
1998,30-45 y.,Born in Germany or immigrated <1950,0.86884,4042,4828,0.85932,0.87836
1998,30-45 y.,Not born in Germany,0.13116,786,4828,0.12164,0.14068
1998,46-65 y.,Born in Germany or immigrated <1950,0.84079,3462,4392,0.82997,0.85161
1998,46-65 y.,Not born in Germany,0.15921,930,4392,0.14839,0.17003
1998,66 and older,Born in Germany or immigrated <1950,0.89547,1607,1855,0.88155,0.90940
1998,66 and older,Not born in Germany,0.10453,248,1855,0.09060,0.11845
1999,17-29 y.,Born in Germany or immigrated <1950,0.88242,2605,2973,0.87083,0.89400
1999,17-29 y.,Not born in Germany,0.11758,368,2973,0.10600,0.12917
1999,30-45 y.,Born in Germany or immigrated <1950,0.87044,3973,4714,0.86086,0.88003
1999,30-45 y.,Not born in Germany,0.12956,741,4714,0.11997,0.13914
1999,46-65 y.,Born in Germany or immigrated <1950,0.84460,3341,4188,0.83363,0.85558
1999,46-65 y.,Not born in Germany,0.15540,847,4188,0.14442,0.16637
1999,66 and older,Born in Germany or immigrated <1950,0.88970,1551,1799,0.87522,0.90418
1999,66 and older,Not born in Germany,0.11030,248,1799,0.09582,0.12478
2000,17-29 y.,Born in Germany or immigrated <1950,0.86041,3991,4582,0.85037,0.87045
2000,17-29 y.,Not born in Germany,0.13959,591,4582,0.12955,0.14963
2000,30-45 y.,Born in Germany or immigrated <1950,0.86416,6990,8167,0.85672,0.87159
2000,30-45 y.,Not born in Germany,0.13584,1177,8167,0.12841,0.14328
2000,46-65 y.,Born in Germany or immigrated <1950,0.86070,6584,7766,0.85300,0.86841
2000,46-65 y.,Not born in Germany,0.13930,1182,7766,0.13159,0.14700
2000,66 and older,Born in Germany or immigrated <1950,0.90914,3242,3597,0.89975,0.91854
2000,66 and older,Not born in Germany,0.09086,355,3597,0.08146,0.10025
2001,17-29 y.,Born in Germany or immigrated <1950,0.85824,3602,4099,0.84756,0.86892
2001,17-29 y.,Not born in Germany,0.14176,497,4099,0.13108,0.15244
2001,30-45 y.,Born in Germany or immigrated <1950,0.86500,6289,7329,0.85718,0.87283
2001,30-45 y.,Not born in Germany,0.13500,1040,7329,0.12717,0.14282
2001,46-65 y.,Born in Germany or immigrated <1950,0.86604,6050,7094,0.85812,0.87397
2001,46-65 y.,Not born in Germany,0.13396,1044,7094,0.12603,0.14188
2001,66 and older,Born in Germany or immigrated <1950,0.91250,3064,3399,0.90300,0.92200
2001,66 and older,Not born in Germany,0.08750,335,3399,0.07800,0.09700
2002,17-29 y.,Born in Germany or immigrated <1950,0.85726,3701,4142,0.84660,0.86791
2002,17-29 y.,Not born in Germany,0.14274,441,4142,0.13209,0.15340
2002,30-45 y.,Born in Germany or immigrated <1950,0.86342,6470,7440,0.85562,0.87123
2002,30-45 y.,Not born in Germany,0.13658,970,7440,0.12877,0.14438
2002,46-65 y.,Born in Germany or immigrated <1950,0.86210,6816,7854,0.85448,0.86973
2002,46-65 y.,Not born in Germany,0.13790,1038,7854,0.13027,0.14552
2002,66 and older,Born in Germany or immigrated <1950,0.90861,3243,3591,0.89918,0.91804
2002,66 and older,Not born in Germany,0.09139,348,3591,0.08196,0.10082
2003,17-29 y.,Born in Germany or immigrated <1950,0.86942,3627,4007,0.85899,0.87986
2003,17-29 y.,Not born in Germany,0.13058,380,4007,0.12014,0.14101
2003,30-45 y.,Born in Germany or immigrated <1950,0.85975,6043,6938,0.85157,0.86792
2003,30-45 y.,Not born in Germany,0.14025,895,6938,0.13208,0.14843
2003,46-65 y.,Born in Germany or immigrated <1950,0.85921,6584,7571,0.85138,0.86705
2003,46-65 y.,Not born in Germany,0.14079,987,7571,0.13295,0.14862
2003,66 and older,Born in Germany or immigrated <1950,0.90646,3293,3650,0.89701,0.91591
2003,66 and older,Not born in Germany,0.09354,357,3650,0.08409,0.10299
2004,17-29 y.,Born in Germany or immigrated <1950,0.87057,3586,3960,0.86011,0.88102
2004,17-29 y.,Not born in Germany,0.12943,374,3960,0.11898,0.13989
2004,30-45 y.,Born in Germany or immigrated <1950,0.85610,5681,6530,0.84759,0.86462
2004,30-45 y.,Not born in Germany,0.14390,849,6530,0.13538,0.15241
2004,46-65 y.,Born in Germany or immigrated <1950,0.85398,6412,7365,0.84591,0.86205
2004,46-65 y.,Not born in Germany,0.14602,953,7365,0.13795,0.15409
2004,66 and older,Born in Germany or immigrated <1950,0.90738,3397,3759,0.89811,0.91664
2004,66 and older,Not born in Germany,0.09262,362,3759,0.08336,0.10189
2005,17-29 y.,Born in Germany or immigrated <1950,0.88773,3513,3829,0.87773,0.89773
2005,17-29 y.,Not born in Germany,0.11227,316,3829,0.10227,0.12227
2005,30-45 y.,Born in Germany or immigrated <1950,0.85277,5292,6089,0.84387,0.86167
2005,30-45 y.,Not born in Germany,0.14723,797,6089,0.13833,0.15613
2005,46-65 y.,Born in Germany or immigrated <1950,0.85064,6126,7016,0.84230,0.85898
2005,46-65 y.,Not born in Germany,0.14936,890,7016,0.14102,0.15770
2005,66 and older,Born in Germany or immigrated <1950,0.90218,3400,3765,0.89269,0.91167
2005,66 and older,Not born in Germany,0.09782,365,3765,0.08833,0.10731
2006,17-29 y.,Born in Germany or immigrated <1950,0.88352,3654,3984,0.87355,0.89348
2006,17-29 y.,Not born in Germany,0.11648,330,3984,0.10652,0.12645
2006,30-45 y.,Born in Germany or immigrated <1950,0.85369,5496,6281,0.84495,0.86243
2006,30-45 y.,Not born in Germany,0.14631,785,6281,0.13757,0.15505
2006,46-65 y.,Born in Germany or immigrated <1950,0.85069,6696,7577,0.84266,0.85871
2006,46-65 y.,Not born in Germany,0.14931,881,7577,0.14129,0.15734
2006,66 and older,Born in Germany or immigrated <1950,0.90579,4040,4429,0.89719,0.91440
2006,66 and older,Not born in Germany,0.09421,389,4429,0.08560,0.10281
2007,17-29 y.,Born in Germany or immigrated <1950,0.89653,3457,3739,0.88677,0.90630
2007,17-29 y.,Not born in Germany,0.10347,282,3739,0.09370,0.11323
2007,30-45 y.,Born in Germany or immigrated <1950,0.85824,5023,5710,0.84919,0.86729
2007,30-45 y.,Not born in Germany,0.14176,687,5710,0.13271,0.15081
2007,46-65 y.,Born in Germany or immigrated <1950,0.84782,6271,7060,0.83944,0.85620
2007,46-65 y.,Not born in Germany,0.15218,789,7060,0.14380,0.16056
2007,66 and older,Born in Germany or immigrated <1950,0.90343,3966,4341,0.89465,0.91222
2007,66 and older,Not born in Germany,0.09657,375,4341,0.08778,0.10535
2008,17-29 y.,Born in Germany or immigrated <1950,0.90127,3183,3412,0.89126,0.91128
2008,17-29 y.,Not born in Germany,0.09873,229,3412,0.08872,0.10874
2008,30-45 y.,Born in Germany or immigrated <1950,0.86057,4565,5170,0.85113,0.87001
2008,30-45 y.,Not born in Germany,0.13943,605,5170,0.12999,0.14887
2008,46-65 y.,Born in Germany or immigrated <1950,0.84978,5986,6694,0.84122,0.85834
2008,46-65 y.,Not born in Germany,0.15022,708,6694,0.14166,0.15878
2008,66 and older,Born in Germany or immigrated <1950,0.90112,3927,4295,0.89220,0.91005
2008,66 and older,Not born in Germany,0.09888,368,4295,0.08995,0.10780
2009,17-29 y.,Born in Germany or immigrated <1950,0.90971,2909,3091,0.89961,0.91982
2009,17-29 y.,Not born in Germany,0.09029,182,3091,0.08018,0.10039
2009,30-45 y.,Born in Germany or immigrated <1950,0.85941,4145,4676,0.84944,0.86937
2009,30-45 y.,Not born in Germany,0.14059,531,4676,0.13063,0.15056
2009,46-65 y.,Born in Germany or immigrated <1950,0.85763,5706,6325,0.84902,0.86624
2009,46-65 y.,Not born in Germany,0.14237,619,6325,0.13376,0.15098
2009,66 and older,Born in Germany or immigrated <1950,0.90558,3827,4162,0.89669,0.91446
2009,66 and older,Not born in Germany,0.09442,335,4162,0.08554,0.10331
2010,17-29 y.,Born in Germany or immigrated <1950,0.89719,3785,4282,0.88809,0.90629
2010,17-29 y.,Not born in Germany,0.10281,497,4282,0.09371,0.11191
2010,30-45 y.,Born in Germany or immigrated <1950,0.82769,7618,9071,0.81992,0.83547
2010,30-45 y.,Not born in Germany,0.17231,1453,9071,0.16453,0.18008
2010,46-65 y.,Born in Germany or immigrated <1950,0.85364,6257,6952,0.84533,0.86195
2010,46-65 y.,Not born in Germany,0.14636,695,6952,0.13805,0.15467
2010,66 and older,Born in Germany or immigrated <1950,0.89993,3708,4024,0.89066,0.90920
2010,66 and older,Not born in Germany,0.10007,316,4024,0.09080,0.10934
2011,17-29 y.,Born in Germany or immigrated <1950,0.89534,4240,4702,0.88659,0.90409
2011,17-29 y.,Not born in Germany,0.10466,462,4702,0.09591,0.11341
2011,30-45 y.,Born in Germany or immigrated <1950,0.83752,8437,9931,0.83027,0.84478
2011,30-45 y.,Not born in Germany,0.16248,1494,9931,0.15522,0.16973
2011,46-65 y.,Born in Germany or immigrated <1950,0.85938,8176,9126,0.85225,0.86651
2011,46-65 y.,Not born in Germany,0.14062,950,9126,0.13349,0.14775
2011,66 and older,Born in Germany or immigrated <1950,0.90080,4722,5142,0.89262,0.90897
2011,66 and older,Not born in Germany,0.09920,420,5142,0.09103,0.10738
2012,17-29 y.,Born in Germany or immigrated <1950,0.88755,4105,4513,0.87833,0.89677
2012,17-29 y.,Not born in Germany,0.11245,408,4513,0.10323,0.12167
2012,30-45 y.,Born in Germany or immigrated <1950,0.82184,7677,9075,0.81397,0.82972
2012,30-45 y.,Not born in Germany,0.17816,1398,9075,0.17028,0.18603
2012,46-65 y.,Born in Germany or immigrated <1950,0.85958,8444,9375,0.85255,0.86661
2012,46-65 y.,Not born in Germany,0.14042,931,9375,0.13339,0.14745
2012,66 and older,Born in Germany or immigrated <1950,0.89398,4788,5204,0.88562,0.90235
2012,66 and older,Not born in Germany,0.10602,416,5204,0.09765,0.11438
2013,17-29 y.,Born in Germany or immigrated <1950,0.87166,4474,5586,0.86289,0.88043
2013,17-29 y.,Not born in Germany,0.12834,1112,5586,0.11957,0.13711
2013,30-45 y.,Born in Germany or immigrated <1950,0.79098,7327,10363,0.78315,0.79881
2013,30-45 y.,Not born in Germany,0.20902,3036,10363,0.20119,0.21685
2013,46-65 y.,Born in Germany or immigrated <1950,0.86477,8276,10190,0.85813,0.87141
2013,46-65 y.,Not born in Germany,0.13523,1914,10190,0.12859,0.14187
2013,66 and older,Born in Germany or immigrated <1950,0.91253,4589,5045,0.90473,0.92033
2013,66 and older,Not born in Germany,0.08747,456,5045,0.07967,0.09527
2014,17-29 y.,Born in Germany or immigrated <1950,0.87623,4029,4871,0.86698,0.88548
2014,17-29 y.,Not born in Germany,0.12377,842,4871,0.11452,0.13302
2014,30-45 y.,Born in Germany or immigrated <1950,0.78207,6132,8519,0.77330,0.79084
2014,30-45 y.,Not born in Germany,0.21793,2387,8519,0.20916,0.22670
2014,46-65 y.,Born in Germany or immigrated <1950,0.86415,7716,9313,0.85719,0.87111
2014,46-65 y.,Not born in Germany,0.13585,1597,9313,0.12889,0.14281
2014,66 and older,Born in Germany or immigrated <1950,0.91328,4505,4952,0.90544,0.92112
2014,66 and older,Not born in Germany,0.08672,447,4952,0.07888,0.09456
2015,17-29 y.,Born in Germany or immigrated <1950,0.86327,3887,5018,0.85376,0.87277
2015,17-29 y.,Not born in Germany,0.13673,1131,5018,0.12723,0.14624
2015,30-45 y.,Born in Germany or immigrated <1950,0.77492,5466,8287,0.76593,0.78391
2015,30-45 y.,Not born in Germany,0.22508,2821,8287,0.21609,0.23407
2015,46-65 y.,Born in Germany or immigrated <1950,0.85668,7479,9137,0.84949,0.86386
2015,46-65 y.,Not born in Germany,0.14332,1658,9137,0.13614,0.15051
2015,66 and older,Born in Germany or immigrated <1950,0.91320,4459,4901,0.90532,0.92109
2015,66 and older,Not born in Germany,0.08680,442,4901,0.07891,0.09468
2016,17-29 y.,Born in Germany or immigrated <1950,0.86815,3604,5573,0.85927,0.87704
2016,17-29 y.,Not born in Germany,0.13185,1969,5573,0.12296,0.14073
2016,30-45 y.,Born in Germany or immigrated <1950,0.77538,4828,8627,0.76657,0.78419
2016,30-45 y.,Not born in Germany,0.22462,3799,8627,0.21581,0.23343
2016,46-65 y.,Born in Germany or immigrated <1950,0.84645,7071,9035,0.83902,0.85388
2016,46-65 y.,Not born in Germany,0.15355,1964,9035,0.14612,0.16098
2016,66 and older,Born in Germany or immigrated <1950,0.90430,4305,4738,0.89592,0.91268
2016,66 and older,Not born in Germany,0.09570,433,4738,0.08732,0.10408
2017,17-29 y.,Born in Germany or immigrated <1950,0.87766,4225,6555,0.86973,0.88560
2017,17-29 y.,Not born in Germany,0.12234,2330,6555,0.11440,0.13027
2017,30-45 y.,Born in Germany or immigrated <1950,0.77031,5155,9131,0.76168,0.77893
2017,30-45 y.,Not born in Germany,0.22969,3976,9131,0.22107,0.23832
2017,46-65 y.,Born in Germany or immigrated <1950,0.84159,8377,10581,0.83464,0.84855
2017,46-65 y.,Not born in Germany,0.15841,2204,10581,0.15145,0.16536
2017,66 and older,Born in Germany or immigrated <1950,0.90274,4519,4993,0.89453,0.91096
2017,66 and older,Not born in Germany,0.09726,474,4993,0.08904,0.10547
2018,17-29 y.,Born in Germany or immigrated <1950,0.88260,4160,6168,0.87457,0.89064
2018,17-29 y.,Not born in Germany,0.11740,2008,6168,0.10936,0.12543
2018,30-45 y.,Born in Germany or immigrated <1950,0.75911,4782,8444,0.74999,0.76823
2018,30-45 y.,Not born in Germany,0.24089,3662,8444,0.23177,0.25001
2018,46-65 y.,Born in Germany or immigrated <1950,0.84221,8048,10260,0.83516,0.84926
2018,46-65 y.,Not born in Germany,0.15779,2212,10260,0.15074,0.16484
2018,66 and older,Born in Germany or immigrated <1950,0.89423,4535,5017,0.88572,0.90274
2018,66 and older,Not born in Germany,0.10577,482,5017,0.09726,0.11428
2019,17-29 y.,Born in Germany or immigrated <1950,0.88103,3957,5599,0.87255,0.88951
2019,17-29 y.,Not born in Germany,0.11897,1642,5599,0.11049,0.12745
2019,30-45 y.,Born in Germany or immigrated <1950,0.76746,4690,7963,0.75818,0.77673
2019,30-45 y.,Not born in Germany,0.23254,3273,7963,0.22327,0.24182
2019,46-65 y.,Born in Germany or immigrated <1950,0.83368,8914,11061,0.82674,0.84062
2019,46-65 y.,Not born in Germany,0.16632,2147,11061,0.15938,0.17326
2019,66 and older,Born in Germany or immigrated <1950,0.89844,4734,5206,0.89023,0.90664
2019,66 and older,Not born in Germany,0.10156,472,5206,0.09336,0.10977
2020,17-29 y.,Born in Germany or immigrated <1950,0.89636,3673,6065,0.88869,0.90404
2020,17-29 y.,Not born in Germany,0.10364,2392,6065,0.09596,0.11131
2020,30-45 y.,Born in Germany or immigrated <1950,0.77553,4235,8500,0.76666,0.78440
2020,30-45 y.,Not born in Germany,0.22447,4265,8500,0.21560,0.23334
2020,46-65 y.,Born in Germany or immigrated <1950,0.84932,8179,10522,0.84249,0.85616
2020,46-65 y.,Not born in Germany,0.15068,2343,10522,0.14384,0.15751
2020,66 and older,Born in Germany or immigrated <1950,0.90586,4444,4925,0.89771,0.91402
2020,66 and older,Not born in Germany,0.09414,481,4925,0.08598,0.10229
2021,17-29 y.,Born in Germany or immigrated <1950,0.88093,2448,3646,0.87042,0.89144
2021,17-29 y.,Not born in Germany,0.11907,1198,3646,0.10856,0.12958
2021,30-45 y.,Born in Germany or immigrated <1950,0.77962,2929,5355,0.76851,0.79072
2021,30-45 y.,Not born in Germany,0.22038,2426,5355,0.20928,0.23149
2021,46-65 y.,Born in Germany or immigrated <1950,0.83725,5797,7334,0.82880,0.84570
2021,46-65 y.,Not born in Germany,0.16275,1537,7334,0.15430,0.17120
2021,66 and older,Born in Germany or immigrated <1950,0.90348,3257,3596,0.89382,0.91313
2021,66 and older,Not born in Germany,0.09652,339,3596,0.08687,0.10618
