year,sex,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,male,Born in Germany or immigrated <1950,0.69485,4958,6209,0.68340,0.70631
1997,male,Not born in Germany,0.11821,1251,6209,0.11018,0.12624
1997,female,Born in Germany or immigrated <1950,0.72369,5400,6621,0.71292,0.73446
1997,female,Not born in Germany,0.11123,1221,6621,0.10366,0.11881
1998,male,Born in Germany or immigrated <1950,0.70307,5677,6889,0.69228,0.71386
1998,male,Not born in Germany,0.11415,1212,6889,0.10664,0.12166
1998,female,Born in Germany or immigrated <1950,0.72704,6164,7351,0.71686,0.73722
1998,female,Not born in Germany,0.10782,1187,7351,0.10073,0.11491
1999,male,Born in Germany or immigrated <1950,0.70810,5501,6609,0.69714,0.71906
1999,male,Not born in Germany,0.11222,1108,6609,0.10461,0.11983
1999,female,Born in Germany or immigrated <1950,0.72873,5969,7065,0.71836,0.73910
1999,female,Not born in Germany,0.10657,1096,7065,0.09937,0.11376
2000,male,Born in Germany or immigrated <1950,0.71130,9963,11586,0.70305,0.71956
2000,male,Not born in Germany,0.10713,1623,11586,0.10150,0.11276
2000,female,Born in Germany or immigrated <1950,0.73078,10844,12526,0.72301,0.73854
2000,female,Not born in Germany,0.10604,1682,12526,0.10065,0.11143
2001,male,Born in Germany or immigrated <1950,0.71600,9095,10525,0.70738,0.72461
2001,male,Not born in Germany,0.10500,1430,10525,0.09914,0.11085
2001,female,Born in Germany or immigrated <1950,0.73250,9910,11396,0.72437,0.74063
2001,female,Not born in Germany,0.10428,1486,11396,0.09867,0.10989
2002,male,Born in Germany or immigrated <1950,0.71656,9767,11128,0.70818,0.72493
2002,male,Not born in Germany,0.10597,1361,11128,0.10025,0.11169
2002,female,Born in Germany or immigrated <1950,0.73175,10463,11899,0.72378,0.73971
2002,female,Not born in Germany,0.10781,1436,11899,0.10223,0.11338
2003,male,Born in Germany or immigrated <1950,0.71866,9413,10677,0.71013,0.72719
2003,male,Not born in Germany,0.10639,1264,10677,0.10054,0.11224
2003,female,Born in Germany or immigrated <1950,0.73221,10134,11489,0.72412,0.74031
2003,female,Not born in Germany,0.10818,1355,11489,0.10250,0.11386
2004,male,Born in Germany or immigrated <1950,0.72133,9163,10381,0.71270,0.72995
2004,male,Not born in Germany,0.10841,1218,10381,0.10243,0.11439
2004,female,Born in Germany or immigrated <1950,0.73362,9913,11233,0.72545,0.74180
2004,female,Not born in Germany,0.11053,1320,11233,0.10473,0.11633
2005,male,Born in Germany or immigrated <1950,0.72593,8783,9899,0.71715,0.73472
2005,male,Not born in Germany,0.10738,1116,9899,0.10128,0.11348
2005,female,Born in Germany or immigrated <1950,0.73706,9548,10800,0.72875,0.74536
2005,female,Not born in Germany,0.11285,1252,10800,0.10689,0.11882
2006,male,Born in Germany or immigrated <1950,0.73078,9524,10631,0.72234,0.73921
2006,male,Not born in Germany,0.10586,1107,10631,0.10001,0.11171
2006,female,Born in Germany or immigrated <1950,0.73663,10362,11640,0.72863,0.74463
2006,female,Not born in Germany,0.11362,1278,11640,0.10785,0.11938
2007,male,Born in Germany or immigrated <1950,0.73549,8967,9952,0.72682,0.74415
2007,male,Not born in Germany,0.10425,985,9952,0.09824,0.11025
2007,female,Born in Germany or immigrated <1950,0.74346,9750,10898,0.73526,0.75166
2007,female,Not born in Germany,0.11221,1148,10898,0.10628,0.11814
2008,male,Born in Germany or immigrated <1950,0.73851,8453,9336,0.72960,0.74743
2008,male,Not born in Germany,0.10445,883,9336,0.09825,0.11066
2008,female,Born in Germany or immigrated <1950,0.74911,9208,10235,0.74071,0.75751
2008,female,Not born in Germany,0.11013,1027,10235,0.10407,0.11620
2009,male,Born in Germany or immigrated <1950,0.74780,7964,8728,0.73868,0.75691
2009,male,Not born in Germany,0.09922,764,8728,0.09295,0.10549
2009,female,Born in Germany or immigrated <1950,0.75248,8623,9526,0.74381,0.76115
2009,female,Not born in Germany,0.10771,903,9526,0.10148,0.11393
2010,male,Born in Germany or immigrated <1950,0.73868,9767,11087,0.73050,0.74686
2010,male,Not born in Germany,0.10815,1320,11087,0.10237,0.11393
2010,female,Born in Germany or immigrated <1950,0.73841,11601,13242,0.73092,0.74590
2010,female,Not born in Germany,0.12126,1641,13242,0.11570,0.12682
2011,male,Born in Germany or immigrated <1950,0.73831,11665,13129,0.73079,0.74583
2011,male,Not born in Germany,0.10374,1464,13129,0.09852,0.10895
2011,female,Born in Germany or immigrated <1950,0.73896,13910,15772,0.73211,0.74582
2011,female,Not born in Germany,0.11690,1862,15772,0.11188,0.12191
2012,male,Born in Germany or immigrated <1950,0.73186,11422,12813,0.72419,0.73953
2012,male,Not born in Germany,0.11108,1391,12813,0.10564,0.11652
2012,female,Born in Germany or immigrated <1950,0.73616,13592,15354,0.72919,0.74313
2012,female,Not born in Germany,0.12118,1762,15354,0.11602,0.12634
2013,male,Born in Germany or immigrated <1950,0.72698,11332,14255,0.71967,0.73429
2013,male,Not born in Germany,0.11724,2923,14255,0.11196,0.12252
2013,female,Born in Germany or immigrated <1950,0.73652,13334,16929,0.72988,0.74316
2013,female,Not born in Germany,0.12207,3595,16929,0.11714,0.12700
2014,male,Born in Germany or immigrated <1950,0.72821,10336,12724,0.72048,0.73594
2014,male,Not born in Germany,0.11955,2388,12724,0.11391,0.12519
2014,female,Born in Germany or immigrated <1950,0.73608,12046,14931,0.72901,0.74315
2014,female,Not born in Germany,0.12166,2885,14931,0.11641,0.12690
2015,male,Born in Germany or immigrated <1950,0.72268,9819,12586,0.71486,0.73051
2015,male,Not born in Germany,0.12519,2767,12586,0.11941,0.13097
2015,female,Born in Germany or immigrated <1950,0.73258,11472,14757,0.72544,0.73973
2015,female,Not born in Germany,0.12715,3285,14757,0.12177,0.13252
2016,male,Born in Germany or immigrated <1950,0.71532,9128,13231,0.70763,0.72301
2016,male,Not born in Germany,0.12928,4103,13231,0.12357,0.13500
2016,female,Born in Germany or immigrated <1950,0.72829,10680,14742,0.72111,0.73548
2016,female,Not born in Germany,0.13105,4062,14742,0.12560,0.13650
2017,male,Born in Germany or immigrated <1950,0.71669,10382,14887,0.70945,0.72393
2017,male,Not born in Germany,0.12626,4505,14887,0.12092,0.13159
2017,female,Born in Germany or immigrated <1950,0.72011,11894,16373,0.71324,0.72699
2017,female,Not born in Germany,0.13606,4479,16373,0.13081,0.14132
2018,male,Born in Germany or immigrated <1950,0.71474,10012,14256,0.70733,0.72215
2018,male,Not born in Germany,0.13094,4244,14256,0.12540,0.13648
2018,female,Born in Germany or immigrated <1950,0.72076,11513,15633,0.71373,0.72779
2018,female,Not born in Germany,0.13825,4120,15633,0.13283,0.14366
2019,male,Born in Germany or immigrated <1950,0.71000,10769,14629,0.70265,0.71736
2019,male,Not born in Germany,0.13226,3860,14629,0.12677,0.13775
2019,female,Born in Germany or immigrated <1950,0.71768,11519,15193,0.71053,0.72484
2019,female,Not born in Germany,0.13712,3674,15193,0.13165,0.14259
2020,male,Born in Germany or immigrated <1950,0.71625,9752,14921,0.70902,0.72348
2020,male,Not born in Germany,0.12355,5169,14921,0.11827,0.12883
2020,female,Born in Germany or immigrated <1950,0.72681,10771,15083,0.71970,0.73392
2020,female,Not born in Germany,0.12530,4312,15083,0.12002,0.13058
2021,male,Born in Germany or immigrated <1950,0.70747,6824,9678,0.69841,0.71654
2021,male,Not born in Germany,0.12776,2854,9678,0.12111,0.13441
2021,female,Born in Germany or immigrated <1950,0.71622,7600,10246,0.70749,0.72495
2021,female,Not born in Germany,0.13114,2646,10246,0.12460,0.13767
