year,age_gr,sampreg,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,30-45 y.,East,Born in Germany or immigrated <1950,0.97863,1486,1486,0.97127,0.98598
1990,46-65 y.,West,Born in Germany or immigrated <1950,0.86114,2005,2914,0.84859,0.87370
1990,46-65 y.,West,Not born in Germany,0.13886,909,2914,0.12630,0.15141
1990,46-65 y.,East,Born in Germany or immigrated <1950,0.94044,1266,1348,0.92780,0.95308
1990,46-65 y.,East,Not born in Germany,0.05956,82,1348,0.04692,0.07220
1990,66 and older,West,Born in Germany or immigrated <1950,0.94163,958,1040,0.92738,0.95589
1990,66 and older,West,Not born in Germany,0.05837,82,1040,0.04411,0.07262
1990,66 and older,East,Born in Germany or immigrated <1950,0.94738,399,399,0.92545,0.96932
1991,17-29 y.,West,Born in Germany or immigrated <1950,0.89510,2057,2713,0.88357,0.90663
1991,17-29 y.,West,Not born in Germany,0.10490,656,2713,0.09337,0.11643
1991,17-29 y.,East,Born in Germany or immigrated <1950,0.98539,974,974,0.97785,0.99293
1991,30-45 y.,West,Born in Germany or immigrated <1950,0.86508,2014,2826,0.85248,0.87768
1991,30-45 y.,West,Not born in Germany,0.13492,812,2826,0.12232,0.14752
1991,30-45 y.,East,Born in Germany or immigrated <1950,0.98075,1465,1465,0.97371,0.98779
1991,46-65 y.,West,Born in Germany or immigrated <1950,0.84876,1938,2856,0.83562,0.86191
1991,46-65 y.,West,Not born in Germany,0.15124,918,2856,0.13809,0.16438
1991,46-65 y.,East,Born in Germany or immigrated <1950,0.93329,1193,1276,0.91960,0.94699
1991,46-65 y.,East,Not born in Germany,0.06671,83,1276,0.05301,0.08040
1991,66 and older,West,Born in Germany or immigrated <1950,0.93109,956,1053,0.91578,0.94639
1991,66 and older,West,Not born in Germany,0.06891,97,1053,0.05361,0.08422
1991,66 and older,East,Born in Germany or immigrated <1950,0.93885,367,367,0.91430,0.96339
1992,17-29 y.,West,Born in Germany or immigrated <1950,0.88921,2040,2661,0.87728,0.90114
1992,17-29 y.,West,Not born in Germany,0.11079,621,2661,0.09886,0.12272
1992,17-29 y.,East,Born in Germany or immigrated <1950,0.98710,906,906,0.97975,0.99445
1992,30-45 y.,West,Born in Germany or immigrated <1950,0.86325,2059,2825,0.85058,0.87592
1992,30-45 y.,West,Not born in Germany,0.13675,766,2825,0.12408,0.14942
1992,30-45 y.,East,Born in Germany or immigrated <1950,0.97865,1410,1410,0.97110,0.98620
1992,46-65 y.,West,Born in Germany or immigrated <1950,0.84026,1887,2797,0.82668,0.85384
1992,46-65 y.,West,Not born in Germany,0.15974,910,2797,0.14616,0.17332
1992,46-65 y.,East,Born in Germany or immigrated <1950,0.92719,1150,1235,0.91269,0.94168
1992,46-65 y.,East,Not born in Germany,0.07281,85,1235,0.05832,0.08731
1992,66 and older,West,Born in Germany or immigrated <1950,0.92621,948,1058,0.91045,0.94197
1992,66 and older,West,Not born in Germany,0.07379,110,1058,0.05803,0.08955
1992,66 and older,East,Born in Germany or immigrated <1950,0.93525,365,365,0.90997,0.96053
1993,17-29 y.,West,Born in Germany or immigrated <1950,0.88233,2038,2616,0.86998,0.89468
1993,17-29 y.,West,Not born in Germany,0.11767,578,2616,0.10532,0.13002
1993,17-29 y.,East,Born in Germany or immigrated <1950,0.98762,863,863,0.98023,0.99500
1993,30-45 y.,West,Born in Germany or immigrated <1950,0.86291,2086,2815,0.85020,0.87562
1993,30-45 y.,West,Not born in Germany,0.13709,729,2815,0.12438,0.14980
1993,30-45 y.,East,Born in Germany or immigrated <1950,0.98136,1359,1359,0.97417,0.98855
1993,46-65 y.,West,Born in Germany or immigrated <1950,0.82745,1850,2760,0.81335,0.84155
1993,46-65 y.,West,Not born in Germany,0.17255,910,2760,0.15845,0.18665
1993,46-65 y.,East,Born in Germany or immigrated <1950,0.93122,1113,1190,0.91683,0.94560
1993,46-65 y.,East,Not born in Germany,0.06878,77,1190,0.05440,0.08317
1993,66 and older,West,Born in Germany or immigrated <1950,0.91879,958,1083,0.90251,0.93507
1993,66 and older,West,Not born in Germany,0.08121,125,1083,0.06493,0.09749
1993,66 and older,East,Born in Germany or immigrated <1950,0.92343,359,359,0.89588,0.95097
1994,17-29 y.,West,Born in Germany or immigrated <1950,0.88271,1988,2500,0.87010,0.89533
1994,17-29 y.,West,Not born in Germany,0.11729,512,2500,0.10467,0.12990
1994,17-29 y.,East,Born in Germany or immigrated <1950,0.97312,835,835,0.96214,0.98410
1994,30-45 y.,West,Born in Germany or immigrated <1950,0.86023,2113,2805,0.84740,0.87307
1994,30-45 y.,West,Not born in Germany,0.13977,692,2805,0.12693,0.15260
1994,30-45 y.,East,Born in Germany or immigrated <1950,0.98223,1322,1322,0.97510,0.98935
1994,46-65 y.,West,Born in Germany or immigrated <1950,0.82646,1828,2699,0.81217,0.84075
1994,46-65 y.,West,Not born in Germany,0.17354,871,2699,0.15925,0.18783
1994,46-65 y.,East,Born in Germany or immigrated <1950,0.92285,1109,1190,0.90768,0.93801
1994,46-65 y.,East,Not born in Germany,0.07715,81,1190,0.06199,0.09232
1994,66 and older,West,Born in Germany or immigrated <1950,0.90723,954,1094,0.89003,0.92443
1994,66 and older,West,Not born in Germany,0.09277,140,1094,0.07557,0.10997
1994,66 and older,East,Born in Germany or immigrated <1950,0.92262,367,398,0.89634,0.94891
1994,66 and older,East,Not born in Germany,0.07738,31,398,0.05109,0.10366
1995,17-29 y.,West,Born in Germany or immigrated <1950,0.83989,1930,2524,0.82558,0.85420
1995,17-29 y.,West,Not born in Germany,0.16011,594,2524,0.14580,0.17442
1995,17-29 y.,East,Born in Germany or immigrated <1950,0.97766,823,823,0.96756,0.98776
1995,30-45 y.,West,Born in Germany or immigrated <1950,0.82291,2256,3159,0.80959,0.83622
1995,30-45 y.,West,Not born in Germany,0.17709,903,3159,0.16378,0.19041
1995,30-45 y.,East,Born in Germany or immigrated <1950,0.98148,1261,1261,0.97404,0.98893
1995,46-65 y.,West,Born in Germany or immigrated <1950,0.81700,1830,2793,0.80265,0.83134
1995,46-65 y.,West,Not born in Germany,0.18300,963,2793,0.16866,0.19735
1995,46-65 y.,East,Born in Germany or immigrated <1950,0.92295,1095,1174,0.90769,0.93821
1995,46-65 y.,East,Not born in Germany,0.07705,79,1174,0.06179,0.09231
1995,66 and older,West,Born in Germany or immigrated <1950,0.89107,939,1117,0.87279,0.90935
1995,66 and older,West,Not born in Germany,0.10893,178,1117,0.09065,0.12721
1995,66 and older,East,Born in Germany or immigrated <1950,0.91890,371,405,0.89228,0.94552
1995,66 and older,East,Not born in Germany,0.08110,34,405,0.05448,0.10772
1996,17-29 y.,West,Born in Germany or immigrated <1950,0.83344,1803,2329,0.81830,0.84857
1996,17-29 y.,West,Not born in Germany,0.16656,526,2329,0.15143,0.18170
1996,17-29 y.,East,Born in Germany or immigrated <1950,0.98439,825,825,0.97593,0.99285
1996,30-45 y.,West,Born in Germany or immigrated <1950,0.83441,2339,3176,0.82148,0.84734
1996,30-45 y.,West,Not born in Germany,0.16559,837,3176,0.15266,0.17852
1996,30-45 y.,East,Born in Germany or immigrated <1950,0.98289,1243,1243,0.97568,0.99010
1996,46-65 y.,West,Born in Germany or immigrated <1950,0.81910,1825,2729,0.80466,0.83355
1996,46-65 y.,West,Not born in Germany,0.18090,904,2729,0.16645,0.19534
1996,46-65 y.,East,Born in Germany or immigrated <1950,0.91976,1094,1172,0.90420,0.93532
1996,46-65 y.,East,Not born in Germany,0.08024,78,1172,0.06468,0.09580
1996,66 and older,West,Born in Germany or immigrated <1950,0.88471,939,1130,0.86608,0.90334
1996,66 and older,West,Not born in Germany,0.11529,191,1130,0.09666,0.13392
1996,66 and older,East,Born in Germany or immigrated <1950,0.91344,382,418,0.88645,0.94042
1996,66 and older,East,Not born in Germany,0.08656,36,418,0.05958,0.11355
1997,17-29 y.,West,Born in Germany or immigrated <1950,0.83320,1726,2196,0.81760,0.84879
1997,17-29 y.,West,Not born in Germany,0.16680,470,2196,0.15121,0.18240
1997,17-29 y.,East,Born in Germany or immigrated <1950,0.98433,826,826,0.97586,0.99281
1997,30-45 y.,West,Born in Germany or immigrated <1950,0.84039,2370,3177,0.82765,0.85313
1997,30-45 y.,West,Not born in Germany,0.15961,807,3177,0.14687,0.17235
1997,30-45 y.,East,Born in Germany or immigrated <1950,0.98383,1174,1174,0.97661,0.99104
1997,46-65 y.,West,Born in Germany or immigrated <1950,0.81344,1805,2676,0.79867,0.82820
1997,46-65 y.,West,Not born in Germany,0.18656,871,2676,0.17180,0.20133
1997,46-65 y.,East,Born in Germany or immigrated <1950,0.92414,1108,1176,0.90900,0.93928
1997,46-65 y.,East,Not born in Germany,0.07586,68,1176,0.06072,0.09100
1997,66 and older,West,Born in Germany or immigrated <1950,0.88696,952,1146,0.86862,0.90530
1997,66 and older,West,Not born in Germany,0.11304,194,1146,0.09470,0.13138
1997,66 and older,East,Born in Germany or immigrated <1950,0.91135,397,436,0.88464,0.93806
1997,66 and older,East,Not born in Germany,0.08865,39,436,0.06194,0.11536
1998,17-29 y.,West,Born in Germany or immigrated <1950,0.84533,1869,2295,0.83053,0.86012
1998,17-29 y.,West,Not born in Germany,0.15467,426,2295,0.13988,0.16947
1998,17-29 y.,East,Born in Germany or immigrated <1950,0.98251,861,861,0.97375,0.99127
1998,30-45 y.,West,Born in Germany or immigrated <1950,0.84175,2802,3580,0.82979,0.85371
1998,30-45 y.,West,Not born in Germany,0.15825,778,3580,0.14629,0.17021
1998,30-45 y.,East,Born in Germany or immigrated <1950,0.99282,1240,1240,0.98812,0.99752
1998,46-65 y.,West,Born in Germany or immigrated <1950,0.81713,2253,3120,0.80356,0.83069
1998,46-65 y.,West,Not born in Germany,0.18287,867,3120,0.16931,0.19644
1998,46-65 y.,East,Born in Germany or immigrated <1950,0.93400,1209,1272,0.92035,0.94765
1998,46-65 y.,East,Not born in Germany,0.06600,63,1272,0.05235,0.07965
1998,66 and older,West,Born in Germany or immigrated <1950,0.88962,1170,1380,0.87308,0.90616
1998,66 and older,West,Not born in Germany,0.11038,210,1380,0.09384,0.12692
1998,66 and older,East,Born in Germany or immigrated <1950,0.92206,437,475,0.89793,0.94619
1998,66 and older,East,Not born in Germany,0.07794,38,475,0.05381,0.10207
1999,17-29 y.,West,Born in Germany or immigrated <1950,0.85755,1779,2139,0.84273,0.87237
1999,17-29 y.,West,Not born in Germany,0.14245,360,2139,0.12763,0.15727
1999,17-29 y.,East,Born in Germany or immigrated <1950,0.98279,826,826,0.97391,0.99166
1999,30-45 y.,West,Born in Germany or immigrated <1950,0.84368,2755,3489,0.83163,0.85573
1999,30-45 y.,West,Not born in Germany,0.15632,734,3489,0.14427,0.16837
1999,30-45 y.,East,Born in Germany or immigrated <1950,0.99302,1218,1218,0.98835,0.99770
1999,46-65 y.,West,Born in Germany or immigrated <1950,0.82020,2157,2948,0.80634,0.83407
1999,46-65 y.,West,Not born in Germany,0.17980,791,2948,0.16593,0.19366
1999,46-65 y.,East,Born in Germany or immigrated <1950,0.94452,1184,1240,0.93177,0.95726
1999,46-65 y.,East,Not born in Germany,0.05548,56,1240,0.04274,0.06823
1999,66 and older,West,Born in Germany or immigrated <1950,0.88275,1105,1315,0.86535,0.90014
1999,66 and older,West,Not born in Germany,0.11725,210,1315,0.09986,0.13465
1999,66 and older,East,Born in Germany or immigrated <1950,0.92046,446,484,0.89633,0.94459
1999,66 and older,East,Not born in Germany,0.07954,38,484,0.05541,0.10367
2000,17-29 y.,West,Born in Germany or immigrated <1950,0.83049,2806,3379,0.81784,0.84314
2000,17-29 y.,West,Not born in Germany,0.16951,573,3379,0.15686,0.18216
2000,17-29 y.,East,Born in Germany or immigrated <1950,0.98025,1185,1185,0.97232,0.98817
2000,30-45 y.,West,Born in Germany or immigrated <1950,0.83778,5190,6345,0.82871,0.84685
2000,30-45 y.,West,Not born in Germany,0.16222,1155,6345,0.15315,0.17129
2000,30-45 y.,East,Born in Germany or immigrated <1950,0.98810,1800,1800,0.98309,0.99311
2000,46-65 y.,West,Born in Germany or immigrated <1950,0.83518,4693,5815,0.82564,0.84471
2000,46-65 y.,West,Not born in Germany,0.16482,1122,5815,0.15529,0.17436
2000,46-65 y.,East,Born in Germany or immigrated <1950,0.96597,1891,1951,0.95792,0.97402
2000,46-65 y.,East,Not born in Germany,0.03403,60,1951,0.02598,0.04208
2000,66 and older,West,Born in Germany or immigrated <1950,0.90183,2415,2721,0.89065,0.91301
2000,66 and older,West,Not born in Germany,0.09817,306,2721,0.08699,0.10935
2000,66 and older,East,Born in Germany or immigrated <1950,0.93809,827,876,0.92212,0.95406
2000,66 and older,East,Not born in Germany,0.06191,49,876,0.04594,0.07788
2001,17-29 y.,West,Born in Germany or immigrated <1950,0.82818,2511,2994,0.81467,0.84170
2001,17-29 y.,West,Not born in Germany,0.17182,483,2994,0.15830,0.18533
2001,17-29 y.,East,Born in Germany or immigrated <1950,0.97964,1091,1091,0.97125,0.98802
2001,30-45 y.,West,Born in Germany or immigrated <1950,0.83811,4652,5682,0.82853,0.84768
2001,30-45 y.,West,Not born in Germany,0.16189,1030,5682,0.15232,0.17147
2001,30-45 y.,East,Born in Germany or immigrated <1950,0.99289,1637,1637,0.98882,0.99696
2001,46-65 y.,West,Born in Germany or immigrated <1950,0.84140,4259,5251,0.83152,0.85129
2001,46-65 y.,West,Not born in Germany,0.15860,992,5251,0.14871,0.16848
2001,46-65 y.,East,Born in Germany or immigrated <1950,0.96906,1791,1843,0.96116,0.97697
2001,46-65 y.,East,Not born in Germany,0.03094,52,1843,0.02303,0.03884
2001,66 and older,West,Born in Germany or immigrated <1950,0.90562,2270,2559,0.89429,0.91695
2001,66 and older,West,Not born in Germany,0.09438,289,2559,0.08305,0.10571
2001,66 and older,East,Born in Germany or immigrated <1950,0.94007,794,840,0.92401,0.95613
2001,66 and older,East,Not born in Germany,0.05993,46,840,0.04387,0.07599
2002,17-29 y.,West,Born in Germany or immigrated <1950,0.82631,2636,3066,0.81290,0.83972
2002,17-29 y.,West,Not born in Germany,0.17369,430,3066,0.16028,0.18710
2002,17-29 y.,East,Born in Germany or immigrated <1950,0.98018,1065,1065,0.97181,0.98856
2002,30-45 y.,West,Born in Germany or immigrated <1950,0.83692,4896,5856,0.82745,0.84638
2002,30-45 y.,West,Not born in Germany,0.16308,960,5856,0.15362,0.17255
2002,30-45 y.,East,Born in Germany or immigrated <1950,0.98948,1574,1574,0.98444,0.99452
2002,46-65 y.,West,Born in Germany or immigrated <1950,0.83638,4981,5973,0.82700,0.84577
2002,46-65 y.,West,Not born in Germany,0.16362,992,5973,0.15423,0.17300
2002,46-65 y.,East,Born in Germany or immigrated <1950,0.97193,1835,1881,0.96446,0.97940
2002,46-65 y.,East,Not born in Germany,0.02807,46,1881,0.02060,0.03554
2002,66 and older,West,Born in Germany or immigrated <1950,0.90014,2403,2703,0.88884,0.91145
2002,66 and older,West,Not born in Germany,0.09986,300,2703,0.08855,0.11116
2002,66 and older,East,Born in Germany or immigrated <1950,0.94190,840,888,0.92650,0.95729
2002,66 and older,East,Not born in Germany,0.05810,48,888,0.04271,0.07350
2003,17-29 y.,West,Born in Germany or immigrated <1950,0.83919,2563,2937,0.82590,0.85248
2003,17-29 y.,West,Not born in Germany,0.16081,374,2937,0.14752,0.17410
2003,17-29 y.,East,Born in Germany or immigrated <1950,0.99335,1064,1064,0.98846,0.99823
2003,30-45 y.,West,Born in Germany or immigrated <1950,0.83333,4566,5450,0.82343,0.84322
2003,30-45 y.,West,Not born in Germany,0.16667,884,5450,0.15678,0.17657
2003,30-45 y.,East,Born in Germany or immigrated <1950,0.98774,1477,1477,0.98212,0.99335
2003,46-65 y.,West,Born in Germany or immigrated <1950,0.83171,4750,5694,0.82199,0.84143
2003,46-65 y.,West,Not born in Germany,0.16829,944,5694,0.15857,0.17801
2003,46-65 y.,East,Born in Germany or immigrated <1950,0.97363,1834,1877,0.96638,0.98088
2003,46-65 y.,East,Not born in Germany,0.02637,43,1877,0.01912,0.03362
2003,66 and older,West,Born in Germany or immigrated <1950,0.89580,2428,2741,0.88436,0.90724
2003,66 and older,West,Not born in Germany,0.10420,313,2741,0.09276,0.11564
2003,66 and older,East,Born in Germany or immigrated <1950,0.94933,865,909,0.93506,0.96359
2003,66 and older,East,Not born in Germany,0.05067,44,909,0.03641,0.06494
2004,17-29 y.,West,Born in Germany or immigrated <1950,0.83866,2519,2886,0.82523,0.85208
2004,17-29 y.,West,Not born in Germany,0.16134,367,2886,0.14792,0.17477
2004,17-29 y.,East,Born in Germany or immigrated <1950,0.99341,1067,1067,0.98856,0.99827
2004,30-45 y.,West,Born in Germany or immigrated <1950,0.83026,4317,5156,0.82001,0.84051
2004,30-45 y.,West,Not born in Germany,0.16974,839,5156,0.15949,0.17999
2004,30-45 y.,East,Born in Germany or immigrated <1950,0.98882,1364,1364,0.98324,0.99440
2004,46-65 y.,West,Born in Germany or immigrated <1950,0.82554,4627,5541,0.81554,0.83553
2004,46-65 y.,West,Not born in Germany,0.17446,914,5541,0.16447,0.18446
2004,46-65 y.,East,Born in Germany or immigrated <1950,0.97647,1785,1824,0.96951,0.98342
2004,46-65 y.,East,Not born in Germany,0.02353,39,1824,0.01658,0.03049
2004,66 and older,West,Born in Germany or immigrated <1950,0.89719,2491,2808,0.88596,0.90843
2004,66 and older,West,Not born in Germany,0.10281,317,2808,0.09157,0.11404
2004,66 and older,East,Born in Germany or immigrated <1950,0.94811,906,951,0.93400,0.96221
2004,66 and older,East,Not born in Germany,0.05189,45,951,0.03779,0.06600
2005,17-29 y.,West,Born in Germany or immigrated <1950,0.86467,2504,2813,0.85203,0.87731
2005,17-29 y.,West,Not born in Germany,0.13533,309,2813,0.12269,0.14797
2005,17-29 y.,East,Born in Germany or immigrated <1950,0.97924,1009,1009,0.97044,0.98805
2005,30-45 y.,West,Born in Germany or immigrated <1950,0.82724,4009,4794,0.81654,0.83795
2005,30-45 y.,West,Not born in Germany,0.17276,785,4794,0.16205,0.18346
2005,30-45 y.,East,Born in Germany or immigrated <1950,0.98332,1283,1283,0.97631,0.99033
2005,46-65 y.,West,Born in Germany or immigrated <1950,0.82082,4394,5248,0.81045,0.83120
2005,46-65 y.,West,Not born in Germany,0.17918,854,5248,0.16880,0.18955
2005,46-65 y.,East,Born in Germany or immigrated <1950,0.97774,1732,1768,0.97086,0.98462
2005,46-65 y.,East,Not born in Germany,0.02226,36,1768,0.01538,0.02914
2005,66 and older,West,Born in Germany or immigrated <1950,0.88990,2486,2807,0.87832,0.90149
2005,66 and older,West,Not born in Germany,0.11010,321,2807,0.09851,0.12168
2005,66 and older,East,Born in Germany or immigrated <1950,0.95085,914,958,0.93716,0.96455
2005,66 and older,East,Not born in Germany,0.04915,44,958,0.03545,0.06284
2006,17-29 y.,West,Born in Germany or immigrated <1950,0.86119,2616,2930,0.84867,0.87371
2006,17-29 y.,West,Not born in Germany,0.13881,314,2930,0.12629,0.15133
2006,17-29 y.,East,Born in Germany or immigrated <1950,0.96959,1038,1038,0.95914,0.98004
2006,30-45 y.,West,Born in Germany or immigrated <1950,0.83009,4195,4963,0.81965,0.84054
2006,30-45 y.,West,Not born in Germany,0.16991,768,4963,0.15946,0.18035
2006,30-45 y.,East,Born in Germany or immigrated <1950,0.97606,1301,1301,0.96775,0.98437
2006,46-65 y.,West,Born in Germany or immigrated <1950,0.81899,4858,5708,0.80900,0.82898
2006,46-65 y.,West,Not born in Germany,0.18101,850,5708,0.17102,0.19100
2006,46-65 y.,East,Born in Germany or immigrated <1950,0.98327,1838,1869,0.97745,0.98908
2006,46-65 y.,East,Not born in Germany,0.01673,31,1869,0.01092,0.02255
2006,66 and older,West,Born in Germany or immigrated <1950,0.89255,2961,3304,0.88199,0.90311
2006,66 and older,West,Not born in Germany,0.10745,343,3304,0.09689,0.11801
2006,66 and older,East,Born in Germany or immigrated <1950,0.95737,1079,1125,0.94556,0.96918
2006,66 and older,East,Not born in Germany,0.04263,46,1125,0.03082,0.05444
2007,17-29 y.,West,Born in Germany or immigrated <1950,0.87610,2487,2759,0.86380,0.88839
2007,17-29 y.,West,Not born in Germany,0.12390,272,2759,0.11161,0.13620
2007,17-29 y.,East,Born in Germany or immigrated <1950,0.97452,970,970,0.96460,0.98444
2007,30-45 y.,West,Born in Germany or immigrated <1950,0.83441,3814,4489,0.82354,0.84529
2007,30-45 y.,West,Not born in Germany,0.16559,675,4489,0.15471,0.17646
2007,30-45 y.,East,Born in Germany or immigrated <1950,0.98078,1209,1209,0.97304,0.98852
2007,46-65 y.,West,Born in Germany or immigrated <1950,0.81608,4531,5291,0.80564,0.82652
2007,46-65 y.,West,Not born in Germany,0.18392,760,5291,0.17348,0.19436
2007,46-65 y.,East,Born in Germany or immigrated <1950,0.97978,1740,1740,0.97317,0.98640
2007,66 and older,West,Born in Germany or immigrated <1950,0.88806,2886,3221,0.87717,0.89895
2007,66 and older,West,Not born in Germany,0.11194,335,3221,0.10105,0.12283
2007,66 and older,East,Born in Germany or immigrated <1950,0.96391,1080,1120,0.95298,0.97484
2007,66 and older,East,Not born in Germany,0.03609,40,1120,0.02516,0.04702
2008,17-29 y.,West,Born in Germany or immigrated <1950,0.88100,2329,2551,0.86843,0.89356
2008,17-29 y.,West,Not born in Germany,0.11900,222,2551,0.10644,0.13157
2008,17-29 y.,East,Born in Germany or immigrated <1950,0.98712,854,854,0.97955,0.99468
2008,30-45 y.,West,Born in Germany or immigrated <1950,0.83481,3427,4022,0.82333,0.84629
2008,30-45 y.,West,Not born in Germany,0.16519,595,4022,0.15371,0.17667
2008,30-45 y.,East,Born in Germany or immigrated <1950,0.98977,1138,1138,0.98392,0.99562
2008,46-65 y.,West,Born in Germany or immigrated <1950,0.82096,4331,5012,0.81035,0.83158
2008,46-65 y.,West,Not born in Germany,0.17904,681,5012,0.16842,0.18965
2008,46-65 y.,East,Born in Germany or immigrated <1950,0.97410,1655,1655,0.96645,0.98176
2008,66 and older,West,Born in Germany or immigrated <1950,0.88386,2845,3178,0.87272,0.89501
2008,66 and older,West,Not born in Germany,0.11614,333,3178,0.10499,0.12728
2008,66 and older,East,Born in Germany or immigrated <1950,0.97058,1082,1117,0.96066,0.98049
2008,66 and older,East,Not born in Germany,0.02942,35,1117,0.01951,0.03934
2009,17-29 y.,West,Born in Germany or immigrated <1950,0.89037,2161,2338,0.87771,0.90304
2009,17-29 y.,West,Not born in Germany,0.10963,177,2338,0.09696,0.12229
2009,17-29 y.,East,Born in Germany or immigrated <1950,0.99399,748,748,0.98844,0.99953
2009,30-45 y.,West,Born in Germany or immigrated <1950,0.83343,3090,3611,0.82128,0.84559
2009,30-45 y.,West,Not born in Germany,0.16657,521,3611,0.15441,0.17872
2009,30-45 y.,East,Born in Germany or immigrated <1950,0.98693,1055,1055,0.98007,0.99379
2009,46-65 y.,West,Born in Germany or immigrated <1950,0.82991,4093,4689,0.81915,0.84067
2009,46-65 y.,West,Not born in Germany,0.17009,596,4689,0.15933,0.18085
2009,46-65 y.,East,Born in Germany or immigrated <1950,0.97527,1613,1613,0.96769,0.98285
