year,regtyp,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,Rural regions,Born in Germany or immigrated <1950,0.76664,7969,10229,0.75844,0.77483
2018,Rural regions,Not born in Germany,0.08810,2260,10229,0.08260,0.09359
2019,Urban regions,Born in Germany or immigrated <1950,0.68914,13791,19293,0.68260,0.69567
2019,Urban regions,Not born in Germany,0.15732,5502,19293,0.15218,0.16245
2019,Rural regions,Born in Germany or immigrated <1950,0.76343,7979,9979,0.75509,0.77177
2019,Rural regions,Not born in Germany,0.08856,2000,9979,0.08298,0.09413
2020,Urban regions,Born in Germany or immigrated <1950,0.70246,13112,20322,0.69617,0.70874
2020,Urban regions,Not born in Germany,0.14309,7210,20322,0.13828,0.14791
2020,Rural regions,Born in Germany or immigrated <1950,0.76197,7419,9690,0.75349,0.77045
2020,Rural regions,Not born in Germany,0.08415,2271,9690,0.07862,0.08968
2021,Urban regions,Born in Germany or immigrated <1950,0.69138,9249,13543,0.68359,0.69916
2021,Urban regions,Not born in Germany,0.14760,4294,13543,0.14163,0.15357
2021,Rural regions,Born in Germany or immigrated <1950,0.75567,5181,6387,0.74513,0.76621
2021,Rural regions,Not born in Germany,0.09068,1206,6387,0.08364,0.09772
