"year","age_gr","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1993","66 +","Ostdeutschland","5.77","5.5","384","3","4","7","8","10","5.55","5.99","0","10","5","6"
"1993","66 +","Westdeutschland","7.04","7.5","1054","4","5","9","10","10","6.91","7.17","0","10","7","8"
"1994","17-34","Ostdeutschland","5.08","4.5","1207","2","3","7","8","10","4.95","5.21","0","10","5","5"
"1994","17-34","Westdeutschland","6.07","5.5","3370","3","5","8","9","10","5.99","6.15","0","10","6","7"
"1994","35-65","Ostdeutschland","5.28","4.5","2088","2","4","7","8","10","5.18","5.38","0","10","5","6"
"1994","35-65","Westdeutschland","6.42","6.5","4430","3","5","8","9","10","6.35","6.49","0","10","7","7"
"1994","66 +","Ostdeutschland","6.6","6.5","395","4","5","8","9","10","6.38","6.82","0","10","6","7"
"1994","66 +","Westdeutschland","6.99","6.5","1073","4","5","8","10","10","6.86","7.12","0","10","7","8"
"1995","17-34","Ostdeutschland","5.21","4.5","1155","2","4","7","8","10","5.08","5.34","0","10","5","5"
"1995","17-34","Westdeutschland","6.08","5.5","3554","3","5","8","9","10","6.01","6.15","0","10","6","7"
"1995","35-65","Ostdeutschland","5.46","5.5","2045","3","4","7","8","10","5.37","5.55","0","10","5","6"
"1995","35-65","Westdeutschland","6.42","6.5","4720","3","5","8","9","10","6.36","6.48","0","10","7","7"
"1995","66 +","Ostdeutschland","6.54","6.5","400","3","5","8","9","10","6.33","6.75","0","10","6","7"
"1995","66 +","Westdeutschland","7.21","7.5","1101","5","6","9","10","10","7.09","7.33","0","10","7","8"
"1996","17-34","Ostdeutschland","5.32","4.5","1128","2","4","7","8","10","5.18","5.46","0","10","5","6"
"1996","17-34","Westdeutschland","6.18","6.5","3437","3","5","8","9","10","6.11","6.25","0","10","7","7"
"1996","35-65","Ostdeutschland","5.52","4.5","2063","3","4","7","8","10","5.43","5.61","0","10","5","6"
"1996","35-65","Westdeutschland","6.46","6.5","4624","3","5","8","9","10","6.4","6.52","0","10","7","7"
"1996","66 +","Ostdeutschland","6.66","6.5","414","4","5","8","9","10","6.46","6.86","0","10","7","7"
"1996","66 +","Westdeutschland","7.1","7.5","1116","4","6","9","10","10","6.97","7.23","0","10","7","8"
"1997","17-34","Ostdeutschland","5.1","4.5","1081","2","3","7","8","10","4.96","5.24","0","10","5","5"
"1997","17-34","Westdeutschland","6.07","5.5","3317","3","5","8","9","10","6","6.14","0","10","6","7"
"1997","35-65","Ostdeutschland","5.21","4.5","2020","2","4","7","8","10","5.12","5.3","0","10","5","5"
"1997","35-65","Westdeutschland","6.21","6.5","4558","3","5","8","9","10","6.15","6.27","0","10","6","7"
"1997","66 +","Ostdeutschland","6.44","6.5","433","4","5","8","9","10","6.25","6.63","0","10","7","7"
"1997","66 +","Westdeutschland","6.88","6.5","1125","4","5","8","10","10","6.76","7","0","10","7","7"
"1998","17-34","Ostdeutschland","5.21","4.5","1117","2","3","7","8","10","5.08","5.34","0","10","5","6"
"1998","17-34","Westdeutschland","6.08","5.5","3502","3","5","8","9","10","6.01","6.15","0","10","6","7"
"1998","35-65","Ostdeutschland","5.31","4.5","2163","2","4","7","8","10","5.22","5.4","0","10","5","6"
"1998","35-65","Westdeutschland","6.36","6.5","5276","3","5","8","9","10","6.3","6.42","0","10","7","7"
"1998","66 +","Ostdeutschland","6.64","6.5","467","4","5","8","9","10","6.46","6.82","0","10","6","7"
"1998","66 +","Westdeutschland","7.02","6.5","1354","4","6","8","10","10","6.91","7.13","0","10","7","7"
"1999","17-34","Ostdeutschland","5.32","4.5","1092","2","4","7","8","10","5.18","5.46","0","10","5","6"
"1999","17-34","Westdeutschland","6.16","5.5","3277","3","5","8","9","10","6.08","6.24","0","10","6","7"
"1999","35-65","Ostdeutschland","5.41","4.5","2110","2","4","7","8","10","5.32","5.5","0","10","5","6"
"1999","35-65","Westdeutschland","6.43","6.5","5111","3","5","8","9","10","6.37","6.49","0","10","7","7"
"1999","66 +","Ostdeutschland","6.64","6.5","481","4","5","8","9","10","6.46","6.82","0","10","7","7"
"1999","66 +","Westdeutschland","7.01","6.5","1291","4","5","8","10","10","6.89","7.13","0","10","7","7"
"2000","17-34","Ostdeutschland","5.49","5.5","1572","2","4","7","8","10","5.37","5.61","0","10","5","6"
"2000","17-34","Westdeutschland","6.38","6.5","5161","3","5","8","9","10","6.32","6.44","0","10","7","7"
"2000","35-65","Ostdeutschland","5.56","5.5","3279","2","4","7","8","10","5.48","5.64","0","10","5","6"
"2000","35-65","Westdeutschland","6.61","6.5","10041","3","5","8","9","10","6.57","6.65","0","10","7","7"
"2000","66 +","Ostdeutschland","6.67","6.5","868","4","5","8","9","10","6.53","6.81","0","10","7","7"
"2000","66 +","Westdeutschland","7.1","7.5","2688","4","6","9","10","10","7.02","7.18","0","10","7","8"
"2001","17-34","Ostdeutschland","5.48","5.5","1469","2","4","7","8","10","5.36","5.6","0","10","5","6"
"2001","17-34","Westdeutschland","6.43","6.5","4559","3","5","8","9","10","6.37","6.49","0","10","7","7"
"2001","35-65","Ostdeutschland","5.66","5.5","3044","3","4","7","8","10","5.58","5.74","0","10","6","6"
"2001","35-65","Westdeutschland","6.68","6.5","9115","3","5","8","9","10","6.64","6.72","0","10","7","7"
"2001","66 +","Ostdeutschland","6.79","6.5","835","4","5","8","10","10","6.65","6.93","0","10","7","7"
"2001","66 +","Westdeutschland","7.24","7.5","2528","5","6","9","10","10","7.16","7.32","0","10","8","8"
"2002","17-34","Ostdeutschland","5.46","5.5","1408","2","4","7","8","10","5.34","5.58","0","10","6","6"
"2002","17-34","Westdeutschland","6.15","5.5","4420","3","5","8","9","10","6.09","6.21","0","10","7","7"
"2002","35-65","Ostdeutschland","5.33","4.5","3035","2","4","7","8","10","5.25","5.41","0","10","6","6"
"2002","35-65","Westdeutschland","6.42","6.5","10180","3","5","8","9","10","6.38","6.46","0","10","7","7"
"2002","66 +","Ostdeutschland","6.3","6.5","881","3","5","8","9","10","6.17","6.43","0","10","6","7"
"2002","66 +","Westdeutschland","6.97","6.5","2672","4","5","8","10","10","6.89","7.05","0","10","7","8"
"2003","17-34","Ostdeutschland","5.29","4.5","1382","2","4","7","8","10","5.16","5.42","0","10","5","6"
"2003","17-34","Westdeutschland","6.05","5.5","4185","3","5","8","9","10","5.98","6.12","0","10","7","7"
"2003","35-65","Ostdeutschland","5.13","4.5","2966","2","3","7","8","10","5.05","5.21","0","10","5","6"
"2003","35-65","Westdeutschland","6.3","6.5","9646","3","5","8","9","10","6.26","6.34","0","10","7","7"
"2003","66 +","Ostdeutschland","6.35","6.5","901","4","5","8","9","10","6.22","6.48","0","10","6","7"
"2003","66 +","Westdeutschland","6.93","6.5","2719","4","5","8","10","10","6.85","7.01","0","10","7","8"
"2004","17-34","Ostdeutschland","5.14","4.5","1334","2","3","7","8","10","5.01","5.27","0","10","5","6"
"2004","17-34","Westdeutschland","5.98","5.5","3963","3","5","8","9","10","5.91","6.05","0","10","6","7"
"2004","35-65","Ostdeutschland","4.94","4.5","2829","2","3","7","8","10","4.85","5.03","0","10","5","5"
"2004","35-65","Westdeutschland","6.16","6.5","9299","3","5","8","9","10","6.11","6.21","0","10","7","7"
"2004","66 +","Ostdeutschland","6.04","5.5","937","3","5","8","8","10","5.91","6.17","0","10","6","6"
"2004","66 +","Westdeutschland","6.59","6.5","2765","4","5","8","9","10","6.51","6.67","0","10","7","7"
"2005","17-34","Ostdeutschland","5.28","4.5","1281","2","4","7","8","10","5.15","5.41","0","10","5","6"
"2005","17-34","Westdeutschland","5.96","5.5","3788","3","5","8","9","10","5.89","6.03","0","10","6","7"
"2005","35-65","Ostdeutschland","4.98","4.5","2710","2","3","7","8","10","4.89","5.07","0","10","5","6"
"2005","35-65","Westdeutschland","6.16","6.5","8813","3","5","8","9","10","6.11","6.21","0","10","7","7"
"2005","66 +","Ostdeutschland","6.37","6.5","946","4","5","8","9","10","6.25","6.49","0","10","6","7"
"2005","66 +","Westdeutschland","6.62","6.5","2772","3","5","8","10","10","6.54","6.7","0","10","7","7"
"2006","17-34","Ostdeutschland","5.23","4.5","1234","2","4","7","8","10","5.1","5.36","0","10","5","6"
"2006","17-34","Westdeutschland","5.98","5.5","3679","2","5","8","9","10","5.9","6.06","0","10","7","7"
"2006","35-65","Ostdeutschland","4.97","4.5","2837","1","3","7","8","10","4.88","5.06","0","10","5","6"
"2006","35-65","Westdeutschland","6.14","6.5","9487","3","5","8","9","10","6.09","6.19","0","10","7","7"
"2006","66 +","Ostdeutschland","6.11","5.5","1109","3","5","8","8","10","5.99","6.23","0","10","6","6"
"2006","66 +","Westdeutschland","6.52","6.5","3246","3","5","8","9","10","6.44","6.6","0","10","7","7"
"2007","17-34","Ostdeutschland","5.39","4.5","1183","2","4","7","8","10","5.26","5.52","0","10","5","6"
"2007","17-34","Westdeutschland","6.1","5.5","3351","3","5","8","9","10","6.02","6.18","0","10","7","7"
"2007","35-65","Ostdeutschland","5.12","4.5","2637","2","3","7","8","10","5.03","5.21","0","10","5","6"
"2007","35-65","Westdeutschland","6.12","6.5","8741","3","5","8","9","10","6.07","6.17","0","10","7","7"
"2007","66 +","Ostdeutschland","6.02","5.5","1104","3","5","8","8","10","5.9","6.14","0","10","6","6"
"2007","66 +","Westdeutschland","6.57","6.5","3177","3","5","8","9","10","6.5","6.64","0","10","7","7"
"2008","17-34","Ostdeutschland","5.54","5.5","1100","2","4","7","9","10","5.4","5.68","0","10","6","6"
"2008","17-34","Westdeutschland","6.17","6.5","3063","3","5","8","9","10","6.09","6.25","0","10","7","7"
"2008","35-65","Ostdeutschland","5.12","4.5","2499","2","3","7","8","10","5.03","5.21","0","10","5","6"
"2008","35-65","Westdeutschland","6.15","6.5","8099","3","5","8","9","10","6.1","6.2","0","10","7","7"
"2008","66 +","Ostdeutschland","5.98","5.5","1109","3","5","8","8","10","5.86","6.1","0","10","6","6"
"2008","66 +","Westdeutschland","6.56","6.5","3136","3","5","8","9","10","6.49","6.63","0","10","7","7"
"2009","17-34","Ostdeutschland","5.64","5.5","1004","2","4","7","9","10","5.5","5.78","0","10","6","6"
"2009","17-34","Westdeutschland","6.16","5.5","2790","3","5","8","9","10","6.08","6.24","0","10","7","7"
"2009","35-65","Ostdeutschland","5.21","4.5","2376","2","3","7","8","10","5.11","5.31","0","10","6","6"
"2009","35-65","Westdeutschland","6.24","6.5","7443","3","5","8","9","10","6.19","6.29","0","10","7","7"
"2009","66 +","Ostdeutschland","6.08","5.5","1100","3","5","8","8","10","5.96","6.2","0","10","6","7"
"2009","66 +","Westdeutschland","6.55","6.5","3006","3","5","8","9","10","6.47","6.63","0","10","7","7"
"2010","17-34","Ostdeutschland","5.81","5.5","1515","3","4","8","9","10","5.69","5.93","0","10","6","6"
"2010","17-34","Westdeutschland","6.3","6.5","4861","3","5","8","9","10","6.23","6.37","0","10","7","7"
"2010","35-65","Ostdeutschland","5.45","5.5","2849","2","4","7","8","10","5.36","5.54","0","10","6","6"
"2010","35-65","Westdeutschland","6.26","6.5","10444","3","5","8","9","10","6.21","6.31","0","10","7","7"
"2010","66 +","Ostdeutschland","6.12","6.5","1049","3","5","8","8","10","5.99","6.25","0","10","6","7"
"2010","66 +","Westdeutschland","6.73","6.5","2933","4","5","8","9","10","6.66","6.8","0","10","7","7"
"2011","17-34","Ostdeutschland","5.84","5.5","1433","3","4","8","9","10","5.71","5.97","0","10","6","6"
"2011","17-34","Westdeutschland","6.57","6.5","4683","3","5","8","9","10","6.5","6.64","0","10","7","7"
"2011","35-65","Ostdeutschland","5.64","5.5","3185","2","4","8","9","10","5.55","5.73","0","10","6","6"
"2011","35-65","Westdeutschland","6.48","6.5","11767","3","5","8","9","10","6.44","6.52","0","10","7","7"
"2011","66 +","Ostdeutschland","6.18","5.5","1110","3","5","8","8","10","6.07","6.29","0","10","6","7"
"2011","66 +","Westdeutschland","6.69","6.5","3302","4","5","8","10","10","6.62","6.76","0","10","7","8"
"2012","17-34","Ostdeutschland","6.02","5.5","1327","3","5","8","9","10","5.89","6.15","0","10","6","6"
"2012","17-34","Westdeutschland","6.6","6.5","4537","3","5","8","9","10","6.54","6.66","0","10","7","7"
"2012","35-65","Ostdeutschland","5.73","5.5","3338","2","4","8","8","10","5.65","5.81","0","10","6","6"
"2012","35-65","Westdeutschland","6.58","6.5","12039","3","5","8","9","10","6.54","6.62","0","10","7","7"
"2012","66 +","Ostdeutschland","6.29","5.5","1225","4","5","8","9","10","6.18","6.4","0","10","6","7"
"2012","66 +","Westdeutschland","6.83","6.5","3633","4","5","8","10","10","6.76","6.9","0","10","7","8"
"2013","17-34","Ostdeutschland","6.07","6.5","1315","2","4","8","9","10","5.94","6.2","0","10","6","6"
"2013","17-34","Westdeutschland","6.67","6.5","6309","3","5","8","9","10","6.61","6.73","0","10","7","7"
"2013","35-65","Ostdeutschland","5.94","5.5","3516","2","5","8","9","10","5.86","6.02","0","10","6","7"
"2013","35-65","Westdeutschland","6.66","6.5","14162","3","5","8","9","10","6.62","6.7","0","10","7","7"
"2013","66 +","Ostdeutschland","6.46","6.5","1222","4","5","8","9","10","6.35","6.57","0","10","7","7"
"2013","66 +","Westdeutschland","6.93","6.5","3768","4","5","8","10","10","6.86","7","0","10","8","8"
"2014","17-34","Ostdeutschland","6.1","6.5","1138","2","5","8","9","10","5.96","6.24","0","10","6","7"
"2014","17-34","Westdeutschland","6.68","6.5","5132","4","5","8","9","10","6.62","6.74","0","10","7","7"
"2014","35-65","Ostdeutschland","6.02","6.5","3174","2","5","8","9","10","5.94","6.1","0","10","6","7"
"2014","35-65","Westdeutschland","6.64","6.5","12345","3","5","8","9","10","6.6","6.68","0","10","7","7"
"2014","66 +","Ostdeutschland","6.48","6.5","1208","4","5","8","9","10","6.37","6.59","0","10","7","7"
"2014","66 +","Westdeutschland","6.98","6.5","3691","4","6","8","10","10","6.91","7.05","0","10","8","8"
"2015","17-34","Ostdeutschland","6.16","6.5","999","3","5","8","9","10","6.02","6.3","0","10","6","7"
"2015","17-34","Westdeutschland","6.84","6.5","4459","4","6","8","9","10","6.78","6.9","0","10","7","7"
"2015","35-65","Ostdeutschland","6.15","6.5","2978","3","5","8","9","10","6.07","6.23","0","10","7","7"
"2015","35-65","Westdeutschland","6.76","6.5","11384","4","5","8","9","10","6.72","6.8","0","10","7","7"
"2015","66 +","Ostdeutschland","6.72","6.5","1213","4","5","8","9","10","6.61","6.83","0","10","7","7"
"2015","66 +","Westdeutschland","7.13","7.5","3635","4","6","9","10","10","7.06","7.2","0","10","8","8"
"2016","17-34","Ostdeutschland","6.17","6.5","930","3","5","8","9","10","6.02","6.32","0","10","7","7"
"2016","17-34","Westdeutschland","6.85","6.5","4389","4","5","8","9","10","6.78","6.92","0","10","7","7"
"2016","35-65","Ostdeutschland","6.34","6.5","2879","3","5","8","9","10","6.26","6.42","0","10","7","7"
"2016","35-65","Westdeutschland","6.83","6.5","10952","4","6","8","9","10","6.79","6.87","0","10","7","7"
"2016","66 +","Ostdeutschland","6.76","6.5","1155","4","5","8","9","10","6.66","6.86","0","10","7","7"
"2016","66 +","Westdeutschland","7.2","7.5","3503","4","6","9","10","10","7.13","7.27","0","10","8","8"
"2017","17-34","Ostdeutschland","6.24","6.5","1054","3","5","8","9","10","6.1","6.38","0","10","7","7"
"2017","17-34","Westdeutschland","6.96","6.5","4783","4","6","8","9","10","6.9","7.02","0","10","7","7"
"2017","35-65","Ostdeutschland","6.32","6.5","3262","3","5","8","9","10","6.24","6.4","0","10","7","7"
"2017","35-65","Westdeutschland","6.87","6.5","12054","4","6","8","9","10","6.83","6.91","0","10","7","7"
"2017","66 +","Ostdeutschland","6.76","6.5","1210","4","5","8","9","10","6.66","6.86","0","10","7","7"
"2017","66 +","Westdeutschland","7.12","7.5","3708","4","6","9","10","10","7.05","7.19","0","10","8","8"
"2018","17-34","Ostdeutschland","6.2","6.5","1044","3","5","8","9","10","6.06","6.34","0","10","7","7"
"2018","17-34","Westdeutschland","6.9","6.5","4678","4","6","8","9","10","6.84","6.96","0","10","7","7"
"2018","35-65","Ostdeutschland","6.34","6.5","3157","3","5","8","9","10","6.26","6.42","0","10","7","7"
"2018","35-65","Westdeutschland","6.89","6.5","11443","4","6","8","9","10","6.85","6.93","0","10","7","7"
"2018","66 +","Ostdeutschland","6.56","6.5","1231","4","5","8","9","10","6.45","6.67","0","10","7","7"
"2018","66 +","Westdeutschland","7.16","7.5","3727","4","6","9","10","10","7.09","7.23","0","10","8","8"
"2019","17-34","Ostdeutschland","6.68","6.5","924","4","5","8","9","10","6.54","6.82","0","10","7","7"
"2019","17-34","Westdeutschland","7.14","7.5","4264","4","6","9","10","10","7.08","7.2","0","10","7","8"
"2019","35-65","Ostdeutschland","6.6","6.5","3293","3","5","8","9","10","6.52","6.68","0","10","7","7"
"2019","35-65","Westdeutschland","7.07","7.5","11787","4","6","8","9","10","7.03","7.11","0","10","8","8"
"2019","66 +","Ostdeutschland","6.61","6.5","1300","4","5","8","9","10","6.5","6.72","0","10","7","7"
"2019","66 +","Westdeutschland","7.32","7.5","3883","5","6","9","10","10","7.26","7.38","0","10","8","8"
"2020","17-34","Ostdeutschland","6.67","6.5","998","4","5","8","9","10","6.53","6.81","0","10","7","7"
"2020","17-34","Westdeutschland","7.08","6.5","5064","4","6","8","10","10","7.02","7.14","0","10","7","7"
"2020","35-65","Ostdeutschland","6.72","6.5","3038","4","5","8","9","10","6.64","6.8","0","10","7","7"
"2020","35-65","Westdeutschland","6.96","6.5","11392","4","6","8","9","10","6.92","7","0","10","8","8"
"2020","66 +","Ostdeutschland","6.97","6.5","1244","5","6","8","9","10","6.86","7.08","0","10","7","7"
"2020","66 +","Westdeutschland","7.29","7.5","3644","5","6","9","10","10","7.22","7.36","0","10","8","8"
