"hlf0071_h","year","bula_h","hhtyp","n","percent","lower_confidence","upper_confidence"
"Viel zu klein","1984","Thüringen","Sonstige","","","",""
"Etwas zu klein","1984","Schleswig-Holstein","1-Pers.-HH","","","",""
"Etwas zu klein","1984","Schleswig-Holstein","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu klein","1984","Schleswig-Holstein","Alleinerziehende","","","",""
"Etwas zu klein","1984","Schleswig-Holstein","Paar mit Kind(ern)","52","0.177105914088947","0.134471408091179","0.219740420086714"
"Etwas zu klein","1984","Schleswig-Holstein","Sonstige","","","",""
"Etwas zu klein","1984","Hamburg","1-Pers.-HH","","","",""
"Etwas zu klein","1984","Hamburg","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu klein","1984","Hamburg","Alleinerziehende","","","",""
"Etwas zu klein","1984","Hamburg","Paar mit Kind(ern)","66","0.341787184468865","0.276700213384432","0.406874155553298"
"Etwas zu klein","1984","Hamburg","Sonstige","","","",""
"Etwas zu klein","1984","Niedersachsen","1-Pers.-HH","","","",""
"Etwas zu klein","1984","Niedersachsen","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu klein","1984","Niedersachsen","Alleinerziehende","","","",""
"Etwas zu klein","1984","Niedersachsen","Paar mit Kind(ern)","172","0.143302051079239","0.121398657908467","0.165205444250012"
"Etwas zu klein","1984","Niedersachsen","Sonstige","","","",""
"Etwas zu klein","1984","Bremen","1-Pers.-HH","","","",""
"Etwas zu klein","1984","Bremen","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu klein","1984","Bremen","Alleinerziehende","","","",""
"Etwas zu klein","1984","Bremen","Paar mit Kind(ern)","","","",""
"Etwas zu klein","1984","Bremen","Sonstige","","","",""
"Etwas zu klein","1984","Nordrhein-Westfalen","1-Pers.-HH","44","0.102493952162344","0.0715060630311573","0.133481841293531"
"Etwas zu klein","1984","Nordrhein-Westfalen","(Ehe-)Paar ohne Kind(er)","78","0.0888326871443204","0.0678762751611737","0.109789099127467"
"Etwas zu klein","1984","Nordrhein-Westfalen","Alleinerziehende","34","0.146393245550982","0.100203425207611","0.192583065894353"
"Etwas zu klein","1984","Nordrhein-Westfalen","Paar mit Kind(ern)","607","0.184269843627373","0.170142052456934","0.198397634797813"
"Etwas zu klein","1984","Nordrhein-Westfalen","Sonstige","35","0.180705646671087","0.127379655578017","0.234031637764157"
"Etwas zu klein","1984","Hessen","1-Pers.-HH","","","",""
"Etwas zu klein","1984","Hessen","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu klein","1984","Hessen","Alleinerziehende","","","",""
"Etwas zu klein","1984","Hessen","Paar mit Kind(ern)","204","0.139590218582149","0.11829079856908","0.160889638595219"
"Etwas zu klein","1984","Hessen","Sonstige","31","0.284643218131526","0.209081890974025","0.360204545289028"
"Etwas zu klein","1984","Rheinland-Pfalz,Saarland","1-Pers.-HH","","","",""
"Etwas zu klein","1984","Rheinland-Pfalz,Saarland","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu klein","1984","Rheinland-Pfalz,Saarland","Alleinerziehende","","","",""
"Etwas zu klein","1984","Rheinland-Pfalz,Saarland","Paar mit Kind(ern)","116","0.161805432716524","0.133406579536159","0.190204285896888"
"Etwas zu klein","1984","Rheinland-Pfalz,Saarland","Sonstige","","","",""
"Etwas zu klein","1984","Baden-Württemberg","1-Pers.-HH","","","",""
"Etwas zu klein","1984","Baden-Württemberg","(Ehe-)Paar ohne Kind(er)","66","0.149657610731613","0.114871672078253","0.184443549384972"
"Etwas zu klein","1984","Baden-Württemberg","Alleinerziehende","31","0.20025092847275","0.138242283497319","0.26225957344818"
"Etwas zu klein","1984","Baden-Württemberg","Paar mit Kind(ern)","404","0.142168395077028","0.127413724781215","0.156923065372841"
"Etwas zu klein","1984","Baden-Württemberg","Sonstige","42","0.092134711741881","0.050345755310252","0.13392366817351"
"Etwas zu klein","1984","Bayern","1-Pers.-HH","","","",""
"Etwas zu klein","1984","Bayern","(Ehe-)Paar ohne Kind(er)","62","0.119535142557551","0.0905731533744932","0.148497131740608"
"Etwas zu klein","1984","Bayern","Alleinerziehende","","","",""
"Etwas zu klein","1984","Bayern","Paar mit Kind(ern)","375","0.199700791086478","0.181155012641405","0.21824656953155"
"Etwas zu klein","1984","Bayern","Sonstige","31","0.186845910781067","0.124674912441588","0.249016909120546"
"Etwas zu klein","1984","Saarland","1-Pers.-HH","","","",""
"Etwas zu klein","1984","Saarland","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu klein","1984","Saarland","Alleinerziehende","","","",""
"Etwas zu klein","1984","Saarland","Paar mit Kind(ern)","","","",""
"Etwas zu klein","1984","Saarland","Sonstige","","","",""
"Etwas zu klein","1984","Berlin","1-Pers.-HH","","","",""
"Etwas zu klein","1984","Berlin","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu klein","1984","Berlin","Alleinerziehende","","","",""
"Etwas zu klein","1984","Berlin","Paar mit Kind(ern)","110","0.287878251440115","0.235403954650023","0.340352548230207"
"Etwas zu klein","1984","Berlin","Sonstige","","","",""
"Etwas zu klein","1984","Brandenburg","1-Pers.-HH","","","",""
"Etwas zu klein","1984","Brandenburg","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu klein","1984","Brandenburg","Alleinerziehende","","","",""
"Etwas zu klein","1984","Brandenburg","Paar mit Kind(ern)","","","",""
"Etwas zu klein","1984","Brandenburg","Sonstige","","","",""
"Etwas zu klein","1984","Mecklenburg-Vorpommern","1-Pers.-HH","","","",""
"Etwas zu klein","1984","Mecklenburg-Vorpommern","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu klein","1984","Mecklenburg-Vorpommern","Alleinerziehende","","","",""
"Etwas zu klein","1984","Mecklenburg-Vorpommern","Paar mit Kind(ern)","","","",""
"Etwas zu klein","1984","Mecklenburg-Vorpommern","Sonstige","","","",""
"Etwas zu klein","1984","Sachsen","1-Pers.-HH","","","",""
"Etwas zu klein","1984","Sachsen","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu klein","1984","Sachsen","Alleinerziehende","","","",""
"Etwas zu klein","1984","Sachsen","Paar mit Kind(ern)","","","",""
"Etwas zu klein","1984","Sachsen","Sonstige","","","",""
"Etwas zu klein","1984","Sachsen-Anhalt","1-Pers.-HH","","","",""
"Etwas zu klein","1984","Sachsen-Anhalt","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu klein","1984","Sachsen-Anhalt","Alleinerziehende","","","",""
"Etwas zu klein","1984","Sachsen-Anhalt","Paar mit Kind(ern)","","","",""
"Etwas zu klein","1984","Sachsen-Anhalt","Sonstige","","","",""
"Etwas zu klein","1984","Thüringen","1-Pers.-HH","","","",""
"Etwas zu klein","1984","Thüringen","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu klein","1984","Thüringen","Alleinerziehende","","","",""
"Etwas zu klein","1984","Thüringen","Paar mit Kind(ern)","","","",""
"Etwas zu klein","1984","Thüringen","Sonstige","","","",""
"Gerade richtig","1984","Schleswig-Holstein","1-Pers.-HH","","","",""
"Gerade richtig","1984","Schleswig-Holstein","(Ehe-)Paar ohne Kind(er)","72","0.815777831958682","0.734781817496231","0.896773846421134"
"Gerade richtig","1984","Schleswig-Holstein","Alleinerziehende","","","",""
"Gerade richtig","1984","Schleswig-Holstein","Paar mit Kind(ern)","215","0.693747136646184","0.642270114768496","0.745224158523871"
"Gerade richtig","1984","Schleswig-Holstein","Sonstige","","","",""
"Gerade richtig","1984","Hamburg","1-Pers.-HH","39","0.742764530462216","0.625084936689893","0.86044412423454"
"Gerade richtig","1984","Hamburg","(Ehe-)Paar ohne Kind(er)","70","0.77339506721235","0.687851066789931","0.858939067634769"
"Gerade richtig","1984","Hamburg","Alleinerziehende","","","",""
"Gerade richtig","1984","Hamburg","Paar mit Kind(ern)","121","0.578709043994544","0.510952037578576","0.646466050410511"
"Gerade richtig","1984","Hamburg","Sonstige","","","",""
"Gerade richtig","1984","Niedersachsen","1-Pers.-HH","94","0.812614480689477","0.741906985599897","0.883321975779056"
"Gerade richtig","1984","Niedersachsen","(Ehe-)Paar ohne Kind(er)","228","0.803883999028835","0.757541788754214","0.850226209303456"
"Gerade richtig","1984","Niedersachsen","Alleinerziehende","67","0.830228755780508","0.750416501106082","0.910041010454934"
"Gerade richtig","1984","Niedersachsen","Paar mit Kind(ern)","725","0.753347387631212","0.726400299968209","0.780294475294215"
"Gerade richtig","1984","Niedersachsen","Sonstige","89","0.65734519821651","0.579285102884489","0.735405293548531"
"Gerade richtig","1984","Bremen","1-Pers.-HH","","","",""
"Gerade richtig","1984","Bremen","(Ehe-)Paar ohne Kind(er)","38","0.840789407749492","0.735059276813747","0.946519538685236"
"Gerade richtig","1984","Bremen","Alleinerziehende","","","",""
"Gerade richtig","1984","Bremen","Paar mit Kind(ern)","52","0.520471589835112","0.41030745431715","0.630635725353073"
"Gerade richtig","1984","Bremen","Sonstige","","","",""
"Gerade richtig","1984","Nordrhein-Westfalen","1-Pers.-HH","267","0.741409561148494","0.696673318591147","0.78614580370584"
"Gerade richtig","1984","Nordrhein-Westfalen","(Ehe-)Paar ohne Kind(er)","578","0.830957014852352","0.80335000831574","0.858564021388964"
"Gerade richtig","1984","Nordrhein-Westfalen","Alleinerziehende","166","0.750143561344135","0.693575108918488","0.806712013769782"
"Gerade richtig","1984","Nordrhein-Westfalen","Paar mit Kind(ern)","1960","0.709517665676279","0.692974624768074","0.726060706584484"
"Gerade richtig","1984","Nordrhein-Westfalen","Sonstige","155","0.765272201486814","0.706533637496143","0.824010765477486"
"Gerade richtig","1984","Hessen","1-Pers.-HH","91","0.798030450457552","0.72619974231402","0.869861158601084"
"Gerade richtig","1984","Hessen","(Ehe-)Paar ohne Kind(er)","222","0.795420470207256","0.748504749661495","0.842336190753016"
"Gerade richtig","1984","Hessen","Alleinerziehende","53","0.801411366358735","0.705886677368381","0.896936055349089"
"Gerade richtig","1984","Hessen","Paar mit Kind(ern)","735","0.823728288598939","0.800309150072159","0.847147427125718"
"Gerade richtig","1984","Hessen","Sonstige","77","0.491553827320694","0.407840261814113","0.575267392827275"
"Gerade richtig","1984","Rheinland-Pfalz,Saarland","1-Pers.-HH","56","0.730026266478539","0.630867131870113","0.829185401086964"
"Gerade richtig","1984","Rheinland-Pfalz,Saarland","(Ehe-)Paar ohne Kind(er)","168","0.811993972061304","0.758638769815187","0.86534917430742"
"Gerade richtig","1984","Rheinland-Pfalz,Saarland","Alleinerziehende","51","0.869806959960611","0.785359129480704","0.954254790440518"
"Gerade richtig","1984","Rheinland-Pfalz,Saarland","Paar mit Kind(ern)","432","0.694342962276548","0.658817801597233","0.729868122955863"
"Gerade richtig","1984","Rheinland-Pfalz,Saarland","Sonstige","68","0.800503838905246","0.720144700932171","0.88086297687832"
"Gerade richtig","1984","Baden-Württemberg","1-Pers.-HH","164","0.789571939387336","0.734310444740084","0.844833434034589"
"Gerade richtig","1984","Baden-Württemberg","(Ehe-)Paar ohne Kind(er)","306","0.760297587691071","0.718669600037657","0.801925575344485"
"Gerade richtig","1984","Baden-Württemberg","Alleinerziehende","110","0.725943981666412","0.656831048305858","0.795056915026966"
"Gerade richtig","1984","Baden-Württemberg","Paar mit Kind(ern)","1580","0.783919675102331","0.766530845491495","0.801308504713166"
"Gerade richtig","1984","Baden-Württemberg","Sonstige","123","0.82757515761306","0.772993990113469","0.882156325112652"
"Gerade richtig","1984","Bayern","1-Pers.-HH","146","0.769866414700509","0.710172632573462","0.829560196827555"
"Gerade richtig","1984","Bayern","(Ehe-)Paar ohne Kind(er)","386","0.805372622992996","0.77002786860891","0.840717377377083"
"Gerade richtig","1984","Bayern","Alleinerziehende","82","0.705338577529031","0.624442281898695","0.786234873159367"
"Gerade richtig","1984","Bayern","Paar mit Kind(ern)","1239","0.711429632845351","0.690410208295327","0.732449057395376"
"Gerade richtig","1984","Bayern","Sonstige","111","0.750530482874277","0.681514046892055","0.8195469188565"
"Gerade richtig","1984","Saarland","1-Pers.-HH","","","",""
"Gerade richtig","1984","Saarland","(Ehe-)Paar ohne Kind(er)","","","",""
"Gerade richtig","1984","Saarland","Alleinerziehende","","","",""
"Gerade richtig","1984","Saarland","Paar mit Kind(ern)","","","",""
"Gerade richtig","1984","Saarland","Sonstige","","","",""
"Gerade richtig","1984","Berlin","1-Pers.-HH","48","0.709826572943074","0.604996282509059","0.81465686337709"
"Gerade richtig","1984","Berlin","(Ehe-)Paar ohne Kind(er)","70","0.673545108788131","0.583424035621833","0.76366618195443"
"Gerade richtig","1984","Berlin","Alleinerziehende","33","0.66803102575087","0.533399667618708","0.802662383883031"
"Gerade richtig","1984","Berlin","Paar mit Kind(ern)","160","0.642101677326493","0.586543651134997","0.69765970351799"
"Gerade richtig","1984","Berlin","Sonstige","","","",""
"Gerade richtig","1984","Brandenburg","1-Pers.-HH","","","",""
"Gerade richtig","1984","Brandenburg","(Ehe-)Paar ohne Kind(er)","","","",""
"Gerade richtig","1984","Brandenburg","Alleinerziehende","","","",""
"Gerade richtig","1984","Brandenburg","Paar mit Kind(ern)","","","",""
"Gerade richtig","1984","Brandenburg","Sonstige","","","",""
"Gerade richtig","1984","Mecklenburg-Vorpommern","1-Pers.-HH","","","",""
"Gerade richtig","1984","Mecklenburg-Vorpommern","(Ehe-)Paar ohne Kind(er)","","","",""
"Gerade richtig","1984","Mecklenburg-Vorpommern","Alleinerziehende","","","",""
"Gerade richtig","1984","Mecklenburg-Vorpommern","Paar mit Kind(ern)","","","",""
"Gerade richtig","1984","Mecklenburg-Vorpommern","Sonstige","","","",""
"Gerade richtig","1984","Sachsen","1-Pers.-HH","","","",""
"Gerade richtig","1984","Sachsen","(Ehe-)Paar ohne Kind(er)","","","",""
"Gerade richtig","1984","Sachsen","Alleinerziehende","","","",""
"Gerade richtig","1984","Sachsen","Paar mit Kind(ern)","","","",""
"Gerade richtig","1984","Sachsen","Sonstige","","","",""
"Gerade richtig","1984","Sachsen-Anhalt","1-Pers.-HH","","","",""
"Gerade richtig","1984","Sachsen-Anhalt","(Ehe-)Paar ohne Kind(er)","","","",""
"Gerade richtig","1984","Sachsen-Anhalt","Alleinerziehende","","","",""
"Gerade richtig","1984","Sachsen-Anhalt","Paar mit Kind(ern)","","","",""
"Gerade richtig","1984","Sachsen-Anhalt","Sonstige","","","",""
"Gerade richtig","1984","Thüringen","1-Pers.-HH","","","",""
"Gerade richtig","1984","Thüringen","(Ehe-)Paar ohne Kind(er)","","","",""
"Gerade richtig","1984","Thüringen","Alleinerziehende","","","",""
"Gerade richtig","1984","Thüringen","Paar mit Kind(ern)","","","",""
"Gerade richtig","1984","Thüringen","Sonstige","","","",""
"Etwas zu gross","1984","Schleswig-Holstein","1-Pers.-HH","","","",""
"Etwas zu gross","1984","Schleswig-Holstein","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu gross","1984","Schleswig-Holstein","Alleinerziehende","","","",""
"Etwas zu gross","1984","Schleswig-Holstein","Paar mit Kind(ern)","","","",""
"Etwas zu gross","1984","Schleswig-Holstein","Sonstige","","","",""
"Etwas zu gross","1984","Hamburg","1-Pers.-HH","","","",""
"Etwas zu gross","1984","Hamburg","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu gross","1984","Hamburg","Alleinerziehende","","","",""
"Etwas zu gross","1984","Hamburg","Paar mit Kind(ern)","","","",""
"Etwas zu gross","1984","Hamburg","Sonstige","","","",""
"Etwas zu gross","1984","Niedersachsen","1-Pers.-HH","","","",""
"Etwas zu gross","1984","Niedersachsen","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu gross","1984","Niedersachsen","Alleinerziehende","","","",""
"Etwas zu gross","1984","Niedersachsen","Paar mit Kind(ern)","51","0.061871992159531","0.0468111438996694","0.0769328404193927"
"Etwas zu gross","1984","Niedersachsen","Sonstige","","","",""
"Etwas zu gross","1984","Bremen","1-Pers.-HH","","","",""
"Etwas zu gross","1984","Bremen","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu gross","1984","Bremen","Alleinerziehende","","","",""
"Etwas zu gross","1984","Bremen","Paar mit Kind(ern)","","","",""
"Etwas zu gross","1984","Bremen","Sonstige","","","",""
"Etwas zu gross","1984","Nordrhein-Westfalen","1-Pers.-HH","34","0.108297228717478","0.076547288525399","0.140047168909556"
"Etwas zu gross","1984","Nordrhein-Westfalen","(Ehe-)Paar ohne Kind(er)","44","0.0732334820365478","0.0540436368165634","0.0924233272565323"
"Etwas zu gross","1984","Nordrhein-Westfalen","Alleinerziehende","","","",""
"Etwas zu gross","1984","Nordrhein-Westfalen","Paar mit Kind(ern)","115","0.0498718707674406","0.0419396865465851","0.0578040549882961"
"Etwas zu gross","1984","Nordrhein-Westfalen","Sonstige","","","",""
"Etwas zu gross","1984","Hessen","1-Pers.-HH","","","",""
"Etwas zu gross","1984","Hessen","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu gross","1984","Hessen","Alleinerziehende","","","",""
"Etwas zu gross","1984","Hessen","Paar mit Kind(ern)","","","",""
"Etwas zu gross","1984","Hessen","Sonstige","","","",""
"Etwas zu gross","1984","Rheinland-Pfalz,Saarland","1-Pers.-HH","","","",""
"Etwas zu gross","1984","Rheinland-Pfalz,Saarland","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu gross","1984","Rheinland-Pfalz,Saarland","Alleinerziehende","","","",""
"Etwas zu gross","1984","Rheinland-Pfalz,Saarland","Paar mit Kind(ern)","39","0.0730475280864522","0.052981411670681","0.0931136445022233"
"Etwas zu gross","1984","Rheinland-Pfalz,Saarland","Sonstige","","","",""
"Etwas zu gross","1984","Baden-Württemberg","1-Pers.-HH","","","",""
"Etwas zu gross","1984","Baden-Württemberg","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu gross","1984","Baden-Württemberg","Alleinerziehende","","","",""
"Etwas zu gross","1984","Baden-Württemberg","Paar mit Kind(ern)","39","0.0278656016146825","0.0209117675240379","0.0348194357053272"
"Etwas zu gross","1984","Baden-Württemberg","Sonstige","","","",""
"Etwas zu gross","1984","Bayern","1-Pers.-HH","","","",""
"Etwas zu gross","1984","Bayern","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu gross","1984","Bayern","Alleinerziehende","","","",""
"Etwas zu gross","1984","Bayern","Paar mit Kind(ern)","72","0.044032469418276","0.0345146585018798","0.0535502803346722"
"Etwas zu gross","1984","Bayern","Sonstige","","","",""
"Etwas zu gross","1984","Saarland","1-Pers.-HH","","","",""
"Etwas zu gross","1984","Saarland","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu gross","1984","Saarland","Alleinerziehende","","","",""
"Etwas zu gross","1984","Saarland","Paar mit Kind(ern)","","","",""
"Etwas zu gross","1984","Saarland","Sonstige","","","",""
"Etwas zu gross","1984","Berlin","1-Pers.-HH","","","",""
"Etwas zu gross","1984","Berlin","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu gross","1984","Berlin","Alleinerziehende","","","",""
"Etwas zu gross","1984","Berlin","Paar mit Kind(ern)","","","",""
"Etwas zu gross","1984","Berlin","Sonstige","","","",""
"Etwas zu gross","1984","Brandenburg","1-Pers.-HH","","","",""
"Etwas zu gross","1984","Brandenburg","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu gross","1984","Brandenburg","Alleinerziehende","","","",""
"Etwas zu gross","1984","Brandenburg","Paar mit Kind(ern)","","","",""
"Etwas zu gross","1984","Brandenburg","Sonstige","","","",""
"Etwas zu gross","1984","Mecklenburg-Vorpommern","1-Pers.-HH","","","",""
"Etwas zu gross","1984","Mecklenburg-Vorpommern","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu gross","1984","Mecklenburg-Vorpommern","Alleinerziehende","","","",""
"Etwas zu gross","1984","Mecklenburg-Vorpommern","Paar mit Kind(ern)","","","",""
"Etwas zu gross","1984","Mecklenburg-Vorpommern","Sonstige","","","",""
"Etwas zu gross","1984","Sachsen","1-Pers.-HH","","","",""
"Etwas zu gross","1984","Sachsen","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu gross","1984","Sachsen","Alleinerziehende","","","",""
"Etwas zu gross","1984","Sachsen","Paar mit Kind(ern)","","","",""
"Etwas zu gross","1984","Sachsen","Sonstige","","","",""
"Etwas zu gross","1984","Sachsen-Anhalt","1-Pers.-HH","","","",""
"Etwas zu gross","1984","Sachsen-Anhalt","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu gross","1984","Sachsen-Anhalt","Alleinerziehende","","","",""
"Etwas zu gross","1984","Sachsen-Anhalt","Paar mit Kind(ern)","","","",""
"Etwas zu gross","1984","Sachsen-Anhalt","Sonstige","","","",""
"Etwas zu gross","1984","Thüringen","1-Pers.-HH","","","",""
"Etwas zu gross","1984","Thüringen","(Ehe-)Paar ohne Kind(er)","","","",""
"Etwas zu gross","1984","Thüringen","Alleinerziehende","","","",""
"Etwas zu gross","1984","Thüringen","Paar mit Kind(ern)","","","",""
"Etwas zu gross","1984","Thüringen","Sonstige","","","",""
"Viel zu gross","1984","Schleswig-Holstein","1-Pers.-HH","","","",""
"Viel zu gross","1984","Schleswig-Holstein","(Ehe-)Paar ohne Kind(er)","","","",""
"Viel zu gross","1984","Schleswig-Holstein","Alleinerziehende","","","",""
"Viel zu gross","1984","Schleswig-Holstein","Paar mit Kind(ern)","","","",""
"Viel zu gross","1984","Schleswig-Holstein","Sonstige","","","",""
"Viel zu gross","1984","Hamburg","1-Pers.-HH","","","",""
