,Unnamed: 0,year,age_gr,sampreg,pli0082,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
62,62,1998,30-45 y.,East,Never,0.06963,83,14102,0.06156,0.07896
63,63,1998,46-65 y.,West,At least once per week,0.0548,156,14102,0.04959,0.05928
64,64,1998,46-65 y.,West,At least once per month,0.26554,741,14102,0.25468,0.27818
65,65,1998,46-65 y.,West,Seldom,0.58012,1825,14102,0.56293,0.59883
66,66,1998,46-65 y.,West,Never,0.09954,367,14102,0.09207,0.10705
67,67,1998,46-65 y.,East,At least once per week,0.04284,61,14102,0.03684,0.04888
68,68,1998,46-65 y.,East,At least once per month,0.24519,313,14102,0.23282,0.26231
69,69,1998,46-65 y.,East,Seldom,0.61134,790,14102,0.58706,0.63632
70,70,1998,46-65 y.,East,Never,0.10063,103,14102,0.09093,0.11078
71,71,1998,66 and older,West,At least once per week,0.06424,84,14102,0.05724,0.07159
72,72,1998,66 and older,West,At least once per month,0.2343,308,14102,0.2233,0.24476
73,73,1998,66 and older,West,Seldom,0.49733,692,14102,0.47894,0.51604
74,74,1998,66 and older,West,Never,0.20413,277,14102,0.19329,0.21805
75,75,1998,66 and older,East,At least once per month,0.19475,94,14102,0.17891,0.21366
76,76,1998,66 and older,East,Seldom,0.53985,241,14102,0.51358,0.56894
77,77,1998,66 and older,East,Never,0.2654,114,14102,0.24748,0.2905
78,78,2003,17-29 y.,West,At least once per week,0.03492,103,22023,0.02795,0.04144
79,79,2003,17-29 y.,West,At least once per month,0.22498,695,22023,0.211,0.24073
80,80,2003,17-29 y.,West,Seldom,0.61702,1791,22023,0.59363,0.64326
81,81,2003,17-29 y.,West,Never,0.12309,326,22023,0.11201,0.13398
82,82,2003,17-29 y.,East,At least once per week,0.05075,55,22023,0.04189,0.06088
83,83,2003,17-29 y.,East,At least once per month,0.22396,243,22023,0.19973,0.25631
84,84,2003,17-29 y.,East,Seldom,0.63411,674,22023,0.59085,0.68014
85,85,2003,17-29 y.,East,Never,0.09118,94,22023,0.07873,0.107
86,86,2003,30-45 y.,West,At least once per week,0.04313,244,22023,0.03874,0.04773
87,87,2003,30-45 y.,West,At least once per month,0.26694,1501,22023,0.2563,0.27538
88,88,2003,30-45 y.,West,Seldom,0.59141,3180,22023,0.57515,0.60723
89,89,2003,30-45 y.,West,Never,0.09852,491,22023,0.09341,0.10445
90,90,2003,30-45 y.,East,At least once per week,0.04796,59,22023,0.03895,0.0565
91,91,2003,30-45 y.,East,At least once per month,0.25044,362,22023,0.23103,0.27309
92,92,2003,30-45 y.,East,Seldom,0.60529,928,22023,0.57587,0.63264
93,93,2003,30-45 y.,East,Never,0.09631,133,22023,0.08482,0.10616
94,94,2003,46-65 y.,West,At least once per week,0.04884,304,22023,0.04437,0.05328
95,95,2003,46-65 y.,West,At least once per month,0.25155,1541,22023,0.24187,0.26234
96,96,2003,46-65 y.,West,Seldom,0.5768,3235,22023,0.56067,0.59368
97,97,2003,46-65 y.,West,Never,0.12281,578,22023,0.11562,0.12938
98,98,2003,46-65 y.,East,At least once per week,0.04451,100,22023,0.03995,0.04984
99,99,2003,46-65 y.,East,At least once per month,0.24289,478,22023,0.22985,0.2603
100,100,2003,46-65 y.,East,Seldom,0.60345,1118,22023,0.57603,0.63303
101,101,2003,46-65 y.,East,Never,0.10915,175,22023,0.09869,0.11869
102,102,2003,66 and older,West,At least once per week,0.05286,161,22023,0.04838,0.05767
103,103,2003,66 and older,West,At least once per month,0.21604,630,22023,0.2045,0.22672
104,104,2003,66 and older,West,Seldom,0.4932,1320,22023,0.47603,0.50797
105,105,2003,66 and older,West,Never,0.2379,597,22023,0.23053,0.25068
106,106,2003,66 and older,East,At least once per week,0.04958,46,22023,0.04374,0.05682
107,107,2003,66 and older,East,At least once per month,0.1863,184,22023,0.17473,0.19762
108,108,2003,66 and older,East,Seldom,0.52124,476,22023,0.50126,0.54367
109,109,2003,66 and older,East,Never,0.24287,201,22023,0.22781,0.26046
110,110,2008,17-29 y.,West,At least once per week,0.01642,43,19199,0.01134,0.02175
111,111,2008,17-29 y.,West,At least once per month,0.1845,442,19199,0.16767,0.20166
112,112,2008,17-29 y.,West,Seldom,0.6344,1478,19199,0.6006,0.66733
113,113,2008,17-29 y.,West,Never,0.16467,358,19199,0.15052,0.17741
114,114,2008,17-29 y.,East,At least once per month,0.19465,158,19199,0.16555,0.21851
115,115,2008,17-29 y.,East,Seldom,0.58975,490,19199,0.53508,0.64659
116,116,2008,17-29 y.,East,Never,0.2156,149,19199,0.18534,0.25326
117,117,2008,30-45 y.,West,At least once per week,0.02478,94,19199,0.02149,0.02986
118,118,2008,30-45 y.,West,At least once per month,0.20909,898,19199,0.19649,0.22163
119,119,2008,30-45 y.,West,Seldom,0.63868,2546,19199,0.61837,0.65814
120,120,2008,30-45 y.,West,Never,0.12744,470,19199,0.11874,0.13865
121,121,2008,30-45 y.,East,At least once per week,0.02548,33,19199,0.01624,0.03439
122,122,2008,30-45 y.,East,At least once per month,0.20503,241,19199,0.18058,0.23458
123,123,2008,30-45 y.,East,Seldom,0.62234,727,19199,0.58232,0.66785
124,124,2008,30-45 y.,East,Never,0.14715,145,19199,0.12699,0.1702
125,125,2008,46-65 y.,West,At least once per week,0.03102,152,19199,0.02705,0.03525
126,126,2008,46-65 y.,West,At least once per month,0.20989,1173,19199,0.1982,0.22027
127,127,2008,46-65 y.,West,Seldom,0.5989,3035,19199,0.5804,0.61679
128,128,2008,46-65 y.,West,Never,0.16019,628,19199,0.15108,0.17064
129,129,2008,46-65 y.,East,At least once per week,0.02377,43,19199,0.01775,0.03107
130,130,2008,46-65 y.,East,At least once per month,0.19957,347,19199,0.181,0.21772
131,131,2008,46-65 y.,East,Seldom,0.6008,1041,19199,0.56582,0.62753
132,132,2008,46-65 y.,East,Never,0.17587,243,19199,0.16011,0.19895
133,133,2008,66 and older,West,At least once per week,0.03485,118,19199,0.03027,0.03938
134,134,2008,66 and older,West,At least once per month,0.19174,690,19199,0.18197,0.20111
135,135,2008,66 and older,West,Seldom,0.51345,1632,19199,0.49873,0.53222
136,136,2008,66 and older,West,Never,0.25996,712,19199,0.24985,0.27172
137,137,2008,66 and older,East,At least once per week,0.03909,46,19199,0.03252,0.0454
138,138,2008,66 and older,East,At least once per month,0.19327,231,19199,0.17373,0.20922
139,139,2008,66 and older,East,Seldom,0.5237,590,19199,0.49676,0.55224
140,140,2008,66 and older,East,Never,0.24393,246,19199,0.2294,0.2636
141,141,2013,17-29 y.,West,At least once per week,0.03539,115,25402,0.02818,0.04449
142,142,2013,17-29 y.,West,At least once per month,0.27845,801,25402,0.25591,0.30174
143,143,2013,17-29 y.,West,Seldom,0.59348,1668,25402,0.56777,0.6267
144,144,2013,17-29 y.,West,Never,0.09268,269,25402,0.07878,0.10613
145,145,2013,17-29 y.,East,At least once per week,0.04571,35,25402,0.02748,0.07246
146,146,2013,17-29 y.,East,At least once per month,0.26236,175,25402,0.2208,0.30349
147,147,2013,17-29 y.,East,Seldom,0.5527,360,25402,0.48743,0.6291
148,148,2013,17-29 y.,East,Never,0.13923,130,25402,0.11492,0.16866
149,149,2013,30-45 y.,West,At least once per week,0.04116,343,25402,0.035,0.04761
150,150,2013,30-45 y.,West,At least once per month,0.30585,1971,25402,0.28599,0.32602
151,151,2013,30-45 y.,West,Seldom,0.56059,3342,25402,0.53378,0.58725
152,152,2013,30-45 y.,West,Never,0.0924,623,25402,0.08401,0.10402
153,153,2013,30-45 y.,East,At least once per week,0.04808,98,25402,0.03229,0.07054
154,154,2013,30-45 y.,East,At least once per month,0.26554,448,25402,0.23555,0.30502
155,155,2013,30-45 y.,East,Seldom,0.59137,972,25402,0.54082,0.64928
156,156,2013,30-45 y.,East,Never,0.09501,183,25402,0.07482,0.12796
157,157,2013,46-65 y.,West,At least once per week,0.0352,254,25402,0.03076,0.03989
158,158,2013,46-65 y.,West,At least once per month,0.26701,1902,25402,0.25262,0.28053
159,159,2013,46-65 y.,West,Seldom,0.57753,3966,25402,0.55921,0.59541
160,160,2013,46-65 y.,West,Never,0.12026,762,25402,0.11223,0.12896
161,161,2013,46-65 y.,East,At least once per week,0.02571,69,25402,0.01935,0.03261
162,162,2013,46-65 y.,East,At least once per month,0.24764,551,25402,0.22892,0.26883
163,163,2013,46-65 y.,East,Seldom,0.57016,1150,25402,0.52932,0.60121
164,164,2013,46-65 y.,East,Never,0.15649,302,25402,0.13951,0.17305
165,165,2013,66 and older,West,At least once per week,0.04268,186,25402,0.03774,0.04736
166,166,2013,66 and older,West,At least once per month,0.23817,1000,25402,0.22458,0.24988
167,167,2013,66 and older,West,Seldom,0.48073,1744,25402,0.46437,0.49818
168,168,2013,66 and older,West,Never,0.23842,768,25402,0.22755,0.24922
169,169,2013,66 and older,East,At least once per week,0.03035,47,25402,0.02406,0.03974
170,170,2013,66 and older,East,At least once per month,0.21256,283,25402,0.19417,0.22922
171,171,2013,66 and older,East,Seldom,0.53714,644,25402,0.50658,0.5725
172,172,2013,66 and older,East,Never,0.21995,241,25402,0.20188,0.23946
173,173,2017,17-29 y.,West,At least once per week,0.10983,125,3732,0.08962,0.12818
174,174,2017,17-29 y.,West,At least once per month,0.22001,236,3732,0.18884,0.24896
175,175,2017,17-29 y.,West,Seldom,0.29592,404,3732,0.26667,0.32798
176,176,2017,17-29 y.,West,Never,0.37424,455,3732,0.34534,0.41398
177,177,2017,17-29 y.,East,Seldom,0.505,82,3732,0.40453,0.6143
178,178,2017,17-29 y.,East,Never,0.495,85,3732,0.41142,0.58377
179,179,2017,30-45 y.,West,At least once per week,0.07272,127,3732,0.0632,0.08363
180,180,2017,30-45 y.,West,At least once per month,0.16852,263,3732,0.14453,0.19123
181,181,2017,30-45 y.,West,Seldom,0.36912,573,3732,0.32823,0.41193
182,182,2017,30-45 y.,West,Never,0.38964,603,3732,0.35509,0.42496
183,183,2017,30-45 y.,East,At least once per month,0.13575,41,3732,0.07924,0.18297
184,184,2017,30-45 y.,East,Seldom,0.43682,112,3732,0.35873,0.51746
185,185,2017,30-45 y.,East,Never,0.42743,108,3732,0.33775,0.51021
186,186,2017,46-65 y.,West,At least once per week,0.04705,31,3732,0.03178,0.06898
187,187,2017,46-65 y.,West,At least once per month,0.17157,84,3732,0.13491,0.21393
188,188,2017,46-65 y.,West,Seldom,0.28711,180,3732,0.23807,0.33709
189,189,2017,46-65 y.,West,Never,0.49427,223,3732,0.41871,0.58253
190,190,2018,17-29 y.,West,At least once per week,0.19399,150,2993,0.16341,0.23085
191,191,2018,17-29 y.,West,At least once per month,0.30087,260,2993,0.26336,0.33502
192,192,2018,17-29 y.,West,Seldom,0.31877,316,2993,0.28773,0.35556
193,193,2018,17-29 y.,West,Never,0.18637,141,2993,0.15625,0.21858
194,194,2018,17-29 y.,East,At least once per week,0.33895,32,2993,0.23049,0.46797
195,195,2018,17-29 y.,East,Seldom,0.39418,55,2993,0.30462,0.48696
196,196,2018,17-29 y.,East,Never,0.26687,31,2993,0.19954,0.33842
197,197,2018,30-45 y.,West,At least once per week,0.15041,226,2993,0.129,0.17552
198,198,2018,30-45 y.,West,At least once per month,0.26165,337,2993,0.22648,0.30077
199,199,2018,30-45 y.,West,Seldom,0.35482,472,2993,0.31823,0.39379
200,200,2018,30-45 y.,West,Never,0.23312,255,2993,0.1978,0.26082
201,201,2018,30-45 y.,East,At least once per week,0.15135,43,2993,0.10269,0.21524
202,202,2018,30-45 y.,East,At least once per month,0.15231,53,2993,0.1175,0.18489
203,203,2018,30-45 y.,East,Seldom,0.4144,97,2993,0.3338,0.49641
204,204,2018,30-45 y.,East,Never,0.28194,62,2993,0.21905,0.34801
205,205,2018,46-65 y.,West,At least once per week,0.12174,71,2993,0.08125,0.1708
206,206,2018,46-65 y.,West,At least once per month,0.20131,109,2993,0.1555,0.25788
207,207,2018,46-65 y.,West,Seldom,0.3925,175,2993,0.33294,0.48145
208,208,2018,46-65 y.,West,Never,0.28445,108,2993,0.22854,0.34718
209,209,2019,17-29 y.,West,Daily,0.00228,38,28679,0.00139,0.00343
210,210,2019,17-29 y.,West,At least once per week,0.05226,296,28679,0.04257,0.06225
211,211,2019,17-29 y.,West,At least once per month,0.34499,1379,28679,0.32023,0.37401
212,212,2019,17-29 y.,West,Seldom,0.51813,1893,28679,0.48697,0.54908
213,213,2019,17-29 y.,West,Never,0.08234,373,28679,0.07123,0.09572
214,214,2019,17-29 y.,East,At least once per week,0.04109,43,28679,0.02832,0.05589
215,215,2019,17-29 y.,East,At least once per month,0.30692,234,28679,0.26824,0.34255
216,216,2019,17-29 y.,East,Seldom,0.56654,403,28679,0.4795,0.64484
217,217,2019,17-29 y.,East,Never,0.08546,85,28679,0.06004,0.10837
218,218,2019,30-45 y.,West,Daily,0.00157,44,28679,0.00042,0.00319
219,219,2019,30-45 y.,West,At least once per week,0.06316,524,28679,0.05263,0.07374
220,220,2019,30-45 y.,West,At least once per month,0.39567,2380,28679,0.37226,0.41824
221,221,2019,30-45 y.,West,Seldom,0.47183,2762,28679,0.44798,0.49953
222,222,2019,30-45 y.,West,Never,0.06776,555,28679,0.05876,0.07687
223,223,2019,30-45 y.,East,At least once per week,0.07391,108,28679,0.05264,0.09532
224,224,2019,30-45 y.,East,At least once per month,0.38202,548,28679,0.33767,0.42961
225,225,2019,30-45 y.,East,Seldom,0.46072,748,28679,0.41064,0.51267
226,226,2019,30-45 y.,East,Never,0.08334,152,28679,0.06368,0.10947
227,227,2019,46-65 y.,West,Daily,0.00115,32,28679,0.00043,0.00217
228,228,2019,46-65 y.,West,At least once per week,0.04025,452,28679,0.03532,0.04608
229,229,2019,46-65 y.,West,At least once per month,0.30439,2945,28679,0.28988,0.31889
230,230,2019,46-65 y.,West,Seldom,0.54626,4391,28679,0.5257,0.56728
231,231,2019,46-65 y.,West,Never,0.10795,798,28679,0.09816,0.11935
232,232,2019,46-65 y.,East,At least once per week,0.03752,120,28679,0.0297,0.04722
233,233,2019,46-65 y.,East,At least once per month,0.28505,780,28679,0.25916,0.31511
234,234,2019,46-65 y.,East,Seldom,0.56422,1220,28679,0.52564,0.60719
235,235,2019,46-65 y.,East,Never,0.11321,216,28679,0.09626,0.13118
236,236,2019,66 and older,West,At least once per week,0.04106,216,28679,0.03507,0.04798
237,237,2019,66 and older,West,At least once per month,0.26341,1186,28679,0.2478,0.28424
238,238,2019,66 and older,West,Seldom,0.49761,1846,28679,0.47547,0.52001
239,239,2019,66 and older,West,Never,0.19792,620,28679,0.1855,0.21031
240,240,2019,66 and older,East,At least once per week,0.04127,76,28679,0.03065,0.05296
241,241,2019,66 and older,East,At least once per month,0.2225,392,28679,0.20313,0.24338
242,242,2019,66 and older,East,Seldom,0.51918,612,28679,0.47579,0.56243
243,243,2019,66 and older,East,Never,0.21705,212,28679,0.1901,0.24389
