"year","regtyp","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2010","Staedtischer Raum","weiblich","5.62","5.5","8224","2","4","8","9","10","5.56","5.68","0","10","6","6"
"2011","Laendlicher Raum","maennlich","5.97","5.5","4176","2","5","8","9","10","5.89","6.05","0","10","6","7"
"2011","Laendlicher Raum","weiblich","5.54","5.5","4805","2","4","8","9","10","5.46","5.62","0","10","5","6"
"2011","Staedtischer Raum","maennlich","6.26","6.5","7323","3","5","8","9","10","6.2","6.32","0","10","7","7"
"2011","Staedtischer Raum","weiblich","5.82","5.5","8575","2","4","8","9","10","5.76","5.88","0","10","6","6"
"2012","Laendlicher Raum","maennlich","6.09","6.5","4384","3","5","8","9","10","6.02","6.16","0","10","7","7"
"2012","Laendlicher Raum","weiblich","5.71","5.5","5015","2","4","8","9","10","5.64","5.78","0","10","6","6"
"2012","Staedtischer Raum","maennlich","6.33","6.5","7440","3","5","8","9","10","6.28","6.38","0","10","7","7"
"2012","Staedtischer Raum","weiblich","5.9","5.5","8686","2","4","8","9","10","5.84","5.96","0","10","6","6"
"2013","Laendlicher Raum","maennlich","6.18","6.5","4226","2","5","8","9","10","6.11","6.25","0","10","7","7"
"2013","Laendlicher Raum","weiblich","5.82","5.5","4861","2","4","8","9","10","5.75","5.89","0","10","6","6"
"2013","Staedtischer Raum","maennlich","6.48","6.5","7172","3","5","8","9","10","6.42","6.54","0","10","7","7"
"2013","Staedtischer Raum","weiblich","6.02","5.5","8462","2","4","8","9","10","5.96","6.08","0","10","6","6"
"2014","Laendlicher Raum","maennlich","6.26","6.5","4328","3","5","8","9","10","6.19","6.33","0","10","7","7"
"2014","Laendlicher Raum","weiblich","5.84","5.5","4868","2","4","8","9","10","5.77","5.91","0","10","6","6"
"2014","Staedtischer Raum","maennlich","6.42","6.5","7881","3","5","8","9","10","6.37","6.47","0","10","7","7"
"2014","Staedtischer Raum","weiblich","5.99","5.5","9036","2","4","8","9","10","5.94","6.04","0","10","6","6"
"2015","Laendlicher Raum","maennlich","6.33","6.5","4248","3","5","8","9","10","6.26","6.4","0","10","7","7"
"2015","Laendlicher Raum","weiblich","6.08","6.5","4803","2","5","8","9","10","6.01","6.15","0","10","6","7"
"2015","Staedtischer Raum","maennlich","6.49","6.5","7833","3","5","8","9","10","6.44","6.54","0","10","7","7"
"2015","Staedtischer Raum","weiblich","6.2","6.5","8949","2","5","8","9","10","6.15","6.25","0","10","6","7"
"2016","Laendlicher Raum","maennlich","6.52","6.5","3965","3","5","8","9","10","6.45","6.59","0","10","7","7"
"2016","Laendlicher Raum","weiblich","6.17","6.5","4458","2","5","8","9","10","6.09","6.25","0","10","6","7"
"2016","Staedtischer Raum","maennlich","6.56","6.5","7227","3","5","8","9","10","6.51","6.61","0","10","7","7"
"2016","Staedtischer Raum","weiblich","6.28","6.5","8197","3","5","8","9","10","6.22","6.34","0","10","7","7"
"2017","Laendlicher Raum","maennlich","6.49","6.5","4777","3","5","8","9","10","6.42","6.56","0","10","7","7"
"2017","Laendlicher Raum","weiblich","6.24","6.5","5067","3","5","8","9","10","6.17","6.31","0","10","7","7"
"2017","Staedtischer Raum","maennlich","6.57","6.5","8681","3","5","8","9","10","6.52","6.62","0","10","7","7"
"2017","Staedtischer Raum","weiblich","6.33","6.5","9404","3","5","8","9","10","6.28","6.38","0","10","7","7"
"2018","Laendlicher Raum","maennlich","6.5","6.5","4650","3","5","8","9","10","6.43","6.57","0","10","7","7"
"2018","Laendlicher Raum","weiblich","6.06","6.5","5018","3","4","8","9","10","5.99","6.13","0","10","6","7"
"2018","Staedtischer Raum","maennlich","6.64","6.5","8870","3","5","8","9","10","6.59","6.69","0","10","7","7"
"2018","Staedtischer Raum","weiblich","6.28","6.5","9579","3","5","8","9","10","6.23","6.33","0","10","7","7"
"2019","Laendlicher Raum","maennlich","6.66","6.5","4711","3","5","8","9","10","6.59","6.73","0","10","7","7"
"2019","Laendlicher Raum","weiblich","6.37","6.5","4823","3","5","8","9","10","6.3","6.44","0","10","7","7"
"2019","Staedtischer Raum","maennlich","6.84","6.5","9012","4","6","8","9","10","6.79","6.89","0","10","7","7"
"2019","Staedtischer Raum","weiblich","6.49","6.5","9214","3","5","8","9","10","6.44","6.54","0","10","7","7"
"2020","Laendlicher Raum","maennlich","6.63","6.5","4627","3","5","8","9","10","6.56","6.7","0","10","7","7"
"2020","Laendlicher Raum","weiblich","6.43","6.5","4689","3","5","8","9","10","6.36","6.5","0","10","7","7"
"2020","Staedtischer Raum","maennlich","6.8","6.5","9526","4","6","8","9","10","6.75","6.85","0","10","7","7"
"2020","Staedtischer Raum","weiblich","6.39","6.5","9372","3","5","8","9","10","6.34","6.44","0","10","7","7"
