syear,migback,regtyp,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2010,No migration background,Urban regions,6.000898250521705,5.97890335312444,6.02289314791897,4.0,7.0,8.0,0.0,10.0,7.0,7.0,8.0,12095.0
2010,No migration background,Rural regions,5.746045472067736,5.7179485152654586,5.774142428870013,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,7385.0
2010,Direct migration background,Urban regions,5.082758608128017,5.02851595091287,5.137001265343165,3.0,5.0,7.0,0.0,10.0,5.0,4.0,5.0,2264.0
2010,Direct migration background,Rural regions,4.799309531136749,4.691216270345272,4.9074027919282255,3.0,5.0,7.0,0.0,10.0,5.0,5.0,5.0,613.0
2010,Indirect migration background,Urban regions,5.2266614982648605,5.137122487341686,5.316200509188035,3.0,5.0,7.0,0.0,10.0,5.0,4.0,5.0,866.0
2010,Indirect migration background,Rural regions,4.426448385744359,4.2281052719500725,4.624791499538645,2.0,4.192896436654316,7.0,0.0,10.0,4.0,3.0,5.0,184.0
2011,No migration background,Urban regions,6.173037579316949,6.152289421859326,6.193785736774572,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,12933.0
2011,No migration background,Rural regions,5.80551430681948,5.778399485118943,5.832629128520017,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,8096.0
2011,Direct migration background,Urban regions,5.419455845872679,5.364442566300832,5.474469125444525,4.0,6.0,8.0,0.0,10.0,6.0,6.0,7.0,2110.0
2011,Direct migration background,Rural regions,5.302468657280933,5.2003111787960785,5.404626135765787,3.0,5.0,8.0,0.0,10.0,5.0,4.0,5.0,645.0
2011,Indirect migration background,Urban regions,5.584443759494376,5.498115273945327,5.670772245043425,3.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,886.0
2011,Indirect migration background,Rural regions,5.308820902634348,5.122255693987,5.495386111281695,3.0,5.0,8.0,0.0,10.0,5.0,4.0,5.0,209.0
2012,No migration background,Urban regions,6.232887772772617,6.21242885060328,6.253346694941954,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,13169.0
2012,No migration background,Rural regions,5.9155094580326,5.889164674154687,5.941854241910514,4.0,6.0,8.0,0.0,10.0,6.0,5.974999999999994,6.0,8455.0
2012,Direct migration background,Urban regions,5.571870941108883,5.517985486859097,5.6257563953586684,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,2100.0
2012,Direct migration background,Rural regions,5.862657035532189,5.769056145491403,5.9562579255729755,4.0,6.0,8.0,0.0,10.0,6.0,5.0,6.0,717.0
2012,Indirect migration background,Urban regions,5.833962180010483,5.748437997619669,5.9194863624012966,4.0,6.0,8.0,0.0,10.0,6.0,5.0,6.0,878.0
2012,Indirect migration background,Rural regions,5.39354236873033,5.2140574849365064,5.573027252524153,3.019620003382766,6.0,7.0,0.0,10.0,6.0,5.0,7.0,206.0
2013,No migration background,Urban regions,6.325347173152606,6.304475430143788,6.3462189161614235,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,12826.0
2013,No migration background,Rural regions,6.024193867184625,5.997536680930392,6.0508510534388575,4.0,7.0,8.0,0.0,10.0,7.0,7.0,8.0,8205.0
2013,Direct migration background,Urban regions,5.775449382035136,5.720337569254844,5.830561194815428,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,1972.0
2013,Direct migration background,Rural regions,5.702288936996105,5.605677201540616,5.798900672451594,4.0,6.0,8.0,0.0,10.0,6.0,6.0,7.0,655.0
2013,Indirect migration background,Urban regions,5.934166422312777,5.8510550621089665,6.0172777825165875,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,860.0
2013,Indirect migration background,Rural regions,5.581025290240668,5.411164655261569,5.750885925219768,3.0,6.0,7.412237233498297,0.0,10.0,6.0,5.0,7.0,203.0
2014,No migration background,Urban regions,6.353210535481615,6.331989547389643,6.3744315235735876,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,11980.0
2014,No migration background,Rural regions,6.10382979028545,6.076399005994687,6.1312605745762125,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,7626.0
2014,Direct migration background,Urban regions,5.640612613243397,5.598873951078986,5.682351275407808,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,3676.0
2014,Direct migration background,Rural regions,5.662032499005348,5.591209438845149,5.7328555591655475,4.0,6.0,8.0,0.0,10.0,6.0,6.0,7.0,1263.0
2014,Indirect migration background,Urban regions,5.759210812425302,5.68828240728412,5.830139217566483,4.0,6.0,8.0,0.0,10.0,6.0,5.0,6.0,1283.0
2014,Indirect migration background,Rural regions,5.715883046573805,5.56380812542463,5.8679579677229805,4.0,6.0,8.0,0.0,10.0,6.0,5.0,6.0,285.0
2015,No migration background,Urban regions,6.493293136801838,6.471555867194694,6.5150304064089815,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,11340.0
2015,No migration background,Rural regions,6.238826473369771,6.211804243566676,6.265848703172867,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,7284.0
2015,Direct migration background,Urban regions,5.822061072475772,5.783946656582281,5.860175488369262,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,4257.0
2015,Direct migration background,Rural regions,5.893405417324581,5.827363966003529,5.9594468686456326,4.0,6.0,8.0,0.0,10.0,6.0,5.0,6.0,1468.0
2015,Indirect migration background,Urban regions,5.963576962806654,5.889514346326623,6.037639579286685,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,1210.0
2015,Indirect migration background,Rural regions,6.034942366659135,5.888540022614741,6.181344710703529,4.0,7.0,8.0,0.0,10.0,7.0,7.0,8.0,274.0
2016,No migration background,Urban regions,6.566746481679275,6.544834940311334,6.588658023047216,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,10568.0
2016,No migration background,Rural regions,6.399778836301013,6.372334710757842,6.427222961844183,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,6794.0
2016,Direct migration background,Urban regions,5.901045357192717,5.8611562441718625,5.940934470213572,4.0,6.0,8.0,0.0,10.0,6.0,5.0,6.0,3756.0
2016,Direct migration background,Rural regions,5.944635714612716,5.873578995842011,6.01569243338342,4.0,7.0,8.0,0.0,10.0,7.0,7.0,8.0,1329.0
2016,Indirect migration background,Urban regions,6.137446345391234,6.058829200035608,6.216063490746859,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0249999999999995,1117.0
2016,Indirect migration background,Rural regions,6.111865319184447,5.960807572054128,6.262923066314766,4.07006889796184,7.0,8.0,0.0,10.0,7.0,7.0,8.0,283.0
2017,No migration background,Urban regions,6.619211911206474,6.598635643870147,6.6397881785428,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,11930.0
2017,No migration background,Rural regions,6.408517225866737,6.383011363450338,6.434023088283135,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,7700.0
2017,Direct migration background,Urban regions,5.847771318401899,5.81250137010667,5.883041266697129,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,4915.0
2017,Direct migration background,Rural regions,6.001360414532324,5.944590973291621,6.058129855773027,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,1842.0
2017,Indirect migration background,Urban regions,6.150675737830868,6.079455427007553,6.221896048654183,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,1267.0
2017,Indirect migration background,Rural regions,6.447959680880834,6.300226813435101,6.595692548326568,5.0,7.0,8.0,0.5,10.0,7.0,6.0,7.0,275.0
2018,No migration background,Urban regions,6.629339753398194,6.608761032717303,6.649918474079086,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,11646.0
2018,No migration background,Rural regions,6.342567497219513,6.316509883481175,6.3686251109578516,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,7352.0
2018,Direct migration background,Urban regions,5.84792135377833,5.816677168666071,5.879165538890589,5.0,6.0,8.0,0.5,10.0,6.0,6.0,6.0,5582.0
2018,Direct migration background,Rural regions,5.638015122371627,5.584463466060479,5.691566778682775,4.0,6.0,8.0,0.0,10.0,6.0,6.0,7.0,2008.0
2018,Indirect migration background,Urban regions,6.261316976669787,6.194443781562087,6.328190171777487,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,1246.0
2018,Indirect migration background,Rural regions,6.701162567135556,6.5760320822580445,6.826293052013068,5.0,7.0,8.0,0.5,10.0,7.0,6.0,7.0,283.0
2019,No migration background,Urban regions,6.828300477047809,6.808465727477437,6.84813522661818,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,11910.0
2019,No migration background,Rural regions,6.584078470373928,6.558524859333588,6.609632081414269,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,7368.0
2019,Direct migration background,Urban regions,6.070706823715962,6.037199929326195,6.104213718105728,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0,5103.0
2019,Direct migration background,Rural regions,5.946032683928557,5.8889544505895435,6.003110917267571,4.0,6.0,8.0,0.0,10.0,6.0,5.0,6.0,1819.0
2019,Indirect migration background,Urban regions,6.490843565720341,6.421847726719428,6.559839404721253,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,1177.0
2019,Indirect migration background,Rural regions,6.539781516770284,6.395905764703979,6.683657268836589,5.0,7.0,8.0,0.5,10.0,7.0,6.0,7.0,284.0
2020,No migration background,Urban regions,6.787546903438206,6.767268909914193,6.807824896962218,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,11339.0
2020,No migration background,Rural regions,6.615420789220336,6.588984398109099,6.641857180331572,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,6853.0
2020,Direct migration background,Urban regions,5.948575448154189,5.918599446985154,5.978551449323224,4.0,6.0,8.0,0.0,10.0,6.0,5.0,6.0,6362.0
2020,Direct migration background,Rural regions,5.855302321763582,5.801142159425002,5.909462484102162,4.0,6.0,8.0,0.0,10.0,6.0,5.0,6.0,2107.0
2020,Indirect migration background,Urban regions,6.160927716157427,6.093467745509925,6.228387686804928,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,1182.0
2020,Indirect migration background,Rural regions,6.444582273054077,6.312345496874521,6.576819049233633,5.0,7.0,8.0,0.5,10.0,7.0,6.0,8.0,271.0
2021,No migration background,Urban regions,7.073572831530688,7.049830771222187,7.09731489183919,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,8173.0
2021,No migration background,Rural regions,6.857234819397126,6.825953495845202,6.88851614294905,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,4813.0
2021,Direct migration background,Urban regions,6.161545909390199,6.124578518643502,6.198513300136896,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0,3971.0
2021,Direct migration background,Rural regions,6.0058823365797736,5.932372000538835,6.079392672620712,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,1121.0
2021,Indirect migration background,Urban regions,6.649473117890253,6.565575621637823,6.733370614142682,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,720.0
2021,Indirect migration background,Rural regions,6.850073322679095,6.6986339699909765,7.001512675367214,5.0,7.0,8.0,0.5,10.0,7.0,6.0,7.0,181.0
