year,hhtyp,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Single-person household,No,0.94564,1300,1357,0.93357,0.95771
1994,Couple without children,Yes,0.04993,74,1764,0.03976,0.06009
1994,Couple without children,No,0.94598,1690,1764,0.93543,0.95653
1994,Single parent,No,0.93869,343,343,0.91327,0.96412
1994,Couple with children,Yes,0.02185,52,2691,0.01633,0.02738
1994,Couple with children,No,0.97092,2639,2691,0.96456,0.97727
1994,Multi-generational household,No,0.77345,112,112,0.69558,0.85133
1994,Other Combinations,Yes,0.20332,31,167,0.14210,0.26455
1994,Other Combinations,No,0.79160,136,167,0.72981,0.85339
1995,Single-person household,Yes,0.05790,66,1395,0.04564,0.07016
1995,Single-person household,No,0.93298,1329,1395,0.91986,0.94611
1995,Couple without children,Yes,0.05124,74,1824,0.04112,0.06137
1995,Couple without children,No,0.94787,1750,1824,0.93766,0.95807
1995,Single parent,No,0.97057,366,366,0.95324,0.98791
1995,Couple with children,Yes,0.02212,57,2760,0.01663,0.02761
1995,Couple with children,No,0.96909,2703,2760,0.96263,0.97555
1995,Multi-generational household,No,0.73098,108,108,0.64696,0.81501
1995,Other Combinations,No,0.84424,142,142,0.78438,0.90410
1996,Single-person household,Yes,0.03947,51,1423,0.02935,0.04959
1996,Single-person household,No,0.95122,1372,1423,0.94003,0.96242
1996,Couple without children,Yes,0.05423,79,1839,0.04388,0.06459
1996,Couple without children,No,0.94382,1760,1839,0.93329,0.95434
1996,Single parent,No,0.96341,374,374,0.94436,0.98247
1996,Couple with children,Yes,0.02427,58,2673,0.01843,0.03010
1996,Couple with children,No,0.97090,2615,2673,0.96453,0.97727
1996,Multi-generational household,No,0.70977,95,95,0.61802,0.80152
1996,Other Combinations,No,0.87526,138,138,0.81993,0.93059
1997,Single-person household,Yes,0.04191,49,1398,0.03140,0.05242
1997,Single-person household,No,0.95431,1349,1398,0.94336,0.96526
1997,Couple without children,Yes,0.04955,78,1876,0.03973,0.05938
1997,Couple without children,No,0.94931,1798,1876,0.93938,0.95924
1997,Single parent,No,0.95984,379,379,0.94005,0.97963
1997,Couple with children,Yes,0.02247,52,2589,0.01676,0.02818
1997,Couple with children,No,0.97485,2537,2589,0.96882,0.98088
1997,Multi-generational household,No,0.77525,96,96,0.69131,0.85919
1997,Other Combinations,No,0.85374,134,134,0.79368,0.91379
1998,Single-person household,Yes,0.04246,58,1705,0.03288,0.05203
1998,Single-person household,No,0.95630,1647,1705,0.94659,0.96601
1998,Couple without children,Yes,0.04673,88,2178,0.03787,0.05560
1998,Couple without children,No,0.95174,2090,2178,0.94274,0.96074
1998,Single parent,No,0.96472,435,435,0.94736,0.98208
1998,Couple with children,Yes,0.01936,53,2815,0.01427,0.02445
1998,Couple with children,No,0.98021,2762,2815,0.97507,0.98536
1998,Multi-generational household,No,0.81262,86,86,0.72966,0.89558
1998,Other Combinations,Yes,0.20486,33,161,0.14232,0.26740
1998,Other Combinations,No,0.79514,128,161,0.73260,0.85768
1999,Single-person household,Yes,0.05359,68,1638,0.04268,0.06450
1999,Single-person household,No,0.94641,1570,1638,0.93550,0.95732
1999,Couple without children,Yes,0.04662,83,2156,0.03772,0.05552
1999,Couple without children,No,0.95338,2073,2156,0.94448,0.96228
1999,Single parent,No,0.95537,432,432,0.93587,0.97486
1999,Couple with children,Yes,0.01775,49,2732,0.01279,0.02270
1999,Couple with children,No,0.98206,2683,2732,0.97708,0.98704
1999,Multi-generational household,No,0.76826,79,79,0.67462,0.86190
1999,Other Combinations,No,0.59816,43,43,0.44988,0.74643
2000,Single-person household,Yes,0.03797,109,3260,0.03141,0.04453
2000,Single-person household,No,0.96203,3151,3260,0.95547,0.96859
2000,Couple without children,Yes,0.03969,145,3968,0.03362,0.04577
2000,Couple without children,No,0.96031,3823,3968,0.95423,0.96638
2000,Single parent,No,0.96506,740,740,0.95182,0.97830
2000,Couple with children,Yes,0.02209,106,4630,0.01786,0.02633
2000,Couple with children,No,0.97791,4524,4630,0.97367,0.98214
2000,Multi-generational household,Yes,0.29309,47,169,0.22426,0.36192
2000,Multi-generational household,No,0.70691,122,169,0.63808,0.77574
2000,Other Combinations,Yes,0.36022,58,160,0.28560,0.43484
2000,Other Combinations,No,0.63978,102,160,0.56516,0.71440
2001,Single-person household,Yes,0.03417,87,2926,0.02759,0.04076
2001,Single-person household,No,0.96583,2839,2926,0.95924,0.97241
2001,Couple without children,Yes,0.04590,147,3587,0.03905,0.05275
2001,Couple without children,No,0.95277,3440,3587,0.94582,0.95971
2001,Single parent,No,0.96805,682,682,0.95484,0.98126
2001,Couple with children,Yes,0.02707,109,4174,0.02214,0.03199
2001,Couple with children,No,0.97270,4065,4174,0.96775,0.97764
2001,Multi-generational household,Yes,0.22625,36,159,0.16101,0.29149
2001,Multi-generational household,No,0.77375,123,159,0.70851,0.83899
2001,Other Combinations,Yes,0.37387,50,125,0.28871,0.45903
2001,Other Combinations,No,0.62613,75,125,0.54097,0.71129
2002,Single-person household,Yes,0.03959,100,2937,0.03253,0.04664
2002,Single-person household,No,0.96041,2837,2937,0.95336,0.96747
2002,Couple without children,Yes,0.04667,149,3902,0.04005,0.05329
2002,Couple without children,No,0.95333,3753,3902,0.94671,0.95995
2002,Single parent,No,0.96130,681,681,0.94681,0.97580
2002,Couple with children,Yes,0.02430,96,4384,0.01974,0.02886
2002,Couple with children,No,0.97570,4288,4384,0.97114,0.98026
2002,Multi-generational household,No,0.80201,123,123,0.73130,0.87272
2002,Other Combinations,Yes,0.40574,50,129,0.32067,0.49080
2002,Other Combinations,No,0.59426,79,129,0.50920,0.67933
2003,Single-person household,Yes,0.04223,101,2915,0.03493,0.04953
2003,Single-person household,No,0.95777,2814,2915,0.95047,0.96507
2003,Couple without children,Yes,0.04874,159,3818,0.04191,0.05557
2003,Couple without children,No,0.95126,3659,3818,0.94443,0.95809
2003,Single parent,No,0.96776,676,676,0.95444,0.98109
2003,Couple with children,Yes,0.02478,99,4134,0.02004,0.02952
2003,Couple with children,No,0.97454,4035,4134,0.96973,0.97934
2003,Multi-generational household,No,0.82111,101,101,0.74599,0.89623
2003,Other Combinations,Yes,0.46891,51,114,0.37689,0.56092
2003,Other Combinations,No,0.53109,63,114,0.43908,0.62311
2004,Single-person household,Yes,0.04307,105,2858,0.03563,0.05052
2004,Single-person household,No,0.95693,2753,2858,0.94948,0.96437
2004,Couple without children,Yes,0.05564,182,3819,0.04837,0.06291
2004,Couple without children,No,0.94436,3637,3819,0.93709,0.95163
2004,Single parent,No,0.96106,657,657,0.94626,0.97587
2004,Couple with children,Yes,0.02294,90,3962,0.01828,0.02760
2004,Couple with children,No,0.97706,3872,3962,0.97240,0.98172
2004,Multi-generational household,No,0.82668,92,92,0.74890,0.90445
2004,Other Combinations,Yes,0.46039,47,109,0.36639,0.55440
2004,Other Combinations,No,0.53961,62,109,0.44560,0.63361
2005,Single-person household,Yes,0.03931,99,2905,0.03224,0.04638
2005,Single-person household,No,0.96069,2806,2905,0.95362,0.96776
2005,Couple without children,Yes,0.04892,160,3692,0.04196,0.05588
2005,Couple without children,No,0.95108,3532,3692,0.94412,0.95804
2005,Single parent,No,0.97146,673,673,0.95887,0.98405
2005,Couple with children,Yes,0.02376,86,3702,0.01885,0.02867
2005,Couple with children,No,0.97624,3616,3702,0.97133,0.98115
2005,Multi-generational household,No,0.84938,90,90,0.77506,0.92369
2005,Other Combinations,Yes,0.49136,41,100,0.39288,0.58984
2005,Other Combinations,No,0.50864,59,100,0.41016,0.60712
2006,Single-person household,Yes,0.03774,105,3288,0.03122,0.04425
2006,Single-person household,No,0.96226,3183,3288,0.95575,0.96878
2006,Couple without children,Yes,0.05604,205,4158,0.04905,0.06303
2006,Couple without children,No,0.94396,3953,4158,0.93697,0.95095
2006,Single parent,No,0.96893,749,749,0.95650,0.98137
2006,Couple with children,Yes,0.02799,102,3837,0.02277,0.03321
2006,Couple with children,No,0.97201,3735,3837,0.96679,0.97723
2006,Multi-generational household,No,0.78721,82,82,0.69808,0.87634
2006,Other Combinations,Yes,0.39684,39,105,0.30281,0.49087
2006,Other Combinations,No,0.60316,66,105,0.50913,0.69719
2007,Single-person household,Yes,0.03501,88,3109,0.02855,0.04148
2007,Single-person household,No,0.96499,3021,3109,0.95852,0.97145
2007,Couple without children,Yes,0.05626,195,3875,0.04901,0.06352
2007,Couple without children,No,0.94312,3680,3875,0.93582,0.95041
2007,Single parent,No,0.97110,691,691,0.95860,0.98360
2007,Couple with children,Yes,0.02744,96,3576,0.02209,0.03280
2007,Couple with children,No,0.97256,3480,3576,0.96720,0.97791
2007,Multi-generational household,No,0.75163,68,68,0.64817,0.85509
2007,Other Combinations,Yes,0.41268,36,91,0.31097,0.51440
2007,Other Combinations,No,0.58732,55,91,0.48560,0.68903
2008,Single-person household,Yes,0.03398,83,2985,0.02748,0.04048
2008,Single-person household,No,0.96562,2902,2985,0.95908,0.97216
2008,Couple without children,Yes,0.05480,175,3733,0.04750,0.06211
2008,Couple without children,No,0.94425,3558,3733,0.93689,0.95161
2008,Single parent,No,0.97583,666,666,0.96416,0.98750
2008,Couple with children,Yes,0.02858,88,3266,0.02286,0.03430
2008,Couple with children,No,0.97142,3178,3266,0.96570,0.97714
2008,Multi-generational household,No,0.70511,60,60,0.58875,0.82147
2008,Other Combinations,No,0.62228,47,47,0.48218,0.76239
2009,Single-person household,Yes,0.03928,103,2847,0.03214,0.04642
2009,Single-person household,No,0.96072,2744,2847,0.95358,0.96786
2009,Couple without children,Yes,0.05561,179,3550,0.04807,0.06315
2009,Couple without children,No,0.94439,3371,3550,0.93685,0.95193
2009,Single parent,No,0.96911,617,617,0.95544,0.98277
2009,Couple with children,Yes,0.02508,72,3009,0.01949,0.03067
2009,Couple with children,No,0.97492,2937,3009,0.96933,0.98051
2009,Multi-generational household,No,0.67038,51,51,0.54008,0.80068
2009,Other Combinations,No,0.62422,46,46,0.48271,0.76573
2010,Single-person household,Yes,0.03254,81,2698,0.02584,0.03924
2010,Single-person household,No,0.96746,2617,2698,0.96076,0.97416
2010,Couple without children,Yes,0.05180,157,3372,0.04432,0.05928
2010,Couple without children,No,0.94820,3215,3372,0.94072,0.95568
2010,Single parent,Yes,0.04022,44,1848,0.03126,0.04918
2010,Single parent,No,0.95978,1804,1848,0.95082,0.96874
2010,Couple with children,Yes,0.03168,141,5713,0.02714,0.03622
2010,Couple with children,No,0.96832,5572,5713,0.96378,0.97286
2010,Multi-generational household,No,0.71284,79,79,0.61244,0.81325
2010,Other Combinations,No,0.62647,45,45,0.48353,0.76940
2011,Single-person household,Yes,0.03066,98,3535,0.02498,0.03635
2011,Single-person household,No,0.96934,3437,3535,0.96365,0.97502
2011,Couple without children,Yes,0.04520,191,4374,0.03904,0.05136
2011,Couple without children,No,0.95480,4183,4374,0.94864,0.96096
2011,Single parent,Yes,0.03170,48,2306,0.02455,0.03886
2011,Single parent,No,0.96830,2258,2306,0.96114,0.97545
2011,Couple with children,Yes,0.02951,167,6167,0.02528,0.03373
2011,Couple with children,No,0.97039,6000,6167,0.96616,0.97462
2011,Multi-generational household,No,0.78795,97,97,0.70618,0.86972
2011,Other Combinations,No,0.69390,70,70,0.58515,0.80264
2012,Single-person household,Yes,0.03628,120,3683,0.03024,0.04232
2012,Single-person household,No,0.96372,3563,3683,0.95768,0.96976
2012,Couple without children,Yes,0.04356,195,4450,0.03756,0.04956
2012,Couple without children,No,0.95644,4255,4450,0.95044,0.96244
2012,Single parent,Yes,0.03209,46,2179,0.02469,0.03949
2012,Single parent,No,0.96791,2133,2179,0.96051,0.97531
2012,Couple with children,Yes,0.02701,142,5774,0.02282,0.03119
2012,Couple with children,No,0.97299,5632,5774,0.96881,0.97718
2012,Multi-generational household,No,0.76557,96,96,0.68038,0.85076
2012,Other Combinations,Yes,0.56922,40,98,0.47068,0.66777
2012,Other Combinations,No,0.43078,58,98,0.33223,0.52932
2013,Single-person household,Yes,0.02661,95,3844,0.02152,0.03169
2013,Single-person household,No,0.97339,3749,3844,0.96831,0.97848
2013,Couple without children,Yes,0.05073,220,4639,0.04441,0.05704
2013,Couple without children,No,0.94927,4419,4639,0.94296,0.95559
2013,Single parent,Yes,0.04091,60,2245,0.03271,0.04910
2013,Single parent,No,0.95909,2185,2245,0.95090,0.96729
2013,Couple with children,Yes,0.02932,183,6641,0.02526,0.03338
2013,Couple with children,No,0.97068,6458,6641,0.96662,0.97474
2013,Multi-generational household,Yes,0.25968,33,145,0.18806,0.33129
2013,Multi-generational household,No,0.74032,112,145,0.66871,0.81194
2013,Other Combinations,Yes,0.30763,58,356,0.25962,0.35564
2013,Other Combinations,No,0.69237,298,356,0.64436,0.74038
2014,Single-person household,Yes,0.03065,112,3565,0.02499,0.03631
2014,Single-person household,No,0.96924,3453,3565,0.96358,0.97491
2014,Couple without children,Yes,0.05508,225,4362,0.04831,0.06185
2014,Couple without children,No,0.94425,4137,4362,0.93744,0.95106
2014,Single parent,Yes,0.04421,60,1815,0.03475,0.05367
2014,Single parent,No,0.95579,1755,1815,0.94633,0.96525
2014,Couple with children,Yes,0.02943,165,5700,0.02505,0.03382
2014,Couple with children,No,0.97057,5535,5700,0.96618,0.97495
2014,Multi-generational household,No,0.85511,99,99,0.78542,0.92480
2014,Other Combinations,Yes,0.27702,46,261,0.22262,0.33142
2014,Other Combinations,No,0.72298,215,261,0.66858,0.77738
2015,Single-person household,Yes,0.03250,98,3627,0.02673,0.03828
2015,Single-person household,No,0.96750,3529,3627,0.96172,0.97327
2015,Couple without children,Yes,0.04749,197,4376,0.04118,0.05379
2015,Couple without children,No,0.95251,4179,4376,0.94621,0.95882
2015,Single parent,Yes,0.05914,64,1711,0.04796,0.07032
2015,Single parent,No,0.94086,1647,1711,0.92968,0.95204
2015,Couple with children,Yes,0.02485,142,5659,0.02080,0.02891
2015,Couple with children,No,0.97515,5517,5659,0.97109,0.97920
2015,Multi-generational household,No,0.79142,111,111,0.71550,0.86735
2015,Other Combinations,Yes,0.25703,49,251,0.20286,0.31120
2015,Other Combinations,No,0.74297,202,251,0.68880,0.79714
2016,Single-person household,Yes,0.03636,110,3803,0.03041,0.04231
2016,Single-person household,No,0.96361,3693,3803,0.95766,0.96956
2016,Couple without children,Yes,0.05379,205,4158,0.04693,0.06064
2016,Couple without children,No,0.94564,3953,4158,0.93875,0.95254
2016,Single parent,Yes,0.06494,86,1707,0.05325,0.07664
2016,Single parent,No,0.93506,1621,1707,0.92336,0.94675
2016,Couple with children,Yes,0.03112,251,6202,0.02680,0.03544
2016,Couple with children,No,0.96883,5951,6202,0.96451,0.97316
2016,Multi-generational household,Yes,0.16984,42,146,0.10872,0.23096
2016,Multi-generational household,No,0.83016,104,146,0.76904,0.89128
2016,Other Combinations,Yes,0.24261,61,384,0.19968,0.28554
2016,Other Combinations,No,0.75693,323,384,0.71397,0.79989
2017,Single-person household,Yes,0.03739,114,4292,0.03172,0.04307
2017,Single-person household,No,0.96259,4178,4292,0.95691,0.96827
2017,Couple without children,Yes,0.05662,223,4710,0.05002,0.06322
2017,Couple without children,No,0.94268,4487,4710,0.93605,0.94932
2017,Single parent,Yes,0.05980,83,1761,0.04872,0.07087
2017,Single parent,No,0.93824,1678,1761,0.92699,0.94948
2017,Couple with children,Yes,0.02921,255,6829,0.02521,0.03320
2017,Couple with children,No,0.97077,6574,6829,0.96678,0.97477
2017,Multi-generational household,Yes,0.29854,44,163,0.22807,0.36901
2017,Multi-generational household,No,0.70146,119,163,0.63099,0.77193
2017,Other Combinations,Yes,0.16454,63,516,0.13251,0.19656
2017,Other Combinations,No,0.82947,453,516,0.79699,0.86195
2018,Single-person household,Yes,0.03988,139,4460,0.03413,0.04562
2018,Single-person household,No,0.96012,4321,4460,0.95438,0.96587
2018,Couple without children,Yes,0.06150,242,4636,0.05459,0.06842
2018,Couple without children,No,0.93840,4394,4636,0.93148,0.94532
2018,Single parent,Yes,0.05035,88,1740,0.04007,0.06063
2018,Single parent,No,0.94887,1652,1740,0.93852,0.95922
2018,Couple with children,Yes,0.02749,272,6467,0.02351,0.03148
2018,Couple with children,No,0.97251,6195,6467,0.96852,0.97649
2018,Multi-generational household,Yes,0.26617,54,161,0.19769,0.33465
2018,Multi-generational household,No,0.73383,107,161,0.66535,0.80231
2018,Other Combinations,Yes,0.21050,68,411,0.17104,0.24996
2018,Other Combinations,No,0.78950,343,411,0.75004,0.82896
2019,Single-person household,Yes,0.03694,125,4595,0.03149,0.04240
2019,Single-person household,No,0.96306,4470,4595,0.95760,0.96851
2019,Couple without children,Yes,0.06640,274,5170,0.05961,0.07319
2019,Couple without children,No,0.93355,4896,5170,0.92676,0.94034
2019,Single parent,Yes,0.06073,87,1622,0.04910,0.07236
2019,Single parent,No,0.93927,1535,1622,0.92764,0.95090
2019,Couple with children,Yes,0.02921,248,6528,0.02512,0.03329
2019,Couple with children,No,0.97079,6280,6528,0.96671,0.97488
2019,Multi-generational household,Yes,0.35835,41,139,0.27834,0.43835
2019,Multi-generational household,No,0.64165,98,139,0.56165,0.72166
2019,Other Combinations,Yes,0.15380,57,373,0.11714,0.19046
2019,Other Combinations,No,0.84620,316,373,0.80954,0.88286
2020,Single-person household,Yes,0.04158,140,5338,0.03622,0.04693
2020,Single-person household,No,0.95683,5198,5338,0.95138,0.96229
2020,Couple without children,Yes,0.06556,254,5170,0.05881,0.07231
2020,Couple without children,No,0.93265,4916,5170,0.92582,0.93948
2020,Single parent,Yes,0.06983,87,1598,0.05733,0.08233
2020,Single parent,No,0.92797,1511,1598,0.91529,0.94065
2020,Couple with children,Yes,0.02660,248,6557,0.02270,0.03049
2020,Couple with children,No,0.96986,6309,6557,0.96573,0.97400
2020,Multi-generational household,Yes,0.32065,40,148,0.24520,0.39610
2020,Multi-generational household,No,0.67935,108,148,0.60390,0.75480
2020,Other Combinations,Yes,0.18766,59,479,0.15266,0.22267
2020,Other Combinations,No,0.81149,420,479,0.77643,0.84656
2021,Single-person household,Yes,0.04246,102,3525,0.03580,0.04911
2021,Single-person household,No,0.95476,3423,3525,0.94789,0.96162
2021,Couple without children,Yes,0.07396,206,3484,0.06526,0.08265
2021,Couple without children,No,0.92604,3278,3484,0.91735,0.93474
2021,Single parent,Yes,0.08640,65,1025,0.06919,0.10361
2021,Single parent,No,0.91345,960,1025,0.89623,0.93068
2021,Couple with children,Yes,0.03791,230,4009,0.03200,0.04383
2021,Couple with children,No,0.96171,3779,4009,0.95577,0.96765
2021,Multi-generational household,No,0.77845,67,67,0.67826,0.87864
2021,Other Combinations,Yes,0.20008,54,354,0.15835,0.24182
2021,Other Combinations,No,0.79873,300,354,0.75690,0.84056
2022,Single-person household,Yes,0.04741,171,5823,0.04195,0.05287
2022,Single-person household,No,0.94795,5652,5823,0.94224,0.95365
2022,Couple without children,Yes,0.07042,276,5775,0.06382,0.07702
2022,Couple without children,No,0.92576,5499,5775,0.91900,0.93252
2022,Single parent,Yes,0.05856,72,1229,0.04543,0.07170
2022,Single parent,No,0.93997,1157,1229,0.92668,0.95325
2022,Couple with children,Yes,0.03691,271,5827,0.03207,0.04176
2022,Couple with children,No,0.96147,5556,5827,0.95653,0.96641
2022,Multi-generational household,No,0.67735,73,73,0.56936,0.78533
2022,Other Combinations,Yes,0.09898,85,1181,0.08194,0.11602
2022,Other Combinations,No,0.89420,1096,1181,0.87664,0.91175
