year,hhtyp,rentown,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Other Combinations,Tenant,No,0.92461,50,50,0.85069,0.99854
2016,Single-person household,Owner,No,0.98617,917,917,0.97861,0.99374
2016,Single-person household,Tenant,Yes,0.02466,49,2455,0.01852,0.03079
2016,Single-person household,Tenant,No,0.97534,2406,2455,0.96921,0.98148
2016,Couple without children,Owner,Yes,0.02182,60,2222,0.01574,0.02789
2016,Couple without children,Owner,No,0.97818,2162,2222,0.97211,0.98426
2016,Couple without children,Tenant,Yes,0.03164,47,1875,0.02371,0.03956
2016,Couple without children,Tenant,No,0.96836,1828,1875,0.96044,0.97629
2016,Single parent,Owner,No,0.97480,367,367,0.95875,0.99086
2016,Single parent,Tenant,Yes,0.04088,45,1142,0.02939,0.05237
2016,Single parent,Tenant,No,0.95912,1097,1142,0.94763,0.97061
2016,Couple with children,Owner,Yes,0.04045,118,2662,0.03296,0.04793
2016,Couple with children,Owner,No,0.95955,2544,2662,0.95207,0.96704
2016,Couple with children,Tenant,Yes,0.03495,81,2328,0.02749,0.04241
2016,Couple with children,Tenant,No,0.96505,2247,2328,0.95759,0.97251
2016,Multi-generational household,Tenant,No,0.95284,52,52,0.89467,1.01102
2016,Other Combinations,Owner,No,0.93730,47,47,0.86725,1.00736
2016,Other Combinations,Tenant,No,0.95432,136,136,0.91910,0.98954
2021,Single-person household,Owner,No,0.98362,848,848,0.97507,0.99217
2021,Single-person household,Tenant,No,0.97123,2296,2296,0.96439,0.97807
2021,Couple without children,Owner,Yes,0.02815,51,1924,0.02076,0.03554
2021,Couple without children,Owner,No,0.97184,1873,1924,0.96444,0.97923
2021,Couple without children,Tenant,No,0.97517,1465,1465,0.96720,0.98314
2021,Single parent,Owner,No,0.99825,247,247,0.99304,1.00347
2021,Single parent,Tenant,No,0.94850,626,626,0.93117,0.96583
2021,Couple with children,Owner,Yes,0.02926,72,1881,0.02164,0.03688
2021,Couple with children,Owner,No,0.96724,1809,1881,0.95919,0.97529
2021,Couple with children,Tenant,Yes,0.02432,38,1278,0.01587,0.03277
2021,Couple with children,Tenant,No,0.92278,1240,1278,0.90814,0.93742
2021,Multi-generational household,Owner,No,0.93097,38,38,0.84929,1.01266
2021,Multi-generational household,Tenant,No,0.96819,34,34,0.90832,1.02807
2021,Other Combinations,Owner,No,0.99547,105,105,0.98256,1.00838
2021,Other Combinations,Tenant,No,0.94527,155,155,0.90935,0.98120
