year,hhtyp,sampreg,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single parent,West,Yes,0.03160,44,1188,0.02165,0.04156
2016,Single parent,West,No,0.96285,1144,1188,0.95209,0.97361
2016,Single parent,East,No,0.93271,320,320,0.90522,0.96020
2016,Couple with children,West,Yes,0.03522,150,4169,0.02963,0.04082
2016,Couple with children,West,No,0.95749,4019,4169,0.95137,0.96362
2016,Couple with children,East,Yes,0.05356,49,821,0.03815,0.06897
2016,Couple with children,East,No,0.93722,772,821,0.92061,0.95382
2016,Multi-generational household,West,No,0.97063,80,80,0.93339,1.00786
2016,Other Combinations,West,No,0.91191,157,157,0.86743,0.95639
2021,Single-person household,West,No,0.97786,2451,2451,0.97203,0.98369
2021,Single-person household,East,No,0.96464,694,694,0.95089,0.97839
2021,Couple without children,West,Yes,0.02178,48,2595,0.01617,0.02740
2021,Couple without children,West,No,0.97607,2547,2595,0.97019,0.98195
2021,Couple without children,East,No,0.95992,792,792,0.94625,0.97359
2021,Single parent,West,No,0.95994,638,638,0.94471,0.97517
2021,Single parent,East,No,0.97604,235,235,0.95645,0.99563
2021,Couple with children,West,Yes,0.02820,87,2611,0.02185,0.03455
2021,Couple with children,West,No,0.94855,2524,2611,0.94008,0.95703
2021,Couple with children,East,No,0.95626,527,527,0.93878,0.97374
2021,Multi-generational household,West,No,0.95203,57,57,0.89606,1.00800
2021,Other Combinations,West,No,0.97144,219,219,0.94932,0.99355
2021,Other Combinations,East,No,0.93004,41,41,0.85099,1.00909
