,Unnamed: 0,year,quintil_oecd,regtyp,ple0012,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
69,69,2015,3rd Quintile,Urban regions,No,0.91978,2833,25036,0.87683,0.95664
70,70,2015,3rd Quintile,Rural regions,Yes,0.08758,139,25036,0.07331,0.10086
71,71,2015,3rd Quintile,Rural regions,No,0.91242,1695,25036,0.86546,0.96491
72,72,2015,4th Quintile,Urban regions,Yes,0.06698,181,25036,0.05813,0.07556
73,73,2015,4th Quintile,Urban regions,No,0.93302,2874,25036,0.89622,0.97023
74,74,2015,4th Quintile,Rural regions,Yes,0.05822,97,25036,0.04797,0.07131
75,75,2015,4th Quintile,Rural regions,No,0.94178,1615,25036,0.89322,0.99508
76,76,2015,5th Quintile,Urban regions,Yes,0.0557,184,25036,0.04651,0.06312
77,77,2015,5th Quintile,Urban regions,No,0.9443,3582,25036,0.91054,0.98115
78,78,2015,5th Quintile,Rural regions,Yes,0.05773,76,25036,0.04487,0.0696
79,79,2015,5th Quintile,Rural regions,No,0.94227,1259,25036,0.88865,0.99798
80,80,2017,1st Quintile,Urban regions,Yes,0.10967,258,22836,0.0964,0.12399
81,81,2017,1st Quintile,Urban regions,No,0.89033,2680,22836,0.8528,0.93109
82,82,2017,1st Quintile,Rural regions,Yes,0.09805,158,22836,0.08038,0.1152
83,83,2017,1st Quintile,Rural regions,No,0.90195,1580,22836,0.84751,0.96966
84,84,2017,2nd Quintile,Urban regions,Yes,0.12309,247,22836,0.10985,0.13427
85,85,2017,2nd Quintile,Urban regions,No,0.87691,2683,22836,0.83647,0.91768
86,86,2017,2nd Quintile,Rural regions,Yes,0.14259,218,22836,0.12596,0.16155
87,87,2017,2nd Quintile,Rural regions,No,0.85741,1703,22836,0.81866,0.90368
88,88,2017,3rd Quintile,Urban regions,Yes,0.08835,200,22836,0.07831,0.0987
89,89,2017,3rd Quintile,Urban regions,No,0.91165,2499,22836,0.8682,0.95049
90,90,2017,3rd Quintile,Rural regions,Yes,0.08564,132,22836,0.07326,0.10023
91,91,2017,3rd Quintile,Rural regions,No,0.91436,1584,22836,0.86991,0.97084
92,92,2017,4th Quintile,Urban regions,Yes,0.06805,158,22836,0.05883,0.07747
93,93,2017,4th Quintile,Urban regions,No,0.93195,2678,22836,0.88861,0.97721
94,94,2017,4th Quintile,Rural regions,Yes,0.06656,88,22836,0.05073,0.08138
95,95,2017,4th Quintile,Rural regions,No,0.93344,1416,22836,0.86917,0.9864
96,96,2017,5th Quintile,Urban regions,Yes,0.05074,160,22836,0.04306,0.06101
97,97,2017,5th Quintile,Urban regions,No,0.94926,3227,22836,0.90703,0.99003
98,98,2017,5th Quintile,Rural regions,Yes,0.05725,75,22836,0.0475,0.07025
99,99,2017,5th Quintile,Rural regions,No,0.94275,1092,22836,0.88264,1.01236
100,100,2019,1st Quintile,Urban regions,Yes,0.10804,268,22726,0.09583,0.12245
101,101,2019,1st Quintile,Urban regions,No,0.89196,2515,22726,0.85753,0.93992
102,102,2019,1st Quintile,Rural regions,Yes,0.12465,161,22726,0.10398,0.1494
103,103,2019,1st Quintile,Rural regions,No,0.87535,1454,22726,0.81875,0.93832
104,104,2019,2nd Quintile,Urban regions,Yes,0.10332,245,22726,0.09086,0.11463
105,105,2019,2nd Quintile,Urban regions,No,0.89668,2599,22726,0.85658,0.9399
106,106,2019,2nd Quintile,Rural regions,Yes,0.10753,199,22726,0.09057,0.12246
107,107,2019,2nd Quintile,Rural regions,No,0.89247,1720,22726,0.84303,0.9396
108,108,2019,3rd Quintile,Urban regions,Yes,0.0845,212,22726,0.07354,0.09707
109,109,2019,3rd Quintile,Urban regions,No,0.9155,2574,22726,0.87564,0.95671
110,110,2019,3rd Quintile,Rural regions,Yes,0.11637,159,22726,0.09776,0.14021
111,111,2019,3rd Quintile,Rural regions,No,0.88363,1564,22726,0.83254,0.94598
112,112,2019,4th Quintile,Urban regions,Yes,0.07102,170,22726,0.0598,0.08096
113,113,2019,4th Quintile,Urban regions,No,0.92898,2581,22726,0.88919,0.98017
114,114,2019,4th Quintile,Rural regions,Yes,0.07412,104,22726,0.05751,0.09248
115,115,2019,4th Quintile,Rural regions,No,0.92588,1415,22726,0.86363,0.98212
116,116,2019,5th Quintile,Urban regions,Yes,0.05149,182,22726,0.04305,0.05888
117,117,2019,5th Quintile,Urban regions,No,0.94851,3311,22726,0.9106,0.99684
118,118,2019,5th Quintile,Rural regions,Yes,0.0495,80,22726,0.04154,0.06078
119,119,2019,5th Quintile,Rural regions,No,0.9505,1213,22726,0.8791,1.01636
120,120,2021,1st Quintile,Urban regions,Yes,0.10482,285,18858,0.08654,0.1205
121,121,2021,1st Quintile,Urban regions,No,0.89518,3005,18858,0.84897,0.95075
122,122,2021,1st Quintile,Rural regions,Yes,0.13423,174,18858,0.10933,0.16114
123,123,2021,1st Quintile,Rural regions,No,0.86577,1252,18858,0.78825,0.94681
124,124,2021,2nd Quintile,Urban regions,Yes,0.10807,200,18858,0.09123,0.12562
125,125,2021,2nd Quintile,Urban regions,No,0.89193,2019,18858,0.83545,0.95893
126,126,2021,2nd Quintile,Rural regions,Yes,0.08042,116,18858,0.06402,0.10119
127,127,2021,2nd Quintile,Rural regions,No,0.91958,1247,18858,0.85443,0.97619
128,128,2021,3rd Quintile,Urban regions,Yes,0.07451,126,18858,0.06107,0.08603
129,129,2021,3rd Quintile,Urban regions,No,0.92549,1809,18858,0.87515,0.98032
130,130,2021,3rd Quintile,Rural regions,Yes,0.10258,98,18858,0.08124,0.13116
131,131,2021,3rd Quintile,Rural regions,No,0.89742,1001,18858,0.84471,0.97132
132,132,2021,4th Quintile,Urban regions,Yes,0.06098,152,18858,0.05046,0.07155
133,133,2021,4th Quintile,Urban regions,No,0.93902,2030,18858,0.89063,0.98883
134,134,2021,4th Quintile,Rural regions,Yes,0.06146,67,18858,0.04861,0.07432
135,135,2021,4th Quintile,Rural regions,No,0.93854,997,18858,0.86734,1.02598
136,136,2021,5th Quintile,Urban regions,Yes,0.06135,162,18858,0.04954,0.07285
137,137,2021,5th Quintile,Urban regions,No,0.93865,2954,18858,0.8903,0.99225
138,138,2021,5th Quintile,Rural regions,Yes,0.05419,74,18858,0.03989,0.07453
139,139,2021,5th Quintile,Rural regions,No,0.94581,1090,18858,0.86114,1.01788
