"ple0012","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Ja","2017","Laendlicher Raum","weiblich","359","0.0863397265701139","0.0785733046380623","0.0941061485021655"
"Nein","2017","Staedtischer Raum","maennlich","7215","0.903389542100237","0.896856778341939","0.909922305858535"
"Nein","2017","Staedtischer Raum","weiblich","8741","0.932052305810669","0.926927748880743","0.937176862740596"
"Nein","2017","Laendlicher Raum","maennlich","3988","0.908187310690249","0.899659958431454","0.916714662949045"
"Nein","2017","Laendlicher Raum","weiblich","4665","0.913660273429886","0.905893851497835","0.921426695361938"
"Ja","2018","Staedtischer Raum","maennlich","","","",""
"Ja","2018","Staedtischer Raum","weiblich","","","",""
"Ja","2018","Laendlicher Raum","maennlich","","","",""
"Ja","2018","Laendlicher Raum","weiblich","","","",""
"Nein","2018","Staedtischer Raum","maennlich","","","",""
"Nein","2018","Staedtischer Raum","weiblich","","","",""
"Nein","2018","Laendlicher Raum","maennlich","","","",""
"Nein","2018","Laendlicher Raum","weiblich","","","",""
"Ja","2019","Staedtischer Raum","maennlich","636","0.0878565053234224","0.0815641036644522","0.0941489069823926"
"Ja","2019","Staedtischer Raum","weiblich","523","0.0754311643120664","0.0698588185837994","0.0810035100403335"
"Ja","2019","Laendlicher Raum","maennlich","421","0.103528044736599","0.0943743659451391","0.112681723528058"
"Ja","2019","Laendlicher Raum","weiblich","336","0.0868928754468061","0.0787670377953196","0.0950187130982926"
"Nein","2019","Staedtischer Raum","maennlich","7139","0.912143494676578","0.905851093017607","0.918435896335548"
"Nein","2019","Staedtischer Raum","weiblich","8105","0.924568835687934","0.918996489959667","0.930141181416201"
"Nein","2019","Laendlicher Raum","maennlich","3834","0.896471955263402","0.887318276471942","0.905625634054861"
"Nein","2019","Laendlicher Raum","weiblich","4280","0.913107124553194","0.904981286901708","0.92123296220468"
