"year","migback","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2012","kein Migrationshintergrund","17.34","11.5","6357","16.94","17.74"
"2013","direkter Migrationshintergrund","17.28","14.5","1403","16.48","18.08"
"2013","indirekter Migrationshintergrund","18.12","14.5","575","16.77","19.47"
"2013","kein Migrationshintergrund","16.26","9.5","5959","15.86","16.66"
"2014","direkter Migrationshintergrund","15.57","11.5","1109","14.73","16.41"
"2014","indirekter Migrationshintergrund","17.33","11.5","516","15.84","18.82"
"2014","kein Migrationshintergrund","16.28","9.5","5527","15.88","16.68"
"2015","direkter Migrationshintergrund","17.75","11.5","1255","16.87","18.63"
"2015","indirekter Migrationshintergrund","19.94","14.5","454","18.47","21.41"
"2015","kein Migrationshintergrund","15.97","9.5","5461","15.57","16.37"
"2016","direkter Migrationshintergrund","16.86","11.5","1118","16","17.72"
"2016","indirekter Migrationshintergrund","17.2","9.5","445","15.64","18.76"
"2016","kein Migrationshintergrund","15.25","9.5","5217","14.85","15.65"
"2017","direkter Migrationshintergrund","16.56","11.5","1072","15.71","17.41"
"2017","indirekter Migrationshintergrund","16.2","11.5","456","14.89","17.51"
"2017","kein Migrationshintergrund","15.98","9.5","5738","15.6","16.36"
"2018","direkter Migrationshintergrund","16.91","11.5","1180","16.08","17.74"
"2018","indirekter Migrationshintergrund","15.14","9.5","503","13.8","16.48"
"2018","kein Migrationshintergrund","15.55","9.5","5654","15.16","15.94"
"2019","direkter Migrationshintergrund","17.37","9.5","1017","16.43","18.31"
"2019","indirekter Migrationshintergrund","14.84","9.5","459","13.32","16.36"
"2019","kein Migrationshintergrund","15.27","9.5","5380","14.87","15.67"
"2020","direkter Migrationshintergrund","15.71","10.5","1221","14.83","16.59"
"2020","indirekter Migrationshintergrund","13.9","9.5","405","12.52","15.28"
"2020","kein Migrationshintergrund","14.07","9.5","4761","13.67","14.47"
