"year","migback","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1991","direkter Migrationshintergrund","Staedtischer Raum","18.5","14.5","379","16.94","20.06"
"1991","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1991","indirekter Migrationshintergrund","Staedtischer Raum","15.84","15.5","50","12.39","19.29"
"1991","kein Migrationshintergrund","Laendlicher Raum","20.37","14.5","848","19.09","21.65"
"1991","kein Migrationshintergrund","Staedtischer Raum","20.22","14.5","1517","19.29","21.15"
"1992","direkter Migrationshintergrund","Laendlicher Raum","18.09","13","65","13.93","22.25"
"1992","direkter Migrationshintergrund","Staedtischer Raum","18.27","11.5","340","16.63","19.91"
"1992","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1992","indirekter Migrationshintergrund","Staedtischer Raum","18.49","13","53","13.99","22.99"
"1992","kein Migrationshintergrund","Laendlicher Raum","19.16","11.5","922","17.96","20.36"
"1992","kein Migrationshintergrund","Staedtischer Raum","19.51","14.5","1562","18.63","20.39"
"1993","direkter Migrationshintergrund","Laendlicher Raum","15.62","11","57","11.06","20.18"
"1993","direkter Migrationshintergrund","Staedtischer Raum","17.97","11.5","279","16","19.94"
"1993","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1993","indirekter Migrationshintergrund","Staedtischer Raum","19.31","14.5","72","15.06","23.56"
"1993","kein Migrationshintergrund","Laendlicher Raum","18.26","11.5","919","17.11","19.41"
"1993","kein Migrationshintergrund","Staedtischer Raum","19.46","14.5","1486","18.49","20.43"
"1994","direkter Migrationshintergrund","Laendlicher Raum","20.74","19.5","44","15.78","25.7"
"1994","direkter Migrationshintergrund","Staedtischer Raum","18.81","11.5","292","16.84","20.78"
"1994","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1994","indirekter Migrationshintergrund","Staedtischer Raum","16.78","9","75","13.31","20.25"
"1994","kein Migrationshintergrund","Laendlicher Raum","18.35","11.5","958","17.18","19.52"
"1994","kein Migrationshintergrund","Staedtischer Raum","19.28","13.5","1507","18.37","20.19"
"1995","direkter Migrationshintergrund","Laendlicher Raum","18.54","14.5","76","14.79","22.29"
"1995","direkter Migrationshintergrund","Staedtischer Raum","18.28","13.5","379","16.76","19.8"
"1995","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1995","indirekter Migrationshintergrund","Staedtischer Raum","15.86","11.5","89","12.96","18.76"
"1995","kein Migrationshintergrund","Laendlicher Raum","18.92","11.5","985","17.72","20.12"
"1995","kein Migrationshintergrund","Staedtischer Raum","20","14.5","1639","19.15","20.85"
"1996","direkter Migrationshintergrund","Laendlicher Raum","18.46","14","77","14.95","21.97"
"1996","direkter Migrationshintergrund","Staedtischer Raum","18.78","11.5","356","17.11","20.45"
"1996","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1996","indirekter Migrationshintergrund","Staedtischer Raum","17.13","14.5","103","14.97","19.29"
"1996","kein Migrationshintergrund","Laendlicher Raum","18.5","11.5","972","17.37","19.63"
"1996","kein Migrationshintergrund","Staedtischer Raum","18.74","14.5","1595","17.93","19.55"
"1997","direkter Migrationshintergrund","Laendlicher Raum","21.07","15.5","61","16.71","25.43"
"1997","direkter Migrationshintergrund","Staedtischer Raum","18.07","11.5","376","16.53","19.61"
"1997","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1997","indirekter Migrationshintergrund","Staedtischer Raum","16.5","13.5","105","13.9","19.1"
"1997","kein Migrationshintergrund","Laendlicher Raum","19.83","13.5","1003","18.69","20.97"
"1997","kein Migrationshintergrund","Staedtischer Raum","18.92","13.5","1561","18.09","19.75"
"1998","direkter Migrationshintergrund","Laendlicher Raum","15.95","11.5","70","13.43","18.47"
"1998","direkter Migrationshintergrund","Staedtischer Raum","20.04","15.5","343","18.47","21.61"
"1998","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1998","indirekter Migrationshintergrund","Staedtischer Raum","19.18","14.5","116","15.98","22.38"
"1998","kein Migrationshintergrund","Laendlicher Raum","19.45","14.5","1132","18.43","20.47"
"1998","kein Migrationshintergrund","Staedtischer Raum","19.83","14.5","1823","19.04","20.62"
"1999","direkter Migrationshintergrund","Laendlicher Raum","16.43","9","56","11.99","20.87"
"1999","direkter Migrationshintergrund","Staedtischer Raum","17.69","11.5","335","16.03","19.35"
"1999","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"1999","indirekter Migrationshintergrund","Staedtischer Raum","17.95","12.5","125","15.47","20.43"
"1999","kein Migrationshintergrund","Laendlicher Raum","19.33","14.5","1142","18.32","20.34"
"1999","kein Migrationshintergrund","Staedtischer Raum","19.8","14.5","1818","19.02","20.58"
"2000","direkter Migrationshintergrund","Laendlicher Raum","15.12","11.5","88","12.49","17.75"
"2000","direkter Migrationshintergrund","Staedtischer Raum","18.12","11.5","460","16.65","19.59"
"2000","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2000","indirekter Migrationshintergrund","Staedtischer Raum","16.2","9.5","168","13.97","18.43"
"2000","kein Migrationshintergrund","Laendlicher Raum","18.65","14.5","1838","17.86","19.44"
"2000","kein Migrationshintergrund","Staedtischer Raum","19.9","14.5","3049","19.27","20.53"
"2001","direkter Migrationshintergrund","Laendlicher Raum","18.05","14","92","15.06","21.04"
"2001","direkter Migrationshintergrund","Staedtischer Raum","19.06","13.5","451","17.46","20.66"
"2001","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2001","indirekter Migrationshintergrund","Staedtischer Raum","20.49","14.5","155","17.8","23.18"
"2001","kein Migrationshintergrund","Laendlicher Raum","17.5","11.5","1690","16.77","18.23"
"2001","kein Migrationshintergrund","Staedtischer Raum","19.33","14.5","2884","18.71","19.95"
"2002","direkter Migrationshintergrund","Laendlicher Raum","15.44","9.5","72","11.59","19.29"
"2002","direkter Migrationshintergrund","Staedtischer Raum","17.97","11.5","382","16.17","19.77"
"2002","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2002","indirekter Migrationshintergrund","Staedtischer Raum","17.87","11.5","159","15.41","20.33"
"2002","kein Migrationshintergrund","Laendlicher Raum","19.08","12.5","1692","18.22","19.94"
"2002","kein Migrationshintergrund","Staedtischer Raum","19.16","14.5","3179","18.54","19.78"
"2003","direkter Migrationshintergrund","Laendlicher Raum","15.26","11","74","11.73","18.79"
"2003","direkter Migrationshintergrund","Staedtischer Raum","17.91","11.5","334","16.2","19.62"
"2003","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2003","indirekter Migrationshintergrund","Staedtischer Raum","15.01","10.5","147","12.91","17.11"
"2003","kein Migrationshintergrund","Laendlicher Raum","17.74","11.5","1613","16.93","18.55"
"2003","kein Migrationshintergrund","Staedtischer Raum","18.35","12.5","3031","17.73","18.97"
"2004","direkter Migrationshintergrund","Laendlicher Raum","15.84","13.5","60","12.93","18.75"
"2004","direkter Migrationshintergrund","Staedtischer Raum","14.91","11","332","13.29","16.53"
"2004","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2004","indirekter Migrationshintergrund","Staedtischer Raum","17.48","11.5","156","14.82","20.14"
"2004","kein Migrationshintergrund","Laendlicher Raum","17.62","12.5","1606","16.8","18.44"
"2004","kein Migrationshintergrund","Staedtischer Raum","18.83","13.5","2906","18.2","19.46"
"2005","direkter Migrationshintergrund","Laendlicher Raum","12.73","9","51","9.2","16.26"
"2005","direkter Migrationshintergrund","Staedtischer Raum","18.79","13.5","324","16.93","20.65"
"2005","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2005","indirekter Migrationshintergrund","Staedtischer Raum","16.62","11","166","14.46","18.78"
"2005","kein Migrationshintergrund","Laendlicher Raum","17.63","11.5","1445","16.74","18.52"
"2005","kein Migrationshintergrund","Staedtischer Raum","19.07","11.5","2736","18.41","19.73"
"2006","direkter Migrationshintergrund","Laendlicher Raum","16.95","9","58","13.41","20.49"
"2006","direkter Migrationshintergrund","Staedtischer Raum","18.09","11.5","366","16.4","19.78"
"2006","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2006","indirekter Migrationshintergrund","Staedtischer Raum","16.63","9.5","192","14.59","18.67"
"2006","kein Migrationshintergrund","Laendlicher Raum","18.8","12.5","1652","17.96","19.64"
"2006","kein Migrationshintergrund","Staedtischer Raum","19.11","14.5","3080","18.49","19.73"
"2007","direkter Migrationshintergrund","Laendlicher Raum","19.34","13.5","59","15.39","23.29"
"2007","direkter Migrationshintergrund","Staedtischer Raum","19.68","11.5","324","17.81","21.55"
"2007","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2007","indirekter Migrationshintergrund","Staedtischer Raum","18.45","14.5","189","15.89","21.01"
"2007","kein Migrationshintergrund","Laendlicher Raum","19.13","11.5","1607","18.25","20.01"
"2007","kein Migrationshintergrund","Staedtischer Raum","19.6","14.5","2890","18.96","20.24"
"2008","direkter Migrationshintergrund","Laendlicher Raum","16.67","11","65","12.7","20.64"
"2008","direkter Migrationshintergrund","Staedtischer Raum","17.92","11.5","311","16.14","19.7"
"2008","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2008","indirekter Migrationshintergrund","Staedtischer Raum","15.91","9.5","171","13.56","18.26"
"2008","kein Migrationshintergrund","Laendlicher Raum","18.42","11.5","1546","17.54","19.3"
"2008","kein Migrationshintergrund","Staedtischer Raum","19.05","14.5","2792","18.43","19.67"
"2009","direkter Migrationshintergrund","Laendlicher Raum","17.04","12.5","40","12.21","21.87"
"2009","direkter Migrationshintergrund","Staedtischer Raum","19.39","14.5","216","17.1","21.68"
"2009","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2009","indirekter Migrationshintergrund","Staedtischer Raum","16.74","14","153","13.84","19.64"
"2009","kein Migrationshintergrund","Laendlicher Raum","18.52","11.5","1382","17.59","19.45"
"2009","kein Migrationshintergrund","Staedtischer Raum","19","14.5","2426","18.32","19.68"
"2010","direkter Migrationshintergrund","Laendlicher Raum","14.04","9.5","98","11.07","17.01"
"2010","direkter Migrationshintergrund","Staedtischer Raum","18.21","11","418","16.57","19.85"
"2010","indirekter Migrationshintergrund","Laendlicher Raum","17.3","19","42","12.25","22.35"
"2010","indirekter Migrationshintergrund","Staedtischer Raum","18.2","11.5","224","15.9","20.5"
"2010","kein Migrationshintergrund","Laendlicher Raum","18.12","11.5","1828","17.33","18.91"
"2010","kein Migrationshintergrund","Staedtischer Raum","18.83","11.5","3115","18.22","19.44"
"2011","direkter Migrationshintergrund","Laendlicher Raum","20.29","12.5","162","17.76","22.82"
"2011","direkter Migrationshintergrund","Staedtischer Raum","18.83","14.5","515","17.42","20.24"
"2011","indirekter Migrationshintergrund","Laendlicher Raum","17.73","11.5","61","13.7","21.76"
"2011","indirekter Migrationshintergrund","Staedtischer Raum","18.91","14.5","310","17.02","20.8"
"2011","kein Migrationshintergrund","Laendlicher Raum","18.56","14.5","2393","17.9","19.22"
"2011","kein Migrationshintergrund","Staedtischer Raum","18.74","13.5","4006","18.2","19.28"
"2012","direkter Migrationshintergrund","Laendlicher Raum","17.48","13.5","157","14.7","20.26"
"2012","direkter Migrationshintergrund","Staedtischer Raum","18.29","13.5","489","16.79","19.79"
"2012","indirekter Migrationshintergrund","Laendlicher Raum","17.51","10.5","77","13.26","21.76"
"2012","indirekter Migrationshintergrund","Staedtischer Raum","18.92","9.5","299","16.86","20.98"
"2012","kein Migrationshintergrund","Laendlicher Raum","17","10.5","2417","16.35","17.65"
"2012","kein Migrationshintergrund","Staedtischer Raum","17.52","11.5","3940","17.01","18.03"
"2013","direkter Migrationshintergrund","Laendlicher Raum","16.4","12.5","356","14.96","17.84"
"2013","direkter Migrationshintergrund","Staedtischer Raum","17.49","14.5","1047","16.53","18.45"
"2013","indirekter Migrationshintergrund","Laendlicher Raum","18.59","14.5","106","15.51","21.67"
"2013","indirekter Migrationshintergrund","Staedtischer Raum","18.01","14.5","469","16.51","19.51"
"2013","kein Migrationshintergrund","Laendlicher Raum","15.75","9.5","2221","15.11","16.39"
"2013","kein Migrationshintergrund","Staedtischer Raum","16.5","9.5","3738","16","17"
"2014","direkter Migrationshintergrund","Laendlicher Raum","15.89","11.5","286","14.24","17.54"
"2014","direkter Migrationshintergrund","Staedtischer Raum","15.5","11.5","823","14.53","16.47"
"2014","indirekter Migrationshintergrund","Laendlicher Raum","17.61","9","104","14","21.22"
"2014","indirekter Migrationshintergrund","Staedtischer Raum","17.27","11.5","412","15.63","18.91"
"2014","kein Migrationshintergrund","Laendlicher Raum","15.81","9.5","2075","15.16","16.46"
"2014","kein Migrationshintergrund","Staedtischer Raum","16.51","9.5","3452","16","17.02"
"2015","direkter Migrationshintergrund","Laendlicher Raum","17.03","11.5","356","15.44","18.62"
"2015","direkter Migrationshintergrund","Staedtischer Raum","17.97","13.5","899","16.91","19.03"
"2015","indirekter Migrationshintergrund","Laendlicher Raum","19.2","14.5","102","15.86","22.54"
"2015","indirekter Migrationshintergrund","Staedtischer Raum","20.17","14.5","352","18.53","21.81"
"2015","kein Migrationshintergrund","Laendlicher Raum","16.15","9.5","2070","15.5","16.8"
"2015","kein Migrationshintergrund","Staedtischer Raum","15.88","10.5","3391","15.37","16.39"
"2016","direkter Migrationshintergrund","Laendlicher Raum","16.56","11","291","14.87","18.25"
"2016","direkter Migrationshintergrund","Staedtischer Raum","16.95","11.5","827","15.94","17.96"
"2016","indirekter Migrationshintergrund","Laendlicher Raum","14.83","9","94","11.82","17.84"
"2016","indirekter Migrationshintergrund","Staedtischer Raum","17.82","11.5","351","16","19.64"
"2016","kein Migrationshintergrund","Laendlicher Raum","15.05","9.5","1994","14.4","15.7"
"2016","kein Migrationshintergrund","Staedtischer Raum","15.35","9.5","3223","14.84","15.86"
"2017","direkter Migrationshintergrund","Laendlicher Raum","14.75","9.5","289","13.21","16.29"
"2017","direkter Migrationshintergrund","Staedtischer Raum","17.11","11.5","783","16.09","18.13"
"2017","indirekter Migrationshintergrund","Laendlicher Raum","16.89","14.5","90","14.04","19.74"
"2017","indirekter Migrationshintergrund","Staedtischer Raum","16.04","11.5","366","14.55","17.53"
"2017","kein Migrationshintergrund","Laendlicher Raum","15.85","9.5","2189","15.23","16.47"
"2017","kein Migrationshintergrund","Staedtischer Raum","16.05","9.5","3549","15.56","16.54"
"2018","direkter Migrationshintergrund","Laendlicher Raum","17.27","14.5","323","15.67","18.87"
"2018","direkter Migrationshintergrund","Staedtischer Raum","16.81","11.5","857","15.83","17.79"
"2018","indirekter Migrationshintergrund","Laendlicher Raum","17.27","13.5","111","14.83","19.71"
"2018","indirekter Migrationshintergrund","Staedtischer Raum","14.68","9.5","392","13.1","16.26"
"2018","kein Migrationshintergrund","Laendlicher Raum","15.22","9.5","2108","14.59","15.85"
"2018","kein Migrationshintergrund","Staedtischer Raum","15.71","9.5","3546","15.22","16.2"
"2019","direkter Migrationshintergrund","Laendlicher Raum","15.4","11.5","278","13.86","16.94"
"2019","direkter Migrationshintergrund","Staedtischer Raum","17.86","9.5","731","16.7","19.02"
"2019","indirekter Migrationshintergrund","Laendlicher Raum","16.16","9.5","90","13.04","19.28"
"2019","indirekter Migrationshintergrund","Staedtischer Raum","14.35","9.5","353","12.66","16.04"
"2019","kein Migrationshintergrund","Laendlicher Raum","15.18","9.5","2010","14.52","15.84"
"2019","kein Migrationshintergrund","Staedtischer Raum","15.28","9.5","3236","14.76","15.8"
"2020","direkter Migrationshintergrund","Laendlicher Raum","17.87","13","302","16.32","19.42"
"2020","direkter Migrationshintergrund","Staedtischer Raum","15.18","9.5","919","14.12","16.24"
"2020","indirekter Migrationshintergrund","Laendlicher Raum","13.91","9.5","79","10.83","16.99"
"2020","indirekter Migrationshintergrund","Staedtischer Raum","13.89","9.5","326","12.34","15.44"
"2020","kein Migrationshintergrund","Laendlicher Raum","13.56","9.5","1791","12.93","14.19"
"2020","kein Migrationshintergrund","Staedtischer Raum","14.34","9.5","2970","13.83","14.85"
