"year","migback","sex","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1994","direkter Migrationshintergrund","weiblich","11.01","9","99","9.19","12.83"
"1994","indirekter Migrationshintergrund","maennlich","21.99","12.5","51","17.21","26.77"
"1994","indirekter Migrationshintergrund","weiblich","9.38","7","38","5.91","12.85"
"1994","kein Migrationshintergrund","maennlich","21.15","14.5","1531","20.18","22.12"
"1994","kein Migrationshintergrund","weiblich","15.19","9.5","934","14.23","16.15"
"1995","direkter Migrationshintergrund","maennlich","20.59","15.5","331","18.82","22.36"
"1995","direkter Migrationshintergrund","weiblich","13.17","9.5","124","11.43","14.91"
"1995","indirekter Migrationshintergrund","maennlich","18.74","14.5","59","14.87","22.61"
"1995","indirekter Migrationshintergrund","weiblich","9.52","5.5","47","6.41","12.63"
"1995","kein Migrationshintergrund","maennlich","22.62","17.5","1619","21.66","23.58"
"1995","kein Migrationshintergrund","weiblich","14.63","9.5","1005","13.75","15.51"
"1996","direkter Migrationshintergrund","maennlich","19.75","14.5","293","17.96","21.54"
"1996","direkter Migrationshintergrund","weiblich","16.82","11.5","140","14.05","19.59"
"1996","indirekter Migrationshintergrund","maennlich","18.03","19","65","15.33","20.73"
"1996","indirekter Migrationshintergrund","weiblich","15.38","9","52","12.63","18.13"
"1996","kein Migrationshintergrund","maennlich","21.01","14.5","1588","20.11","21.91"
"1996","kein Migrationshintergrund","weiblich","14.6","9.5","979","13.72","15.48"
"1997","direkter Migrationshintergrund","maennlich","21.21","14.5","295","19.26","23.16"
"1997","direkter Migrationshintergrund","weiblich","13.38","9.5","142","11.63","15.13"
"1997","indirekter Migrationshintergrund","maennlich","17.95","13.5","66","13.86","22.04"
"1997","indirekter Migrationshintergrund","weiblich","13.9","9","60","11.46","16.34"
"1997","kein Migrationshintergrund","maennlich","21.65","15.5","1553","20.73","22.57"
"1997","kein Migrationshintergrund","weiblich","15.14","9.5","1011","14.24","16.04"
"1998","direkter Migrationshintergrund","maennlich","21.03","17.5","279","19.26","22.8"
"1998","direkter Migrationshintergrund","weiblich","16.27","13.5","134","14.36","18.18"
"1998","indirekter Migrationshintergrund","maennlich","19.74","14.5","78","15.7","23.78"
"1998","indirekter Migrationshintergrund","weiblich","17.19","9","55","12.68","21.7"
"1998","kein Migrationshintergrund","maennlich","22.13","17.5","1793","21.28","22.98"
"1998","kein Migrationshintergrund","weiblich","15.58","9.5","1162","14.73","16.43"
"1999","direkter Migrationshintergrund","maennlich","20.82","14.5","261","18.8","22.84"
"1999","direkter Migrationshintergrund","weiblich","12.22","9","130","10.18","14.26"
"1999","indirekter Migrationshintergrund","maennlich","18.32","14","81","14.83","21.81"
"1999","indirekter Migrationshintergrund","weiblich","16.95","9.5","61","13.49","20.41"
"1999","kein Migrationshintergrund","maennlich","22.42","17.5","1785","21.55","23.29"
"1999","kein Migrationshintergrund","weiblich","15.16","9.5","1175","14.39","15.93"
"2000","direkter Migrationshintergrund","maennlich","19.17","13.5","361","17.47","20.87"
"2000","direkter Migrationshintergrund","weiblich","14.84","9.5","187","12.92","16.76"
"2000","indirekter Migrationshintergrund","maennlich","16.26","13","111","13.32","19.2"
"2000","indirekter Migrationshintergrund","weiblich","15.92","9","72","12.86","18.98"
"2000","kein Migrationshintergrund","maennlich","22.06","15.5","3004","21.38","22.74"
"2000","kein Migrationshintergrund","weiblich","15.17","9.5","1883","14.55","15.79"
"2001","direkter Migrationshintergrund","maennlich","21.34","15.5","354","19.5","23.18"
"2001","direkter Migrationshintergrund","weiblich","14.87","9.5","189","12.79","16.95"
"2001","indirekter Migrationshintergrund","maennlich","22.33","15.5","106","18.78","25.88"
"2001","indirekter Migrationshintergrund","weiblich","15.49","11","68","12.77","18.21"
"2001","kein Migrationshintergrund","maennlich","21.13","14.5","2708","20.45","21.81"
"2001","kein Migrationshintergrund","weiblich","15.02","9.5","1866","14.43","15.61"
"2002","direkter Migrationshintergrund","maennlich","18.56","13.5","285","16.59","20.53"
"2002","direkter Migrationshintergrund","weiblich","16.15","9.5","169","13.27","19.03"
"2002","indirekter Migrationshintergrund","maennlich","23.21","19.5","96","19.72","26.7"
"2002","indirekter Migrationshintergrund","weiblich","9.78","7.5","78","7.5","12.06"
"2002","kein Migrationshintergrund","maennlich","21.73","15.5","2833","21.02","22.44"
"2002","kein Migrationshintergrund","weiblich","15.22","9.5","2038","14.58","15.86"
"2003","direkter Migrationshintergrund","maennlich","17.87","11.5","241","15.8","19.94"
"2003","direkter Migrationshintergrund","weiblich","16.67","11.5","167","14.41","18.93"
"2003","indirekter Migrationshintergrund","maennlich","16.99","14","94","13.82","20.16"
"2003","indirekter Migrationshintergrund","weiblich","12.67","9","71","10.58","14.76"
"2003","kein Migrationshintergrund","maennlich","20.85","14.5","2691","20.15","21.55"
"2003","kein Migrationshintergrund","weiblich","14.09","9.5","1953","13.49","14.69"
"2004","direkter Migrationshintergrund","maennlich","15.93","13.5","232","14.07","17.79"
"2004","direkter Migrationshintergrund","weiblich","13.94","9.5","160","11.65","16.23"
"2004","indirekter Migrationshintergrund","maennlich","19.87","14.5","93","15.88","23.86"
"2004","indirekter Migrationshintergrund","weiblich","13.5","9","79","11.04","15.96"
"2004","kein Migrationshintergrund","maennlich","20.9","14.5","2617","20.18","21.62"
"2004","kein Migrationshintergrund","weiblich","14.61","9.5","1895","13.98","15.24"
"2005","direkter Migrationshintergrund","maennlich","20.49","14.5","236","18.15","22.83"
"2005","direkter Migrationshintergrund","weiblich","14.04","9.5","139","11.9","16.18"
"2005","indirekter Migrationshintergrund","maennlich","17.52","11","113","14.66","20.38"
"2005","indirekter Migrationshintergrund","weiblich","14.55","11","68","11.84","17.26"
"2005","kein Migrationshintergrund","maennlich","21.55","14.5","2392","20.78","22.32"
"2005","kein Migrationshintergrund","weiblich","14.3","9.5","1789","13.67","14.93"
"2006","direkter Migrationshintergrund","maennlich","20.77","14.5","252","18.75","22.79"
"2006","direkter Migrationshintergrund","weiblich","14.04","9.5","172","11.74","16.34"
"2006","indirekter Migrationshintergrund","maennlich","17.17","13","121","14.57","19.77"
"2006","indirekter Migrationshintergrund","weiblich","13.94","9.5","97","11.1","16.78"
"2006","kein Migrationshintergrund","maennlich","21.62","14.5","2639","20.89","22.35"
"2006","kein Migrationshintergrund","weiblich","15.31","9.5","2093","14.71","15.91"
"2007","direkter Migrationshintergrund","maennlich","22.88","15.5","235","20.62","25.14"
"2007","direkter Migrationshintergrund","weiblich","14.68","9","148","12.3","17.06"
"2007","indirekter Migrationshintergrund","maennlich","18.91","15.5","120","15.72","22.1"
"2007","indirekter Migrationshintergrund","weiblich","15.39","9.5","94","11.72","19.06"
"2007","kein Migrationshintergrund","maennlich","22.16","14.5","2549","21.4","22.92"
"2007","kein Migrationshintergrund","weiblich","15.49","9.5","1948","14.86","16.12"
"2008","direkter Migrationshintergrund","maennlich","20.35","15.5","225","17.99","22.71"
"2008","direkter Migrationshintergrund","weiblich","13.5","9","151","11.68","15.32"
"2008","indirekter Migrationshintergrund","maennlich","17.69","13.5","114","14.64","20.74"
"2008","indirekter Migrationshintergrund","weiblich","11.68","9.5","80","8.77","14.59"
"2008","kein Migrationshintergrund","maennlich","21.52","14.5","2380","20.78","22.26"
"2008","kein Migrationshintergrund","weiblich","15.17","9.5","1958","14.53","15.81"
"2009","direkter Migrationshintergrund","maennlich","20.52","15.5","138","17.69","23.35"
"2009","direkter Migrationshintergrund","weiblich","16.82","9","118","13.82","19.82"
"2009","indirekter Migrationshintergrund","maennlich","17.24","11.5","93","13.52","20.96"
"2009","indirekter Migrationshintergrund","weiblich","14.97","13.5","89","11.56","18.38"
"2009","kein Migrationshintergrund","maennlich","21.22","14.5","2069","20.42","22.02"
"2009","kein Migrationshintergrund","weiblich","15.62","9.5","1739","14.92","16.32"
"2010","direkter Migrationshintergrund","maennlich","19.59","13.5","342","17.73","21.45"
"2010","direkter Migrationshintergrund","weiblich","14.33","9.5","174","12.22","16.44"
"2010","indirekter Migrationshintergrund","maennlich","20.95","15.5","160","17.89","24.01"
"2010","indirekter Migrationshintergrund","weiblich","14.75","11","106","12.69","16.81"
"2010","kein Migrationshintergrund","maennlich","21.07","14.5","2688","20.36","21.78"
"2010","kein Migrationshintergrund","weiblich","15.52","9.5","2255","14.92","16.12"
"2011","direkter Migrationshintergrund","maennlich","20.46","15.5","415","18.78","22.14"
"2011","direkter Migrationshintergrund","weiblich","17.46","11.5","262","15.82","19.1"
"2011","indirekter Migrationshintergrund","maennlich","21.27","14","215","18.84","23.7"
"2011","indirekter Migrationshintergrund","weiblich","15.06","11.5","156","12.85","17.27"
"2011","kein Migrationshintergrund","maennlich","21.29","14.5","3434","20.66","21.92"
"2011","kein Migrationshintergrund","weiblich","15.32","9.5","2965","14.82","15.82"
"2012","direkter Migrationshintergrund","maennlich","19.73","14.5","383","17.94","21.52"
"2012","direkter Migrationshintergrund","weiblich","15.86","9.5","263","13.98","17.74"
"2012","indirekter Migrationshintergrund","maennlich","18.91","11","209","16.54","21.28"
"2012","indirekter Migrationshintergrund","weiblich","18.38","9.5","167","15.47","21.29"
"2012","kein Migrationshintergrund","maennlich","19.91","14.5","3332","19.29","20.53"
"2012","kein Migrationshintergrund","weiblich","14.03","9.5","3025","13.56","14.5"
"2013","direkter Migrationshintergrund","maennlich","18.25","14.5","811","17.12","19.38"
"2013","direkter Migrationshintergrund","weiblich","15.82","9.5","592","14.72","16.92"
"2013","indirekter Migrationshintergrund","maennlich","19.62","15.5","330","17.74","21.5"
"2013","indirekter Migrationshintergrund","weiblich","16.01","11.5","245","14.18","17.84"
"2013","kein Migrationshintergrund","maennlich","18.43","12.5","3087","17.81","19.05"
"2013","kein Migrationshintergrund","weiblich","13.59","9.5","2872","13.13","14.05"
"2014","direkter Migrationshintergrund","maennlich","16.61","14.5","672","15.46","17.76"
"2014","direkter Migrationshintergrund","weiblich","13.81","9.5","437","12.68","14.94"
"2014","indirekter Migrationshintergrund","maennlich","20.65","14.5","268","18.3","23"
"2014","indirekter Migrationshintergrund","weiblich","13.51","9.5","248","11.79","15.23"
"2014","kein Migrationshintergrund","maennlich","18.7","11.5","2857","18.08","19.32"
"2014","kein Migrationshintergrund","weiblich","13.41","9.5","2670","12.92","13.9"
"2015","direkter Migrationshintergrund","maennlich","19.02","14.5","736","17.8","20.24"
"2015","direkter Migrationshintergrund","weiblich","16.04","11.5","519","14.81","17.27"
"2015","indirekter Migrationshintergrund","maennlich","22.28","15.5","237","19.97","24.59"
"2015","indirekter Migrationshintergrund","weiblich","17.26","11","217","15.58","18.94"
"2015","kein Migrationshintergrund","maennlich","18.58","14.5","2762","17.94","19.22"
"2015","kein Migrationshintergrund","weiblich","12.91","9.5","2699","12.47","13.35"
"2016","direkter Migrationshintergrund","maennlich","18.86","14.5","618","17.62","20.1"
"2016","direkter Migrationshintergrund","weiblich","14.45","9.5","500","13.3","15.6"
"2016","indirekter Migrationshintergrund","maennlich","20.47","14.5","222","17.92","23.02"
"2016","indirekter Migrationshintergrund","weiblich","13.84","9.5","223","12.11","15.57"
"2016","kein Migrationshintergrund","maennlich","17.16","11.5","2611","16.52","17.8"
"2016","kein Migrationshintergrund","weiblich","12.97","9.5","2606","12.51","13.43"
"2017","direkter Migrationshintergrund","maennlich","18.17","14.5","622","17.01","19.33"
"2017","direkter Migrationshintergrund","weiblich","14.65","9.5","450","13.42","15.88"
"2017","indirekter Migrationshintergrund","maennlich","19","15.5","233","16.78","21.22"
"2017","indirekter Migrationshintergrund","weiblich","13.1","9.5","223","11.83","14.37"
"2017","kein Migrationshintergrund","maennlich","18.17","11.5","2873","17.56","18.78"
"2017","kein Migrationshintergrund","weiblich","13.29","9.5","2865","12.85","13.73"
"2018","direkter Migrationshintergrund","maennlich","18.13","12.5","704","17.03","19.23"
"2018","direkter Migrationshintergrund","weiblich","15.27","9.5","476","14","16.54"
"2018","indirekter Migrationshintergrund","maennlich","17.14","13.5","262","15.04","19.24"
"2018","indirekter Migrationshintergrund","weiblich","12.49","9.5","241","10.89","14.09"
"2018","kein Migrationshintergrund","maennlich","17.89","11.5","2811","17.28","18.5"
"2018","kein Migrationshintergrund","weiblich","12.7","9.5","2843","12.23","13.17"
"2019","direkter Migrationshintergrund","maennlich","18.67","11.5","603","17.42","19.92"
"2019","direkter Migrationshintergrund","weiblich","15.84","9.5","414","14.43","17.25"
"2019","indirekter Migrationshintergrund","maennlich","16.46","9","230","14.06","18.86"
"2019","indirekter Migrationshintergrund","weiblich","12.98","8.5","229","11.15","14.81"
"2019","kein Migrationshintergrund","maennlich","16.79","11.5","2665","16.15","17.43"
"2019","kein Migrationshintergrund","weiblich","13.42","9.5","2714","12.93","13.91"
"2020","direkter Migrationshintergrund","maennlich","16.55","10.5","736","15.38","17.72"
"2020","direkter Migrationshintergrund","weiblich","14.47","9.5","485","13.13","15.81"
"2020","indirekter Migrationshintergrund","maennlich","15.52","9","199","13.3","17.74"
"2020","indirekter Migrationshintergrund","weiblich","12.12","9.5","206","10.46","13.78"
"2020","kein Migrationshintergrund","maennlich","15.73","9.5","2349","15.11","16.35"
"2020","kein Migrationshintergrund","weiblich","12.2","9.5","2410","11.72","12.68"
