"year","age_gr","migback","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1991","35-65","kein Migrationshintergrund","21.87","14.5","1315","20.81","22.93"
"1991","66 +","direkter Migrationshintergrund","","","","",""
"1991","66 +","indirekter Migrationshintergrund","","","","",""
"1991","66 +","kein Migrationshintergrund","","","","",""
"1992","17-34","direkter Migrationshintergrund","16.07","9.5","153","13.52","18.62"
"1992","17-34","indirekter Migrationshintergrund","16.95","11","54","12.51","21.39"
"1992","17-34","kein Migrationshintergrund","17.95","11.5","1140","16.93","18.97"
"1992","35-65","direkter Migrationshintergrund","19.27","13.5","252","17.36","21.18"
"1992","35-65","indirekter Migrationshintergrund","","","","",""
"1992","35-65","kein Migrationshintergrund","20.57","14.5","1374","19.59","21.55"
"1992","66 +","direkter Migrationshintergrund","","","","",""
"1992","66 +","indirekter Migrationshintergrund","","","","",""
"1992","66 +","kein Migrationshintergrund","","","","",""
"1993","17-34","direkter Migrationshintergrund","18.37","9.5","117","14.76","21.98"
"1993","17-34","indirekter Migrationshintergrund","15.88","9","75","12.39","19.37"
"1993","17-34","kein Migrationshintergrund","16.88","10.5","1046","15.85","17.91"
"1993","35-65","direkter Migrationshintergrund","17.34","11.5","219","15.34","19.34"
"1993","35-65","indirekter Migrationshintergrund","","","","",""
"1993","35-65","kein Migrationshintergrund","20.69","14.5","1359","19.65","21.73"
"1993","66 +","direkter Migrationshintergrund","","","","",""
"1993","66 +","indirekter Migrationshintergrund","","","","",""
"1993","66 +","kein Migrationshintergrund","","","","",""
"1994","17-34","direkter Migrationshintergrund","17.69","11","134","14.84","20.54"
"1994","17-34","indirekter Migrationshintergrund","14.38","9","79","11.58","17.18"
"1994","17-34","kein Migrationshintergrund","17.93","9.5","1079","16.89","18.97"
"1994","35-65","direkter Migrationshintergrund","19.77","14.5","202","17.38","22.16"
"1994","35-65","indirekter Migrationshintergrund","","","","",""
"1994","35-65","kein Migrationshintergrund","19.76","14.5","1386","18.78","20.74"
"1994","66 +","direkter Migrationshintergrund","","","","",""
"1994","66 +","indirekter Migrationshintergrund","","","","",""
"1994","66 +","kein Migrationshintergrund","","","","",""
"1995","17-34","direkter Migrationshintergrund","17.14","9.5","189","14.88","19.4"
"1995","17-34","indirekter Migrationshintergrund","13.7","9","95","11.03","16.37"
"1995","17-34","kein Migrationshintergrund","17.94","11.5","1145","16.92","18.96"
"1995","35-65","direkter Migrationshintergrund","19.05","14.5","266","17.25","20.85"
"1995","35-65","indirekter Migrationshintergrund","","","","",""
"1995","35-65","kein Migrationshintergrund","20.85","14.5","1479","19.9","21.8"
"1995","66 +","direkter Migrationshintergrund","","","","",""
"1995","66 +","indirekter Migrationshintergrund","","","","",""
"1995","66 +","kein Migrationshintergrund","","","","",""
"1996","17-34","direkter Migrationshintergrund","15.67","9.5","170","13.49","17.85"
"1996","17-34","indirekter Migrationshintergrund","15.1","11.5","105","13.12","17.08"
"1996","17-34","kein Migrationshintergrund","16.57","9.5","1081","15.64","17.5"
"1996","35-65","direkter Migrationshintergrund","20.34","14.5","263","18.29","22.39"
"1996","35-65","indirekter Migrationshintergrund","","","","",""
"1996","35-65","kein Migrationshintergrund","20.1","14.5","1484","19.19","21.01"
"1996","66 +","direkter Migrationshintergrund","","","","",""
"1996","66 +","indirekter Migrationshintergrund","","","","",""
"1996","66 +","kein Migrationshintergrund","","","","",""
"1997","17-34","direkter Migrationshintergrund","19.01","11.5","167","16.64","21.38"
"1997","17-34","indirekter Migrationshintergrund","14.91","11.5","115","12.34","17.48"
"1997","17-34","kein Migrationshintergrund","18.48","12.5","1041","17.46","19.5"
"1997","35-65","direkter Migrationshintergrund","18.32","13","270","16.45","20.19"
"1997","35-65","indirekter Migrationshintergrund","","","","",""
"1997","35-65","kein Migrationshintergrund","19.67","14.5","1522","18.77","20.57"
"1997","66 +","direkter Migrationshintergrund","","","","",""
"1997","66 +","indirekter Migrationshintergrund","","","","",""
"1997","66 +","kein Migrationshintergrund","","","","",""
"1998","17-34","direkter Migrationshintergrund","18.51","14.5","157","16.43","20.59"
"1998","17-34","indirekter Migrationshintergrund","14.86","13.5","117","12.16","17.56"
"1998","17-34","kein Migrationshintergrund","18.51","13.5","1156","17.55","19.47"
"1998","35-65","direkter Migrationshintergrund","19.71","14.5","256","17.9","21.52"
"1998","35-65","indirekter Migrationshintergrund","","","","",""
"1998","35-65","kein Migrationshintergrund","20.38","14.5","1797","19.56","21.2"
"1998","66 +","direkter Migrationshintergrund","","","","",""
"1998","66 +","indirekter Migrationshintergrund","","","","",""
"1998","66 +","kein Migrationshintergrund","","","","",""
"1999","17-34","direkter Migrationshintergrund","16.09","11.5","149","13.85","18.33"
"1999","17-34","indirekter Migrationshintergrund","17.17","11.5","125","14.46","19.88"
"1999","17-34","kein Migrationshintergrund","17.94","13.5","1134","17.04","18.84"
"1999","35-65","direkter Migrationshintergrund","18.19","11","241","16.08","20.3"
"1999","35-65","indirekter Migrationshintergrund","","","","",""
"1999","35-65","kein Migrationshintergrund","20.58","14.5","1823","19.75","21.41"
"1999","66 +","direkter Migrationshintergrund","","","","",""
"1999","66 +","indirekter Migrationshintergrund","","","","",""
"1999","66 +","kein Migrationshintergrund","","","","",""
"2000","17-34","direkter Migrationshintergrund","17.55","12.5","186","15.43","19.67"
"2000","17-34","indirekter Migrationshintergrund","15.2","9.5","148","12.81","17.59"
"2000","17-34","kein Migrationshintergrund","18.72","11.5","1647","17.87","19.57"
"2000","35-65","direkter Migrationshintergrund","17.48","11.5","361","15.86","19.1"
"2000","35-65","indirekter Migrationshintergrund","18.8","11","35","13.64","23.96"
"2000","35-65","kein Migrationshintergrund","19.88","14.5","3235","19.28","20.48"
"2000","66 +","direkter Migrationshintergrund","","","","",""
"2000","66 +","indirekter Migrationshintergrund","","","","",""
"2000","66 +","kein Migrationshintergrund","","","","",""
"2001","17-34","direkter Migrationshintergrund","20.19","13.5","176","17.46","22.92"
"2001","17-34","indirekter Migrationshintergrund","19.07","13.5","141","16.33","21.81"
"2001","17-34","kein Migrationshintergrund","17.31","11.5","1433","16.49","18.13"
"2001","35-65","direkter Migrationshintergrund","18.17","13.5","366","16.55","19.79"
"2001","35-65","indirekter Migrationshintergrund","22.44","19.5","33","16.81","28.07"
"2001","35-65","kein Migrationshintergrund","19.36","14.5","3137","18.77","19.95"
"2001","66 +","direkter Migrationshintergrund","","","","",""
"2001","66 +","indirekter Migrationshintergrund","","","","",""
"2001","66 +","kein Migrationshintergrund","","","","",""
"2002","17-34","direkter Migrationshintergrund","17.39","9","131","13.96","20.82"
"2002","17-34","indirekter Migrationshintergrund","18.47","11.5","125","16.07","20.87"
"2002","17-34","kein Migrationshintergrund","18.63","11.5","1373","17.72","19.54"
"2002","35-65","direkter Migrationshintergrund","17.69","14.5","323","15.85","19.53"
"2002","35-65","indirekter Migrationshintergrund","14.35","9.5","49","9.12","19.58"
"2002","35-65","kein Migrationshintergrund","19.38","14.5","3492","18.78","19.98"
"2002","66 +","direkter Migrationshintergrund","","","","",""
"2002","66 +","indirekter Migrationshintergrund","","","","",""
"2002","66 +","kein Migrationshintergrund","","","","",""
"2003","17-34","direkter Migrationshintergrund","16.32","11","124","13.81","18.83"
"2003","17-34","indirekter Migrationshintergrund","14.37","9.5","125","12.21","16.53"
"2003","17-34","kein Migrationshintergrund","16.67","9.5","1292","15.84","17.5"
"2003","35-65","direkter Migrationshintergrund","17.88","11.5","284","15.95","19.81"
"2003","35-65","indirekter Migrationshintergrund","16.85","11.5","40","11.68","22.02"
"2003","35-65","kein Migrationshintergrund","18.77","14.5","3349","18.17","19.37"
"2003","66 +","direkter Migrationshintergrund","","","","",""
"2003","66 +","indirekter Migrationshintergrund","","","","",""
"2003","66 +","kein Migrationshintergrund","","","","",""
"2004","17-34","direkter Migrationshintergrund","13.91","9","112","11.77","16.05"
"2004","17-34","indirekter Migrationshintergrund","16.79","11","121","13.89","19.69"
"2004","17-34","kein Migrationshintergrund","16.98","9.5","1179","16.01","17.95"
"2004","35-65","direkter Migrationshintergrund","15.52","11","280","13.69","17.35"
"2004","35-65","indirekter Migrationshintergrund","17.66","13.5","51","12.93","22.39"
"2004","35-65","kein Migrationshintergrund","19.01","14.5","3326","18.42","19.6"
"2004","66 +","direkter Migrationshintergrund","","","","",""
"2004","66 +","indirekter Migrationshintergrund","","","","",""
"2004","66 +","kein Migrationshintergrund","","","","",""
"2005","17-34","direkter Migrationshintergrund","14.07","9.5","102","11.89","16.25"
"2005","17-34","indirekter Migrationshintergrund","16.4","9.5","134","13.97","18.83"
"2005","17-34","kein Migrationshintergrund","17.41","10.5","1105","16.45","18.37"
"2005","35-65","direkter Migrationshintergrund","19.66","13.5","271","17.48","21.84"
"2005","35-65","indirekter Migrationshintergrund","16.92","14.5","47","13.01","20.83"
"2005","35-65","kein Migrationshintergrund","19.1","11.5","3070","18.47","19.73"
"2005","66 +","direkter Migrationshintergrund","","","","",""
"2005","66 +","indirekter Migrationshintergrund","","","","",""
"2005","66 +","kein Migrationshintergrund","","","","",""
"2006","17-34","direkter Migrationshintergrund","16.89","10.5","112","14.31","19.47"
"2006","17-34","indirekter Migrationshintergrund","15.16","9.5","152","13.2","17.12"
"2006","17-34","kein Migrationshintergrund","18.33","11.5","1176","17.31","19.35"
"2006","35-65","direkter Migrationshintergrund","18.39","11.5","310","16.51","20.27"
"2006","35-65","indirekter Migrationshintergrund","17.52","9","66","13.14","21.9"
"2006","35-65","kein Migrationshintergrund","19.27","14.5","3546","18.7","19.84"
"2006","66 +","direkter Migrationshintergrund","","","","",""
"2006","66 +","indirekter Migrationshintergrund","","","","",""
"2006","66 +","kein Migrationshintergrund","","","","",""
"2007","17-34","direkter Migrationshintergrund","18.52","9.5","110","15.31","21.73"
"2007","17-34","indirekter Migrationshintergrund","17.45","12.5","143","14.78","20.12"
"2007","17-34","kein Migrationshintergrund","19.13","12.5","1096","18.06","20.2"
"2007","35-65","direkter Migrationshintergrund","20.11","14.5","273","18.11","22.11"
"2007","35-65","indirekter Migrationshintergrund","17.34","11.5","70","12.44","22.24"
"2007","35-65","kein Migrationshintergrund","19.63","14.5","3387","19.03","20.23"
"2007","66 +","direkter Migrationshintergrund","","","","",""
"2007","66 +","indirekter Migrationshintergrund","","","","",""
"2007","66 +","kein Migrationshintergrund","","","","",""
"2008","17-34","direkter Migrationshintergrund","16.86","11","99","13.64","20.08"
"2008","17-34","indirekter Migrationshintergrund","15.86","9.5","126","13.22","18.5"
"2008","17-34","kein Migrationshintergrund","18.14","11.5","1094","17.11","19.17"
"2008","35-65","direkter Migrationshintergrund","18.12","11.5","276","16.23","20.01"
"2008","35-65","indirekter Migrationshintergrund","13.89","9.5","68","10.06","17.72"
"2008","35-65","kein Migrationshintergrund","19.14","14.5","3235","18.55","19.73"
"2008","66 +","direkter Migrationshintergrund","","","","",""
"2008","66 +","indirekter Migrationshintergrund","","","","",""
"2008","66 +","kein Migrationshintergrund","","","","",""
"2009","17-34","direkter Migrationshintergrund","19.15","14.5","70","15.17","23.13"
"2009","17-34","indirekter Migrationshintergrund","15.49","10.5","119","12.86","18.12"
"2009","17-34","kein Migrationshintergrund","17.95","11.5","938","16.93","18.97"
"2009","35-65","direkter Migrationshintergrund","18.67","11.5","184","16.23","21.11"
"2009","35-65","indirekter Migrationshintergrund","17.78","14","63","12.52","23.04"
"2009","35-65","kein Migrationshintergrund","19.21","14.5","2856","18.56","19.86"
"2009","66 +","direkter Migrationshintergrund","","","","",""
"2009","66 +","indirekter Migrationshintergrund","","","","",""
"2009","66 +","kein Migrationshintergrund","","","","",""
"2010","17-34","direkter Migrationshintergrund","14.76","9.5","161","12.66","16.86"
"2010","17-34","indirekter Migrationshintergrund","17.48","13.5","148","14.92","20.04"
"2010","17-34","kein Migrationshintergrund","18.14","9.5","1299","17.21","19.07"
"2010","35-65","direkter Migrationshintergrund","18.27","11","351","16.39","20.15"
"2010","35-65","indirekter Migrationshintergrund","19.39","9","118","15.93","22.85"
"2010","35-65","kein Migrationshintergrund","18.73","11.5","3630","18.16","19.3"
"2010","66 +","direkter Migrationshintergrund","","","","",""
"2010","66 +","indirekter Migrationshintergrund","","","","",""
"2010","66 +","kein Migrationshintergrund","","","","",""
"2011","17-34","direkter Migrationshintergrund","17.56","12.5","205","15.1","20.02"
"2011","17-34","indirekter Migrationshintergrund","18.32","14.5","186","16","20.64"
"2011","17-34","kein Migrationshintergrund","17.31","11.5","1490","16.46","18.16"
"2011","35-65","direkter Migrationshintergrund","19.87","14.5","471","18.46","21.28"
"2011","35-65","indirekter Migrationshintergrund","19.53","14.5","185","17.01","22.05"
"2011","35-65","kein Migrationshintergrund","19.22","14.5","4897","18.74","19.7"
"2011","66 +","direkter Migrationshintergrund","","","","",""
"2011","66 +","indirekter Migrationshintergrund","","","","",""
"2011","66 +","kein Migrationshintergrund","","","","",""
"2012","17-34","direkter Migrationshintergrund","17.37","11","166","14.54","20.2"
"2012","17-34","indirekter Migrationshintergrund","18.67","9.5","171","16.24","21.1"
"2012","17-34","kein Migrationshintergrund","16.27","9.5","1460","15.45","17.09"
"2012","35-65","direkter Migrationshintergrund","18.37","14.5","480","16.88","19.86"
"2012","35-65","indirekter Migrationshintergrund","18.66","11","205","15.95","21.37"
"2012","35-65","kein Migrationshintergrund","17.79","11.5","4876","17.33","18.25"
"2012","66 +","direkter Migrationshintergrund","","","","",""
"2012","66 +","indirekter Migrationshintergrund","","","","",""
"2012","66 +","kein Migrationshintergrund","","","","",""
"2013","17-34","direkter Migrationshintergrund","16.2","11.5","417","14.8","17.6"
"2013","17-34","indirekter Migrationshintergrund","17.83","14.5","305","16.05","19.61"
"2013","17-34","kein Migrationshintergrund","15.28","9.5","1351","14.45","16.11"
"2013","35-65","direkter Migrationshintergrund","17.77","14.5","985","16.79","18.75"
"2013","35-65","indirekter Migrationshintergrund","18.56","14.5","270","16.52","20.6"
"2013","35-65","kein Migrationshintergrund","16.62","11.5","4594","16.17","17.07"
"2013","66 +","direkter Migrationshintergrund","","","","",""
"2013","66 +","indirekter Migrationshintergrund","","","","",""
"2013","66 +","kein Migrationshintergrund","","","","",""
"2014","17-34","direkter Migrationshintergrund","15.78","11.5","327","14.3","17.26"
"2014","17-34","indirekter Migrationshintergrund","16.88","11.5","271","15","18.76"
"2014","17-34","kein Migrationshintergrund","14.68","9.5","1214","13.82","15.54"
"2014","35-65","direkter Migrationshintergrund","15.5","11.5","778","14.49","16.51"
"2014","35-65","indirekter Migrationshintergrund","18.08","9.5","245","15.73","20.43"
"2014","35-65","kein Migrationshintergrund","16.87","10.5","4298","16.41","17.33"
"2014","66 +","direkter Migrationshintergrund","","","","",""
"2014","66 +","indirekter Migrationshintergrund","","","","",""
"2014","66 +","kein Migrationshintergrund","","","","",""
"2015","17-34","direkter Migrationshintergrund","18.54","14.5","413","16.98","20.1"
"2015","17-34","indirekter Migrationshintergrund","21.07","14.5","211","18.89","23.25"
"2015","17-34","kein Migrationshintergrund","15.19","9.5","1156","14.35","16.03"
"2015","35-65","direkter Migrationshintergrund","17.35","11.5","840","16.27","18.43"
"2015","35-65","indirekter Migrationshintergrund","18.48","13","243","16.47","20.49"
"2015","35-65","kein Migrationshintergrund","16.21","9.5","4282","15.75","16.67"
"2015","66 +","direkter Migrationshintergrund","","","","",""
"2015","66 +","indirekter Migrationshintergrund","","","","",""
"2015","66 +","kein Migrationshintergrund","","","","",""
"2016","17-34","direkter Migrationshintergrund","15.55","9","341","14.08","17.02"
"2016","17-34","indirekter Migrationshintergrund","15.88","9.5","198","13.7","18.06"
"2016","17-34","kein Migrationshintergrund","13.54","9.5","1059","12.74","14.34"
"2016","35-65","direkter Migrationshintergrund","17.59","14.5","773","16.52","18.66"
"2016","35-65","indirekter Migrationshintergrund","19.03","11.5","247","16.82","21.24"
"2016","35-65","kein Migrationshintergrund","15.76","9.5","4129","15.3","16.22"
"2016","66 +","direkter Migrationshintergrund","","","","",""
"2016","66 +","indirekter Migrationshintergrund","","","","",""
"2016","66 +","kein Migrationshintergrund","","","","",""
"2017","17-34","direkter Migrationshintergrund","15.21","9.5","306","13.57","16.85"
"2017","17-34","indirekter Migrationshintergrund","15.03","11.5","202","13.31","16.75"
"2017","17-34","kein Migrationshintergrund","15.27","9.5","1284","14.51","16.03"
"2017","35-65","direkter Migrationshintergrund","17.12","11.5","765","16.12","18.12"
"2017","35-65","indirekter Migrationshintergrund","17.59","14.5","253","15.65","19.53"
"2017","35-65","kein Migrationshintergrund","16.29","9.5","4423","15.85","16.73"
"2017","66 +","direkter Migrationshintergrund","","","","",""
"2017","66 +","indirekter Migrationshintergrund","","","","",""
"2017","66 +","kein Migrationshintergrund","13.39","9","31","9.78","17"
"2018","17-34","direkter Migrationshintergrund","16.67","11.5","355","15.05","18.29"
"2018","17-34","indirekter Migrationshintergrund","14.09","9.5","211","12.07","16.11"
"2018","17-34","kein Migrationshintergrund","14.35","9.5","1309","13.57","15.13"
"2018","35-65","direkter Migrationshintergrund","17.05","11.5","822","16.08","18.02"
"2018","35-65","indirekter Migrationshintergrund","16.21","11","291","14.41","18.01"
"2018","35-65","kein Migrationshintergrund","16.02","9.5","4315","15.57","16.47"
"2018","66 +","direkter Migrationshintergrund","","","","",""
"2018","66 +","indirekter Migrationshintergrund","","","","",""
"2018","66 +","kein Migrationshintergrund","14.21","8.5","30","10.08","18.34"
"2019","17-34","direkter Migrationshintergrund","15.75","9.5","281","13.95","17.55"
"2019","17-34","indirekter Migrationshintergrund","12.27","9.5","183","10.37","14.17"
"2019","17-34","kein Migrationshintergrund","14.84","9.5","1198","14.04","15.64"
"2019","35-65","direkter Migrationshintergrund","17.94","10.5","732","16.84","19.04"
"2019","35-65","indirekter Migrationshintergrund","17.33","9.5","273","15.17","19.49"
"2019","35-65","kein Migrationshintergrund","15.48","9.5","4136","15.01","15.95"
"2019","66 +","direkter Migrationshintergrund","","","","",""
"2019","66 +","indirekter Migrationshintergrund","","","","",""
"2019","66 +","kein Migrationshintergrund","12.01","9","46","7.37","16.65"
"2020","17-34","direkter Migrationshintergrund","16.87","11.5","480","15.32","18.42"
"2020","17-34","indirekter Migrationshintergrund","12.47","7.5","166","10.35","14.59"
"2020","17-34","kein Migrationshintergrund","13.27","9.5","1069","12.44","14.1"
"2020","35-65","direkter Migrationshintergrund","15.14","9.5","739","14.08","16.2"
"2020","35-65","indirekter Migrationshintergrund","15.09","9.5","239","13.26","16.92"
"2020","35-65","kein Migrationshintergrund","14.32","9.5","3649","13.87","14.77"
"2020","66 +","direkter Migrationshintergrund","","","","",""
"2020","66 +","indirekter Migrationshintergrund","","","","",""
"2020","66 +","kein Migrationshintergrund","19.75","15.5","42","15.25","24.25"
