"year","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1997","Westdeutschland","18.78","13.5","2159","4","8","24","40","80","18.08","19.48","1","99","12","15"
"1998","Ostdeutschland","19.62","14.5","1036","4","8","25","40","80","18.55","20.69","1","99","12","15"
"1998","Westdeutschland","19.64","14.5","2465","5","8","25","40","85","18.98","20.3","1","99","15","15"
"1999","Ostdeutschland","20.03","14.5","1031","5","9","25","45","90","18.92","21.14","1","99","12","15"
"1999","Westdeutschland","19.21","14.5","2462","4","8","24","40","80","18.56","19.86","1","99","14","15"
"2000","Ostdeutschland","18.92","13.5","1388","5","8","20","40","99","17.97","19.87","1","99","12","15"
"2000","Westdeutschland","19.27","14.5","4230","5","8","25","40","90","18.76","19.78","1","99","14","15"
"2001","Ostdeutschland","17.76","11.5","1344","4","8","21","40","80","16.92","18.6","1","99","11","14"
"2001","Westdeutschland","19","14.5","3947","5","8","24","40","80","18.48","19.52","1","99","14","15"
"2002","Ostdeutschland","18.61","11.5","1303","4","8","20","40","99","17.6","19.62","1","99","10","13"
"2002","Westdeutschland","19.02","14.5","4196","4","8","24","40","90","18.49","19.55","1","99","14","15"
"2003","Ostdeutschland","17.16","11.5","1260","4","8","20","40","80","16.25","18.07","1","99","10","12"
"2003","Westdeutschland","18.15","11.5","3957","4","8","20","40","88","17.62","18.68","1","99","12","15"
"2004","Ostdeutschland","17.5","11.5","1229","4","7","20","40","80","16.57","18.43","1","99","10","14"
"2004","Westdeutschland","18.2","13.5","3847","4","8","20","40","90","17.66","18.74","1","99","12","15"
"2005","Ostdeutschland","17.28","9.5","1135","4","7","20","40","88","16.29","18.27","1","99","10","12"
"2005","Westdeutschland","18.7","11.5","3602","4","8","24","40","90","18.13","19.27","1","99","12","15"
"2006","Ostdeutschland","18.78","13.5","1261","5","8","24","40","90","17.82","19.74","1","99","12","15"
"2006","Westdeutschland","18.75","13.5","4113","4","8","23","40","86","18.22","19.28","1","99","12","15"
"2007","Ostdeutschland","18.35","11.5","1230","4","8","20","40","99","17.4","19.3","1","99","10","12"
"2007","Westdeutschland","19.58","13.5","3864","4","8","25","40","90","19.02","20.14","1","99","14","15"
"2008","Ostdeutschland","17.56","11.5","1200","5","8","20","36","90","16.62","18.5","1","99","11","14"
"2008","Westdeutschland","18.75","13.5","3708","4","8","21","40","85","18.2","19.3","1","99","13","15"
"2009","Ostdeutschland","18.76","13.5","1080","5","8","20","40","80","17.74","19.78","1","99","12","15"
"2009","Westdeutschland","18.68","13.5","3166","4","8","22","40","90","18.08","19.28","1","99","12","15"
"2010","Ostdeutschland","17.77","11.5","1298","4","6","20","36","90","16.84","18.7","1","99","10","12"
"2010","Westdeutschland","18.59","11.5","4427","4","8","20","40","99","18.08","19.1","1","99","12","15"
"2011","Ostdeutschland","16.81","11.5","1589","5","8","20","38","80","16.04","17.58","1","99","12","15"
"2011","Westdeutschland","19.14","14.5","5858","4","8","24","40","80","18.7","19.58","1","99","13","15"
"2012","Ostdeutschland","16.41","11.5","1562","4","8","20","35","80","15.64","17.18","1","99","10","12"
"2012","Westdeutschland","17.71","11.5","5817","4","7","20","40","85","17.28","18.14","1","99","12","12"
"2013","Ostdeutschland","15.56","9.5","1523","4","7","20","30","70","14.81","16.31","1","99","10","12"
"2013","Westdeutschland","16.67","11.5","6414","4","7","20","37","80","16.28","17.06","1","99","12","12"
"2014","Ostdeutschland","15.98","9.5","1411","4","6","20","36","80","15.16","16.8","1","99","10","11"
"2014","Westdeutschland","16.33","9.5","5741","4","6","20","35","80","15.94","16.72","1","99","10","12"
"2015","Ostdeutschland","15.09","9.5","1368","4","6","20","30","80","14.32","15.86","1","99","10","10"
"2015","Westdeutschland","16.69","11.5","5802","4","7","20","35","80","16.29","17.09","1","99","12","12"
"2016","Ostdeutschland","13.83","9.5","1323","4","5","20","30","60","13.09","14.57","1","99","10","10"
"2016","Westdeutschland","15.91","9.5","5457","4","6","20","35","80","15.51","16.31","1","200","10","12"
"2017","Ostdeutschland","15.5","9.5","1408","4","5","20","32","80","14.72","16.28","1","120","10","10"
"2017","Westdeutschland","16.18","9.5","5858","4","7","20","35","80","15.8","16.56","1","146","10","12"
"2018","Ostdeutschland","14.55","9.5","1402","3","5","20","30","80","13.84","15.26","1","107","10","10"
"2018","Westdeutschland","15.91","9.5","5935","4","6","20","33","80","15.53","16.29","1","150","10","11"
"2019","Ostdeutschland","13.87","9.5","1377","4","5","20","28","80","13.08","14.66","1","99","10","10"
"2019","Westdeutschland","15.84","9.5","5451","4","6","20","32","80","15.43","16.25","1","99","10","10"
"2020","Ostdeutschland","13.26","9.5","1242","3","5","16","25","78","12.5","14.02","1","99","10","10"
"2020","Westdeutschland","14.44","9.5","5144","3","6","20","30","80","14.04","14.84","1","130","10","10"
