"year","migback","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1994","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1994","indirekter Migrationshintergrund","Westdeutschland","16.68","9","86","13.54","19.82"
"1994","kein Migrationshintergrund","Ostdeutschland","20.33","14.5","987","19.18","21.48"
"1994","kein Migrationshintergrund","Westdeutschland","18.57","11.5","1478","17.66","19.48"
"1995","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1995","direkter Migrationshintergrund","Westdeutschland","18.22","14.5","427","16.78","19.66"
"1995","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1995","indirekter Migrationshintergrund","Westdeutschland","14.46","9","98","11.89","17.03"
"1995","kein Migrationshintergrund","Ostdeutschland","20.07","11.5","973","18.89","21.25"
"1995","kein Migrationshintergrund","Westdeutschland","19.56","14.5","1651","18.7","20.42"
"1996","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1996","direkter Migrationshintergrund","Westdeutschland","18.67","11.5","405","17.14","20.2"
"1996","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1996","indirekter Migrationshintergrund","Westdeutschland","16.93","14.5","114","14.95","18.91"
"1996","kein Migrationshintergrund","Ostdeutschland","20.04","14.5","927","18.88","21.2"
"1996","kein Migrationshintergrund","Westdeutschland","18.3","12.5","1640","17.5","19.1"
"1997","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1997","direkter Migrationshintergrund","Westdeutschland","18.42","11.5","413","16.91","19.93"
"1997","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1997","indirekter Migrationshintergrund","Westdeutschland","16.02","13.5","118","13.42","18.62"
"1997","kein Migrationshintergrund","Ostdeutschland","20.22","14.5","936","19.05","21.39"
"1997","kein Migrationshintergrund","Westdeutschland","18.92","13.5","1628","18.1","19.74"
"1998","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1998","direkter Migrationshintergrund","Westdeutschland","19.55","15.5","389","18.12","20.98"
"1998","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1998","indirekter Migrationshintergrund","Westdeutschland","19.01","14.5","129","15.93","22.09"
"1998","kein Migrationshintergrund","Ostdeutschland","19.79","14.5","1008","18.69","20.89"
"1998","kein Migrationshintergrund","Westdeutschland","19.68","14.5","1947","18.92","20.44"
"1999","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1999","direkter Migrationshintergrund","Westdeutschland","17.51","11.5","377","15.91","19.11"
"1999","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1999","indirekter Migrationshintergrund","Westdeutschland","17.84","12.5","138","15.29","20.39"
"1999","kein Migrationshintergrund","Ostdeutschland","20.11","14.5","1013","18.98","21.24"
"1999","kein Migrationshintergrund","Westdeutschland","19.52","14.5","1947","18.78","20.26"
"2000","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2000","direkter Migrationshintergrund","Westdeutschland","17.72","11.5","528","16.38","19.06"
"2000","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2000","indirekter Migrationshintergrund","Westdeutschland","16.18","11","179","14","18.36"
"2000","kein Migrationshintergrund","Ostdeutschland","19.02","14.5","1364","18.06","19.98"
"2000","kein Migrationshintergrund","Westdeutschland","19.61","14.5","3523","19.04","20.18"
"2001","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2001","direkter Migrationshintergrund","Westdeutschland","18.87","14.5","532","17.44","20.3"
"2001","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2001","indirekter Migrationshintergrund","Westdeutschland","19.89","14.5","171","17.42","22.36"
"2001","kein Migrationshintergrund","Ostdeutschland","17.75","11.5","1330","16.9","18.6"
"2001","kein Migrationshintergrund","Westdeutschland","18.98","14.5","3244","18.4","19.56"
"2002","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2002","direkter Migrationshintergrund","Westdeutschland","17.67","11.5","449","16.02","19.32"
"2002","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2002","indirekter Migrationshintergrund","Westdeutschland","17.23","9.5","169","14.89","19.57"
"2002","kein Migrationshintergrund","Ostdeutschland","18.66","11.5","1293","17.64","19.68"
"2002","kein Migrationshintergrund","Westdeutschland","19.26","14.5","3578","18.68","19.84"
"2003","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2003","direkter Migrationshintergrund","Westdeutschland","17.42","11.5","400","15.86","18.98"
"2003","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2003","indirekter Migrationshintergrund","Westdeutschland","15.14","11","158","13.02","17.26"
"2003","kein Migrationshintergrund","Ostdeutschland","17.21","11.5","1245","16.29","18.13"
"2003","kein Migrationshintergrund","Westdeutschland","18.38","12.5","3399","17.8","18.96"
"2004","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2004","direkter Migrationshintergrund","Westdeutschland","15.07","11","384","13.61","16.53"
"2004","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2004","indirekter Migrationshintergrund","Westdeutschland","17.13","11.5","169","14.62","19.64"
"2004","kein Migrationshintergrund","Ostdeutschland","17.54","11.5","1218","16.6","18.48"
"2004","kein Migrationshintergrund","Westdeutschland","18.64","13.5","3294","18.05","19.23"
"2005","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2005","direkter Migrationshintergrund","Westdeutschland","17.91","11.5","367","16.19","19.63"
"2005","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2005","indirekter Migrationshintergrund","Westdeutschland","16.59","11","176","14.5","18.68"
"2005","kein Migrationshintergrund","Ostdeutschland","17.34","9.5","1122","16.34","18.34"
"2005","kein Migrationshintergrund","Westdeutschland","18.91","11.5","3059","18.29","19.53"
"2006","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2006","direkter Migrationshintergrund","Westdeutschland","17.95","11.5","418","16.4","19.5"
"2006","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2006","indirekter Migrationshintergrund","Westdeutschland","15.75","9.5","212","13.81","17.69"
"2006","kein Migrationshintergrund","Ostdeutschland","18.81","13.5","1249","17.84","19.78"
"2006","kein Migrationshintergrund","Westdeutschland","19.06","14.5","3483","18.48","19.64"
"2007","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2007","direkter Migrationshintergrund","Westdeutschland","19.69","11.5","374","17.97","21.41"
"2007","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2007","indirekter Migrationshintergrund","Westdeutschland","17.45","11.5","206","15.03","19.87"
"2007","kein Migrationshintergrund","Ostdeutschland","18.39","11.5","1213","17.43","19.35"
"2007","kein Migrationshintergrund","Westdeutschland","19.7","14.5","3284","19.08","20.32"
"2008","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2008","direkter Migrationshintergrund","Westdeutschland","17.89","11.5","365","16.23","19.55"
"2008","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2008","indirekter Migrationshintergrund","Westdeutschland","15.16","9.5","185","12.95","17.37"
"2008","kein Migrationshintergrund","Ostdeutschland","17.65","11.5","1180","16.7","18.6"
"2008","kein Migrationshintergrund","Westdeutschland","19.14","13.5","3158","18.54","19.74"
"2009","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2009","direkter Migrationshintergrund","Westdeutschland","19.09","14.5","248","16.98","21.2"
"2009","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2009","indirekter Migrationshintergrund","Westdeutschland","16.05","11.5","176","13.48","18.62"
"2009","kein Migrationshintergrund","Ostdeutschland","18.81","13.5","1066","17.78","19.84"
"2009","kein Migrationshintergrund","Westdeutschland","18.85","13.5","2742","18.2","19.5"
"2010","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2010","direkter Migrationshintergrund","Westdeutschland","17.55","9.5","502","16.08","19.02"
"2010","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2010","indirekter Migrationshintergrund","Westdeutschland","17.98","14.5","253","15.84","20.12"
"2010","kein Migrationshintergrund","Ostdeutschland","17.87","11.5","1271","16.93","18.81"
"2010","kein Migrationshintergrund","Westdeutschland","18.78","11.5","3672","18.22","19.34"
"2011","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2011","direkter Migrationshintergrund","Westdeutschland","19.19","14.5","660","17.95","20.43"
"2011","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2011","indirekter Migrationshintergrund","Westdeutschland","18.95","14.5","348","17.19","20.71"
"2011","kein Migrationshintergrund","Ostdeutschland","16.85","11.5","1549","16.07","17.63"
"2011","kein Migrationshintergrund","Westdeutschland","19.14","14.5","4850","18.65","19.63"
"2012","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2012","direkter Migrationshintergrund","Westdeutschland","18.17","13.5","629","16.84","19.5"
"2012","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2012","indirekter Migrationshintergrund","Westdeutschland","18.81","9.5","354","16.87","20.75"
"2012","kein Migrationshintergrund","Ostdeutschland","16.45","11.5","1523","15.67","17.23"
"2012","kein Migrationshintergrund","Westdeutschland","17.55","11.5","4834","17.08","18.02"
"2013","direkter Migrationshintergrund","Ostdeutschland","14.85","9","68","11.67","18.03"
"2013","direkter Migrationshintergrund","Westdeutschland","17.36","14.5","1335","16.53","18.19"
"2013","indirekter Migrationshintergrund","Ostdeutschland","18.06","17","31","12.56","23.56"
"2013","indirekter Migrationshintergrund","Westdeutschland","18.12","14.5","544","16.73","19.51"
"2013","kein Migrationshintergrund","Ostdeutschland","15.55","9.5","1424","14.77","16.33"
"2013","kein Migrationshintergrund","Westdeutschland","16.43","9.5","4535","15.97","16.89"
"2014","direkter Migrationshintergrund","Ostdeutschland","12.64","11","68","8.6","16.68"
"2014","direkter Migrationshintergrund","Westdeutschland","15.7","11.5","1041","14.85","16.55"
"2014","indirekter Migrationshintergrund","Ostdeutschland","20.94","13.5","32","13.14","28.74"
"2014","indirekter Migrationshintergrund","Westdeutschland","17.15","10.5","484","15.64","18.66"
"2014","kein Migrationshintergrund","Ostdeutschland","15.98","9.5","1311","15.14","16.82"
"2014","kein Migrationshintergrund","Westdeutschland","16.36","9.5","4216","15.9","16.82"
"2015","direkter Migrationshintergrund","Ostdeutschland","19.11","14","75","15.35","22.87"
"2015","direkter Migrationshintergrund","Westdeutschland","17.69","11.5","1180","16.78","18.6"
"2015","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2015","indirekter Migrationshintergrund","Westdeutschland","20.04","14.5","426","18.52","21.56"
"2015","kein Migrationshintergrund","Ostdeutschland","14.91","9.5","1265","14.12","15.7"
"2015","kein Migrationshintergrund","Westdeutschland","16.23","11.5","4196","15.77","16.69"
"2016","direkter Migrationshintergrund","Ostdeutschland","15.86","9","66","12.01","19.71"
"2016","direkter Migrationshintergrund","Westdeutschland","16.9","11.5","1052","16.01","17.79"
"2016","indirekter Migrationshintergrund","Ostdeutschland","17.13","9","35","10.83","23.43"
"2016","indirekter Migrationshintergrund","Westdeutschland","17.21","9.5","410","15.59","18.83"
"2016","kein Migrationshintergrund","Ostdeutschland","13.69","9.5","1222","12.94","14.44"
"2016","kein Migrationshintergrund","Westdeutschland","15.62","9.5","3995","15.15","16.09"
"2017","direkter Migrationshintergrund","Ostdeutschland","15.36","9","62","11.23","19.49"
"2017","direkter Migrationshintergrund","Westdeutschland","16.61","11.5","1010","15.74","17.48"
"2017","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2017","indirekter Migrationshintergrund","Westdeutschland","15.8","11.5","427","14.48","17.12"
"2017","kein Migrationshintergrund","Ostdeutschland","15.36","9.5","1317","14.57","16.15"
"2017","kein Migrationshintergrund","Westdeutschland","16.14","9.5","4421","15.7","16.58"
"2018","direkter Migrationshintergrund","Ostdeutschland","16.25","11","86","13.63","18.87"
"2018","direkter Migrationshintergrund","Westdeutschland","16.94","11.5","1094","16.07","17.81"
"2018","indirekter Migrationshintergrund","Ostdeutschland","17.22","9.5","31","12.04","22.4"
"2018","indirekter Migrationshintergrund","Westdeutschland","15.04","9.5","472","13.65","16.43"
"2018","kein Migrationshintergrund","Ostdeutschland","14.41","9.5","1285","13.66","15.16"
"2018","kein Migrationshintergrund","Westdeutschland","15.81","9.5","4369","15.36","16.26"
"2019","direkter Migrationshintergrund","Ostdeutschland","14.07","11.5","58","10.37","17.77"
"2019","direkter Migrationshintergrund","Westdeutschland","17.5","9.5","958","16.53","18.47"
"2019","indirekter Migrationshintergrund","Ostdeutschland","14.01","9","36","6.9","21.12"
"2019","indirekter Migrationshintergrund","Westdeutschland","14.89","9.5","421","13.35","16.43"
"2019","kein Migrationshintergrund","Ostdeutschland","13.86","9.5","1283","13.05","14.67"
"2019","kein Migrationshintergrund","Westdeutschland","15.6","9.5","4072","15.13","16.07"
"2020","direkter Migrationshintergrund","Ostdeutschland","16.65","14.5","104","14.04","19.26"
"2020","direkter Migrationshintergrund","Westdeutschland","15.66","9.5","1117","14.72","16.6"
"2020","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2020","indirekter Migrationshintergrund","Westdeutschland","13.88","9.5","376","12.49","15.27"
"2020","kein Migrationshintergrund","Ostdeutschland","13.13","9.5","1109","12.34","13.92"
"2020","kein Migrationshintergrund","Westdeutschland","14.29","9.5","3652","13.83","14.75"
