year,quintil_oecd_hh,regtyp,hlf0613,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2021,1st Quintile,Rural regions,No,0.64270,636,12488,0,0.56695,0,0.70670
2021,2nd Quintile,Urban regions,Yes,0.48438,719,12488,0,0.44325,0,0.53665
2021,2nd Quintile,Urban regions,No,0.51562,769,12488,0,0.46732,0,0.56614
2021,2nd Quintile,Rural regions,Yes,0.42111,400,12488,0,0.37276,0,0.47113
2021,2nd Quintile,Rural regions,No,0.57889,483,12488,0,0.51455,0,0.65178
2021,3rd Quintile,Urban regions,Yes,0.53312,763,12488,0,0.48665,0,0.57807
2021,3rd Quintile,Urban regions,No,0.46688,576,12488,0,0.42352,0,0.51331
2021,3rd Quintile,Rural regions,Yes,0.52729,396,12488,0,0.46985,0,0.59245
2021,3rd Quintile,Rural regions,No,0.47271,315,12488,0,0.41318,0,0.53358
2021,4th Quintile,Urban regions,Yes,0.55903,862,12488,0,0.51339,0,0.60532
2021,4th Quintile,Urban regions,No,0.44097,572,12488,0,0.40347,0,0.47878
2021,4th Quintile,Rural regions,Yes,0.54560,387,12488,0,0.47756,0,0.61902
2021,4th Quintile,Rural regions,No,0.45440,284,12488,0,0.39097,0,0.52348
2021,5th Quintile,Urban regions,Yes,0.63055,1341,12488,0,0.58163,0,0.68091
2021,5th Quintile,Urban regions,No,0.36945,632,12488,0,0.33654,0,0.40566
2021,5th Quintile,Rural regions,Yes,0.63247,459,12488,0,0.55139,0,0.70405
2021,5th Quintile,Rural regions,No,0.36753,254,12488,0,0.31367,0,0.42736
