year,hhtyp,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,Other Combinations,No,0.94678,94,94,0.90115,0.99240
2013,Single-person household,Yes,0.01325,42,3840,0.00963,0.01687
2013,Single-person household,No,0.98675,3798,3840,0.98313,0.99037
2013,Couple without children,Yes,0.03306,139,4637,0.02792,0.03821
2013,Couple without children,No,0.96694,4498,4637,0.96179,0.97208
2013,Single parent,Yes,0.01278,35,2243,0.00813,0.01743
2013,Single parent,No,0.98722,2208,2243,0.98257,0.99187
2013,Couple with children,Yes,0.04740,340,6639,0.04229,0.05251
2013,Couple with children,No,0.95260,6299,6639,0.94749,0.95771
2013,Multi-generational household,No,0.97189,139,139,0.94431,0.99947
2013,Other Combinations,No,0.97833,349,349,0.96304,0.99363
2014,Single-person household,Yes,0.01919,52,3559,0.01468,0.02370
2014,Single-person household,No,0.98081,3507,3559,0.97630,0.98532
2014,Couple without children,Yes,0.04027,163,4359,0.03443,0.04611
2014,Couple without children,No,0.95973,4196,4359,0.95389,0.96557
2014,Single parent,No,0.98817,1784,1784,0.98315,0.99319
2014,Couple with children,Yes,0.05717,350,5698,0.05114,0.06319
2014,Couple with children,No,0.94283,5348,5698,0.93681,0.94886
2014,Multi-generational household,No,0.95790,119,119,0.92167,0.99414
2014,Other Combinations,No,0.98321,258,258,0.96750,0.99892
2015,Single-person household,Yes,0.01759,58,3615,0.01330,0.02188
2015,Single-person household,No,0.98241,3557,3615,0.97812,0.98670
2015,Couple without children,Yes,0.03689,152,4371,0.03130,0.04248
2015,Couple without children,No,0.96311,4219,4371,0.95752,0.96870
2015,Single parent,No,0.98853,1678,1678,0.98343,0.99363
2015,Couple with children,Yes,0.05056,320,5654,0.04485,0.05627
2015,Couple with children,No,0.94944,5334,5654,0.94373,0.95515
2015,Multi-generational household,No,0.94598,134,134,0.90756,0.98440
2015,Other Combinations,No,0.98689,247,247,0.97268,1.00111
2016,Single-person household,Yes,0.01824,54,3379,0.01373,0.02276
2016,Single-person household,No,0.98176,3325,3379,0.97724,0.98627
2016,Couple without children,Yes,0.03740,139,4092,0.03158,0.04321
2016,Couple without children,No,0.96260,3953,4092,0.95679,0.96842
2016,Single parent,Yes,0.02112,32,1523,0.01390,0.02835
2016,Single parent,No,0.97888,1491,1523,0.97165,0.98610
2016,Couple with children,Yes,0.05898,300,4989,0.05244,0.06552
2016,Couple with children,No,0.94102,4689,4989,0.93448,0.94756
2016,Multi-generational household,No,0.92461,103,103,0.87337,0.97585
2016,Other Combinations,No,0.99865,194,194,0.99346,1.00383
2017,Single-person household,Yes,0.02158,82,3824,0.01698,0.02619
2017,Single-person household,No,0.97842,3742,3824,0.97381,0.98302
2017,Couple without children,Yes,0.04350,189,4602,0.03761,0.04940
2017,Couple without children,No,0.95650,4413,4602,0.95060,0.96239
2017,Single parent,Yes,0.02587,40,1536,0.01793,0.03381
2017,Single parent,No,0.97413,1496,1536,0.96619,0.98207
2017,Couple with children,Yes,0.06278,339,5314,0.05625,0.06930
2017,Couple with children,No,0.93722,4975,5314,0.93070,0.94375
2017,Multi-generational household,No,0.95016,109,109,0.90911,0.99120
2017,Other Combinations,No,0.98444,251,251,0.96911,0.99978
2018,Single-person household,Yes,0.02113,67,4015,0.01668,0.02557
2018,Single-person household,No,0.97887,3948,4015,0.97443,0.98332
2018,Couple without children,Yes,0.04747,189,4535,0.04128,0.05366
2018,Couple without children,No,0.95253,4346,4535,0.94634,0.95872
2018,Single parent,Yes,0.01569,36,1510,0.00942,0.02196
2018,Single parent,No,0.98431,1474,1510,0.97804,0.99058
2018,Couple with children,Yes,0.07115,342,5014,0.06403,0.07827
2018,Couple with children,No,0.92885,4672,5014,0.92173,0.93597
2018,Multi-generational household,No,0.97245,112,112,0.94199,1.00290
2018,Other Combinations,No,0.97068,222,222,0.94844,0.99292
2019,Single-person household,Yes,0.01946,60,3259,0.01472,0.02421
2019,Single-person household,No,0.98054,3199,3259,0.97579,0.98528
2019,Couple without children,Yes,0.04775,166,3855,0.04102,0.05449
2019,Couple without children,No,0.95225,3689,3855,0.94551,0.95898
2019,Single parent,Yes,0.02024,35,1233,0.01238,0.02811
2019,Single parent,No,0.97976,1198,1233,0.97189,0.98762
2019,Couple with children,Yes,0.06658,290,4011,0.05887,0.07430
2019,Couple with children,No,0.93342,3721,4011,0.92570,0.94113
2019,Multi-generational household,No,0.96177,81,81,0.91975,1.00379
2019,Other Combinations,No,0.96767,156,156,0.93983,0.99552
2020,Single-person household,Yes,0.02024,105,4568,0.01615,0.02432
2020,Single-person household,No,0.97976,4463,4568,0.97568,0.98385
2020,Couple without children,Yes,0.03922,195,5002,0.03384,0.04460
2020,Couple without children,No,0.96078,4807,5002,0.95540,0.96616
2020,Single parent,Yes,0.02450,33,1336,0.01621,0.03279
2020,Single parent,No,0.97550,1303,1336,0.96721,0.98379
2020,Couple with children,Yes,0.06174,338,4884,0.05498,0.06849
2020,Couple with children,No,0.93826,4546,4884,0.93151,0.94502
2020,Multi-generational household,No,0.98881,112,112,0.96925,1.00838
2020,Other Combinations,No,0.98464,287,287,0.97039,0.99890
2021,Single-person household,Yes,0.02329,64,2788,0.01769,0.02889
2021,Single-person household,No,0.97671,2724,2788,0.97111,0.98231
2021,Couple without children,Yes,0.04359,140,3116,0.03642,0.05076
2021,Couple without children,No,0.95641,2976,3116,0.94924,0.96358
2021,Single parent,No,0.97317,797,797,0.96194,0.98439
2021,Couple with children,Yes,0.06366,199,2875,0.05474,0.07259
2021,Couple with children,No,0.93634,2676,2875,0.92741,0.94526
2021,Multi-generational household,No,0.99300,65,65,0.97258,1.01343
2021,Other Combinations,No,0.97983,215,215,0.96100,0.99867
2022,No answer / don't know,Yes,0.07573,35,437,0.05089,0.10056
2022,No answer / don't know,No,0.92427,402,437,0.89944,0.94911
2022,Single-person household,Yes,0.02691,202,5544,0.02265,0.03118
2022,Single-person household,No,0.97309,5342,5544,0.96882,0.97735
2022,Couple without children,Yes,0.06086,349,5705,0.05466,0.06707
2022,Couple without children,No,0.93914,5356,5705,0.93293,0.94534
2022,Single parent,Yes,0.03026,43,1140,0.02031,0.04021
2022,Single parent,No,0.96974,1097,1140,0.95979,0.97969
2022,Couple with children,Yes,0.09809,538,5139,0.08996,0.10622
2022,Couple with children,No,0.90191,4601,5139,0.89378,0.91004
2022,Multi-generational household,No,0.93248,75,75,0.87531,0.98965
2022,Other Combinations,Yes,0.04593,61,1109,0.03360,0.05825
2022,Other Combinations,No,0.95407,1048,1109,0.94175,0.96640
