year,regtyp,rentown,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Urban regions,Owner,No,0.95584,4404,4680,0.94995,0.96172
2013,Urban regions,Tenant,Yes,0.00814,58,7164,0.00606,0.01022
2013,Urban regions,Tenant,No,0.99186,7106,7164,0.98978,0.99394
2013,Rural regions,Owner,Yes,0.05458,209,3026,0.04649,0.06268
2013,Rural regions,Owner,No,0.94542,2817,3026,0.93732,0.95351
2013,Rural regions,Tenant,No,0.98835,2964,2964,0.98449,0.99222
2014,Urban regions,Owner,Yes,0.04998,279,4272,0.04344,0.05651
2014,Urban regions,Owner,No,0.95002,3993,4272,0.94349,0.95656
2014,Urban regions,Tenant,Yes,0.01326,73,6119,0.01039,0.01613
2014,Urban regions,Tenant,No,0.98674,6046,6119,0.98387,0.98961
2014,Rural regions,Owner,Yes,0.06822,216,2776,0.05884,0.07760
2014,Rural regions,Owner,No,0.93178,2560,2776,0.92240,0.94116
2014,Rural regions,Tenant,Yes,0.01596,34,2647,0.01119,0.02074
2014,Rural regions,Tenant,No,0.98404,2613,2647,0.97926,0.98881
2015,Urban regions,Owner,Yes,0.04270,252,4045,0.03647,0.04893
2015,Urban regions,Owner,No,0.95730,3793,4045,0.95107,0.96353
2015,Urban regions,Tenant,Yes,0.01268,70,6321,0.00993,0.01544
2015,Urban regions,Tenant,No,0.98732,6251,6321,0.98456,0.99007
2015,Rural regions,Owner,Yes,0.05787,203,2688,0.04904,0.06670
2015,Rural regions,Owner,No,0.94213,2485,2688,0.93330,0.95096
2015,Rural regions,Tenant,Yes,0.02042,44,2684,0.01507,0.02577
2015,Rural regions,Tenant,No,0.97958,2640,2684,0.97423,0.98493
2016,Urban regions,Owner,Yes,0.05315,242,3769,0.04599,0.06031
2016,Urban regions,Owner,No,0.94685,3527,3769,0.93969,0.95401
2016,Urban regions,Tenant,Yes,0.00995,61,5597,0.00735,0.01255
2016,Urban regions,Tenant,No,0.99005,5536,5597,0.98745,0.99265
2016,Rural regions,Owner,Yes,0.07011,197,2531,0.06016,0.08006
2016,Rural regions,Owner,No,0.92989,2334,2531,0.91994,0.93984
2016,Rural regions,Tenant,Yes,0.01185,31,2388,0.00751,0.01619
2016,Rural regions,Tenant,No,0.98815,2357,2388,0.98381,0.99249
2017,Urban regions,Owner,Yes,0.05436,290,4256,0.04755,0.06117
2017,Urban regions,Owner,No,0.94564,3966,4256,0.93883,0.95245
2017,Urban regions,Tenant,Yes,0.01638,91,5968,0.01316,0.01960
2017,Urban regions,Tenant,No,0.98362,5877,5968,0.98040,0.98684
2017,Rural regions,Owner,Yes,0.07437,236,2802,0.06465,0.08408
2017,Rural regions,Owner,No,0.92563,2566,2802,0.91592,0.93535
2017,Rural regions,Tenant,Yes,0.01520,43,2620,0.01052,0.01989
2017,Rural regions,Tenant,No,0.98480,2577,2620,0.98011,0.98948
2018,Urban regions,Owner,Yes,0.05774,287,4072,0.05058,0.06491
2018,Urban regions,Owner,No,0.94226,3785,4072,0.93509,0.94942
2018,Urban regions,Tenant,Yes,0.01438,87,6081,0.01139,0.01738
2018,Urban regions,Tenant,No,0.98562,5994,6081,0.98262,0.98861
2018,Rural regions,Owner,Yes,0.08133,228,2675,0.07097,0.09169
2018,Rural regions,Owner,No,0.91867,2447,2675,0.90831,0.92903
2018,Rural regions,Tenant,Yes,0.01961,42,2590,0.01427,0.02495
2018,Rural regions,Tenant,No,0.98039,2548,2590,0.97505,0.98573
2019,Urban regions,Owner,Yes,0.05048,242,3550,0.04328,0.05769
2019,Urban regions,Owner,No,0.94952,3308,3550,0.94231,0.95672
2019,Urban regions,Tenant,Yes,0.01535,75,4681,0.01183,0.01887
2019,Urban regions,Tenant,No,0.98465,4606,4681,0.98113,0.98817
2019,Rural regions,Owner,Yes,0.07875,208,2384,0.06794,0.08956
2019,Rural regions,Owner,No,0.92125,2176,2384,0.91044,0.93206
2019,Rural regions,Tenant,Yes,0.01924,35,1989,0.01320,0.02528
2019,Rural regions,Tenant,No,0.98076,1954,1989,0.97472,0.98680
2020,Urban regions,Owner,Yes,0.03934,285,4263,0.03350,0.04517
2020,Urban regions,Owner,No,0.96066,3978,4263,0.95483,0.96650
2020,Urban regions,Tenant,Yes,0.01946,99,6672,0.01615,0.02278
2020,Urban regions,Tenant,No,0.98054,6573,6672,0.97722,0.98385
2020,Rural regions,Owner,Yes,0.07854,242,2671,0.06833,0.08874
2020,Rural regions,Owner,No,0.92146,2429,2671,0.91126,0.93167
2020,Rural regions,Tenant,Yes,0.01762,55,2593,0.01256,0.02269
2020,Rural regions,Tenant,No,0.98238,2538,2593,0.97731,0.98744
2021,Urban regions,Owner,Yes,0.03950,186,2837,0.03234,0.04667
2021,Urban regions,Owner,No,0.96050,2651,2837,0.95333,0.96766
2021,Urban regions,Tenant,Yes,0.02148,64,3754,0.01684,0.02612
2021,Urban regions,Tenant,No,0.97852,3690,3754,0.97388,0.98316
2021,Rural regions,Owner,Yes,0.08768,169,1804,0.07463,0.10074
2021,Rural regions,Owner,No,0.91232,1635,1804,0.89926,0.92537
2021,Rural regions,Tenant,No,0.98529,1498,1498,0.97919,0.99139
2022,Urban regions,Owner,Yes,0.06574,454,4685,0.05864,0.07284
2022,Urban regions,Owner,No,0.93426,4231,4685,0.92716,0.94136
2022,Urban regions,Tenant,Yes,0.02620,282,8406,0.02279,0.02962
2022,Urban regions,Tenant,No,0.97380,8124,8406,0.97038,0.97721
2022,Rural regions,Owner,Yes,0.09840,384,3144,0.08799,0.10881
2022,Rural regions,Owner,No,0.90160,2760,3144,0.89119,0.91201
2022,Rural regions,Tenant,Yes,0.03624,114,2907,0.02945,0.04304
2022,Rural regions,Tenant,No,0.96376,2793,2907,0.95696,0.97055
