year,pgisced97,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2020,Lower Secondary Level,Eastern Europe,0.00294,35,35,-0.01526,0.02113
2020,Upper Secondary Level,Southern Europe,0.00274,73,259,-0.00364,0.00912
2020,Upper Secondary Level,Western Asia,0.00083,38,259,-0.00268,0.00435
2020,Upper Secondary Level,Eastern Europe,0.00242,148,259,-0.00358,0.00842
2020,Post-secondary Non-tertiary Level,Eastern Europe,0.01079,66,66,-0.01433,0.03591
2020,Second Stage of Tertiary Education,Southern Europe,0.00266,67,274,-0.00345,0.00876
2020,Second Stage of Tertiary Education,Western Asia,0.00084,32,274,-0.00260,0.00428
2020,Second Stage of Tertiary Education,Eastern Europe,0.00508,175,274,-0.00335,0.01352
2021,Upper Secondary Level,Southern Europe,0.00355,43,138,-0.00641,0.01351
2021,Upper Secondary Level,Eastern Europe,0.00322,95,138,-0.00627,0.01271
2021,Post-secondary Non-tertiary Level,Eastern Europe,0.01088,50,50,-0.01817,0.03994
2021,Second Stage of Tertiary Education,Southern Europe,0.00394,49,155,-0.00596,0.01384
2021,Second Stage of Tertiary Education,Eastern Europe,0.00619,106,155,-0.00620,0.01858
