year,sampreg,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,West,Southern Asia,0.00126,32,847,-0.00113,0.00365
2018,West,Southern Europe,0.00341,151,847,-0.00052,0.00733
2018,West,Central Asia,0.00053,32,847,-0.00102,0.00207
2018,West,Western Asia,0.00217,108,847,-0.00096,0.00531
2018,West,Eastern Europe,0.00819,408,847,0.00212,0.01427
2018,West,Northern Europe,0.00116,34,847,-0.00113,0.00346
2018,West,Western Europe,0.00184,47,847,-0.00105,0.00473
2018,West,Latin America and the Caribbean,0.00111,35,847,-0.00113,0.00335
2018,East,Eastern Europe,0.00213,41,41,-0.01217,0.01644
2019,West,Northern Africa,0.00096,32,815,-0.00117,0.00310
2019,West,Southern Asia,0.00131,39,815,-0.00117,0.00379
2019,West,Southern Europe,0.00411,166,815,-0.00029,0.00850
2019,West,Western Asia,0.00214,90,815,-0.00103,0.00532
2019,West,Eastern Europe,0.00895,389,815,0.00248,0.01542
2019,West,Western Europe,0.00259,60,815,-0.00090,0.00608
2019,West,Latin America and the Caribbean,0.00126,39,815,-0.00118,0.00370
2020,West,Northern Africa,0.00046,31,943,-0.00091,0.00182
2020,West,Southern Asia,0.00039,34,943,-0.00087,0.00165
2020,West,Southern Europe,0.00265,194,943,-0.00063,0.00593
2020,West,Western Asia,0.00120,113,943,-0.00101,0.00341
2020,West,Eastern Europe,0.00380,419,943,-0.00013,0.00772
2020,West,Northern Europe,0.00049,41,943,-0.00092,0.00191
2020,West,Western Europe,0.00117,61,943,-0.00101,0.00335
2020,West,Latin America and the Caribbean,0.00100,50,943,-0.00102,0.00302
2020,East,Eastern Europe,0.00065,37,37,-0.00770,0.00901
2021,West,Southern Europe,0.00372,124,551,-0.00137,0.00880
2021,West,Western Asia,0.00124,60,551,-0.00170,0.00418
2021,West,Eastern Europe,0.00471,278,551,-0.00101,0.01044
2021,West,Northern Europe,0.00061,35,551,-0.00146,0.00268
2021,West,Western Europe,0.00174,54,551,-0.00174,0.00522
