"beruf","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"In Ausbildung","1984","66 und älter","AkademikerIn","","","",""
"In Rente oder Pension","1984","16-34 J.","(noch) kein Abschluss","","","",""
"In Rente oder Pension","1984","16-34 J.","Hauptschule","","","",""
"In Rente oder Pension","1984","16-34 J.","Realschule","","","",""
"In Rente oder Pension","1984","16-34 J.","(Fach-)Abitur","","","",""
"In Rente oder Pension","1984","16-34 J.","AkademikerIn","","","",""
"In Rente oder Pension","1984","35-65 J.","(noch) kein Abschluss","","","",""
"In Rente oder Pension","1984","35-65 J.","Hauptschule","488","0.156527357283107","0.145347849137137","0.167706865429077"
"In Rente oder Pension","1984","35-65 J.","Realschule","82","0.136316104293186","0.11093383023848","0.161698378347892"
"In Rente oder Pension","1984","35-65 J.","(Fach-)Abitur","","","",""
"In Rente oder Pension","1984","35-65 J.","AkademikerIn","","","",""
"In Rente oder Pension","1984","66 und älter","(noch) kein Abschluss","","","",""
"In Rente oder Pension","1984","66 und älter","Hauptschule","848","0.894077804420666","0.874580558653242","0.91357505018809"
"In Rente oder Pension","1984","66 und älter","Realschule","153","0.885767156226367","0.838905596600121","0.932628715852613"
"In Rente oder Pension","1984","66 und älter","(Fach-)Abitur","39","0.845246308714434","0.742931234832523","0.947561382596344"
"In Rente oder Pension","1984","66 und älter","AkademikerIn","54","0.912802704947304","0.843137201182327","0.982468208712282"
"Arbeitslose","1984","16-34 J.","(noch) kein Abschluss","","","",""
"Arbeitslose","1984","16-34 J.","Hauptschule","146","0.0697775666691537","0.0591891258368717","0.0803660075014358"
"Arbeitslose","1984","16-34 J.","Realschule","33","0.0317999010203086","0.0209408200868213","0.042658981953796"
"Arbeitslose","1984","16-34 J.","(Fach-)Abitur","","","",""
"Arbeitslose","1984","16-34 J.","AkademikerIn","","","",""
"Arbeitslose","1984","35-65 J.","(noch) kein Abschluss","48","0.0551479102022827","0.0387674868791443","0.0715283335254212"
"Arbeitslose","1984","35-65 J.","Hauptschule","122","0.0271618249159675","0.0221604219814614","0.0321632278504735"
"Arbeitslose","1984","35-65 J.","Realschule","","","",""
"Arbeitslose","1984","35-65 J.","(Fach-)Abitur","","","",""
"Arbeitslose","1984","35-65 J.","AkademikerIn","","","",""
"Arbeitslose","1984","66 und älter","(noch) kein Abschluss","","","",""
"Arbeitslose","1984","66 und älter","Hauptschule","","","",""
"Arbeitslose","1984","66 und älter","Realschule","","","",""
"Arbeitslose","1984","66 und älter","(Fach-)Abitur","","","",""
"Arbeitslose","1984","66 und älter","AkademikerIn","","","",""
"Sonstige Nichterwerbspersonen","1984","16-34 J.","(noch) kein Abschluss","104","0.100870049955382","0.0748602611039752","0.126879838806789"
"Sonstige Nichterwerbspersonen","1984","16-34 J.","Hauptschule","410","0.168429260342433","0.152875368665968","0.183983152018897"
"Sonstige Nichterwerbspersonen","1984","16-34 J.","Realschule","114","0.109705274438152","0.0903643032113616","0.129046245664941"
"Sonstige Nichterwerbspersonen","1984","16-34 J.","(Fach-)Abitur","80","0.123504718736072","0.0964231930015059","0.150586244470638"
"Sonstige Nichterwerbspersonen","1984","16-34 J.","AkademikerIn","","","",""
"Sonstige Nichterwerbspersonen","1984","35-65 J.","(noch) kein Abschluss","197","0.293507402415594","0.260830414717517","0.326184390113671"
"Sonstige Nichterwerbspersonen","1984","35-65 J.","Hauptschule","901","0.230609048895905","0.217649085375406","0.243569012416404"
"Sonstige Nichterwerbspersonen","1984","35-65 J.","Realschule","131","0.179136512250307","0.150769926835194","0.20750309766542"
"Sonstige Nichterwerbspersonen","1984","35-65 J.","(Fach-)Abitur","","","",""
"Sonstige Nichterwerbspersonen","1984","35-65 J.","AkademikerIn","31","0.0628724972203296","0.0411576304380942","0.084587364002565"
"Sonstige Nichterwerbspersonen","1984","66 und älter","(noch) kein Abschluss","","","",""
"Sonstige Nichterwerbspersonen","1984","66 und älter","Hauptschule","82","0.0773792688297325","0.0604508639556829","0.0943076737037822"
"Sonstige Nichterwerbspersonen","1984","66 und älter","Realschule","","","",""
"Sonstige Nichterwerbspersonen","1984","66 und älter","(Fach-)Abitur","","","",""
"Sonstige Nichterwerbspersonen","1984","66 und älter","AkademikerIn","","","",""
"Beamte","1984","16-34 J.","(noch) kein Abschluss","","","",""
"Beamte","1984","16-34 J.","Hauptschule","38","0.0237396710283351","0.0174126268241497","0.0300667152325205"
"Beamte","1984","16-34 J.","Realschule","64","0.0642342355105991","0.0490614792769836","0.0794069917442147"
"Beamte","1984","16-34 J.","(Fach-)Abitur","","","",""
"Beamte","1984","16-34 J.","AkademikerIn","59","0.265307150755077","0.210024045033275","0.320590256476879"
"Beamte","1984","35-65 J.","(noch) kein Abschluss","","","",""
"Beamte","1984","35-65 J.","Hauptschule","91","0.0253077008460978","0.0204754198201807","0.0301399818720149"
"Beamte","1984","35-65 J.","Realschule","54","0.0751981380789562","0.0556903770674995","0.0947058990904128"
"Beamte","1984","35-65 J.","(Fach-)Abitur","","","",""
"Beamte","1984","35-65 J.","AkademikerIn","148","0.30592459143658","0.264701743207314","0.347147439665845"
"Beamte","1984","66 und älter","(noch) kein Abschluss","","","",""
"Beamte","1984","66 und älter","Hauptschule","","","",""
"Beamte","1984","66 und älter","Realschule","","","",""
"Beamte","1984","66 und älter","(Fach-)Abitur","","","",""
"Beamte","1984","66 und älter","AkademikerIn","","","",""
"Angestellte, einfache Tätigkeiten","1985","16-34 J.","(noch) kein Abschluss","93","0.130524816612957","0.0988671716791206","0.162182461546793"
"Angestellte, einfache Tätigkeiten","1985","16-34 J.","Hauptschule","582","0.269928884087352","0.250077459807349","0.289780308367356"
"Angestellte, einfache Tätigkeiten","1985","16-34 J.","Realschule","98","0.0965496460880869","0.0779538963949955","0.115145395781178"
"Angestellte, einfache Tätigkeiten","1985","16-34 J.","(Fach-)Abitur","77","0.118592547431982","0.0906695822581925","0.146515512605772"
"Angestellte, einfache Tätigkeiten","1985","16-34 J.","AkademikerIn","","","",""
"Angestellte, einfache Tätigkeiten","1985","35-65 J.","(noch) kein Abschluss","316","0.452243530295492","0.413531926197077","0.490955134393908"
"Angestellte, einfache Tätigkeiten","1985","35-65 J.","Hauptschule","1009","0.225792136404059","0.212303772824057","0.23928049998406"
"Angestellte, einfache Tätigkeiten","1985","35-65 J.","Realschule","71","0.102991275262581","0.0801294050274796","0.125853145497681"
"Angestellte, einfache Tätigkeiten","1985","35-65 J.","(Fach-)Abitur","38","0.0671370431721368","0.034216906246642","0.100057180097632"
"Angestellte, einfache Tätigkeiten","1985","35-65 J.","AkademikerIn","","","",""
"Angestellte, einfache Tätigkeiten","1985","66 und älter","(noch) kein Abschluss","","","",""
"Angestellte, einfache Tätigkeiten","1985","66 und älter","Hauptschule","","","",""
"Angestellte, einfache Tätigkeiten","1985","66 und älter","Realschule","","","",""
"Angestellte, einfache Tätigkeiten","1985","66 und älter","(Fach-)Abitur","","","",""
"Angestellte, einfache Tätigkeiten","1985","66 und älter","AkademikerIn","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","16-34 J.","(noch) kein Abschluss","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","16-34 J.","Hauptschule","530","0.319387464624434","0.298538076512748","0.340236852736121"
"Angestellte, qualifizierte Tätigkeiten","1985","16-34 J.","Realschule","317","0.340358693329016","0.31052489511423","0.370192491543803"
"Angestellte, qualifizierte Tätigkeiten","1985","16-34 J.","(Fach-)Abitur","96","0.208422212633473","0.173341914388241","0.243502510878706"
"Angestellte, qualifizierte Tätigkeiten","1985","16-34 J.","AkademikerIn","107","0.473388545342813","0.409955781324844","0.536821309360782"
"Angestellte, qualifizierte Tätigkeiten","1985","35-65 J.","(noch) kein Abschluss","65","0.11120538929879","0.0867528000871171","0.135657978510463"
"Angestellte, qualifizierte Tätigkeiten","1985","35-65 J.","Hauptschule","967","0.257811530822509","0.243699668245142","0.271923393399876"
"Angestellte, qualifizierte Tätigkeiten","1985","35-65 J.","Realschule","262","0.377682060593427","0.341216529547223","0.41414759163963"
"Angestellte, qualifizierte Tätigkeiten","1985","35-65 J.","(Fach-)Abitur","70","0.316953646008263","0.25574756559838","0.378159726418147"
"Angestellte, qualifizierte Tätigkeiten","1985","35-65 J.","AkademikerIn","166","0.352123146930475","0.308427792391293","0.395818501469658"
"Angestellte, qualifizierte Tätigkeiten","1985","66 und älter","(noch) kein Abschluss","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","66 und älter","Hauptschule","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","66 und älter","Realschule","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","66 und älter","(Fach-)Abitur","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","66 und älter","AkademikerIn","","","",""
"Selbstständige/ManagerInnen","1985","16-34 J.","(noch) kein Abschluss","","","",""
"Selbstständige/ManagerInnen","1985","16-34 J.","Hauptschule","63","0.0362083121780631","0.0278545878922717","0.0445620364638545"
"Selbstständige/ManagerInnen","1985","16-34 J.","Realschule","42","0.0452142984405975","0.0321322108057403","0.0582963860754546"
"Selbstständige/ManagerInnen","1985","16-34 J.","(Fach-)Abitur","","","",""
"Selbstständige/ManagerInnen","1985","16-34 J.","AkademikerIn","","","",""
"Selbstständige/ManagerInnen","1985","35-65 J.","(noch) kein Abschluss","","","",""
"Selbstständige/ManagerInnen","1985","35-65 J.","Hauptschule","241","0.0697634290833479","0.0615450402941946","0.0779818178725013"
"Selbstständige/ManagerInnen","1985","35-65 J.","Realschule","71","0.104958746372328","0.0819048653343947","0.128012627410261"
"Selbstständige/ManagerInnen","1985","35-65 J.","(Fach-)Abitur","","","",""
"Selbstständige/ManagerInnen","1985","35-65 J.","AkademikerIn","73","0.163070029150238","0.129273400261467","0.196866658039009"
"Selbstständige/ManagerInnen","1985","66 und älter","(noch) kein Abschluss","","","",""
"Selbstständige/ManagerInnen","1985","66 und älter","Hauptschule","","","",""
"Selbstständige/ManagerInnen","1985","66 und älter","Realschule","","","",""
"Selbstständige/ManagerInnen","1985","66 und älter","(Fach-)Abitur","","","",""
"Selbstständige/ManagerInnen","1985","66 und älter","AkademikerIn","","","",""
"In Ausbildung","1985","16-34 J.","(noch) kein Abschluss","199","0.678100984027168","0.634196338576762","0.722005629477575"
"In Ausbildung","1985","16-34 J.","Hauptschule","273","0.139021555936545","0.123550440728172","0.154492671144918"
"In Ausbildung","1985","16-34 J.","Realschule","316","0.324162969080646","0.294692374678463","0.35363356348283"
"In Ausbildung","1985","16-34 J.","(Fach-)Abitur","242","0.492006151068848","0.448828504260115","0.53518379787758"
"In Ausbildung","1985","16-34 J.","AkademikerIn","","","",""
"In Ausbildung","1985","35-65 J.","(noch) kein Abschluss","","","",""
"In Ausbildung","1985","35-65 J.","Hauptschule","","","",""
"In Ausbildung","1985","35-65 J.","Realschule","","","",""
"In Ausbildung","1985","35-65 J.","(Fach-)Abitur","","","",""
"In Ausbildung","1985","35-65 J.","AkademikerIn","","","",""
"In Ausbildung","1985","66 und älter","(noch) kein Abschluss","","","",""
"In Ausbildung","1985","66 und älter","Hauptschule","","","",""
"In Ausbildung","1985","66 und älter","Realschule","","","",""
"In Ausbildung","1985","66 und älter","(Fach-)Abitur","","","",""
"In Ausbildung","1985","66 und älter","AkademikerIn","","","",""
"In Rente oder Pension","1985","16-34 J.","(noch) kein Abschluss","","","",""
"In Rente oder Pension","1985","16-34 J.","Hauptschule","","","",""
"In Rente oder Pension","1985","16-34 J.","Realschule","","","",""
"In Rente oder Pension","1985","16-34 J.","(Fach-)Abitur","","","",""
"In Rente oder Pension","1985","16-34 J.","AkademikerIn","","","",""
"In Rente oder Pension","1985","35-65 J.","(noch) kein Abschluss","32","0.0907114084639172","0.0683734718323752","0.113049345095459"
"In Rente oder Pension","1985","35-65 J.","Hauptschule","445","0.160473127221578","0.148631959638728","0.172314294804427"
"In Rente oder Pension","1985","35-65 J.","Realschule","84","0.14577649621536","0.119233941818939","0.172319050611781"
"In Rente oder Pension","1985","35-65 J.","(Fach-)Abitur","","","",""
"In Rente oder Pension","1985","35-65 J.","AkademikerIn","","","",""
"In Rente oder Pension","1985","66 und älter","(noch) kein Abschluss","","","",""
"In Rente oder Pension","1985","66 und älter","Hauptschule","731","0.904134011453103","0.883995600764778","0.924272422141427"
"In Rente oder Pension","1985","66 und älter","Realschule","144","0.895548148935508","0.848739219589639","0.942357078281378"
"In Rente oder Pension","1985","66 und älter","(Fach-)Abitur","33","0.80142537377448","0.68218940508499","0.92066134246397"
"In Rente oder Pension","1985","66 und älter","AkademikerIn","51","0.945438389703244","0.885952455876788","1.0049243235297"
"Arbeitslose","1985","16-34 J.","(noch) kein Abschluss","","","",""
"Arbeitslose","1985","16-34 J.","Hauptschule","142","0.0756825415594686","0.0638550447210026","0.0875100383979345"
"Arbeitslose","1985","16-34 J.","Realschule","40","0.0361872692145408","0.0244285386983663","0.0479459997307154"
"Arbeitslose","1985","16-34 J.","(Fach-)Abitur","","","",""
"Arbeitslose","1985","16-34 J.","AkademikerIn","","","",""
"Arbeitslose","1985","35-65 J.","(noch) kein Abschluss","50","0.0783988807130711","0.0574920763011492","0.0993056851249929"
"Arbeitslose","1985","35-65 J.","Hauptschule","174","0.0476943166762661","0.040818922974067","0.0545697103784652"
"Arbeitslose","1985","35-65 J.","Realschule","","","",""
"Arbeitslose","1985","35-65 J.","(Fach-)Abitur","","","",""
"Arbeitslose","1985","35-65 J.","AkademikerIn","","","",""
"Arbeitslose","1985","66 und älter","(noch) kein Abschluss","","","",""
"Arbeitslose","1985","66 und älter","Hauptschule","","","",""
"Arbeitslose","1985","66 und älter","Realschule","","","",""
"Arbeitslose","1985","66 und älter","(Fach-)Abitur","","","",""
"Arbeitslose","1985","66 und älter","AkademikerIn","","","",""
"Sonstige Nichterwerbspersonen","1985","16-34 J.","(noch) kein Abschluss","92","0.106875790801054","0.0778423128233176","0.13590926877879"
"Sonstige Nichterwerbspersonen","1985","16-34 J.","Hauptschule","291","0.133638273266194","0.11842230949864","0.148854237033748"
"Sonstige Nichterwerbspersonen","1985","16-34 J.","Realschule","96","0.0928928842771486","0.0746158084668863","0.111169960087411"
"Sonstige Nichterwerbspersonen","1985","16-34 J.","(Fach-)Abitur","46","0.0689696539842042","0.0470842071308589","0.0908551008375495"
"Sonstige Nichterwerbspersonen","1985","16-34 J.","AkademikerIn","","","",""
"Sonstige Nichterwerbspersonen","1985","35-65 J.","(noch) kein Abschluss","159","0.25211555011125","0.218341876919499","0.285889223303001"
"Sonstige Nichterwerbspersonen","1985","35-65 J.","Hauptschule","764","0.210711916639005","0.197555476619688","0.223868356658321"
"Sonstige Nichterwerbspersonen","1985","35-65 J.","Realschule","119","0.165000020729184","0.137081112213888","0.19291892924448"
"Sonstige Nichterwerbspersonen","1985","35-65 J.","(Fach-)Abitur","","","",""
"Sonstige Nichterwerbspersonen","1985","35-65 J.","AkademikerIn","","","",""
"Sonstige Nichterwerbspersonen","1985","66 und älter","(noch) kein Abschluss","","","",""
"Sonstige Nichterwerbspersonen","1985","66 und älter","Hauptschule","65","0.0688704505266343","0.0515484507334567","0.0861924503198119"
"Sonstige Nichterwerbspersonen","1985","66 und älter","Realschule","","","",""
"Sonstige Nichterwerbspersonen","1985","66 und älter","(Fach-)Abitur","","","",""
"Sonstige Nichterwerbspersonen","1985","66 und älter","AkademikerIn","","","",""
"Beamte","1985","16-34 J.","(noch) kein Abschluss","","","",""
"Beamte","1985","16-34 J.","Hauptschule","36","0.024680087051307","0.0177421349404438","0.0316180391621702"
"Beamte","1985","16-34 J.","Realschule","59","0.0634060633294212","0.0480624633158323","0.0787496633430101"
"Beamte","1985","16-34 J.","(Fach-)Abitur","","","",""
"Beamte","1985","16-34 J.","AkademikerIn","38","0.184355228400548","0.135090298374866","0.23362015842623"
"Beamte","1985","35-65 J.","(noch) kein Abschluss","","","",""
"Beamte","1985","35-65 J.","Hauptschule","88","0.0268301626259547","0.0216172308531824","0.032043094398727"
"Beamte","1985","35-65 J.","Realschule","58","0.0811793839508742","0.0606369714848179","0.10172179641693"
"Beamte","1985","35-65 J.","(Fach-)Abitur","","","",""
"Beamte","1985","35-65 J.","AkademikerIn","147","0.316651844100373","0.274096532739707","0.359207155461039"
"Beamte","1985","66 und älter","(noch) kein Abschluss","","","",""
"Beamte","1985","66 und älter","Hauptschule","","","",""
"Beamte","1985","66 und älter","Realschule","","","",""
"Beamte","1985","66 und älter","(Fach-)Abitur","","","",""
"Beamte","1985","66 und älter","AkademikerIn","","","",""
"Angestellte, einfache Tätigkeiten","1986","16-34 J.","(noch) kein Abschluss","85","0.14995885037942","0.115772943468194","0.184144757290646"
"Angestellte, einfache Tätigkeiten","1986","16-34 J.","Hauptschule","569","0.274107952381582","0.253754094265955","0.294461810497209"
"Angestellte, einfache Tätigkeiten","1986","16-34 J.","Realschule","110","0.109957998854681","0.0901169297506718","0.129799067958691"
"Angestellte, einfache Tätigkeiten","1986","16-34 J.","(Fach-)Abitur","71","0.0955805254802972","0.0709639593441189","0.120197091616476"
"Angestellte, einfache Tätigkeiten","1986","16-34 J.","AkademikerIn","","","",""
"Angestellte, einfache Tätigkeiten","1986","35-65 J.","(noch) kein Abschluss","302","0.483775077785388","0.443313714416663","0.524236441154113"
"Angestellte, einfache Tätigkeiten","1986","35-65 J.","Hauptschule","971","0.223372488821371","0.209542231998571","0.237202745644171"
"Angestellte, einfache Tätigkeiten","1986","35-65 J.","Realschule","64","0.0908430189208316","0.0688679308465436","0.11281810699512"
"Angestellte, einfache Tätigkeiten","1986","35-65 J.","(Fach-)Abitur","35","0.0652815709486591","0.0318717502612801","0.098691391636038"
"Angestellte, einfache Tätigkeiten","1986","35-65 J.","AkademikerIn","","","",""
"Angestellte, einfache Tätigkeiten","1986","66 und älter","(noch) kein Abschluss","","","",""
"Angestellte, einfache Tätigkeiten","1986","66 und älter","Hauptschule","","","",""
"Angestellte, einfache Tätigkeiten","1986","66 und älter","Realschule","","","",""
"Angestellte, einfache Tätigkeiten","1986","66 und älter","(Fach-)Abitur","","","",""
"Angestellte, einfache Tätigkeiten","1986","66 und älter","AkademikerIn","","","",""
"Angestellte, qualifizierte Tätigkeiten","1986","16-34 J.","(noch) kein Abschluss","","","",""
"Angestellte, qualifizierte Tätigkeiten","1986","16-34 J.","Hauptschule","521","0.338425367760483","0.31683446593998","0.360016269580986"
"Angestellte, qualifizierte Tätigkeiten","1986","16-34 J.","Realschule","306","0.332150193489714","0.302278966478212","0.362021420501215"
"Angestellte, qualifizierte Tätigkeiten","1986","16-34 J.","(Fach-)Abitur","122","0.239543407258285","0.203808954325065","0.275277860191504"
"Angestellte, qualifizierte Tätigkeiten","1986","16-34 J.","AkademikerIn","111","0.523936829790622","0.458824141308148","0.589049518273096"
"Angestellte, qualifizierte Tätigkeiten","1986","35-65 J.","(noch) kein Abschluss","51","0.101144039567064","0.0767314144704162","0.125556664663711"
"Angestellte, qualifizierte Tätigkeiten","1986","35-65 J.","Hauptschule","895","0.261402368033257","0.246811950103078","0.275992785963437"
"Angestellte, qualifizierte Tätigkeiten","1986","35-65 J.","Realschule","252","0.375805885081694","0.338771338704784","0.412840431458605"
"Angestellte, qualifizierte Tätigkeiten","1986","35-65 J.","(Fach-)Abitur","69","0.344807423955778","0.280522189595036","0.409092658316519"
"Angestellte, qualifizierte Tätigkeiten","1986","35-65 J.","AkademikerIn","150","0.319660480239072","0.277409918463132","0.361911042015013"
"Angestellte, qualifizierte Tätigkeiten","1986","66 und älter","(noch) kein Abschluss","","","",""
"Angestellte, qualifizierte Tätigkeiten","1986","66 und älter","Hauptschule","","","",""
"Angestellte, qualifizierte Tätigkeiten","1986","66 und älter","Realschule","","","",""
"Angestellte, qualifizierte Tätigkeiten","1986","66 und älter","(Fach-)Abitur","","","",""
"Angestellte, qualifizierte Tätigkeiten","1986","66 und älter","AkademikerIn","","","",""
"Selbstständige/ManagerInnen","1986","16-34 J.","(noch) kein Abschluss","","","",""
"Selbstständige/ManagerInnen","1986","16-34 J.","Hauptschule","58","0.0351156106002331","0.0267164157185192","0.043514805481947"
"Selbstständige/ManagerInnen","1986","16-34 J.","Realschule","41","0.0424192913327759","0.0296367912636263","0.0552017914019255"
"Selbstständige/ManagerInnen","1986","16-34 J.","(Fach-)Abitur","","","",""
"Selbstständige/ManagerInnen","1986","16-34 J.","AkademikerIn","","","",""
"Selbstständige/ManagerInnen","1986","35-65 J.","(noch) kein Abschluss","","","",""
"Selbstständige/ManagerInnen","1986","35-65 J.","Hauptschule","236","0.071808070803736","0.0632354316918221","0.0803807099156499"
"Selbstständige/ManagerInnen","1986","35-65 J.","Realschule","73","0.110958214594575","0.0869419077897608","0.134974521399389"
"Selbstständige/ManagerInnen","1986","35-65 J.","(Fach-)Abitur","","","",""
"Selbstständige/ManagerInnen","1986","35-65 J.","AkademikerIn","83","0.179380637095893","0.14462031231316","0.214140961878627"
"Selbstständige/ManagerInnen","1986","66 und älter","(noch) kein Abschluss","","","",""
"Selbstständige/ManagerInnen","1986","66 und älter","Hauptschule","","","",""
"Selbstständige/ManagerInnen","1986","66 und älter","Realschule","","","",""
"Selbstständige/ManagerInnen","1986","66 und älter","(Fach-)Abitur","","","",""
"Selbstständige/ManagerInnen","1986","66 und älter","AkademikerIn","","","",""
"In Ausbildung","1986","16-34 J.","(noch) kein Abschluss","212","0.652630367636392","0.607040257316703","0.698220477956081"
"In Ausbildung","1986","16-34 J.","Hauptschule","272","0.13346387113217","0.117946251514732","0.148981490749607"
"In Ausbildung","1986","16-34 J.","Realschule","297","0.300531937804263","0.271453192354989","0.329610683253537"
"In Ausbildung","1986","16-34 J.","(Fach-)Abitur","244","0.470062222471523","0.428274574581523","0.511849870361524"
"In Ausbildung","1986","16-34 J.","AkademikerIn","","","",""
