"beruf","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Angestellte, qualifizierte Tätigkeiten","1984","Brandenburg","männlich","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Brandenburg","weiblich","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Mecklenburg-Vorpommern","männlich","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Mecklenburg-Vorpommern","weiblich","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Sachsen","männlich","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Sachsen","weiblich","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Sachsen-Anhalt","männlich","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Sachsen-Anhalt","weiblich","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Thüringen","männlich","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Thüringen","weiblich","","","",""
"Selbstständige/ManagerInnen","1984","Schleswig-Holstein","männlich","","","",""
"Selbstständige/ManagerInnen","1984","Schleswig-Holstein","weiblich","","","",""
"Selbstständige/ManagerInnen","1984","Hamburg","männlich","","","",""
"Selbstständige/ManagerInnen","1984","Hamburg","weiblich","","","",""
"Selbstständige/ManagerInnen","1984","Niedersachsen","männlich","55","0.094264629514358","0.0708454030899055","0.11768385593881"
"Selbstständige/ManagerInnen","1984","Niedersachsen","weiblich","","","",""
"Selbstständige/ManagerInnen","1984","Bremen","männlich","","","",""
"Selbstständige/ManagerInnen","1984","Bremen","weiblich","","","",""
"Selbstständige/ManagerInnen","1984","Nordrhein-Westfalen","männlich","127","0.0825363237124553","0.0690569589772186","0.096015688447692"
"Selbstständige/ManagerInnen","1984","Nordrhein-Westfalen","weiblich","52","0.0315345477768679","0.0231048903728162","0.0399642051809197"
"Selbstständige/ManagerInnen","1984","Hessen","männlich","45","0.0806185703042146","0.0592575887065957","0.101979551901834"
"Selbstständige/ManagerInnen","1984","Hessen","weiblich","","","",""
"Selbstständige/ManagerInnen","1984","Rheinland-Pfalz,Saarland","männlich","31","0.0756948050740019","0.050246153417346","0.101143456730658"
"Selbstständige/ManagerInnen","1984","Rheinland-Pfalz,Saarland","weiblich","","","",""
"Selbstständige/ManagerInnen","1984","Baden-Württemberg","männlich","70","0.0749681772489069","0.0595041606141212","0.0904321938836926"
"Selbstständige/ManagerInnen","1984","Baden-Württemberg","weiblich","40","0.0383756517126996","0.0271899368714461","0.0495613665539532"
"Selbstständige/ManagerInnen","1984","Bayern","männlich","91","0.106106075934287","0.0869218794792152","0.125290272389358"
"Selbstständige/ManagerInnen","1984","Bayern","weiblich","39","0.0375235993873737","0.0262674895684816","0.0487797092062659"
"Selbstständige/ManagerInnen","1984","Saarland","männlich","","","",""
"Selbstständige/ManagerInnen","1984","Saarland","weiblich","","","",""
"Selbstständige/ManagerInnen","1984","Berlin","männlich","","","",""
"Selbstständige/ManagerInnen","1984","Berlin","weiblich","","","",""
"Selbstständige/ManagerInnen","1984","Brandenburg","männlich","","","",""
"Selbstständige/ManagerInnen","1984","Brandenburg","weiblich","","","",""
"Selbstständige/ManagerInnen","1984","Mecklenburg-Vorpommern","männlich","","","",""
"Selbstständige/ManagerInnen","1984","Mecklenburg-Vorpommern","weiblich","","","",""
"Selbstständige/ManagerInnen","1984","Sachsen","männlich","","","",""
"Selbstständige/ManagerInnen","1984","Sachsen","weiblich","","","",""
"Selbstständige/ManagerInnen","1984","Sachsen-Anhalt","männlich","","","",""
"Selbstständige/ManagerInnen","1984","Sachsen-Anhalt","weiblich","","","",""
"Selbstständige/ManagerInnen","1984","Thüringen","männlich","","","",""
"Selbstständige/ManagerInnen","1984","Thüringen","weiblich","","","",""
"In Ausbildung","1984","Schleswig-Holstein","männlich","","","",""
"In Ausbildung","1984","Schleswig-Holstein","weiblich","","","",""
"In Ausbildung","1984","Hamburg","männlich","","","",""
"In Ausbildung","1984","Hamburg","weiblich","","","",""
"In Ausbildung","1984","Niedersachsen","männlich","79","0.125040848236082","0.098530383345979","0.151551313126185"
"In Ausbildung","1984","Niedersachsen","weiblich","76","0.11248932333549","0.0878749557865115","0.137103690884468"
"In Ausbildung","1984","Bremen","männlich","","","",""
"In Ausbildung","1984","Bremen","weiblich","","","",""
"In Ausbildung","1984","Nordrhein-Westfalen","männlich","193","0.114228267145742","0.0986470949317351","0.129809439359748"
"In Ausbildung","1984","Nordrhein-Westfalen","weiblich","150","0.0832229106768501","0.0698991175600256","0.0965467037936745"
"In Ausbildung","1984","Hessen","männlich","63","0.103346316040895","0.0794618429547103","0.12723078912708"
"In Ausbildung","1984","Hessen","weiblich","50","0.0778163252314957","0.0567131968801661","0.0989194535828254"
"In Ausbildung","1984","Rheinland-Pfalz,Saarland","männlich","47","0.103310454597068","0.0740273423577704","0.132593566836366"
"In Ausbildung","1984","Rheinland-Pfalz,Saarland","weiblich","34","0.0811177426521251","0.0554320614811228","0.106803423823127"
"In Ausbildung","1984","Baden-Württemberg","männlich","107","0.100146313926026","0.0825180749221","0.117774552929952"
"In Ausbildung","1984","Baden-Württemberg","weiblich","71","0.0688321966642035","0.0540906542466944","0.0835737390817127"
"In Ausbildung","1984","Bayern","männlich","92","0.0848509102828699","0.0674927108951181","0.102209109670622"
"In Ausbildung","1984","Bayern","weiblich","88","0.0748817981088434","0.0592924564017814","0.0904711398159053"
"In Ausbildung","1984","Saarland","männlich","","","",""
"In Ausbildung","1984","Saarland","weiblich","","","",""
"In Ausbildung","1984","Berlin","männlich","","","",""
"In Ausbildung","1984","Berlin","weiblich","","","",""
"In Ausbildung","1984","Brandenburg","männlich","","","",""
"In Ausbildung","1984","Brandenburg","weiblich","","","",""
"In Ausbildung","1984","Mecklenburg-Vorpommern","männlich","","","",""
"In Ausbildung","1984","Mecklenburg-Vorpommern","weiblich","","","",""
"In Ausbildung","1984","Sachsen","männlich","","","",""
"In Ausbildung","1984","Sachsen","weiblich","","","",""
"In Ausbildung","1984","Sachsen-Anhalt","männlich","","","",""
"In Ausbildung","1984","Sachsen-Anhalt","weiblich","","","",""
"In Ausbildung","1984","Thüringen","männlich","","","",""
"In Ausbildung","1984","Thüringen","weiblich","","","",""
"In Rente oder Pension","1984","Schleswig-Holstein","männlich","","","",""
"In Rente oder Pension","1984","Schleswig-Holstein","weiblich","36","0.254378321627923","0.193562820482102","0.315193822773745"
"In Rente oder Pension","1984","Hamburg","männlich","","","",""
"In Rente oder Pension","1984","Hamburg","weiblich","37","0.358567241818861","0.284023635074711","0.433110848563011"
"In Rente oder Pension","1984","Niedersachsen","männlich","81","0.185598198306629","0.154437746939594","0.216758649673665"
"In Rente oder Pension","1984","Niedersachsen","weiblich","128","0.287043722825186","0.251802439782301","0.322285005868071"
"In Rente oder Pension","1984","Bremen","männlich","","","",""
"In Rente oder Pension","1984","Bremen","weiblich","","","",""
"In Rente oder Pension","1984","Nordrhein-Westfalen","männlich","169","0.161805638901288","0.143766258415254","0.179845019387321"
"In Rente oder Pension","1984","Nordrhein-Westfalen","weiblich","239","0.243793821530513","0.223082585757553","0.264505057303474"
"In Rente oder Pension","1984","Hessen","männlich","75","0.200057945768631","0.16866999496866","0.231445896568602"
"In Rente oder Pension","1984","Hessen","weiblich","99","0.265786113398255","0.230986036236101","0.300586190560408"
"In Rente oder Pension","1984","Rheinland-Pfalz,Saarland","männlich","73","0.227823386467191","0.187469857868743","0.268176915065638"
"In Rente oder Pension","1984","Rheinland-Pfalz,Saarland","weiblich","77","0.238564845580613","0.198466827089221","0.278662864072005"
"In Rente oder Pension","1984","Baden-Württemberg","männlich","120","0.180003783384507","0.157443100733765","0.202564466035248"
"In Rente oder Pension","1984","Baden-Württemberg","weiblich","167","0.254691152716211","0.229321869087682","0.28006043634474"
"In Rente oder Pension","1984","Bayern","männlich","132","0.184307257283936","0.160154594876493","0.208459919691379"
"In Rente oder Pension","1984","Bayern","weiblich","166","0.231674510674449","0.206685286143685","0.256663735205212"
"In Rente oder Pension","1984","Saarland","männlich","","","",""
"In Rente oder Pension","1984","Saarland","weiblich","","","",""
"In Rente oder Pension","1984","Berlin","männlich","","","",""
"In Rente oder Pension","1984","Berlin","weiblich","45","0.361463912883718","0.296640475070237","0.4262873506972"
"In Rente oder Pension","1984","Brandenburg","männlich","","","",""
"In Rente oder Pension","1984","Brandenburg","weiblich","","","",""
"In Rente oder Pension","1984","Mecklenburg-Vorpommern","männlich","","","",""
"In Rente oder Pension","1984","Mecklenburg-Vorpommern","weiblich","","","",""
"In Rente oder Pension","1984","Sachsen","männlich","","","",""
"In Rente oder Pension","1984","Sachsen","weiblich","","","",""
"In Rente oder Pension","1984","Sachsen-Anhalt","männlich","","","",""
"In Rente oder Pension","1984","Sachsen-Anhalt","weiblich","","","",""
"In Rente oder Pension","1984","Thüringen","männlich","","","",""
"In Rente oder Pension","1984","Thüringen","weiblich","","","",""
"Arbeitslose","1984","Schleswig-Holstein","männlich","","","",""
"Arbeitslose","1984","Schleswig-Holstein","weiblich","","","",""
"Arbeitslose","1984","Hamburg","männlich","","","",""
"Arbeitslose","1984","Hamburg","weiblich","","","",""
"Arbeitslose","1984","Niedersachsen","männlich","31","0.0460299982879122","0.0292347921915037","0.0628252043843206"
"Arbeitslose","1984","Niedersachsen","weiblich","","","",""
"Arbeitslose","1984","Bremen","männlich","","","",""
"Arbeitslose","1984","Bremen","weiblich","","","",""
"Arbeitslose","1984","Nordrhein-Westfalen","männlich","69","0.0369689625310744","0.0277264255130249","0.0462114995491238"
"Arbeitslose","1984","Nordrhein-Westfalen","weiblich","65","0.0325674740640954","0.0240054403281868","0.0411295078000039"
"Arbeitslose","1984","Hessen","männlich","","","",""
"Arbeitslose","1984","Hessen","weiblich","","","",""
"Arbeitslose","1984","Rheinland-Pfalz,Saarland","männlich","","","",""
"Arbeitslose","1984","Rheinland-Pfalz,Saarland","weiblich","","","",""
"Arbeitslose","1984","Baden-Württemberg","männlich","","","",""
"Arbeitslose","1984","Baden-Württemberg","weiblich","","","",""
"Arbeitslose","1984","Bayern","männlich","42","0.0327474863050423","0.0216611152059115","0.0438338574041732"
"Arbeitslose","1984","Bayern","weiblich","30","0.0236183597008473","0.0146238871678771","0.0326128322338174"
"Arbeitslose","1984","Saarland","männlich","","","",""
"Arbeitslose","1984","Saarland","weiblich","","","",""
"Arbeitslose","1984","Berlin","männlich","","","",""
"Arbeitslose","1984","Berlin","weiblich","","","",""
"Arbeitslose","1984","Brandenburg","männlich","","","",""
"Arbeitslose","1984","Brandenburg","weiblich","","","",""
"Arbeitslose","1984","Mecklenburg-Vorpommern","männlich","","","",""
"Arbeitslose","1984","Mecklenburg-Vorpommern","weiblich","","","",""
"Arbeitslose","1984","Sachsen","männlich","","","",""
"Arbeitslose","1984","Sachsen","weiblich","","","",""
"Arbeitslose","1984","Sachsen-Anhalt","männlich","","","",""
"Arbeitslose","1984","Sachsen-Anhalt","weiblich","","","",""
"Arbeitslose","1984","Thüringen","männlich","","","",""
"Arbeitslose","1984","Thüringen","weiblich","","","",""
"Sonstige Nichterwerbspersonen","1984","Schleswig-Holstein","männlich","","","",""
"Sonstige Nichterwerbspersonen","1984","Schleswig-Holstein","weiblich","56","0.249431568036823","0.189010856740162","0.309852279333485"
"Sonstige Nichterwerbspersonen","1984","Hamburg","männlich","","","",""
"Sonstige Nichterwerbspersonen","1984","Hamburg","weiblich","38","0.181741031883112","0.121800387070002","0.241681676696222"
"Sonstige Nichterwerbspersonen","1984","Niedersachsen","männlich","","","",""
"Sonstige Nichterwerbspersonen","1984","Niedersachsen","weiblich","199","0.27471163444897","0.239938797999186","0.309484470898754"
"Sonstige Nichterwerbspersonen","1984","Bremen","männlich","","","",""
"Sonstige Nichterwerbspersonen","1984","Bremen","weiblich","","","",""
"Sonstige Nichterwerbspersonen","1984","Nordrhein-Westfalen","männlich","40","0.0224439054656858","0.0151883196305069","0.0296994913008646"
"Sonstige Nichterwerbspersonen","1984","Nordrhein-Westfalen","weiblich","617","0.321274271012702","0.298749536331699","0.343799005693706"
"Sonstige Nichterwerbspersonen","1984","Hessen","männlich","","","",""
"Sonstige Nichterwerbspersonen","1984","Hessen","weiblich","185","0.258736164799717","0.224236272378799","0.293236057220636"
"Sonstige Nichterwerbspersonen","1984","Rheinland-Pfalz,Saarland","männlich","","","",""
"Sonstige Nichterwerbspersonen","1984","Rheinland-Pfalz,Saarland","weiblich","169","0.366918220227947","0.321574434877542","0.412262005578351"
"Sonstige Nichterwerbspersonen","1984","Baden-Württemberg","männlich","","","",""
"Sonstige Nichterwerbspersonen","1984","Baden-Württemberg","weiblich","360","0.265628231565121","0.239910761796097","0.291345701334146"
"Sonstige Nichterwerbspersonen","1984","Bayern","männlich","","","",""
"Sonstige Nichterwerbspersonen","1984","Bayern","weiblich","335","0.291913615968942","0.264985167628793","0.318842064309092"
"Sonstige Nichterwerbspersonen","1984","Saarland","männlich","","","",""
"Sonstige Nichterwerbspersonen","1984","Saarland","weiblich","","","",""
"Sonstige Nichterwerbspersonen","1984","Berlin","männlich","","","",""
"Sonstige Nichterwerbspersonen","1984","Berlin","weiblich","34","0.121104743168342","0.0770841388573711","0.165125347479313"
"Sonstige Nichterwerbspersonen","1984","Brandenburg","männlich","","","",""
"Sonstige Nichterwerbspersonen","1984","Brandenburg","weiblich","","","",""
"Sonstige Nichterwerbspersonen","1984","Mecklenburg-Vorpommern","männlich","","","",""
"Sonstige Nichterwerbspersonen","1984","Mecklenburg-Vorpommern","weiblich","","","",""
"Sonstige Nichterwerbspersonen","1984","Sachsen","männlich","","","",""
"Sonstige Nichterwerbspersonen","1984","Sachsen","weiblich","","","",""
"Sonstige Nichterwerbspersonen","1984","Sachsen-Anhalt","männlich","","","",""
"Sonstige Nichterwerbspersonen","1984","Sachsen-Anhalt","weiblich","","","",""
"Sonstige Nichterwerbspersonen","1984","Thüringen","männlich","","","",""
"Sonstige Nichterwerbspersonen","1984","Thüringen","weiblich","","","",""
"Beamte","1984","Schleswig-Holstein","männlich","","","",""
"Beamte","1984","Schleswig-Holstein","weiblich","","","",""
"Beamte","1984","Hamburg","männlich","","","",""
"Beamte","1984","Hamburg","weiblich","","","",""
"Beamte","1984","Niedersachsen","männlich","47","0.0848822213312861","0.0625442173712375","0.107220225291335"
"Beamte","1984","Niedersachsen","weiblich","","","",""
"Beamte","1984","Bremen","männlich","","","",""
"Beamte","1984","Bremen","weiblich","","","",""
"Beamte","1984","Nordrhein-Westfalen","männlich","102","0.0762842031566904","0.0632813422321361","0.0892870640812447"
"Beamte","1984","Nordrhein-Westfalen","weiblich","34","0.0224657848061306","0.0153175084316119","0.0296140611806494"
"Beamte","1984","Hessen","männlich","35","0.0765511444677265","0.0556900032096059","0.0974122857258471"
"Beamte","1984","Hessen","weiblich","","","",""
"Beamte","1984","Rheinland-Pfalz,Saarland","männlich","","","",""
"Beamte","1984","Rheinland-Pfalz,Saarland","weiblich","","","",""
"Beamte","1984","Baden-Württemberg","männlich","65","0.0769335490553868","0.0612847914781339","0.0925823066326397"
"Beamte","1984","Baden-Württemberg","weiblich","","","",""
"Beamte","1984","Bayern","männlich","75","0.0840615954884275","0.0667768717525345","0.10134631922432"
"Beamte","1984","Bayern","weiblich","","","",""
"Beamte","1984","Saarland","männlich","","","",""
"Beamte","1984","Saarland","weiblich","","","",""
"Beamte","1984","Berlin","männlich","","","",""
"Beamte","1984","Berlin","weiblich","","","",""
"Beamte","1984","Brandenburg","männlich","","","",""
"Beamte","1984","Brandenburg","weiblich","","","",""
"Beamte","1984","Mecklenburg-Vorpommern","männlich","","","",""
"Beamte","1984","Mecklenburg-Vorpommern","weiblich","","","",""
"Beamte","1984","Sachsen","männlich","","","",""
"Beamte","1984","Sachsen","weiblich","","","",""
"Beamte","1984","Sachsen-Anhalt","männlich","","","",""
"Beamte","1984","Sachsen-Anhalt","weiblich","","","",""
"Beamte","1984","Thüringen","männlich","","","",""
"Beamte","1984","Thüringen","weiblich","","","",""
"Angestellte, einfache Tätigkeiten","1985","Schleswig-Holstein","männlich","","","",""
"Angestellte, einfache Tätigkeiten","1985","Schleswig-Holstein","weiblich","38","0.156303869207256","0.103545630301628","0.209062108112885"
"Angestellte, einfache Tätigkeiten","1985","Hamburg","männlich","","","",""
"Angestellte, einfache Tätigkeiten","1985","Hamburg","weiblich","33","0.168348436023958","0.106587512420697","0.23010935962722"
"Angestellte, einfache Tätigkeiten","1985","Niedersachsen","männlich","72","0.09234149655557","0.0679234506506961","0.116759542460444"
"Angestellte, einfache Tätigkeiten","1985","Niedersachsen","weiblich","93","0.139591922703685","0.111066049625543","0.168117795781828"
"Angestellte, einfache Tätigkeiten","1985","Bremen","männlich","","","",""
"Angestellte, einfache Tätigkeiten","1985","Bremen","weiblich","","","",""
"Angestellte, einfache Tätigkeiten","1985","Nordrhein-Westfalen","männlich","312","0.137980794307977","0.120290320924112","0.155671267691841"
"Angestellte, einfache Tätigkeiten","1985","Nordrhein-Westfalen","weiblich","273","0.139891057471781","0.122307805374762","0.157474309568799"
"Angestellte, einfache Tätigkeiten","1985","Hessen","männlich","116","0.108808394250117","0.0831769365566898","0.134439851943544"
"Angestellte, einfache Tätigkeiten","1985","Hessen","weiblich","137","0.190583420687198","0.158111457948993","0.223055383425404"
"Angestellte, einfache Tätigkeiten","1985","Rheinland-Pfalz,Saarland","männlich","63","0.121240268086677","0.0885080883396858","0.153972447833669"
"Angestellte, einfache Tätigkeiten","1985","Rheinland-Pfalz,Saarland","weiblich","73","0.157970174744602","0.12172713819441","0.194213211294794"
"Angestellte, einfache Tätigkeiten","1985","Baden-Württemberg","männlich","275","0.168074219528574","0.145069978308159","0.191078460748989"
"Angestellte, einfache Tätigkeiten","1985","Baden-Württemberg","weiblich","309","0.230590683523724","0.204779383863819","0.256401983183629"
"Angestellte, einfache Tätigkeiten","1985","Bayern","männlich","159","0.123557058482536","0.102069785580854","0.145044331384218"
"Angestellte, einfache Tätigkeiten","1985","Bayern","weiblich","237","0.188775269716729","0.164410943574594","0.213139595858864"
"Angestellte, einfache Tätigkeiten","1985","Saarland","männlich","","","",""
"Angestellte, einfache Tätigkeiten","1985","Saarland","weiblich","","","",""
"Angestellte, einfache Tätigkeiten","1985","Berlin","männlich","37","0.188374424257264","0.130442507544505","0.246306340970023"
"Angestellte, einfache Tätigkeiten","1985","Berlin","weiblich","59","0.238023321837066","0.177308072282048","0.298738571392083"
"Angestellte, einfache Tätigkeiten","1985","Brandenburg","männlich","","","",""
"Angestellte, einfache Tätigkeiten","1985","Brandenburg","weiblich","","","",""
"Angestellte, einfache Tätigkeiten","1985","Mecklenburg-Vorpommern","männlich","","","",""
"Angestellte, einfache Tätigkeiten","1985","Mecklenburg-Vorpommern","weiblich","","","",""
"Angestellte, einfache Tätigkeiten","1985","Sachsen","männlich","","","",""
"Angestellte, einfache Tätigkeiten","1985","Sachsen","weiblich","","","",""
"Angestellte, einfache Tätigkeiten","1985","Sachsen-Anhalt","männlich","","","",""
"Angestellte, einfache Tätigkeiten","1985","Sachsen-Anhalt","weiblich","","","",""
"Angestellte, einfache Tätigkeiten","1985","Thüringen","männlich","","","",""
"Angestellte, einfache Tätigkeiten","1985","Thüringen","weiblich","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Schleswig-Holstein","männlich","65","0.367006165731731","0.294764715469035","0.439247615994427"
"Angestellte, qualifizierte Tätigkeiten","1985","Schleswig-Holstein","weiblich","30","0.169716065686739","0.115179574555917","0.22425255681756"
"Angestellte, qualifizierte Tätigkeiten","1985","Hamburg","männlich","50","0.370860383675792","0.290559665561468","0.451161101790115"
"Angestellte, qualifizierte Tätigkeiten","1985","Hamburg","weiblich","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Niedersachsen","männlich","168","0.311620022158924","0.272555905956086","0.350684138361761"
"Angestellte, qualifizierte Tätigkeiten","1985","Niedersachsen","weiblich","81","0.142325769536396","0.113567714357332","0.17108382471546"
"Angestellte, qualifizierte Tätigkeiten","1985","Bremen","männlich","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Bremen","weiblich","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Nordrhein-Westfalen","männlich","500","0.356567930938548","0.331998553339031","0.381137308538066"
"Angestellte, qualifizierte Tätigkeiten","1985","Nordrhein-Westfalen","weiblich","198","0.141432354986112","0.123768351564023","0.1590963584082"
"Angestellte, qualifizierte Tätigkeiten","1985","Hessen","männlich","208","0.359508523717959","0.320011184974845","0.399005862461073"
"Angestellte, qualifizierte Tätigkeiten","1985","Hessen","weiblich","66","0.128806584671103","0.101111272936808","0.156501896405398"
"Angestellte, qualifizierte Tätigkeiten","1985","Rheinland-Pfalz,Saarland","männlich","136","0.339799295324364","0.292302354529468","0.38729623611926"
"Angestellte, qualifizierte Tätigkeiten","1985","Rheinland-Pfalz,Saarland","weiblich","42","0.111869637648209","0.0805463192704565","0.143192956025963"
"Angestellte, qualifizierte Tätigkeiten","1985","Baden-Württemberg","männlich","343","0.350724740713914","0.32136767138347","0.380081810044358"
"Angestellte, qualifizierte Tätigkeiten","1985","Baden-Württemberg","weiblich","119","0.1382733786592","0.117120751403566","0.159426005914835"
"Angestellte, qualifizierte Tätigkeiten","1985","Bayern","männlich","330","0.346508787354189","0.31543725313766","0.377580321570717"
"Angestellte, qualifizierte Tätigkeiten","1985","Bayern","weiblich","155","0.147201167487853","0.125141945578101","0.169260389397605"
"Angestellte, qualifizierte Tätigkeiten","1985","Saarland","männlich","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Saarland","weiblich","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Berlin","männlich","55","0.320730120428912","0.251575672435767","0.389884568422057"
