"beruf","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"Angestellte, einfache Tätigkeiten","1984","Realschule","Hamburg","","","",""
"Angestellte, einfache Tätigkeiten","1984","Realschule","Niedersachsen","","","",""
"Angestellte, einfache Tätigkeiten","1984","Realschule","Bremen","","","",""
"Angestellte, einfache Tätigkeiten","1984","Realschule","Nordrhein-Westfalen","","","",""
"Angestellte, einfache Tätigkeiten","1984","Realschule","Hessen","","","",""
"Angestellte, einfache Tätigkeiten","1984","Realschule","Rheinland-Pfalz,Saarland","","","",""
"Angestellte, einfache Tätigkeiten","1984","Realschule","Baden-Württemberg","34","0.108883807041618","0.0724634878683093","0.145304126214927"
"Angestellte, einfache Tätigkeiten","1984","Realschule","Bayern","40","0.101956828387985","0.0711246652596959","0.132788991516274"
"Angestellte, einfache Tätigkeiten","1984","Realschule","Saarland","","","",""
"Angestellte, einfache Tätigkeiten","1984","Realschule","Berlin","","","",""
"Angestellte, einfache Tätigkeiten","1984","Realschule","Brandenburg","","","",""
"Angestellte, einfache Tätigkeiten","1984","Realschule","Mecklenburg-Vorpommern","","","",""
"Angestellte, einfache Tätigkeiten","1984","Realschule","Sachsen","","","",""
"Angestellte, einfache Tätigkeiten","1984","Realschule","Sachsen-Anhalt","","","",""
"Angestellte, einfache Tätigkeiten","1984","Realschule","Thüringen","","","",""
"Angestellte, einfache Tätigkeiten","1984","(Fach-)Abitur","Schleswig-Holstein","","","",""
"Angestellte, einfache Tätigkeiten","1984","(Fach-)Abitur","Hamburg","","","",""
"Angestellte, einfache Tätigkeiten","1984","(Fach-)Abitur","Niedersachsen","","","",""
"Angestellte, einfache Tätigkeiten","1984","(Fach-)Abitur","Bremen","","","",""
"Angestellte, einfache Tätigkeiten","1984","(Fach-)Abitur","Nordrhein-Westfalen","41","0.100959819407435","0.064409458396956","0.137510180417914"
"Angestellte, einfache Tätigkeiten","1984","(Fach-)Abitur","Hessen","","","",""
"Angestellte, einfache Tätigkeiten","1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"Angestellte, einfache Tätigkeiten","1984","(Fach-)Abitur","Baden-Württemberg","","","",""
"Angestellte, einfache Tätigkeiten","1984","(Fach-)Abitur","Bayern","","","",""
"Angestellte, einfache Tätigkeiten","1984","(Fach-)Abitur","Saarland","","","",""
"Angestellte, einfache Tätigkeiten","1984","(Fach-)Abitur","Berlin","","","",""
"Angestellte, einfache Tätigkeiten","1984","(Fach-)Abitur","Brandenburg","","","",""
"Angestellte, einfache Tätigkeiten","1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Angestellte, einfache Tätigkeiten","1984","(Fach-)Abitur","Sachsen","","","",""
"Angestellte, einfache Tätigkeiten","1984","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Angestellte, einfache Tätigkeiten","1984","(Fach-)Abitur","Thüringen","","","",""
"Angestellte, einfache Tätigkeiten","1984","AkademikerIn","Schleswig-Holstein","","","",""
"Angestellte, einfache Tätigkeiten","1984","AkademikerIn","Hamburg","","","",""
"Angestellte, einfache Tätigkeiten","1984","AkademikerIn","Niedersachsen","","","",""
"Angestellte, einfache Tätigkeiten","1984","AkademikerIn","Bremen","","","",""
"Angestellte, einfache Tätigkeiten","1984","AkademikerIn","Nordrhein-Westfalen","","","",""
"Angestellte, einfache Tätigkeiten","1984","AkademikerIn","Hessen","","","",""
"Angestellte, einfache Tätigkeiten","1984","AkademikerIn","Rheinland-Pfalz,Saarland","","","",""
"Angestellte, einfache Tätigkeiten","1984","AkademikerIn","Baden-Württemberg","","","",""
"Angestellte, einfache Tätigkeiten","1984","AkademikerIn","Bayern","","","",""
"Angestellte, einfache Tätigkeiten","1984","AkademikerIn","Saarland","","","",""
"Angestellte, einfache Tätigkeiten","1984","AkademikerIn","Berlin","","","",""
"Angestellte, einfache Tätigkeiten","1984","AkademikerIn","Brandenburg","","","",""
"Angestellte, einfache Tätigkeiten","1984","AkademikerIn","Mecklenburg-Vorpommern","","","",""
"Angestellte, einfache Tätigkeiten","1984","AkademikerIn","Sachsen","","","",""
"Angestellte, einfache Tätigkeiten","1984","AkademikerIn","Sachsen-Anhalt","","","",""
"Angestellte, einfache Tätigkeiten","1984","AkademikerIn","Thüringen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(noch) kein Abschluss","Hamburg","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(noch) kein Abschluss","Niedersachsen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(noch) kein Abschluss","Bremen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(noch) kein Abschluss","Nordrhein-Westfalen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(noch) kein Abschluss","Hessen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(noch) kein Abschluss","Baden-Württemberg","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(noch) kein Abschluss","Bayern","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(noch) kein Abschluss","Saarland","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(noch) kein Abschluss","Berlin","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(noch) kein Abschluss","Brandenburg","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(noch) kein Abschluss","Sachsen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(noch) kein Abschluss","Thüringen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Hauptschule","Schleswig-Holstein","60","0.252279393893319","0.19552919393498","0.309029593851657"
"Angestellte, qualifizierte Tätigkeiten","1984","Hauptschule","Hamburg","32","0.191035113823025","0.130685329119102","0.251384898526947"
"Angestellte, qualifizierte Tätigkeiten","1984","Hauptschule","Niedersachsen","165","0.21505595617034","0.185553033466086","0.244558878874594"
"Angestellte, qualifizierte Tätigkeiten","1984","Hauptschule","Bremen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Hauptschule","Nordrhein-Westfalen","401","0.212911007938536","0.194371842517591","0.23145017335948"
"Angestellte, qualifizierte Tätigkeiten","1984","Hauptschule","Hessen","150","0.211745407485334","0.181588015064621","0.241902799906046"
"Angestellte, qualifizierte Tätigkeiten","1984","Hauptschule","Rheinland-Pfalz,Saarland","121","0.191872327799842","0.160152311703262","0.223592343896421"
"Angestellte, qualifizierte Tätigkeiten","1984","Hauptschule","Baden-Württemberg","312","0.232941211670804","0.210409341749367","0.255473081592242"
"Angestellte, qualifizierte Tätigkeiten","1984","Hauptschule","Bayern","264","0.19677646479966","0.175013960595752","0.218538969003568"
"Angestellte, qualifizierte Tätigkeiten","1984","Hauptschule","Saarland","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Hauptschule","Berlin","44","0.192241964333109","0.138944912674652","0.245539015991566"
"Angestellte, qualifizierte Tätigkeiten","1984","Hauptschule","Brandenburg","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Hauptschule","Sachsen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Hauptschule","Sachsen-Anhalt","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Hauptschule","Thüringen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Realschule","Schleswig-Holstein","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Realschule","Hamburg","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Realschule","Niedersachsen","59","0.248003395900629","0.191948000407509","0.304058791393748"
"Angestellte, qualifizierte Tätigkeiten","1984","Realschule","Bremen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Realschule","Nordrhein-Westfalen","149","0.309071332398182","0.266887736615406","0.351254928180957"
"Angestellte, qualifizierte Tätigkeiten","1984","Realschule","Hessen","60","0.310661147382995","0.244511274216336","0.376811020549655"
"Angestellte, qualifizierte Tätigkeiten","1984","Realschule","Rheinland-Pfalz,Saarland","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Realschule","Baden-Württemberg","81","0.286037600481518","0.233199868889866","0.338875332073171"
"Angestellte, qualifizierte Tätigkeiten","1984","Realschule","Bayern","120","0.313503637742496","0.266233415802143","0.360773859682848"
"Angestellte, qualifizierte Tätigkeiten","1984","Realschule","Saarland","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Realschule","Berlin","32","0.364841261911122","0.25661456396967","0.473067959852574"
"Angestellte, qualifizierte Tätigkeiten","1984","Realschule","Brandenburg","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Realschule","Mecklenburg-Vorpommern","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Realschule","Sachsen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Realschule","Sachsen-Anhalt","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Realschule","Thüringen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(Fach-)Abitur","Schleswig-Holstein","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(Fach-)Abitur","Hamburg","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(Fach-)Abitur","Niedersachsen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(Fach-)Abitur","Bremen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(Fach-)Abitur","Nordrhein-Westfalen","46","0.188719234144828","0.141248985128997","0.236189483160659"
"Angestellte, qualifizierte Tätigkeiten","1984","(Fach-)Abitur","Hessen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(Fach-)Abitur","Baden-Württemberg","36","0.230870064538127","0.159522465746602","0.302217663329653"
"Angestellte, qualifizierte Tätigkeiten","1984","(Fach-)Abitur","Bayern","31","0.22496099606281","0.155040709416495","0.294881282709125"
"Angestellte, qualifizierte Tätigkeiten","1984","(Fach-)Abitur","Saarland","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(Fach-)Abitur","Berlin","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(Fach-)Abitur","Brandenburg","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(Fach-)Abitur","Sachsen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(Fach-)Abitur","Thüringen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","AkademikerIn","Schleswig-Holstein","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","AkademikerIn","Hamburg","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","AkademikerIn","Niedersachsen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","AkademikerIn","Bremen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","AkademikerIn","Nordrhein-Westfalen","71","0.313175698879329","0.252575550707521","0.373775847051136"
"Angestellte, qualifizierte Tätigkeiten","1984","AkademikerIn","Hessen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","AkademikerIn","Rheinland-Pfalz,Saarland","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","AkademikerIn","Baden-Württemberg","39","0.315185018222923","0.233740380865136","0.396629655580711"
"Angestellte, qualifizierte Tätigkeiten","1984","AkademikerIn","Bayern","59","0.348582631890814","0.273564752898883","0.423600510882745"
"Angestellte, qualifizierte Tätigkeiten","1984","AkademikerIn","Saarland","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","AkademikerIn","Berlin","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","AkademikerIn","Brandenburg","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","AkademikerIn","Mecklenburg-Vorpommern","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","AkademikerIn","Sachsen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","AkademikerIn","Sachsen-Anhalt","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","AkademikerIn","Thüringen","","","",""
"Selbstständige/ManagerInnen","1984","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Selbstständige/ManagerInnen","1984","(noch) kein Abschluss","Hamburg","","","",""
"Selbstständige/ManagerInnen","1984","(noch) kein Abschluss","Niedersachsen","","","",""
"Selbstständige/ManagerInnen","1984","(noch) kein Abschluss","Bremen","","","",""
"Selbstständige/ManagerInnen","1984","(noch) kein Abschluss","Nordrhein-Westfalen","","","",""
"Selbstständige/ManagerInnen","1984","(noch) kein Abschluss","Hessen","","","",""
"Selbstständige/ManagerInnen","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Selbstständige/ManagerInnen","1984","(noch) kein Abschluss","Baden-Württemberg","","","",""
"Selbstständige/ManagerInnen","1984","(noch) kein Abschluss","Bayern","","","",""
"Selbstständige/ManagerInnen","1984","(noch) kein Abschluss","Saarland","","","",""
"Selbstständige/ManagerInnen","1984","(noch) kein Abschluss","Berlin","","","",""
"Selbstständige/ManagerInnen","1984","(noch) kein Abschluss","Brandenburg","","","",""
"Selbstständige/ManagerInnen","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Selbstständige/ManagerInnen","1984","(noch) kein Abschluss","Sachsen","","","",""
"Selbstständige/ManagerInnen","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Selbstständige/ManagerInnen","1984","(noch) kein Abschluss","Thüringen","","","",""
"Selbstständige/ManagerInnen","1984","Hauptschule","Schleswig-Holstein","","","",""
"Selbstständige/ManagerInnen","1984","Hauptschule","Hamburg","","","",""
"Selbstständige/ManagerInnen","1984","Hauptschule","Niedersachsen","43","0.053722849419664","0.0375324094391778","0.0699132894001502"
"Selbstständige/ManagerInnen","1984","Hauptschule","Bremen","","","",""
"Selbstständige/ManagerInnen","1984","Hauptschule","Nordrhein-Westfalen","81","0.0410525476160864","0.0320669562612806","0.0500381389708922"
"Selbstständige/ManagerInnen","1984","Hauptschule","Hessen","","","",""
"Selbstständige/ManagerInnen","1984","Hauptschule","Rheinland-Pfalz,Saarland","","","",""
"Selbstständige/ManagerInnen","1984","Hauptschule","Baden-Württemberg","59","0.0492468964611944","0.0377128139385111","0.0607809789838777"
"Selbstständige/ManagerInnen","1984","Hauptschule","Bayern","80","0.0688276575766886","0.054969655975138","0.0826856591782392"
"Selbstständige/ManagerInnen","1984","Hauptschule","Saarland","","","",""
"Selbstständige/ManagerInnen","1984","Hauptschule","Berlin","","","",""
"Selbstständige/ManagerInnen","1984","Hauptschule","Brandenburg","","","",""
"Selbstständige/ManagerInnen","1984","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Selbstständige/ManagerInnen","1984","Hauptschule","Sachsen","","","",""
"Selbstständige/ManagerInnen","1984","Hauptschule","Sachsen-Anhalt","","","",""
"Selbstständige/ManagerInnen","1984","Hauptschule","Thüringen","","","",""
"Selbstständige/ManagerInnen","1984","Realschule","Schleswig-Holstein","","","",""
"Selbstständige/ManagerInnen","1984","Realschule","Hamburg","","","",""
"Selbstständige/ManagerInnen","1984","Realschule","Niedersachsen","","","",""
"Selbstständige/ManagerInnen","1984","Realschule","Bremen","","","",""
"Selbstständige/ManagerInnen","1984","Realschule","Nordrhein-Westfalen","31","0.0666575656579959","0.0438886232488258","0.089426508067166"
"Selbstständige/ManagerInnen","1984","Realschule","Hessen","","","",""
"Selbstständige/ManagerInnen","1984","Realschule","Rheinland-Pfalz,Saarland","","","",""
"Selbstständige/ManagerInnen","1984","Realschule","Baden-Württemberg","","","",""
"Selbstständige/ManagerInnen","1984","Realschule","Bayern","","","",""
"Selbstständige/ManagerInnen","1984","Realschule","Saarland","","","",""
"Selbstständige/ManagerInnen","1984","Realschule","Berlin","","","",""
"Selbstständige/ManagerInnen","1984","Realschule","Brandenburg","","","",""
"Selbstständige/ManagerInnen","1984","Realschule","Mecklenburg-Vorpommern","","","",""
"Selbstständige/ManagerInnen","1984","Realschule","Sachsen","","","",""
"Selbstständige/ManagerInnen","1984","Realschule","Sachsen-Anhalt","","","",""
"Selbstständige/ManagerInnen","1984","Realschule","Thüringen","","","",""
"Selbstständige/ManagerInnen","1984","(Fach-)Abitur","Schleswig-Holstein","","","",""
"Selbstständige/ManagerInnen","1984","(Fach-)Abitur","Hamburg","","","",""
"Selbstständige/ManagerInnen","1984","(Fach-)Abitur","Niedersachsen","","","",""
"Selbstständige/ManagerInnen","1984","(Fach-)Abitur","Bremen","","","",""
"Selbstständige/ManagerInnen","1984","(Fach-)Abitur","Nordrhein-Westfalen","","","",""
"Selbstständige/ManagerInnen","1984","(Fach-)Abitur","Hessen","","","",""
"Selbstständige/ManagerInnen","1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"Selbstständige/ManagerInnen","1984","(Fach-)Abitur","Baden-Württemberg","","","",""
"Selbstständige/ManagerInnen","1984","(Fach-)Abitur","Bayern","","","",""
"Selbstständige/ManagerInnen","1984","(Fach-)Abitur","Saarland","","","",""
"Selbstständige/ManagerInnen","1984","(Fach-)Abitur","Berlin","","","",""
"Selbstständige/ManagerInnen","1984","(Fach-)Abitur","Brandenburg","","","",""
"Selbstständige/ManagerInnen","1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Selbstständige/ManagerInnen","1984","(Fach-)Abitur","Sachsen","","","",""
"Selbstständige/ManagerInnen","1984","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Selbstständige/ManagerInnen","1984","(Fach-)Abitur","Thüringen","","","",""
"Selbstständige/ManagerInnen","1984","AkademikerIn","Schleswig-Holstein","","","",""
"Selbstständige/ManagerInnen","1984","AkademikerIn","Hamburg","","","",""
"Selbstständige/ManagerInnen","1984","AkademikerIn","Niedersachsen","","","",""
"Selbstständige/ManagerInnen","1984","AkademikerIn","Bremen","","","",""
"Selbstständige/ManagerInnen","1984","AkademikerIn","Nordrhein-Westfalen","35","0.152320822453736","0.10536902450314","0.199272620404331"
"Selbstständige/ManagerInnen","1984","AkademikerIn","Hessen","","","",""
"Selbstständige/ManagerInnen","1984","AkademikerIn","Rheinland-Pfalz,Saarland","","","",""
"Selbstständige/ManagerInnen","1984","AkademikerIn","Baden-Württemberg","","","",""
"Selbstständige/ManagerInnen","1984","AkademikerIn","Bayern","","","",""
"Selbstständige/ManagerInnen","1984","AkademikerIn","Saarland","","","",""
"Selbstständige/ManagerInnen","1984","AkademikerIn","Berlin","","","",""
"Selbstständige/ManagerInnen","1984","AkademikerIn","Brandenburg","","","",""
"Selbstständige/ManagerInnen","1984","AkademikerIn","Mecklenburg-Vorpommern","","","",""
"Selbstständige/ManagerInnen","1984","AkademikerIn","Sachsen","","","",""
"Selbstständige/ManagerInnen","1984","AkademikerIn","Sachsen-Anhalt","","","",""
"Selbstständige/ManagerInnen","1984","AkademikerIn","Thüringen","","","",""
"In Ausbildung","1984","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"In Ausbildung","1984","(noch) kein Abschluss","Hamburg","","","",""
"In Ausbildung","1984","(noch) kein Abschluss","Niedersachsen","31","0.596812127451736","0.498685917573594","0.694938337329878"
"In Ausbildung","1984","(noch) kein Abschluss","Bremen","","","",""
"In Ausbildung","1984","(noch) kein Abschluss","Nordrhein-Westfalen","74","0.406477289232598","0.358462848114278","0.454491730350917"
"In Ausbildung","1984","(noch) kein Abschluss","Hessen","","","",""
"In Ausbildung","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"In Ausbildung","1984","(noch) kein Abschluss","Baden-Württemberg","39","0.412906391648506","0.360103909722466","0.465708873574546"
"In Ausbildung","1984","(noch) kein Abschluss","Bayern","30","0.519318657882571","0.433432730305818","0.605204585459325"
"In Ausbildung","1984","(noch) kein Abschluss","Saarland","","","",""
"In Ausbildung","1984","(noch) kein Abschluss","Berlin","","","",""
"In Ausbildung","1984","(noch) kein Abschluss","Brandenburg","","","",""
"In Ausbildung","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"In Ausbildung","1984","(noch) kein Abschluss","Sachsen","","","",""
"In Ausbildung","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"In Ausbildung","1984","(noch) kein Abschluss","Thüringen","","","",""
"In Ausbildung","1984","Hauptschule","Schleswig-Holstein","","","",""
"In Ausbildung","1984","Hauptschule","Hamburg","","","",""
"In Ausbildung","1984","Hauptschule","Niedersachsen","40","0.0421388500199443","0.0277122970773385","0.0565654029625502"
"In Ausbildung","1984","Hauptschule","Bremen","","","",""
"In Ausbildung","1984","Hauptschule","Nordrhein-Westfalen","71","0.023233365628563","0.0164110678127911","0.0300556634443349"
"In Ausbildung","1984","Hauptschule","Hessen","32","0.0321670471288815","0.0191425989338786","0.0451914953238845"
"In Ausbildung","1984","Hauptschule","Rheinland-Pfalz,Saarland","35","0.052220420004992","0.0342994673829684","0.0701413726270157"
"In Ausbildung","1984","Hauptschule","Baden-Württemberg","54","0.0291691352283769","0.0201991173290508","0.038139153127703"
"In Ausbildung","1984","Hauptschule","Bayern","51","0.0342370327166957","0.0242832670701603","0.044190798363231"
"In Ausbildung","1984","Hauptschule","Saarland","","","",""
"In Ausbildung","1984","Hauptschule","Berlin","","","",""
"In Ausbildung","1984","Hauptschule","Brandenburg","","","",""
"In Ausbildung","1984","Hauptschule","Mecklenburg-Vorpommern","","","",""
"In Ausbildung","1984","Hauptschule","Sachsen","","","",""
"In Ausbildung","1984","Hauptschule","Sachsen-Anhalt","","","",""
"In Ausbildung","1984","Hauptschule","Thüringen","","","",""
"In Ausbildung","1984","Realschule","Schleswig-Holstein","","","",""
"In Ausbildung","1984","Realschule","Hamburg","","","",""
"In Ausbildung","1984","Realschule","Niedersachsen","54","0.223333439530859","0.169273588049381","0.277393291012337"
"In Ausbildung","1984","Realschule","Bremen","","","",""
"In Ausbildung","1984","Realschule","Nordrhein-Westfalen","95","0.19233456230803","0.156356145864812","0.228312978751248"
"In Ausbildung","1984","Realschule","Hessen","33","0.14823434548106","0.0974413707320467","0.199027320230074"
"In Ausbildung","1984","Realschule","Rheinland-Pfalz,Saarland","","","",""
"In Ausbildung","1984","Realschule","Baden-Württemberg","44","0.127965786670727","0.0889079100979626","0.167023663243492"
"In Ausbildung","1984","Realschule","Bayern","56","0.137503775097179","0.102413793435156","0.172593756759201"
"In Ausbildung","1984","Realschule","Saarland","","","",""
"In Ausbildung","1984","Realschule","Berlin","","","",""
"In Ausbildung","1984","Realschule","Brandenburg","","","",""
"In Ausbildung","1984","Realschule","Mecklenburg-Vorpommern","","","",""
"In Ausbildung","1984","Realschule","Sachsen","","","",""
"In Ausbildung","1984","Realschule","Sachsen-Anhalt","","","",""
"In Ausbildung","1984","Realschule","Thüringen","","","",""
"In Ausbildung","1984","(Fach-)Abitur","Schleswig-Holstein","","","",""
"In Ausbildung","1984","(Fach-)Abitur","Hamburg","","","",""
"In Ausbildung","1984","(Fach-)Abitur","Niedersachsen","","","",""
"In Ausbildung","1984","(Fach-)Abitur","Bremen","","","",""
"In Ausbildung","1984","(Fach-)Abitur","Nordrhein-Westfalen","91","0.356804953324127","0.298686423422837","0.414923483225417"
"In Ausbildung","1984","(Fach-)Abitur","Hessen","31","0.350201303067227","0.258076244793807","0.442326361340646"
"In Ausbildung","1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"In Ausbildung","1984","(Fach-)Abitur","Baden-Württemberg","35","0.359918853393641","0.278651613890044","0.441186092897239"
