"beruf","year","migback","n","percent","lower_confidence","upper_confidence"
"In Rente oder Pension","1987","direkter Migrationshintergrund","148","0.130544717996415","0.118147572437544","0.142941863555287"
"In Rente oder Pension","1987","indirekter Migrationshintergrund","","","",""
"Arbeitslose","1987","kein Migrationshintergrund","262","0.0339541126527874","0.0298497817961573","0.0380584435094174"
"Arbeitslose","1987","direkter Migrationshintergrund","203","0.0604919674805739","0.0517195856461303","0.0692643493150175"
"Arbeitslose","1987","indirekter Migrationshintergrund","","","",""
"Sonstige Nichterwerbspersonen","1987","kein Migrationshintergrund","1083","0.133735345147258","0.126021948035058","0.141448742259458"
"Sonstige Nichterwerbspersonen","1987","direkter Migrationshintergrund","492","0.164899460593474","0.15124428080003","0.178554640386918"
"Sonstige Nichterwerbspersonen","1987","indirekter Migrationshintergrund","","","",""
"Beamte","1987","kein Migrationshintergrund","421","0.0509989452898839","0.046013416403673","0.0559844741760949"
"Beamte","1987","direkter Migrationshintergrund","","","",""
"Beamte","1987","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1988","kein Migrationshintergrund","1008","0.131118780766405","0.123264342057157","0.138973219475653"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1988","direkter Migrationshintergrund","1047","0.290314004810718","0.273154665198555","0.30747334442288"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1988","indirekter Migrationshintergrund","52","0.217163133628074","0.163047301072382","0.271278966183766"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1988","kein Migrationshintergrund","1944","0.262733951314302","0.252492235637271","0.272975666991332"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1988","direkter Migrationshintergrund","503","0.221516447099896","0.205817838264518","0.237215055935274"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1988","indirekter Migrationshintergrund","","","",""
"Selbstständige/ManagerInnen","1988","kein Migrationshintergrund","447","0.0590099330003184","0.0535264363909883","0.0644934296096485"
"Selbstständige/ManagerInnen","1988","direkter Migrationshintergrund","93","0.0407598319247023","0.0332847952232186","0.0482348686261861"
"Selbstständige/ManagerInnen","1988","indirekter Migrationshintergrund","","","",""
"In Ausbildung","1988","kein Migrationshintergrund","720","0.0843346764639588","0.0778681065944289","0.0908012463334887"
"In Ausbildung","1988","direkter Migrationshintergrund","182","0.0625321499815338","0.053379152757816","0.0716851472052516"
"In Ausbildung","1988","indirekter Migrationshintergrund","96","0.265723128415902","0.207748194485654","0.323698062346151"
"In Rente oder Pension","1988","kein Migrationshintergrund","1305","0.247510399397166","0.23746772284111","0.257553075953223"
"In Rente oder Pension","1988","direkter Migrationshintergrund","161","0.142450646315659","0.129237835009524","0.155663457621794"
"In Rente oder Pension","1988","indirekter Migrationshintergrund","","","",""
"Arbeitslose","1988","kein Migrationshintergrund","249","0.0350673750378742","0.0307867949868868","0.0393479550888616"
"Arbeitslose","1988","direkter Migrationshintergrund","201","0.0649279204492203","0.0556131587187446","0.074242682179696"
"Arbeitslose","1988","indirekter Migrationshintergrund","","","",""
"Sonstige Nichterwerbspersonen","1988","kein Migrationshintergrund","1024","0.129492420614667","0.121679544247486","0.137305296981847"
"Sonstige Nichterwerbspersonen","1988","direkter Migrationshintergrund","489","0.164572433961033","0.150555068204198","0.178589799717869"
"Sonstige Nichterwerbspersonen","1988","indirekter Migrationshintergrund","","","",""
"Beamte","1988","kein Migrationshintergrund","397","0.050732463405309","0.0456257699497713","0.0558391568608468"
"Beamte","1988","direkter Migrationshintergrund","","","",""
"Beamte","1988","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1989","kein Migrationshintergrund","1024","0.136045934821807","0.127914083200702","0.144177786442912"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1989","direkter Migrationshintergrund","1104","0.323725258958998","0.305743681350065","0.34170683656793"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1989","indirekter Migrationshintergrund","53","0.147260496994965","0.104269337412963","0.190251656576966"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1989","kein Migrationshintergrund","1912","0.268937447721182","0.258420148172679","0.279454747269685"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1989","direkter Migrationshintergrund","434","0.193738404636121","0.178549594222715","0.208927215049527"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1989","indirekter Migrationshintergrund","42","0.177419721899336","0.13107311644016","0.223766327358512"
"Selbstständige/ManagerInnen","1989","kein Migrationshintergrund","435","0.0578283012084116","0.052291784953153","0.0633648174636703"
"Selbstständige/ManagerInnen","1989","direkter Migrationshintergrund","79","0.0329494095277928","0.0260893745475064","0.0398094445080792"
"Selbstständige/ManagerInnen","1989","indirekter Migrationshintergrund","","","",""
"In Ausbildung","1989","kein Migrationshintergrund","669","0.0855969501647528","0.0789610581033286","0.092232842226177"
"In Ausbildung","1989","direkter Migrationshintergrund","144","0.0466772434318968","0.038570424086176","0.0547840627776175"
"In Ausbildung","1989","indirekter Migrationshintergrund","118","0.369428849016662","0.310874347300427","0.427983350732896"
"In Rente oder Pension","1989","kein Migrationshintergrund","1270","0.249297283520732","0.239036179231431","0.259558387810033"
"In Rente oder Pension","1989","direkter Migrationshintergrund","181","0.160708744930054","0.146594618003757","0.17482287185635"
"In Rente oder Pension","1989","indirekter Migrationshintergrund","","","",""
"Arbeitslose","1989","kein Migrationshintergrund","191","0.0263835573215496","0.0225819963491024","0.0301851182939968"
"Arbeitslose","1989","direkter Migrationshintergrund","125","0.0483822746509229","0.040136104009606","0.0566284452922398"
"Arbeitslose","1989","indirekter Migrationshintergrund","","","",""
"Sonstige Nichterwerbspersonen","1989","kein Migrationshintergrund","953","0.126131438373306","0.118256701218855","0.134006175527757"
"Sonstige Nichterwerbspersonen","1989","direkter Migrationshintergrund","525","0.183294717603237","0.168425587147733","0.198163848058741"
"Sonstige Nichterwerbspersonen","1989","indirekter Migrationshintergrund","","","",""
"Beamte","1989","kein Migrationshintergrund","374","0.0497790868682591","0.0446204246727388","0.0549377490637795"
"Beamte","1989","direkter Migrationshintergrund","","","",""
"Beamte","1989","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1990","kein Migrationshintergrund","1617","0.135058085219458","0.1286528822354","0.141463288203516"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1990","direkter Migrationshintergrund","1045","0.294191555592038","0.27696205123804","0.311421059946036"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1990","indirekter Migrationshintergrund","62","0.173789938149816","0.130767252913866","0.216812623385767"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1990","kein Migrationshintergrund","4272","0.3264905491972","0.317702625330165","0.335278473064234"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1990","direkter Migrationshintergrund","555","0.235688556557172","0.219640638906545","0.2517364742078"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1990","indirekter Migrationshintergrund","45","0.160141339395644","0.118502866833438","0.20177981195785"
"Selbstständige/ManagerInnen","1990","kein Migrationshintergrund","601","0.054512852091998","0.0502582749862997","0.0587674291976963"
"Selbstständige/ManagerInnen","1990","direkter Migrationshintergrund","86","0.0399469145203384","0.032542282141225","0.0473515468994519"
"Selbstständige/ManagerInnen","1990","indirekter Migrationshintergrund","","","",""
"In Ausbildung","1990","kein Migrationshintergrund","873","0.0764449657970796","0.0714654746244242","0.0814244569697349"
"In Ausbildung","1990","direkter Migrationshintergrund","138","0.047881475240627","0.0398083158558373","0.0559546346254168"
"In Ausbildung","1990","indirekter Migrationshintergrund","136","0.375413070627205","0.320434796880151","0.430391344374258"
"In Rente oder Pension","1990","kein Migrationshintergrund","1910","0.238769549532897","0.230779919345697","0.246759179720098"
"In Rente oder Pension","1990","direkter Migrationshintergrund","235","0.16958370501056","0.15539462463613","0.183772785384991"
"In Rente oder Pension","1990","indirekter Migrationshintergrund","","","",""
"Arbeitslose","1990","kein Migrationshintergrund","168","0.0198621069653621","0.0172473256100002","0.022476888320724"
"Arbeitslose","1990","direkter Migrationshintergrund","143","0.0464803685542764","0.0385203540558175","0.0544403830527353"
"Arbeitslose","1990","indirekter Migrationshintergrund","","","",""
"Sonstige Nichterwerbspersonen","1990","kein Migrationshintergrund","1127","0.107283851466995","0.101484185178868","0.113083517755122"
"Sonstige Nichterwerbspersonen","1990","direkter Migrationshintergrund","478","0.159508685684008","0.145664320676571","0.173353050691445"
"Sonstige Nichterwerbspersonen","1990","indirekter Migrationshintergrund","34","0.132437505979336","0.0939521205728371","0.170922891385834"
"Beamte","1990","kein Migrationshintergrund","370","0.0415780397290101","0.0378370241694793","0.045319055288541"
"Beamte","1990","direkter Migrationshintergrund","","","",""
"Beamte","1990","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1991","kein Migrationshintergrund","1723","0.14464334282058","0.137964607864067","0.151322077777093"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1991","direkter Migrationshintergrund","1071","0.311920384173523","0.294228200869358","0.329612567477689"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1991","indirekter Migrationshintergrund","76","0.225805444605361","0.182002195051972","0.26960869415875"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1991","kein Migrationshintergrund","3645","0.299902010716618","0.291201585710727","0.308602435722508"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1991","direkter Migrationshintergrund","501","0.221131142615313","0.205282308117582","0.236979977113044"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1991","indirekter Migrationshintergrund","51","0.15362280947338","0.115846120030485","0.191399498916275"
"Selbstständige/ManagerInnen","1991","kein Migrationshintergrund","599","0.0560816868845251","0.0517130182537668","0.0604503555152834"
"Selbstständige/ManagerInnen","1991","direkter Migrationshintergrund","90","0.0381293149569729","0.0308157680443579","0.0454428618695878"
"Selbstständige/ManagerInnen","1991","indirekter Migrationshintergrund","","","",""
"In Ausbildung","1991","kein Migrationshintergrund","844","0.0730912442870755","0.0681490190516044","0.0780334695225466"
"In Ausbildung","1991","direkter Migrationshintergrund","130","0.0484881600873285","0.0402853027869487","0.0566910173877082"
"In Ausbildung","1991","indirekter Migrationshintergrund","172","0.391564783640586","0.340429219307852","0.44270034797332"
"In Rente oder Pension","1991","kein Migrationshintergrund","1922","0.248074567107869","0.239873886979686","0.256275247236052"
"In Rente oder Pension","1991","direkter Migrationshintergrund","255","0.178678431895471","0.164048817280869","0.193308046510073"
"In Rente oder Pension","1991","indirekter Migrationshintergrund","","","",""
"Arbeitslose","1991","kein Migrationshintergrund","459","0.0329002536306694","0.0295133205049385","0.0362871867564003"
"Arbeitslose","1991","direkter Migrationshintergrund","142","0.0519532714529299","0.0434778456231962","0.0604286972826635"
"Arbeitslose","1991","indirekter Migrationshintergrund","","","",""
"Sonstige Nichterwerbspersonen","1991","kein Migrationshintergrund","1061","0.103118564855067","0.0973441589171571","0.108892970792976"
"Sonstige Nichterwerbspersonen","1991","direkter Migrationshintergrund","436","0.141613324567672","0.128298552116661","0.154928097018683"
"Sonstige Nichterwerbspersonen","1991","indirekter Migrationshintergrund","","","",""
"Beamte","1991","kein Migrationshintergrund","402","0.0421883296975973","0.0383714577342597","0.0460052016609348"
"Beamte","1991","direkter Migrationshintergrund","","","",""
"Beamte","1991","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1992","kein Migrationshintergrund","1558","0.13363493373557","0.127094215766784","0.140175651704355"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1992","direkter Migrationshintergrund","965","0.285797679414856","0.268323750731949","0.303271608097763"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1992","indirekter Migrationshintergrund","89","0.194086227940047","0.155989333991241","0.232183121888853"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1992","kein Migrationshintergrund","3383","0.291631316747742","0.282894329306647","0.300368304188837"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1992","direkter Migrationshintergrund","484","0.209930695059768","0.194179222976816","0.225682167142719"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1992","indirekter Migrationshintergrund","53","0.128396940499415","0.096172555981951","0.160621325016879"
"Selbstständige/ManagerInnen","1992","kein Migrationshintergrund","588","0.0567637944264933","0.0523158341896184","0.0612117546633682"
"Selbstständige/ManagerInnen","1992","direkter Migrationshintergrund","99","0.0458786556281459","0.0377866210716231","0.0539706901846687"
"Selbstständige/ManagerInnen","1992","indirekter Migrationshintergrund","","","",""
"In Ausbildung","1992","kein Migrationshintergrund","868","0.0731518460488508","0.068146525502264","0.0781571665954377"
"In Ausbildung","1992","direkter Migrationshintergrund","120","0.0467597202315706","0.0385941272951574","0.0549253131679838"
"In Ausbildung","1992","indirekter Migrationshintergrund","210","0.464530750893942","0.416488602275346","0.512572899512538"
"In Rente oder Pension","1992","kein Migrationshintergrund","2012","0.260173083969327","0.25173951886594","0.268606649072714"
"In Rente oder Pension","1992","direkter Migrationshintergrund","287","0.188376922214889","0.173253794372893","0.203500050056885"
"In Rente oder Pension","1992","indirekter Migrationshintergrund","","","",""
"Arbeitslose","1992","kein Migrationshintergrund","658","0.0478388823316777","0.0437362680335955","0.0519414966297598"
"Arbeitslose","1992","direkter Migrationshintergrund","182","0.0652973376892395","0.055742241608604","0.0748524337698751"
"Arbeitslose","1992","indirekter Migrationshintergrund","","","",""
"Sonstige Nichterwerbspersonen","1992","kein Migrationshintergrund","954","0.0976210073484557","0.0919156731859065","0.103326341511005"
"Sonstige Nichterwerbspersonen","1992","direkter Migrationshintergrund","421","0.144856394910709","0.131243861967766","0.158468927853653"
"Sonstige Nichterwerbspersonen","1992","indirekter Migrationshintergrund","30","0.0808713518741082","0.0546090116448366","0.10713369210338"
"Beamte","1992","kein Migrationshintergrund","375","0.0391851353918843","0.0354552499943346","0.042915020789434"
"Beamte","1992","direkter Migrationshintergrund","","","",""
"Beamte","1992","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1993","kein Migrationshintergrund","1551","0.138860892716358","0.132146465930895","0.145575319501822"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1993","direkter Migrationshintergrund","948","0.289941956029915","0.272145182335544","0.307738729724286"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1993","indirekter Migrationshintergrund","94","0.187685564303854","0.152608589121599","0.222762539486109"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1993","kein Migrationshintergrund","3160","0.275496289295965","0.266821468862043","0.284171109729887"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1993","direkter Migrationshintergrund","429","0.209633556742731","0.193668022051561","0.225599091433901"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1993","indirekter Migrationshintergrund","66","0.123976933123512","0.0943714038224938","0.153582462424531"
"Selbstständige/ManagerInnen","1993","kein Migrationshintergrund","613","0.0607953515236273","0.0561555691193649","0.0654351339278896"
"Selbstständige/ManagerInnen","1993","direkter Migrationshintergrund","90","0.0434063311666044","0.035413896208525","0.0513987661246837"
"Selbstständige/ManagerInnen","1993","indirekter Migrationshintergrund","","","",""
"In Ausbildung","1993","kein Migrationshintergrund","831","0.0702365417698605","0.0652746177856242","0.0751984657540968"
"In Ausbildung","1993","direkter Migrationshintergrund","98","0.0404887028308134","0.0327577896229061","0.0482196160387207"
"In Ausbildung","1993","indirekter Migrationshintergrund","242","0.508573487262389","0.463662690055114","0.553484284469663"
"In Rente oder Pension","1993","kein Migrationshintergrund","2018","0.261455827179188","0.252923456578474","0.269988197779902"
"In Rente oder Pension","1993","direkter Migrationshintergrund","319","0.205191559410255","0.189351755492522","0.221031363327989"
"In Rente oder Pension","1993","indirekter Migrationshintergrund","","","",""
"Arbeitslose","1993","kein Migrationshintergrund","702","0.0547601772723775","0.0503425839010863","0.0591777706436687"
"Arbeitslose","1993","direkter Migrationshintergrund","194","0.0657368486290825","0.0560165888885036","0.0754571083696614"
"Arbeitslose","1993","indirekter Migrationshintergrund","","","",""
"Sonstige Nichterwerbspersonen","1993","kein Migrationshintergrund","913","0.0943032145063748","0.08862859206209","0.0999778369506596"
"Sonstige Nichterwerbspersonen","1993","direkter Migrationshintergrund","410","0.136888336682908","0.123406299029431","0.150370374336385"
"Sonstige Nichterwerbspersonen","1993","indirekter Migrationshintergrund","38","0.0888797109003438","0.063315417682554","0.114444004118134"
"Beamte","1993","kein Migrationshintergrund","401","0.0440917057362488","0.0401054158751683","0.0480779955973294"
"Beamte","1993","direkter Migrationshintergrund","","","",""
"Beamte","1993","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1994","kein Migrationshintergrund","1409","0.126096231637844","0.119611987656459","0.132580475619228"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1994","direkter Migrationshintergrund","795","0.262731157632912","0.245019488988837","0.280442826276986"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1994","indirekter Migrationshintergrund","100","0.192715514389775","0.1580035736897","0.227427455089849"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1994","kein Migrationshintergrund","3169","0.280767858713294","0.27199007802138","0.289545639405208"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1994","direkter Migrationshintergrund","434","0.194411025984551","0.178484980508017","0.210337071461086"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1994","indirekter Migrationshintergrund","78","0.143656447238845","0.112789489323903","0.174523405153786"
"Selbstständige/ManagerInnen","1994","kein Migrationshintergrund","598","0.0581577480742927","0.053586136082798","0.0627293600657873"
"Selbstständige/ManagerInnen","1994","direkter Migrationshintergrund","89","0.0458776237371746","0.0374579890848423","0.0542972583895069"
"Selbstständige/ManagerInnen","1994","indirekter Migrationshintergrund","","","",""
"In Ausbildung","1994","kein Migrationshintergrund","782","0.0643708231535557","0.0595771005728203","0.0691645457342912"
"In Ausbildung","1994","direkter Migrationshintergrund","87","0.0366398804949868","0.0290791787766954","0.0442005822132781"
"In Ausbildung","1994","indirekter Migrationshintergrund","215","0.447564774317044","0.403804918397071","0.491324630237017"
"In Rente oder Pension","1994","kein Migrationshintergrund","1985","0.264126968281356","0.255515359252954","0.272738577309759"
"In Rente oder Pension","1994","direkter Migrationshintergrund","337","0.220500659163947","0.203816528944382","0.237184789383512"
"In Rente oder Pension","1994","indirekter Migrationshintergrund","","","",""
"Arbeitslose","1994","kein Migrationshintergrund","774","0.0630062601900178","0.0582601623880393","0.0677523579919963"
