"beruf","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Beamte","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","463","0.0490779139271871","0.0445329675738634","0.0536228602805109"
"Beamte","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1178","0.136902342518936","0.129361837471108","0.144442847566764"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","1185","0.306910558093984","0.290247545751544","0.323573570436424"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","2037","0.238118600908481","0.228775191636685","0.247462010180277"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","575","0.226893502544326","0.211761944390608","0.242025060698043"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","508","0.0597997710317166","0.0545983146223299","0.0650012274411032"
"Selbstständige/ManagerInnen","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","97","0.0357429031777178","0.0290356562645824","0.0424501500908531"
"Selbstständige/ManagerInnen","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","838","0.0975151925606813","0.0910075885587353","0.104022796562627"
"In Ausbildung","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","196","0.0666800867140691","0.0576671503663627","0.0756930230617756"
"In Ausbildung","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","66","0.240002942500583","0.170003543568166","0.310002341433"
"In Ausbildung","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1476","0.243641387873271","0.234224564234552","0.25305821151199"
"In Rente oder Pension","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","121","0.116060485054312","0.104488538345558","0.127632431763065"
"In Rente oder Pension","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"In Rente oder Pension","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","298","0.0367041961682454","0.032579397843409","0.0408289944930818"
"Arbeitslose","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","204","0.0651430426184841","0.0562272581383662","0.074058827098602"
"Arbeitslose","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Arbeitslose","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1202","0.136878275067361","0.129338327736203","0.144418222398518"
"Sonstige Nichterwerbspersonen","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","545","0.169563859061649","0.156006574032669","0.183121144090629"
"Sonstige Nichterwerbspersonen","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","446","0.0504402338713082","0.0456394215921178","0.0552410461504987"
"Beamte","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1986","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1087","0.13171591168764","0.124122784969075","0.139309038406206"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1986","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1986","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","1175","0.313431788392046","0.296412771366143","0.330450805417949"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1986","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1986","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1986","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1986","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","2004","0.246429694817777","0.236754070146811","0.256105319488743"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1986","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1986","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","505","0.201984482306338","0.18725505784135","0.216713906771326"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1986","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1986","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1986","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1986","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","485","0.0589468101758389","0.0536586104984596","0.0642350098532181"
"Selbstständige/ManagerInnen","1986","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1986","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","101","0.0455440598768285","0.0378948791852414","0.0531932405684157"
"Selbstständige/ManagerInnen","1986","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1986","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1986","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1986","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","822","0.0952875118647808","0.088695106694267","0.101879917035295"
"In Ausbildung","1986","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1986","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","208","0.0636575468953711","0.0547005295924112","0.072614564198331"
"In Ausbildung","1986","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1986","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","72","0.244168878588487","0.176319594442946","0.312018162734028"
"In Ausbildung","1986","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1986","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1387","0.246688651023578","0.237009607437052","0.256367694610105"
"In Rente oder Pension","1986","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1986","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","137","0.132496227870259","0.120057998831815","0.144934456908704"
"In Rente oder Pension","1986","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1986","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"In Rente oder Pension","1986","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1986","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","266","0.0338445578554943","0.0297844410307649","0.0379046746802237"
"Arbeitslose","1986","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1986","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","191","0.0597939862606773","0.0510951456636468","0.0684928268577077"
"Arbeitslose","1986","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1986","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Arbeitslose","1986","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1986","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1147","0.137308043944605","0.129580411275708","0.145035676613502"
"Sonstige Nichterwerbspersonen","1986","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1986","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","514","0.169692503799309","0.155921299699901","0.183463707898717"
"Sonstige Nichterwerbspersonen","1986","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1986","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1986","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1986","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","422","0.049778818630285","0.0448956103129799","0.0546620269475901"
"Beamte","1986","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1986","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1986","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1986","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1986","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1987","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1096","0.137913487629889","0.130099439390834","0.145727535868944"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1987","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1987","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","1169","0.327311545577469","0.310044975624441","0.344578115530498"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1987","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1987","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","33","0.152838047474921","0.0998277282412136","0.205848366708629"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1987","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1987","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","2005","0.253417562747136","0.24356034088432","0.263274784609952"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1987","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1987","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","481","0.190375209978636","0.17592861425701","0.204821805700262"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1987","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1987","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1987","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1987","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","466","0.0580488600287637","0.0527496842242967","0.0633480358332307"
"Selbstständige/ManagerInnen","1987","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1987","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","105","0.0476023425823307","0.0397672930722554","0.055437392092406"
"Selbstständige/ManagerInnen","1987","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1987","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1987","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1987","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","798","0.0864410239803854","0.0800726943018562","0.0928093536589145"
"In Ausbildung","1987","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1987","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","218","0.0659714411965485","0.056837115631148","0.075105766761949"
"In Ausbildung","1987","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1987","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","76","0.197043592181332","0.138444808700983","0.25564237566168"
"In Ausbildung","1987","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1987","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1349","0.245490662523896","0.235737463411637","0.255243861636155"
"In Rente oder Pension","1987","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1987","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","148","0.130544717996415","0.118147572437544","0.142941863555287"
"In Rente oder Pension","1987","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1987","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"In Rente oder Pension","1987","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1987","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","262","0.0339541126527874","0.0298497817961573","0.0380584435094174"
"Arbeitslose","1987","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1987","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","203","0.0604919674805739","0.0517195856461303","0.0692643493150175"
"Arbeitslose","1987","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1987","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Arbeitslose","1987","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1987","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1083","0.133735345147258","0.126021948035058","0.141448742259458"
"Sonstige Nichterwerbspersonen","1987","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1987","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","492","0.164899460593474","0.15124428080003","0.178554640386918"
"Sonstige Nichterwerbspersonen","1987","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1987","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1987","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1987","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","421","0.0509989452898839","0.046013416403673","0.0559844741760949"
"Beamte","1987","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1987","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1987","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1987","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1987","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1988","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1008","0.131118780766405","0.123264342057157","0.138973219475653"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1988","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1988","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","1047","0.290314004810718","0.273154665198555","0.30747334442288"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1988","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1988","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","52","0.217163133628074","0.163047301072382","0.271278966183766"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1988","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1988","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1944","0.262733951314302","0.252492235637271","0.272975666991332"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1988","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1988","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","503","0.221516447099896","0.205817838264518","0.237215055935274"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1988","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1988","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1988","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1988","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","447","0.0590099330003184","0.0535264363909883","0.0644934296096485"
"Selbstständige/ManagerInnen","1988","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1988","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","93","0.0407598319247023","0.0332847952232186","0.0482348686261861"
"Selbstständige/ManagerInnen","1988","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1988","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1988","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1988","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","720","0.0843346764639588","0.0778681065944289","0.0908012463334887"
"In Ausbildung","1988","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1988","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","182","0.0625321499815338","0.053379152757816","0.0716851472052516"
"In Ausbildung","1988","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1988","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","96","0.265723128415902","0.207748194485654","0.323698062346151"
"In Ausbildung","1988","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1988","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1305","0.247510399397166","0.23746772284111","0.257553075953223"
