year,sampreg,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,East,Yes,0.70172,1598,2273,0.68290,0.72053
2011,East,No,0.29828,675,2273,0.27947,0.31710
2012,West,Yes,0.72616,5850,8083,0.71644,0.73589
2012,West,No,0.27384,2233,8083,0.26411,0.28356
2012,East,Yes,0.67396,1571,2260,0.65463,0.69329
2012,East,No,0.32604,689,2260,0.30671,0.34537
2013,West,Yes,0.72961,6437,8824,0.72034,0.73888
2013,West,No,0.27039,2387,8824,0.26112,0.27966
2013,East,Yes,0.69931,1530,2160,0.67997,0.71866
2013,East,No,0.30069,630,2160,0.28134,0.32003
2014,West,Yes,0.73667,5758,7973,0.72700,0.74633
2014,West,No,0.26333,2215,7973,0.25367,0.27300
2014,East,Yes,0.69381,1417,1992,0.67356,0.71406
2014,East,No,0.30619,575,1992,0.28594,0.32644
2015,West,Yes,0.77067,5873,7636,0.76124,0.78010
2015,West,No,0.22933,1763,7636,0.21990,0.23876
2015,East,Yes,0.72538,1383,1863,0.70510,0.74565
2015,East,No,0.27462,480,1863,0.25435,0.29490
2016,West,Yes,0.77034,5530,7206,0.76063,0.78005
2016,West,No,0.22966,1676,7206,0.21995,0.23937
2016,East,Yes,0.72595,1346,1820,0.70546,0.74645
2016,East,No,0.27405,474,1820,0.25355,0.29454
2017,West,Yes,0.76363,5948,7761,0.75418,0.77309
2017,West,No,0.23637,1813,7761,0.22691,0.24582
2017,East,Yes,0.75638,1440,1974,0.73744,0.77533
2017,East,No,0.24362,534,1974,0.22467,0.26256
2018,West,Yes,0.76004,6035,8103,0.75074,0.76934
2018,West,No,0.23996,2068,8103,0.23066,0.24926
2018,East,Yes,0.71580,1429,2055,0.69630,0.73531
2018,East,No,0.28420,626,2055,0.26469,0.30370
2019,West,Yes,0.77725,5556,7295,0.76770,0.78680
2019,West,No,0.22275,1739,7295,0.21320,0.23230
2019,East,Yes,0.73106,1412,1887,0.71105,0.75107
2019,East,No,0.26894,475,1887,0.24893,0.28895
2020,West,Yes,0.65869,5250,8196,0.64842,0.66895
2020,West,No,0.34131,2946,8196,0.33105,0.35158
2020,East,Yes,0.64648,1275,2012,0.62559,0.66738
2020,East,No,0.35352,737,2012,0.33262,0.37441
2021,West,Yes,0.74846,4161,5709,0.73720,0.75972
2021,West,No,0.25154,1548,5709,0.24028,0.26280
2021,East,Yes,0.68987,1003,1403,0.66566,0.71408
2021,East,No,0.31013,400,1403,0.28592,0.33434
2022,West,Yes,0.72957,7113,9869,0.72081,0.73833
2022,West,No,0.27043,2756,9869,0.26167,0.27919
2022,East,Yes,0.70618,1688,2426,0.68805,0.72431
2022,East,No,0.29382,738,2426,0.27569,0.31195
