year,migback,pgisced97,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Direct migration background,Upper Secondary Level,Yes,0.21893,199,604,0.18593,0.25194
1990,Direct migration background,Upper Secondary Level,No,0.39603,405,604,0.35699,0.43507
1990,Direct migration background,Post-secondary Non-tertiary Level,No,0.38225,42,42,0.23350,0.53099
1990,Direct migration background,Second Stage of Tertiary Education,Yes,0.30588,40,97,0.21371,0.39806
1990,Direct migration background,Second Stage of Tertiary Education,No,0.37890,57,97,0.28185,0.47594
1990,Indirect migration background,Lower Secondary Level,No,0.46126,57,57,0.33070,0.59183
1990,Indirect migration background,Upper Secondary Level,No,0.40666,47,47,0.26471,0.54861
1991,No migration background,Lower Secondary Level,Yes,0.10300,204,796,0.08187,0.12413
1991,No migration background,Lower Secondary Level,No,0.26815,592,796,0.23735,0.29894
1991,No migration background,Upper Secondary Level,Yes,0.22635,1350,3831,0.21310,0.23961
1991,No migration background,Upper Secondary Level,No,0.37079,2481,3831,0.35549,0.38609
1991,No migration background,Post-secondary Non-tertiary Level,Yes,0.32157,81,191,0.25515,0.38798
1991,No migration background,Post-secondary Non-tertiary Level,No,0.38081,110,191,0.31177,0.44986
1991,No migration background,First Stage of Tertiary Education,Yes,0.26993,188,504,0.23113,0.30872
1991,No migration background,First Stage of Tertiary Education,No,0.40160,316,504,0.35876,0.44444
1991,No migration background,Second Stage of Tertiary Education,Yes,0.33493,537,1205,0.30827,0.36159
1991,No migration background,Second Stage of Tertiary Education,No,0.40994,668,1205,0.38216,0.43772
1991,Direct migration background,Primary Level,Yes,0.10533,59,299,0.07048,0.14019
1991,Direct migration background,Primary Level,No,0.45826,240,299,0.40169,0.51483
1991,Direct migration background,Lower Secondary Level,Yes,0.12733,127,554,0.09954,0.15511
1991,Direct migration background,Lower Secondary Level,No,0.41379,427,554,0.37274,0.45484
1991,Direct migration background,Upper Secondary Level,Yes,0.21631,192,601,0.18337,0.24926
1991,Direct migration background,Upper Secondary Level,No,0.40969,409,601,0.37034,0.44904
1991,Direct migration background,Post-secondary Non-tertiary Level,No,0.36140,46,46,0.22103,0.50176
1991,Direct migration background,Second Stage of Tertiary Education,Yes,0.28271,34,93,0.19069,0.37473
1991,Direct migration background,Second Stage of Tertiary Education,No,0.34584,59,93,0.24865,0.44304
1991,Indirect migration background,Lower Secondary Level,No,0.59466,73,73,0.48125,0.70806
1991,Indirect migration background,Upper Secondary Level,No,0.43194,53,53,0.29730,0.56657
1992,No migration background,Lower Secondary Level,Yes,0.09932,193,724,0.07752,0.12112
1992,No migration background,Lower Secondary Level,No,0.24848,531,724,0.21698,0.27998
1992,No migration background,Upper Secondary Level,Yes,0.23327,1408,3526,0.21931,0.24723
1992,No migration background,Upper Secondary Level,No,0.33604,2118,3526,0.32044,0.35163
1992,No migration background,Post-secondary Non-tertiary Level,Yes,0.32856,90,176,0.25897,0.39815
1992,No migration background,Post-secondary Non-tertiary Level,No,0.31854,86,176,0.24951,0.38757
1992,No migration background,First Stage of Tertiary Education,Yes,0.26966,198,496,0.23057,0.30876
1992,No migration background,First Stage of Tertiary Education,No,0.39132,298,496,0.34833,0.43431
1992,No migration background,Second Stage of Tertiary Education,Yes,0.36346,576,1138,0.33550,0.39142
1992,No migration background,Second Stage of Tertiary Education,No,0.36762,562,1138,0.33959,0.39564
1992,Direct migration background,Primary Level,Yes,0.09858,53,257,0.06206,0.13509
1992,Direct migration background,Primary Level,No,0.40169,204,257,0.34164,0.46175
1992,Direct migration background,Lower Secondary Level,Yes,0.11361,104,526,0.08647,0.14076
1992,Direct migration background,Lower Secondary Level,No,0.43500,422,526,0.39259,0.47740
1992,Direct migration background,Upper Secondary Level,Yes,0.21182,172,575,0.17840,0.24525
1992,Direct migration background,Upper Secondary Level,No,0.39797,403,575,0.35793,0.43801
1992,Direct migration background,Post-secondary Non-tertiary Level,No,0.40969,44,44,0.26270,0.55668
1992,Direct migration background,Second Stage of Tertiary Education,Yes,0.24903,38,87,0.15763,0.34043
1992,Direct migration background,Second Stage of Tertiary Education,No,0.30413,49,87,0.20690,0.40136
1992,Indirect migration background,Lower Secondary Level,No,0.41462,81,81,0.30666,0.52258
1992,Indirect migration background,Upper Secondary Level,No,0.48839,60,60,0.36084,0.61594
1993,No migration background,Lower Secondary Level,Yes,0.09316,181,675,0.07122,0.11510
1993,No migration background,Lower Secondary Level,No,0.25794,494,675,0.22491,0.29097
1993,No migration background,Upper Secondary Level,Yes,0.22023,1347,3423,0.20634,0.23411
1993,No migration background,Upper Secondary Level,No,0.34054,2076,3423,0.32466,0.35642
1993,No migration background,Post-secondary Non-tertiary Level,Yes,0.28559,83,184,0.22015,0.35104
1993,No migration background,Post-secondary Non-tertiary Level,No,0.38671,101,184,0.31615,0.45727
1993,No migration background,First Stage of Tertiary Education,Yes,0.22867,168,461,0.19029,0.26705
1993,No migration background,First Stage of Tertiary Education,No,0.40018,293,461,0.35541,0.44495
1993,No migration background,Second Stage of Tertiary Education,Yes,0.35004,586,1118,0.32207,0.37801
1993,No migration background,Second Stage of Tertiary Education,No,0.36739,532,1118,0.33912,0.39566
1993,Direct migration background,Primary Level,Yes,0.08601,40,249,0.05112,0.12091
1993,Direct migration background,Primary Level,No,0.40355,209,249,0.34248,0.46461
1993,Direct migration background,Lower Secondary Level,Yes,0.11244,93,490,0.08444,0.14045
1993,Direct migration background,Lower Secondary Level,No,0.43418,397,490,0.39025,0.47811
1993,Direct migration background,Upper Secondary Level,Yes,0.14879,129,539,0.11872,0.17887
1993,Direct migration background,Upper Secondary Level,No,0.41849,410,539,0.37681,0.46018
1993,Direct migration background,Post-secondary Non-tertiary Level,No,0.50408,50,50,0.36408,0.64407
1993,Direct migration background,Second Stage of Tertiary Education,Yes,0.26956,41,90,0.17737,0.36175
1993,Direct migration background,Second Stage of Tertiary Education,No,0.34749,49,90,0.24856,0.44642
1993,Indirect migration background,Lower Secondary Level,Yes,0.18205,33,127,0.11467,0.24943
1993,Indirect migration background,Lower Secondary Level,No,0.45202,94,127,0.36512,0.53893
1993,Indirect migration background,Upper Secondary Level,Yes,0.18197,35,101,0.10635,0.25759
1993,Indirect migration background,Upper Secondary Level,No,0.48641,66,101,0.38845,0.58438
1994,No migration background,Lower Secondary Level,Yes,0.09114,173,614,0.06836,0.11393
1994,No migration background,Lower Secondary Level,No,0.23340,441,614,0.19991,0.26688
1994,No migration background,Upper Secondary Level,Yes,0.22490,1369,3314,0.21068,0.23912
1994,No migration background,Upper Secondary Level,No,0.32378,1945,3314,0.30785,0.33972
1994,No migration background,Post-secondary Non-tertiary Level,Yes,0.30924,101,190,0.24335,0.37513
1994,No migration background,Post-secondary Non-tertiary Level,No,0.36334,89,190,0.29477,0.43191
1994,No migration background,First Stage of Tertiary Education,Yes,0.24877,179,469,0.20961,0.28794
1994,No migration background,First Stage of Tertiary Education,No,0.38614,290,469,0.34203,0.43025
1994,No migration background,Second Stage of Tertiary Education,Yes,0.35946,604,1148,0.33169,0.38723
1994,No migration background,Second Stage of Tertiary Education,No,0.36668,544,1148,0.33879,0.39457
1994,Direct migration background,Primary Level,No,0.43457,194,194,0.36464,0.50451
1994,Direct migration background,Lower Secondary Level,Yes,0.08306,81,397,0.05588,0.11024
1994,Direct migration background,Lower Secondary Level,No,0.36138,316,397,0.31407,0.40870
1994,Direct migration background,Upper Secondary Level,Yes,0.18444,147,498,0.15034,0.21854
1994,Direct migration background,Upper Secondary Level,No,0.36319,351,498,0.32091,0.40547
1994,Direct migration background,Post-secondary Non-tertiary Level,No,0.35093,34,34,0.18809,0.51376
1994,Direct migration background,Second Stage of Tertiary Education,Yes,0.29454,41,84,0.19647,0.39261
1994,Direct migration background,Second Stage of Tertiary Education,No,0.30915,43,84,0.20972,0.40857
1994,Indirect migration background,Lower Secondary Level,No,0.51417,84,84,0.40665,0.62170
1994,Indirect migration background,Upper Secondary Level,Yes,0.26643,38,113,0.18455,0.34830
1994,Indirect migration background,Upper Secondary Level,No,0.43727,75,113,0.34540,0.52914
1995,No migration background,Lower Secondary Level,Yes,0.10446,190,611,0.08019,0.12873
1995,No migration background,Lower Secondary Level,No,0.22219,421,611,0.18920,0.25518
1995,No migration background,Upper Secondary Level,Yes,0.23968,1448,3353,0.22523,0.25413
1995,No migration background,Upper Secondary Level,No,0.31114,1905,3353,0.29547,0.32681
1995,No migration background,Post-secondary Non-tertiary Level,Yes,0.31246,104,199,0.24790,0.37702
1995,No migration background,Post-secondary Non-tertiary Level,No,0.33414,95,199,0.26844,0.39984
1995,No migration background,First Stage of Tertiary Education,Yes,0.27236,220,493,0.23302,0.31170
1995,No migration background,First Stage of Tertiary Education,No,0.35676,273,493,0.31443,0.39909
1995,No migration background,Second Stage of Tertiary Education,Yes,0.37651,632,1191,0.34899,0.40404
1995,No migration background,Second Stage of Tertiary Education,No,0.36201,559,1191,0.33470,0.38931
1995,Direct migration background,Primary Level,Yes,0.09496,42,197,0.05392,0.13601
1995,Direct migration background,Primary Level,No,0.32922,155,197,0.26343,0.39501
1995,Direct migration background,Lower Secondary Level,Yes,0.09649,103,417,0.06811,0.12486
1995,Direct migration background,Lower Secondary Level,No,0.29987,314,417,0.25584,0.34390
1995,Direct migration background,Upper Secondary Level,Yes,0.18266,191,595,0.15159,0.21374
1995,Direct migration background,Upper Secondary Level,No,0.37073,404,595,0.33189,0.40957
1995,Direct migration background,Post-secondary Non-tertiary Level,No,0.35455,63,63,0.23547,0.47363
1995,Direct migration background,Second Stage of Tertiary Education,Yes,0.28359,55,126,0.20457,0.36261
1995,Direct migration background,Second Stage of Tertiary Education,No,0.29827,71,126,0.21807,0.37847
1995,Indirect migration background,Lower Secondary Level,Yes,0.14551,31,103,0.07708,0.21394
1995,Indirect migration background,Lower Secondary Level,No,0.46879,72,103,0.37195,0.56564
1995,Indirect migration background,Upper Secondary Level,Yes,0.27050,48,124,0.19199,0.34900
1995,Indirect migration background,Upper Secondary Level,No,0.36223,76,124,0.27729,0.44718
1996,No migration background,Lower Secondary Level,Yes,0.08907,164,584,0.06595,0.11219
1996,No migration background,Lower Secondary Level,No,0.22630,420,584,0.19233,0.26026
1996,No migration background,Upper Secondary Level,Yes,0.23714,1413,3261,0.22254,0.25174
1996,No migration background,Upper Secondary Level,No,0.30543,1848,3261,0.28962,0.32125
1996,No migration background,Post-secondary Non-tertiary Level,Yes,0.31835,105,216,0.25609,0.38062
1996,No migration background,Post-secondary Non-tertiary Level,No,0.34592,111,216,0.28234,0.40950
1996,No migration background,First Stage of Tertiary Education,Yes,0.31203,235,495,0.27117,0.35289
1996,No migration background,First Stage of Tertiary Education,No,0.33720,260,495,0.29551,0.37889
1996,No migration background,Second Stage of Tertiary Education,Yes,0.35947,616,1181,0.33210,0.38685
1996,No migration background,Second Stage of Tertiary Education,No,0.37060,565,1181,0.34305,0.39816
1996,Direct migration background,Primary Level,Yes,0.08358,38,185,0.04359,0.12357
1996,Direct migration background,Primary Level,No,0.35978,147,185,0.29043,0.42912
1996,Direct migration background,Lower Secondary Level,Yes,0.08359,80,379,0.05569,0.11149
1996,Direct migration background,Lower Secondary Level,No,0.32538,299,379,0.27814,0.37261
1996,Direct migration background,Upper Secondary Level,Yes,0.16942,174,548,0.13799,0.20086
1996,Direct migration background,Upper Secondary Level,No,0.35924,374,548,0.31904,0.39945
1996,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.30483,38,87,0.20753,0.40212
1996,Direct migration background,Post-secondary Non-tertiary Level,No,0.31357,49,87,0.21551,0.41162
1996,Direct migration background,Second Stage of Tertiary Education,Yes,0.28145,62,120,0.20065,0.36226
1996,Direct migration background,Second Stage of Tertiary Education,No,0.28242,58,120,0.20153,0.36330
1996,Indirect migration background,Lower Secondary Level,No,0.44015,76,76,0.32781,0.55250
1996,Indirect migration background,Upper Secondary Level,Yes,0.23170,57,144,0.16254,0.30085
1996,Indirect migration background,Upper Secondary Level,No,0.39542,87,144,0.31528,0.47556
1997,No migration background,Lower Secondary Level,Yes,0.09297,157,276,0.05865,0.12730
1997,No migration background,Lower Secondary Level,No,0.05539,119,276,0.02835,0.08242
1997,No migration background,Upper Secondary Level,Yes,0.23996,1395,2058,0.22151,0.25842
1997,No migration background,Upper Secondary Level,No,0.10591,663,2058,0.09261,0.11920
1997,No migration background,Post-secondary Non-tertiary Level,Yes,0.34137,113,159,0.26744,0.41531
1997,No migration background,Post-secondary Non-tertiary Level,No,0.15293,46,159,0.09681,0.20905
1997,No migration background,First Stage of Tertiary Education,Yes,0.30107,227,324,0.25105,0.35110
1997,No migration background,First Stage of Tertiary Education,No,0.13136,97,324,0.09452,0.16820
1997,No migration background,Second Stage of Tertiary Education,Yes,0.38438,645,822,0.35111,0.41766
1997,No migration background,Second Stage of Tertiary Education,No,0.10691,177,822,0.08577,0.12805
1997,Direct migration background,Lower Secondary Level,Yes,0.10066,99,162,0.05418,0.14714
1997,Direct migration background,Lower Secondary Level,No,0.05477,63,162,0.01963,0.08992
1997,Direct migration background,Upper Secondary Level,Yes,0.19157,174,275,0.14497,0.23816
1997,Direct migration background,Upper Secondary Level,No,0.10184,101,275,0.06603,0.13765
1997,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.28834,34,34,0.13378,0.44290
1997,Direct migration background,Second Stage of Tertiary Education,Yes,0.31561,65,65,0.20174,0.42947
1997,Indirect migration background,Lower Secondary Level,Yes,0.22360,32,32,0.07693,0.37027
1997,Indirect migration background,Upper Secondary Level,Yes,0.31259,61,61,0.19529,0.42988
1998,No migration background,Lower Secondary Level,Yes,0.08858,182,331,0.05792,0.11924
1998,No migration background,Lower Secondary Level,No,0.06864,149,331,0.04136,0.09592
1998,No migration background,Upper Secondary Level,Yes,0.23708,1556,2280,0.21962,0.25454
1998,No migration background,Upper Secondary Level,No,0.10249,724,2280,0.09004,0.11494
1998,No migration background,Post-secondary Non-tertiary Level,Yes,0.39374,151,189,0.32389,0.46358
1998,No migration background,Post-secondary Non-tertiary Level,No,0.12259,38,189,0.07571,0.16947
1998,No migration background,First Stage of Tertiary Education,Yes,0.32384,260,355,0.27509,0.37259
1998,No migration background,First Stage of Tertiary Education,No,0.11200,95,355,0.07914,0.14485
1998,No migration background,Second Stage of Tertiary Education,Yes,0.37806,713,909,0.34652,0.40960
1998,No migration background,Second Stage of Tertiary Education,No,0.09925,196,909,0.07981,0.11870
1998,Direct migration background,Lower Secondary Level,Yes,0.10083,78,134,0.04966,0.15200
1998,Direct migration background,Lower Secondary Level,No,0.06628,56,134,0.02400,0.10856
1998,Direct migration background,Upper Secondary Level,Yes,0.18334,172,262,0.13640,0.23028
1998,Direct migration background,Upper Secondary Level,No,0.10081,90,262,0.06428,0.13734
1998,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.28777,37,37,0.13988,0.43566
1998,Direct migration background,Second Stage of Tertiary Education,Yes,0.28242,60,60,0.16755,0.39729
1998,Indirect migration background,Upper Secondary Level,Yes,0.29675,69,69,0.18817,0.40533
1999,No migration background,Lower Secondary Level,Yes,0.09892,200,318,0.06605,0.13179
1999,No migration background,Lower Secondary Level,No,0.05346,118,318,0.02870,0.07823
1999,No migration background,Upper Secondary Level,Yes,0.23884,1589,2312,0.22146,0.25622
1999,No migration background,Upper Secondary Level,No,0.10923,723,2312,0.09651,0.12195
1999,No migration background,Post-secondary Non-tertiary Level,Yes,0.36971,153,189,0.30070,0.43871
1999,No migration background,Post-secondary Non-tertiary Level,No,0.10326,36,189,0.05976,0.14675
1999,No migration background,First Stage of Tertiary Education,Yes,0.30988,251,346,0.26108,0.35867
1999,No migration background,First Stage of Tertiary Education,No,0.11801,95,346,0.08397,0.15205
1999,No migration background,Second Stage of Tertiary Education,Yes,0.37637,719,912,0.34491,0.40783
1999,No migration background,Second Stage of Tertiary Education,No,0.09601,193,912,0.07688,0.11515
1999,Direct migration background,Lower Secondary Level,Yes,0.10700,79,121,0.05169,0.16231
1999,Direct migration background,Lower Secondary Level,No,0.04513,42,121,0.00799,0.08227
1999,Direct migration background,Upper Secondary Level,Yes,0.20345,156,236,0.15198,0.25492
1999,Direct migration background,Upper Secondary Level,No,0.07855,80,236,0.04415,0.11295
1999,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.33154,38,38,0.17985,0.48323
1999,Direct migration background,Second Stage of Tertiary Education,Yes,0.29812,61,61,0.18237,0.41387
1999,Indirect migration background,Upper Secondary Level,Yes,0.32057,76,76,0.21494,0.42619
2000,No migration background,Lower Secondary Level,Yes,0.07896,220,390,0.05216,0.10576
2000,No migration background,Lower Secondary Level,No,0.06550,170,390,0.04092,0.09009
2000,No migration background,Upper Secondary Level,Yes,0.21988,2599,3857,0.20681,0.23295
2000,No migration background,Upper Secondary Level,No,0.11090,1258,3857,0.10099,0.12081
2000,No migration background,Post-secondary Non-tertiary Level,Yes,0.33083,274,369,0.28276,0.37890
2000,No migration background,Post-secondary Non-tertiary Level,No,0.10642,95,369,0.07491,0.13793
2000,No migration background,First Stage of Tertiary Education,Yes,0.29611,519,719,0.26272,0.32951
2000,No migration background,First Stage of Tertiary Education,No,0.11773,200,719,0.09416,0.14130
2000,No migration background,Second Stage of Tertiary Education,Yes,0.34450,1254,1639,0.32148,0.36751
2000,No migration background,Second Stage of Tertiary Education,No,0.10781,385,1639,0.09279,0.12283
2000,Direct migration background,Lower Secondary Level,Yes,0.08625,86,144,0.04024,0.13227
2000,Direct migration background,Lower Secondary Level,No,0.06579,58,144,0.02516,0.10643
2000,Direct migration background,Upper Secondary Level,Yes,0.17893,229,380,0.14034,0.21752
2000,Direct migration background,Upper Secondary Level,No,0.11650,151,380,0.08420,0.14880
2000,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.22138,59,96,0.13789,0.30486
2000,Direct migration background,Post-secondary Non-tertiary Level,No,0.15270,37,96,0.08037,0.22503
2000,Direct migration background,First Stage of Tertiary Education,Yes,0.33332,56,56,0.20874,0.45791
2000,Direct migration background,Second Stage of Tertiary Education,Yes,0.22307,94,135,0.15258,0.29355
2000,Direct migration background,Second Stage of Tertiary Education,No,0.11000,41,135,0.05702,0.16298
2000,Indirect migration background,Lower Secondary Level,Yes,0.12085,32,32,0.00610,0.23559
2000,Indirect migration background,Upper Secondary Level,Yes,0.29358,97,130,0.21499,0.37217
2000,Indirect migration background,Upper Secondary Level,No,0.08907,33,130,0.03991,0.13822
2001,No migration background,Lower Secondary Level,Yes,0.07935,197,197,0.04151,0.11719
2001,No migration background,Upper Secondary Level,Yes,0.23181,2462,2462,0.21513,0.24848
2001,No migration background,Post-secondary Non-tertiary Level,Yes,0.30995,249,249,0.25239,0.36751
2001,No migration background,First Stage of Tertiary Education,Yes,0.28792,447,447,0.24589,0.32994
2001,No migration background,Second Stage of Tertiary Education,Yes,0.34852,1189,1189,0.32142,0.37561
2001,Direct migration background,Lower Secondary Level,Yes,0.10945,98,98,0.04732,0.17158
2001,Direct migration background,Upper Secondary Level,Yes,0.20595,237,237,0.15435,0.25754
2001,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.21994,52,52,0.10626,0.33362
2001,Direct migration background,First Stage of Tertiary Education,Yes,0.28639,45,45,0.15281,0.41996
2001,Direct migration background,Second Stage of Tertiary Education,Yes,0.26568,97,97,0.17733,0.35404
2001,Indirect migration background,Upper Secondary Level,Yes,0.27623,88,88,0.18227,0.37019
2002,No migration background,Lower Secondary Level,Yes,0.07892,186,312,0.04895,0.10888
2002,No migration background,Lower Secondary Level,No,0.05603,126,312,0.03047,0.08160
2002,No migration background,Upper Secondary Level,Yes,0.21566,2350,3498,0.20203,0.22929
2002,No migration background,Upper Secondary Level,No,0.10547,1148,3498,0.09529,0.11565
2002,No migration background,Post-secondary Non-tertiary Level,Yes,0.33988,316,421,0.29458,0.38518
2002,No migration background,Post-secondary Non-tertiary Level,No,0.12113,105,421,0.08992,0.15233
2002,No migration background,First Stage of Tertiary Education,Yes,0.29034,481,662,0.25573,0.32494
2002,No migration background,First Stage of Tertiary Education,No,0.11633,181,662,0.09188,0.14077
2002,No migration background,Second Stage of Tertiary Education,Yes,0.34779,1590,2011,0.32697,0.36861
2002,No migration background,Second Stage of Tertiary Education,No,0.09402,421,2011,0.08127,0.10678
2002,Direct migration background,Lower Secondary Level,Yes,0.06852,62,109,0.02088,0.11617
2002,Direct migration background,Lower Secondary Level,No,0.07052,47,109,0.02224,0.11881
2002,Direct migration background,Upper Secondary Level,Yes,0.15875,182,298,0.11719,0.20031
2002,Direct migration background,Upper Secondary Level,No,0.11570,116,298,0.07932,0.15207
2002,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.16287,43,43,0.05120,0.27455
2002,Direct migration background,First Stage of Tertiary Education,Yes,0.27624,47,47,0.14702,0.40545
2002,Direct migration background,Second Stage of Tertiary Education,Yes,0.23427,114,149,0.16603,0.30251
2002,Direct migration background,Second Stage of Tertiary Education,No,0.08078,35,149,0.03688,0.12468
2002,Indirect migration background,Upper Secondary Level,Yes,0.28028,91,128,0.20216,0.35839
2002,Indirect migration background,Upper Secondary Level,No,0.11887,37,128,0.06259,0.17516
2002,Indirect migration background,Second Stage of Tertiary Education,Yes,0.50124,32,32,0.32522,0.67725
2003,No migration background,Lower Secondary Level,Yes,0.08300,194,320,0.05273,0.11328
2003,No migration background,Lower Secondary Level,No,0.05821,126,320,0.03252,0.08391
2003,No migration background,Upper Secondary Level,Yes,0.21560,2251,3345,0.20166,0.22954
2003,No migration background,Upper Secondary Level,No,0.10637,1094,3345,0.09592,0.11682
2003,No migration background,Post-secondary Non-tertiary Level,Yes,0.30911,309,424,0.26507,0.35315
