year,regtyp,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Rural regions,No,0.08943,839,2560,0.07838,0.10049
2004,Urban regions,Yes,0.18364,3463,4822,0.17271,0.19457
2004,Urban regions,No,0.07547,1359,4822,0.06801,0.08292
2004,Rural regions,Yes,0.17562,1705,2458,0.16057,0.19066
2004,Rural regions,No,0.08065,753,2458,0.06988,0.09141
2005,Urban regions,Yes,0.18715,3277,4468,0.17572,0.19859
2005,Urban regions,No,0.07294,1191,4468,0.06531,0.08056
2005,Rural regions,Yes,0.17022,1520,2279,0.15479,0.18566
2005,Rural regions,No,0.08768,759,2279,0.07607,0.09930
2006,Urban regions,Yes,0.20228,3697,4921,0.19105,0.21350
2006,Urban regions,No,0.07138,1224,4921,0.06418,0.07857
2006,Rural regions,Yes,0.18356,1744,2529,0.16847,0.19865
2006,Rural regions,No,0.08644,785,2529,0.07549,0.09739
2007,Urban regions,Yes,0.20943,3457,4521,0.19757,0.22129
2007,Urban regions,No,0.06311,1064,4521,0.05602,0.07020
2007,Rural regions,Yes,0.19017,1691,2422,0.17453,0.20580
2007,Rural regions,No,0.08588,731,2422,0.07472,0.09704
2008,Urban regions,Yes,0.21855,3335,4457,0.20641,0.23068
2008,Urban regions,No,0.07228,1122,4457,0.06467,0.07988
2008,Rural regions,Yes,0.19727,1630,2367,0.18123,0.21330
2008,Rural regions,No,0.09813,737,2367,0.08614,0.11011
2009,Urban regions,Yes,0.20605,2828,3869,0.19331,0.21880
2009,Urban regions,No,0.07406,1041,3869,0.06581,0.08231
2009,Rural regions,Yes,0.19164,1455,2168,0.17507,0.20821
2009,Rural regions,No,0.09990,713,2168,0.08728,0.11253
2010,Urban regions,Yes,0.20225,3806,5404,0.19154,0.21296
2010,Urban regions,No,0.08577,1598,5404,0.07831,0.09324
2010,Rural regions,Yes,0.18959,1971,2957,0.17546,0.20372
2010,Rural regions,No,0.10672,986,2957,0.09559,0.11785
2011,Urban regions,Yes,0.22271,4888,6429,0.21254,0.23288
2011,Urban regions,No,0.06827,1541,6429,0.06211,0.07444
2011,Rural regions,Yes,0.20753,2610,3695,0.19445,0.22061
2011,Rural regions,No,0.09190,1085,3695,0.08258,0.10121
2012,Urban regions,Yes,0.22229,4773,6556,0.21222,0.23235
2012,Urban regions,No,0.08338,1783,6556,0.07668,0.09007
2012,Rural regions,Yes,0.21289,2648,3787,0.19985,0.22593
2012,Rural regions,No,0.09297,1139,3787,0.08372,0.10222
2013,Urban regions,Yes,0.21800,5296,7186,0.20846,0.22755
2013,Urban regions,No,0.07561,1890,7186,0.06950,0.08172
2013,Rural regions,Yes,0.19855,2671,3798,0.18586,0.21123
2013,Rural regions,No,0.09104,1127,3798,0.08189,0.10019
2014,Urban regions,Yes,0.22600,4722,6451,0.21580,0.23621
2014,Urban regions,No,0.07675,1729,6451,0.07026,0.08325
2014,Rural regions,Yes,0.20607,2453,3514,0.19270,0.21945
2014,Rural regions,No,0.09181,1061,3514,0.08226,0.10136
2015,Urban regions,Yes,0.22728,4717,6085,0.21675,0.23782
2015,Urban regions,No,0.06714,1368,6085,0.06085,0.07343
2015,Rural regions,Yes,0.22960,2539,3414,0.21549,0.24371
2015,Rural regions,No,0.07906,875,3414,0.07001,0.08811
2016,Urban regions,Yes,0.23950,4472,5797,0.22852,0.25049
2016,Urban regions,No,0.06871,1325,5797,0.06219,0.07522
2016,Rural regions,Yes,0.23147,2404,3229,0.21692,0.24602
2016,Rural regions,No,0.08453,825,3229,0.07493,0.09412
2017,Urban regions,Yes,0.22127,4790,6219,0.21095,0.23159
2017,Urban regions,No,0.06481,1429,6219,0.05870,0.07093
2017,Rural regions,Yes,0.22400,2598,3516,0.21022,0.23779
2017,Rural regions,No,0.07895,918,3516,0.07004,0.08787
2018,Urban regions,Yes,0.24430,4890,6570,0.23391,0.25469
2018,Urban regions,No,0.07417,1680,6570,0.06783,0.08050
2018,Rural regions,Yes,0.23626,2574,3588,0.22235,0.25016
2018,Rural regions,No,0.09117,1014,3588,0.08175,0.10059
2019,Urban regions,Yes,0.23788,4428,5809,0.22693,0.24883
2019,Urban regions,No,0.06544,1381,5809,0.05908,0.07180
2019,Rural regions,Yes,0.23297,2408,3192,0.21830,0.24764
2019,Rural regions,No,0.08127,784,3192,0.07179,0.09075
2020,Urban regions,Yes,0.21452,4330,6757,0.20473,0.22431
2020,Urban regions,No,0.11210,2427,6757,0.10458,0.11963
2020,Rural regions,Yes,0.22083,2195,3451,0.20699,0.23467
2020,Rural regions,No,0.11567,1256,3451,0.10500,0.12634
2021,Urban regions,Yes,0.23663,3448,4751,0.22454,0.24871
2021,Urban regions,No,0.08094,1303,4751,0.07318,0.08870
2021,Rural regions,Yes,0.24874,1716,2360,0.23130,0.26619
2021,Rural regions,No,0.09359,644,2360,0.08184,0.10534
2022,Urban regions,Yes,0.25447,6086,8470,0.24519,0.26374
2022,Urban regions,No,0.09329,2384,8470,0.08709,0.09948
2022,Rural regions,Yes,0.24826,2715,3825,0.23456,0.26195
2022,Rural regions,No,0.09976,1110,3825,0.09026,0.10926
