year,migback,sex,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,Direct migration background,female,Yes,0.26289,124,577,0.22694,0.29884
1995,Direct migration background,female,No,0.73711,453,577,0.70116,0.77306
1995,Indirect migration background,male,Yes,0.32556,58,160,0.25273,0.39840
1995,Indirect migration background,male,No,0.67444,102,160,0.60160,0.74727
1995,Indirect migration background,female,Yes,0.32688,47,139,0.24861,0.40514
1995,Indirect migration background,female,No,0.67312,92,139,0.59486,0.75139
1996,No migration background,male,Yes,0.48054,1589,3258,0.46338,0.49770
1996,No migration background,male,No,0.51946,1669,3258,0.50230,0.53662
1996,No migration background,female,Yes,0.37625,979,2579,0.35755,0.39495
1996,No migration background,female,No,0.62375,1600,2579,0.60505,0.64245
1996,Direct migration background,male,Yes,0.35664,293,862,0.32464,0.38863
1996,Direct migration background,male,No,0.64336,569,862,0.61137,0.67536
1996,Direct migration background,female,Yes,0.30757,140,553,0.26907,0.34607
1996,Direct migration background,female,No,0.69243,413,553,0.65393,0.73093
1996,Indirect migration background,male,Yes,0.38072,64,171,0.30772,0.45371
1996,Indirect migration background,male,No,0.61928,107,171,0.54629,0.69228
1996,Indirect migration background,female,Yes,0.35388,52,142,0.27496,0.43281
1996,Indirect migration background,female,No,0.64612,90,142,0.56719,0.72504
1997,No migration background,male,Yes,0.72393,1554,2180,0.70516,0.74271
1997,No migration background,male,No,0.27607,626,2180,0.25729,0.29484
1997,No migration background,female,Yes,0.67766,1011,1507,0.65405,0.70126
1997,No migration background,female,No,0.32234,496,1507,0.29874,0.34595
1997,Direct migration background,male,Yes,0.66807,295,465,0.62522,0.71092
1997,Direct migration background,male,No,0.33193,170,465,0.28908,0.37478
1997,Direct migration background,female,Yes,0.70032,142,212,0.63850,0.76213
1997,Direct migration background,female,No,0.29968,70,212,0.23787,0.36150
1997,Indirect migration background,male,Yes,0.70017,65,105,0.61212,0.78823
1997,Indirect migration background,male,No,0.29983,40,105,0.21177,0.38788
1997,Indirect migration background,female,Yes,0.72560,60,60,0.61174,0.83946
1998,No migration background,male,Yes,0.73045,1794,2502,0.71306,0.74784
1998,No migration background,male,No,0.26955,708,2502,0.25216,0.28694
1998,No migration background,female,Yes,0.68138,1163,1705,0.65926,0.70351
1998,No migration background,female,No,0.31862,542,1705,0.29649,0.34074
1998,Direct migration background,male,Yes,0.69450,279,405,0.64959,0.73942
1998,Direct migration background,male,No,0.30550,126,405,0.26058,0.35041
1998,Direct migration background,female,Yes,0.66220,134,212,0.59839,0.72602
1998,Direct migration background,female,No,0.33780,78,212,0.27398,0.40161
1998,Indirect migration background,male,Yes,0.76321,77,77,0.66763,0.85879
1998,Indirect migration background,female,Yes,0.70398,54,54,0.58107,0.82688
1999,No migration background,male,Yes,0.73128,1785,2443,0.71370,0.74886
1999,No migration background,male,No,0.26872,658,2443,0.25114,0.28630
1999,No migration background,female,Yes,0.68944,1175,1698,0.66742,0.71145
1999,No migration background,female,No,0.31056,523,1698,0.28855,0.33258
1999,Direct migration background,male,Yes,0.72357,261,373,0.67812,0.76902
1999,Direct migration background,male,No,0.27643,112,373,0.23098,0.32188
1999,Direct migration background,female,Yes,0.76555,130,187,0.70467,0.82644
1999,Direct migration background,female,No,0.23445,57,187,0.17356,0.29533
1999,Indirect migration background,male,Yes,0.61966,81,119,0.53207,0.70726
1999,Indirect migration background,male,No,0.38034,38,119,0.29274,0.46793
1999,Indirect migration background,female,Yes,0.75491,61,61,0.64607,0.86375
2000,No migration background,male,Yes,0.70524,3004,4193,0.69143,0.71904
2000,No migration background,male,No,0.29476,1189,4193,0.28096,0.30857
2000,No migration background,female,Yes,0.66319,1883,2814,0.64573,0.68066
2000,No migration background,female,No,0.33681,931,2814,0.31934,0.35427
2000,Direct migration background,male,Yes,0.64472,361,562,0.60512,0.68433
2000,Direct migration background,male,No,0.35528,201,562,0.31567,0.39488
2000,Direct migration background,female,Yes,0.61865,187,306,0.56413,0.67316
2000,Direct migration background,female,No,0.38135,119,306,0.32684,0.43587
2000,Indirect migration background,male,Yes,0.73938,111,149,0.66866,0.81010
2000,Indirect migration background,male,No,0.26062,38,149,0.18990,0.33134
2000,Indirect migration background,female,Yes,0.72679,72,105,0.64115,0.81244
2000,Indirect migration background,female,No,0.27321,33,105,0.18756,0.35885
2002,No migration background,male,Yes,0.70753,2892,4007,0.69345,0.72162
2002,No migration background,male,No,0.29247,1115,4007,0.27838,0.30655
2002,No migration background,female,Yes,0.68715,2064,2958,0.67044,0.70386
2002,No migration background,female,No,0.31285,894,2958,0.29614,0.32956
2002,Direct migration background,male,Yes,0.61452,290,454,0.56969,0.65934
2002,Direct migration background,male,No,0.38548,164,454,0.34066,0.43031
2002,Direct migration background,female,Yes,0.63620,171,258,0.57738,0.69502
2002,Direct migration background,female,No,0.36380,87,258,0.30498,0.42262
2002,Indirect migration background,male,Yes,0.70773,99,139,0.63185,0.78361
2002,Indirect migration background,male,No,0.29227,40,139,0.21639,0.36815
2002,Indirect migration background,female,Yes,0.65881,80,113,0.57101,0.74662
2002,Indirect migration background,female,No,0.34119,33,113,0.25338,0.42899
2003,No migration background,male,Yes,0.72477,2742,3722,0.71042,0.73912
2003,No migration background,male,No,0.27523,980,3722,0.26088,0.28958
2003,No migration background,female,Yes,0.66970,1973,2930,0.65267,0.68673
2003,No migration background,female,No,0.33030,957,2930,0.31327,0.34733
2003,Direct migration background,male,Yes,0.63405,246,398,0.58667,0.68144
2003,Direct migration background,male,No,0.36595,152,398,0.31856,0.41333
2003,Direct migration background,female,Yes,0.69001,167,249,0.63244,0.74757
2003,Direct migration background,female,No,0.30999,82,249,0.25243,0.36756
2003,Indirect migration background,male,Yes,0.68833,96,140,0.61133,0.76533
2003,Indirect migration background,male,No,0.31167,44,140,0.23467,0.38867
2003,Indirect migration background,female,Yes,0.66732,75,117,0.58157,0.75306
2003,Indirect migration background,female,No,0.33268,42,117,0.24694,0.41843
2004,No migration background,male,Yes,0.73043,2670,3611,0.71595,0.74490
2004,No migration background,male,No,0.26957,941,3611,0.25510,0.28405
2004,No migration background,female,Yes,0.67013,1920,2816,0.65276,0.68750
2004,No migration background,female,No,0.32987,896,2816,0.31250,0.34724
2004,Direct migration background,male,Yes,0.62327,238,378,0.57436,0.67219
2004,Direct migration background,male,No,0.37673,140,378,0.32781,0.42564
2004,Direct migration background,female,Yes,0.70260,165,233,0.64378,0.76142
2004,Direct migration background,female,No,0.29740,68,233,0.23858,0.35622
2004,Indirect migration background,male,Yes,0.76159,95,130,0.68806,0.83512
2004,Indirect migration background,male,No,0.23841,35,130,0.16488,0.31194
2004,Indirect migration background,female,Yes,0.68887,80,112,0.60274,0.77500
2004,Indirect migration background,female,No,0.31113,32,112,0.22500,0.39726
2005,No migration background,male,Yes,0.72332,2425,3306,0.70807,0.73857
2005,No migration background,male,No,0.27668,881,3306,0.26143,0.29193
2005,No migration background,female,Yes,0.68095,1802,2623,0.66311,0.69879
2005,No migration background,female,No,0.31905,821,2623,0.30121,0.33689
2005,Direct migration background,male,Yes,0.67134,240,339,0.62126,0.72141
2005,Direct migration background,male,No,0.32866,99,339,0.27859,0.37874
2005,Direct migration background,female,Yes,0.60068,144,229,0.53710,0.66425
2005,Direct migration background,female,No,0.39932,85,229,0.33575,0.46290
2005,Indirect migration background,male,Yes,0.79395,116,148,0.72856,0.85933
2005,Indirect migration background,male,No,0.20605,32,148,0.14067,0.27144
2005,Indirect migration background,female,Yes,0.71050,70,102,0.62205,0.79895
2005,Indirect migration background,female,No,0.28950,32,102,0.20105,0.37795
2006,No migration background,male,Yes,0.73664,2669,3547,0.72214,0.75113
2006,No migration background,male,No,0.26336,878,3547,0.24887,0.27786
2006,No migration background,female,Yes,0.70474,2122,3007,0.68843,0.72104
2006,No migration background,female,No,0.29526,885,3007,0.27896,0.31157
2006,Direct migration background,male,Yes,0.69833,255,353,0.65038,0.74628
2006,Direct migration background,male,No,0.30167,98,353,0.25372,0.34962
2006,Direct migration background,female,Yes,0.66287,174,264,0.60573,0.72000
2006,Direct migration background,female,No,0.33713,90,264,0.28000,0.39427
2006,Indirect migration background,male,Yes,0.75044,122,122,0.67333,0.82755
2006,Indirect migration background,female,Yes,0.75415,99,99,0.66889,0.83940
2007,No migration background,male,Yes,0.76275,2573,3360,0.74836,0.77714
2007,No migration background,male,No,0.23725,787,3360,0.22286,0.25164
2007,No migration background,female,Yes,0.71273,1975,2779,0.69591,0.72956
2007,No migration background,female,No,0.28727,804,2779,0.27044,0.30409
2007,Direct migration background,male,Yes,0.78039,235,308,0.73408,0.82670
2007,Direct migration background,male,No,0.21961,73,308,0.17330,0.26592
2007,Direct migration background,female,Yes,0.72236,150,212,0.66193,0.78279
2007,Direct migration background,female,No,0.27764,62,212,0.21721,0.33807
2007,Indirect migration background,male,Yes,0.77323,120,155,0.70709,0.83936
2007,Indirect migration background,male,No,0.22677,35,155,0.16064,0.29291
2007,Indirect migration background,female,Yes,0.70315,95,129,0.62400,0.78230
2007,Indirect migration background,female,No,0.29685,34,129,0.21770,0.37600
2008,No migration background,male,Yes,0.73748,2409,3237,0.72232,0.75264
2008,No migration background,male,No,0.26252,828,3237,0.24736,0.27768
2008,No migration background,female,Yes,0.69893,1981,2804,0.68194,0.71591
2008,No migration background,female,No,0.30107,823,2804,0.28409,0.31806
2008,Direct migration background,male,Yes,0.75814,226,295,0.70919,0.80709
2008,Direct migration background,male,No,0.24186,69,295,0.19291,0.29081
2008,Direct migration background,female,Yes,0.71426,153,216,0.65387,0.77465
2008,Direct migration background,female,No,0.28574,63,216,0.22535,0.34613
2008,Indirect migration background,male,Yes,0.78117,115,153,0.71544,0.84690
2008,Indirect migration background,male,No,0.21883,38,153,0.15310,0.28456
2008,Indirect migration background,female,Yes,0.73936,81,119,0.66015,0.81856
2008,Indirect migration background,female,No,0.26064,38,119,0.18144,0.33985
2009,No migration background,male,Yes,0.73635,2087,2875,0.72024,0.75246
2009,No migration background,male,No,0.26365,788,2875,0.24754,0.27976
2009,No migration background,female,Yes,0.68883,1754,2507,0.67070,0.70695
2009,No migration background,female,No,0.31117,753,2507,0.29305,0.32930
2009,Direct migration background,male,Yes,0.68279,139,221,0.62129,0.74428
2009,Direct migration background,male,No,0.31721,82,221,0.25572,0.37871
2009,Direct migration background,female,Yes,0.63606,120,176,0.56477,0.70734
2009,Direct migration background,female,No,0.36394,56,176,0.29266,0.43523
2009,Indirect migration background,male,Yes,0.63949,94,139,0.55938,0.71960
2009,Indirect migration background,male,No,0.36051,45,139,0.28040,0.44062
2009,Indirect migration background,female,Yes,0.78048,89,89,0.69399,0.86696
2010,No migration background,male,Yes,0.68908,2709,3851,0.67446,0.70370
2010,No migration background,male,No,0.31092,1142,3851,0.29630,0.32554
2010,No migration background,female,Yes,0.66648,2272,3366,0.65055,0.68241
2010,No migration background,female,No,0.33352,1094,3366,0.31759,0.34945
2010,Direct migration background,male,Yes,0.74618,361,499,0.70795,0.78440
2010,Direct migration background,male,No,0.25382,138,499,0.21560,0.29205
2010,Direct migration background,female,Yes,0.65230,183,280,0.59642,0.70819
2010,Direct migration background,female,No,0.34770,97,280,0.29181,0.40358
2010,Indirect migration background,male,Yes,0.66072,151,218,0.59773,0.72372
2010,Indirect migration background,male,No,0.33928,67,218,0.27628,0.40227
2010,Indirect migration background,female,Yes,0.74317,101,147,0.67230,0.81404
2010,Indirect migration background,female,No,0.25683,46,147,0.18596,0.32770
2011,No migration background,male,Yes,0.75577,3450,4546,0.74328,0.76826
2011,No migration background,male,No,0.24423,1096,4546,0.23174,0.25672
2011,No migration background,female,Yes,0.71662,2977,4155,0.70292,0.73032
2011,No migration background,female,No,0.28338,1178,4155,0.26968,0.29708
2011,Direct migration background,male,Yes,0.76070,442,585,0.72609,0.79530
2011,Direct migration background,male,No,0.23930,143,585,0.20470,0.27391
2011,Direct migration background,female,Yes,0.75057,284,383,0.70718,0.79396
2011,Direct migration background,female,No,0.24943,99,383,0.20604,0.29282
2011,Indirect migration background,male,Yes,0.79405,203,258,0.74461,0.84349
2011,Indirect migration background,male,No,0.20595,55,258,0.15651,0.25539
2011,Indirect migration background,female,Yes,0.73072,142,197,0.66862,0.79282
2011,Indirect migration background,female,No,0.26928,55,197,0.20718,0.33138
2012,No migration background,male,Yes,0.73072,3344,4530,0.71780,0.74364
2012,No migration background,male,No,0.26928,1186,4530,0.25636,0.28220
2012,No migration background,female,Yes,0.70558,3032,4321,0.69199,0.71918
2012,No migration background,female,No,0.29442,1289,4321,0.28082,0.30801
2012,Direct migration background,male,Yes,0.69594,407,575,0.65831,0.73357
2012,Direct migration background,male,No,0.30406,168,575,0.26643,0.34169
2012,Direct migration background,female,Yes,0.64760,288,440,0.60291,0.69229
2012,Direct migration background,female,No,0.35240,152,440,0.30771,0.39709
2012,Indirect migration background,male,Yes,0.75845,196,262,0.70652,0.81037
2012,Indirect migration background,male,No,0.24155,66,262,0.18963,0.29348
2012,Indirect migration background,female,Yes,0.80249,154,215,0.74915,0.85583
2012,Indirect migration background,female,No,0.19751,61,215,0.14417,0.25085
2013,No migration background,male,Yes,0.73003,3088,4150,0.71652,0.74354
2013,No migration background,male,No,0.26997,1062,4150,0.25646,0.28348
2013,No migration background,female,Yes,0.72055,2875,4014,0.70667,0.73444
2013,No migration background,female,No,0.27945,1139,4014,0.26556,0.29333
2013,Direct migration background,male,Yes,0.69717,840,1200,0.67116,0.72318
2013,Direct migration background,male,No,0.30283,360,1200,0.27682,0.32884
2013,Direct migration background,female,Yes,0.69898,621,889,0.66881,0.72915
2013,Direct migration background,female,No,0.30102,268,889,0.27085,0.33119
2013,Indirect migration background,male,Yes,0.77505,318,413,0.73473,0.81537
2013,Indirect migration background,male,No,0.22495,95,413,0.18463,0.26527
2013,Indirect migration background,female,Yes,0.74897,225,318,0.70124,0.79671
2013,Indirect migration background,female,No,0.25103,93,318,0.20329,0.29876
2014,No migration background,male,Yes,0.73436,2858,3825,0.72036,0.74836
2014,No migration background,male,No,0.26564,967,3825,0.25164,0.27964
2014,No migration background,female,Yes,0.71898,2669,3815,0.70471,0.73324
2014,No migration background,female,No,0.28102,1146,3815,0.26676,0.29529
2014,Direct migration background,male,Yes,0.74569,700,959,0.71811,0.77327
2014,Direct migration background,male,No,0.25431,259,959,0.22673,0.28189
2014,Direct migration background,female,Yes,0.68752,473,723,0.65371,0.72133
2014,Direct migration background,female,No,0.31248,250,723,0.27867,0.34629
2014,Indirect migration background,male,Yes,0.74923,249,330,0.70239,0.79607
2014,Indirect migration background,male,No,0.25077,81,330,0.20393,0.29761
2014,Indirect migration background,female,Yes,0.79283,226,313,0.74786,0.83780
2014,Indirect migration background,female,No,0.20717,87,313,0.16220,0.25214
2015,No migration background,male,Yes,0.76222,2777,3563,0.74824,0.77620
2015,No migration background,male,No,0.23778,786,3563,0.22380,0.25176
2015,No migration background,female,Yes,0.76547,2717,3531,0.75149,0.77945
2015,No migration background,female,No,0.23453,814,3531,0.22055,0.24851
2015,Direct migration background,male,Yes,0.76040,787,1057,0.73465,0.78614
2015,Direct migration background,male,No,0.23960,270,1057,0.21386,0.26535
2015,Direct migration background,female,Yes,0.75280,551,770,0.72231,0.78329
2015,Direct migration background,female,No,0.24720,219,770,0.21671,0.27769
2015,Indirect migration background,male,Yes,0.71005,224,308,0.65930,0.76081
2015,Indirect migration background,male,No,0.28995,84,308,0.23919,0.34070
2015,Indirect migration background,female,Yes,0.82984,200,270,0.78494,0.87475
2015,Indirect migration background,female,No,0.17016,70,270,0.12525,0.21506
2016,No migration background,male,Yes,0.77660,2636,3343,0.76247,0.79072
2016,No migration background,male,No,0.22340,707,3343,0.20928,0.23753
2016,No migration background,female,Yes,0.75019,2625,3516,0.73588,0.76450
2016,No migration background,female,No,0.24981,891,3516,0.23550,0.26412
2016,Direct migration background,male,Yes,0.73683,660,891,0.70790,0.76576
2016,Direct migration background,male,No,0.26317,231,891,0.23424,0.29210
2016,Direct migration background,female,Yes,0.76374,543,730,0.73291,0.79458
2016,Direct migration background,female,No,0.23626,187,730,0.20542,0.26709
2016,Indirect migration background,male,Yes,0.76320,211,270,0.71240,0.81400
2016,Indirect migration background,male,No,0.23680,59,270,0.18600,0.28760
2016,Indirect migration background,female,Yes,0.77520,201,276,0.72586,0.82454
2016,Indirect migration background,female,No,0.22480,75,276,0.17546,0.27414
2017,No migration background,male,Yes,0.77927,2912,3750,0.76599,0.79254
2017,No migration background,male,No,0.22073,838,3750,0.20746,0.23401
2017,No migration background,female,Yes,0.74609,2892,3848,0.73234,0.75984
2017,No migration background,female,No,0.25391,956,3848,0.24016,0.26766
2017,Direct migration background,male,Yes,0.73962,668,909,0.71108,0.76817
2017,Direct migration background,male,No,0.26038,241,909,0.23183,0.28892
2017,Direct migration background,female,Yes,0.76818,488,671,0.73623,0.80013
2017,Direct migration background,female,No,0.23182,183,671,0.19987,0.26377
2017,Indirect migration background,male,Yes,0.75623,225,285,0.70630,0.80617
2017,Indirect migration background,male,No,0.24377,60,285,0.19383,0.29370
2017,Indirect migration background,female,Yes,0.76590,203,272,0.71549,0.81632
2017,Indirect migration background,female,No,0.23410,69,272,0.18368,0.28451
2018,No migration background,male,Yes,0.75893,2848,3799,0.74533,0.77254
2018,No migration background,male,No,0.24107,951,3799,0.22746,0.25467
2018,No migration background,female,Yes,0.73996,2863,3936,0.72625,0.75366
2018,No migration background,female,No,0.26004,1073,3936,0.24634,0.27375
2018,Direct migration background,male,Yes,0.77018,769,1065,0.74490,0.79546
2018,Direct migration background,male,No,0.22982,296,1065,0.20454,0.25510
2018,Direct migration background,female,Yes,0.70761,517,743,0.67488,0.74034
2018,Direct migration background,female,No,0.29239,226,743,0.25966,0.32512
2018,Indirect migration background,male,Yes,0.84278,246,309,0.80212,0.88343
2018,Indirect migration background,male,No,0.15722,63,309,0.11657,0.19788
2018,Indirect migration background,female,Yes,0.75447,221,306,0.70617,0.80277
2018,Indirect migration background,female,No,0.24553,85,306,0.19723,0.29383
2019,No migration background,male,Yes,0.77679,2704,3461,0.76291,0.79066
2019,No migration background,male,No,0.22321,757,3461,0.20934,0.23709
2019,No migration background,female,Yes,0.76625,2758,3667,0.75255,0.77995
2019,No migration background,female,No,0.23375,909,3667,0.22005,0.24745
2019,Direct migration background,male,Yes,0.74687,661,916,0.71870,0.77505
2019,Direct migration background,male,No,0.25313,255,916,0.22495,0.28130
2019,Direct migration background,female,Yes,0.78904,464,617,0.75682,0.82126
2019,Direct migration background,female,No,0.21096,153,617,0.17874,0.24318
2019,Indirect migration background,male,Yes,0.76919,212,283,0.72001,0.81837
2019,Indirect migration background,male,No,0.23081,71,283,0.18163,0.27999
2019,Indirect migration background,female,Yes,0.72788,197,272,0.67489,0.78087
2019,Indirect migration background,female,No,0.27212,75,272,0.21913,0.32511
2020,No migration background,male,Yes,0.68231,2376,3486,0.66685,0.69777
2020,No migration background,male,No,0.31769,1110,3486,0.30223,0.33315
2020,No migration background,female,Yes,0.65760,2438,3828,0.64257,0.67264
2020,No migration background,female,No,0.34240,1390,3828,0.32736,0.35743
2020,Direct migration background,male,Yes,0.62959,801,1339,0.60371,0.65546
2020,Direct migration background,male,No,0.37041,538,1339,0.34454,0.39629
2020,Direct migration background,female,Yes,0.53792,536,940,0.50604,0.56981
2020,Direct migration background,female,No,0.46208,404,940,0.43019,0.49396
2020,Indirect migration background,male,Yes,0.53872,190,315,0.48358,0.59386
2020,Indirect migration background,male,No,0.46128,125,315,0.40614,0.51642
2020,Indirect migration background,female,Yes,0.69575,182,298,0.64343,0.74808
2020,Indirect migration background,female,No,0.30425,116,298,0.25192,0.35657
2021,No migration background,male,Yes,0.76683,1873,2485,0.75020,0.78345
2021,No migration background,male,No,0.23317,612,2485,0.21655,0.24980
2021,No migration background,female,Yes,0.71394,1949,2715,0.69694,0.73095
2021,No migration background,female,No,0.28606,766,2715,0.26905,0.30306
2021,Direct migration background,male,Yes,0.72090,651,944,0.69228,0.74953
2021,Direct migration background,male,No,0.27910,293,944,0.25047,0.30772
2021,Direct migration background,female,Yes,0.70652,418,592,0.66980,0.74323
2021,Direct migration background,female,No,0.29348,174,592,0.25677,0.33020
2021,Indirect migration background,male,Yes,0.70379,134,186,0.63799,0.76958
2021,Indirect migration background,male,No,0.29621,52,186,0.23042,0.36201
2021,Indirect migration background,female,Yes,0.77914,137,187,0.71953,0.83876
2021,Indirect migration background,female,No,0.22086,50,187,0.16124,0.28047
2022,No migration background,male,Yes,0.74951,3016,4072,0.73620,0.76282
2022,No migration background,male,No,0.25049,1056,4072,0.23718,0.26380
2022,No migration background,female,Yes,0.71797,3093,4294,0.70451,0.73143
2022,No migration background,female,No,0.28203,1201,4294,0.26857,0.29549
2022,Direct migration background,male,Yes,0.66097,1212,1819,0.63921,0.68273
2022,Direct migration background,male,No,0.33903,607,1819,0.31727,0.36079
2022,Direct migration background,female,Yes,0.68589,985,1423,0.66177,0.71002
2022,Direct migration background,female,No,0.31411,438,1423,0.28998,0.33823
2022,Indirect migration background,male,Yes,0.76849,235,323,0.72241,0.81456
2022,Indirect migration background,male,No,0.23151,88,323,0.18544,0.27759
2022,Indirect migration background,female,Yes,0.75721,255,357,0.71267,0.80175
2022,Indirect migration background,female,No,0.24279,102,357,0.19825,0.28733
