,Unnamed: 0,year,hhtyp,regtyp,hlc0178,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
42,42,2018,Single parent,Rural regions,No,1.0,497,15384,0.88219,1.11142
43,43,2018,Couple with children,Urban regions,Yes,0.03086,85,15384,0.02251,0.03842
44,44,2018,Couple with children,Urban regions,No,0.96914,3202,15384,0.92657,1.00411
45,45,2018,Couple with children,Rural regions,Yes,0.03285,44,15384,0.0229,0.04562
46,46,2018,Couple with children,Rural regions,No,0.96715,1685,15384,0.90852,1.02211
47,47,2018,Multi-generational household,Urban regions,No,1.0,75,15384,0.81399,1.27626
48,48,2018,Multi-generational household,Rural regions,No,1.0,41,15384,0.66632,1.44762
49,49,2018,Other Combinations,Urban regions,No,1.0,162,15384,0.8323,1.1373
50,50,2018,Other Combinations,Rural regions,No,1.0,65,15384,0.77838,1.26631
51,51,2019,Single-person household,Urban regions,Yes,0.01429,51,15604,0.01054,0.01807
52,52,2019,Single-person household,Urban regions,No,0.98571,2607,15604,0.95227,1.02224
53,53,2019,Single-person household,Rural regions,No,1.0,1217,15604,0.94353,1.054
54,54,2019,Couple without children,Urban regions,Yes,0.02698,97,15604,0.02058,0.03565
55,55,2019,Couple without children,Urban regions,No,0.97302,3049,15604,0.93582,1.01483
56,56,2019,Couple without children,Rural regions,Yes,0.01677,37,15604,0.0117,0.02308
57,57,2019,Couple without children,Rural regions,No,0.98323,1772,15604,0.92464,1.04094
58,58,2019,Single parent,Urban regions,No,1.0,916,15604,0.91904,1.07543
59,59,2019,Single parent,Rural regions,No,1.0,462,15604,0.89696,1.11386
60,60,2019,Couple with children,Urban regions,Yes,0.03185,110,15604,0.02484,0.03833
61,61,2019,Couple with children,Urban regions,No,0.96815,3252,15604,0.92884,1.01554
62,62,2019,Couple with children,Rural regions,Yes,0.04132,53,15604,0.02779,0.05554
63,63,2019,Couple with children,Rural regions,No,0.95868,1696,15604,0.89013,1.0285
64,64,2019,Multi-generational household,Urban regions,No,1.0,64,15604,0.7217,1.32976
65,65,2019,Multi-generational household,Rural regions,No,1.0,38,15604,0.55615,1.57672
66,66,2019,Other Combinations,Urban regions,No,1.0,121,15604,0.82191,1.19005
67,67,2019,Other Combinations,Rural regions,No,1.0,62,15604,0.78422,1.29044
68,68,2020,Single-person household,Urban regions,Yes,0.01926,61,16213,0.01454,0.02319
69,69,2020,Single-person household,Urban regions,No,0.98074,3202,16213,0.94555,1.01351
70,70,2020,Single-person household,Rural regions,No,1.0,1317,16213,0.93633,1.056
71,71,2020,Couple without children,Urban regions,Yes,0.02692,96,16213,0.02126,0.03281
72,72,2020,Couple without children,Urban regions,No,0.97308,3192,16213,0.93838,1.01655
73,73,2020,Couple without children,Rural regions,Yes,0.0305,44,16213,0.02261,0.04051
74,74,2020,Couple without children,Rural regions,No,0.9695,1686,16213,0.91743,1.02227
75,75,2020,Single parent,Urban regions,No,1.0,876,16213,0.90531,1.07341
76,76,2020,Single parent,Rural regions,No,1.0,435,16213,0.8906,1.15696
77,77,2020,Couple with children,Urban regions,Yes,0.02961,86,16213,0.02343,0.03887
78,78,2020,Couple with children,Urban regions,No,0.97039,3159,16213,0.9233,1.00981
79,79,2020,Couple with children,Rural regions,Yes,0.04158,55,16213,0.02965,0.05961
80,80,2020,Couple with children,Rural regions,No,0.95842,1597,16213,0.8998,1.02782
81,81,2020,Multi-generational household,Urban regions,No,1.0,65,16213,0.70516,1.3408
82,82,2020,Multi-generational household,Rural regions,No,1.0,50,16213,0.60925,1.45946
83,83,2020,Other Combinations,Urban regions,No,1.0,202,16213,0.81506,1.18395
84,84,2020,Other Combinations,Rural regions,No,1.0,90,16213,0.75032,1.2935
85,85,2021,Single-person household,Urban regions,Yes,0.01649,50,10844,0.01257,0.02064
86,86,2021,Single-person household,Urban regions,No,0.98351,2202,10844,0.94154,1.02346
87,87,2021,Single-person household,Rural regions,No,1.0,924,10844,0.94162,1.06117
88,88,2021,Couple without children,Urban regions,Yes,0.02886,81,10844,0.02155,0.03583
89,89,2021,Couple without children,Urban regions,No,0.97114,2129,10844,0.92044,1.02641
90,90,2021,Couple without children,Rural regions,Yes,0.02048,39,10844,0.01489,0.02647
91,91,2021,Couple without children,Rural regions,No,0.97952,1150,10844,0.91396,1.05023
92,92,2021,Single parent,Urban regions,No,1.0,552,10844,0.8868,1.10059
93,93,2021,Single parent,Rural regions,No,1.0,313,10844,0.86847,1.13903
94,94,2021,Couple with children,Urban regions,Yes,0.02624,65,10844,0.01809,0.03644
95,95,2021,Couple with children,Urban regions,No,0.97376,2016,10844,0.91914,1.02818
96,96,2021,Couple with children,Rural regions,No,1.0,1035,10844,0.92437,1.09658
97,97,2021,Multi-generational household,Urban regions,No,1.0,47,10844,0.67082,1.52008
98,98,2021,Other Combinations,Urban regions,No,1.0,166,10844,0.83026,1.2428
99,99,2021,Other Combinations,Rural regions,No,1.0,75,10844,0.79932,1.26423
