,Unnamed: 0,year,hhtyp,rentown,hlc0178,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
70,70,2020,Single-person household,Owner,No,0.97549,1069,16211,0.92604,1.02418
71,71,2020,Single-person household,Tenant,Yes,0.01732,52,16211,0.01264,0.02213
72,72,2020,Single-person household,Tenant,No,0.98268,3450,16211,0.94748,1.0194
73,73,2020,Couple without children,Owner,Yes,0.0383,105,16211,0.0313,0.04557
74,74,2020,Couple without children,Owner,No,0.9617,2531,16211,0.92455,1.00216
75,75,2020,Couple without children,Tenant,Yes,0.01345,35,16211,0.00773,0.02087
76,76,2020,Couple without children,Tenant,No,0.98655,2347,16211,0.94375,1.05216
77,77,2020,Single parent,Owner,No,1.0,356,16211,0.87347,1.17367
78,78,2020,Single parent,Tenant,No,1.0,955,16211,0.91283,1.0781
79,79,2020,Couple with children,Owner,Yes,0.04578,116,16211,0.03587,0.0569
80,80,2020,Couple with children,Owner,No,0.95422,2573,16211,0.90493,1.00624
81,81,2020,Couple with children,Tenant,No,1.0,2183,16211,0.95627,1.05994
82,82,2020,Multi-generational household,Owner,No,1.0,52,16211,0.62594,1.38383
83,83,2020,Multi-generational household,Tenant,No,1.0,63,16211,0.65254,1.50709
84,84,2020,Other Combinations,Owner,No,1.0,89,16211,0.83269,1.20336
85,85,2020,Other Combinations,Tenant,No,1.0,203,16211,0.79323,1.23234
86,86,2021,Single-person household,Owner,Yes,0.02978,36,10889,0.02102,0.04338
87,87,2021,Single-person household,Owner,No,0.97022,826,10889,0.91987,1.03421
88,88,2021,Single-person household,Tenant,Yes,0.0135,34,10889,0.0089,0.01774
89,89,2021,Single-person household,Tenant,No,0.9865,2299,10889,0.94635,1.0258
90,90,2021,Couple without children,Owner,Yes,0.03113,80,10889,0.02481,0.03958
91,91,2021,Couple without children,Owner,No,0.96887,1831,10889,0.91558,1.0379
92,92,2021,Couple without children,Tenant,Yes,0.01825,40,10889,0.01255,0.02418
93,93,2021,Couple without children,Tenant,No,0.98175,1447,10889,0.9128,1.04682
94,94,2021,Single parent,Owner,No,1.0,232,10889,0.85495,1.16192
95,95,2021,Single parent,Tenant,No,1.0,633,10889,0.87976,1.10866
96,96,2021,Couple with children,Owner,Yes,0.03204,66,10889,0.02135,0.04449
97,97,2021,Couple with children,Owner,No,0.96796,1807,10889,0.90168,1.02933
98,98,2021,Couple with children,Tenant,No,1.0,1242,10889,0.92458,1.0756
99,99,2021,Multi-generational household,Owner,No,1.0,41,10889,0.66208,1.46732
100,100,2021,Multi-generational household,Tenant,No,1.0,34,10889,0.5143,1.65823
101,101,2021,Other Combinations,Owner,No,1.0,102,10889,0.78414,1.23346
102,102,2021,Other Combinations,Tenant,No,1.0,139,10889,0.78163,1.21058
