year,pgisced97,sex,plb0195_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1986,First Stage of Tertiary Education,male,Not compensated,0.33412,50,3208,0.33305,0.33519
1986,First Stage of Tertiary Education,female,Comp. time,1.00000,41,3208,1.00000,1.00000
1986,Second Stage of Tertiary Education,male,Comp. time,0.18488,52,3208,0.18424,0.18553
1986,Second Stage of Tertiary Education,male,Some of both,0.11186,31,3208,0.11134,0.11239
1986,Second Stage of Tertiary Education,male,Paid,0.13044,40,3208,0.12988,0.13100
1986,Second Stage of Tertiary Education,male,Not compensated,0.57281,152,3208,0.57199,0.57363
1986,Second Stage of Tertiary Education,female,Not compensated,1.00000,44,3208,1.00000,1.00000
1988,Primary Level,male,Paid,1.00000,93,3151,1.00000,1.00000
1988,Primary Level,female,Paid,1.00000,37,3151,1.00000,1.00000
1988,Lower Secondary Level,male,Comp. time,0.27036,67,3151,0.26949,0.27124
1988,Lower Secondary Level,male,Paid,0.72964,249,3151,0.72876,0.73051
1988,Lower Secondary Level,female,Comp. time,0.37680,98,3151,0.37597,0.37763
1988,Lower Secondary Level,female,Some of both,0.12586,36,3151,0.12530,0.12643
1988,Lower Secondary Level,female,Paid,0.36580,133,3151,0.36498,0.36663
1988,Lower Secondary Level,female,Not compensated,0.13154,33,3151,0.13096,0.13211
1988,Upper Secondary Level,male,Comp. time,0.28523,342,3151,0.28489,0.28557
1988,Upper Secondary Level,male,Some of both,0.14481,186,3151,0.14455,0.14508
1988,Upper Secondary Level,male,Paid,0.44140,605,3151,0.44103,0.44178
1988,Upper Secondary Level,male,Not compensated,0.12856,147,3151,0.12831,0.12881
1988,Upper Secondary Level,female,Comp. time,0.48932,280,3151,0.48878,0.48986
1988,Upper Secondary Level,female,Some of both,0.09935,57,3151,0.09903,0.09968
1988,Upper Secondary Level,female,Paid,0.24414,160,3151,0.24368,0.24461
1988,Upper Secondary Level,female,Not compensated,0.16718,98,3151,0.16677,0.16758
1988,Post-secondary Non-tertiary Level,male,Paid,1.00000,32,3151,1.00000,1.00000
1988,First Stage of Tertiary Education,male,Comp. time,0.34245,44,3151,0.34136,0.34353
1988,First Stage of Tertiary Education,male,Paid,0.33701,46,3151,0.33593,0.33809
1988,First Stage of Tertiary Education,male,Not compensated,0.32054,43,3151,0.31948,0.32161
1988,First Stage of Tertiary Education,female,Comp. time,1.00000,46,3151,1.00000,1.00000
1988,Second Stage of Tertiary Education,male,Comp. time,0.17754,51,3151,0.17693,0.17816
1988,Second Stage of Tertiary Education,male,Some of both,0.12242,35,3151,0.12190,0.12295
1988,Second Stage of Tertiary Education,male,Paid,0.09840,31,3151,0.09792,0.09888
1988,Second Stage of Tertiary Education,male,Not compensated,0.60164,151,3151,0.60085,0.60243
1988,Second Stage of Tertiary Education,female,Not compensated,1.00000,51,3151,1.00000,1.00000
1989,Primary Level,male,Paid,1.00000,88,3336,1.00000,1.00000
1989,Primary Level,female,Paid,1.00000,37,3336,1.00000,1.00000
1989,Lower Secondary Level,male,Comp. time,0.21984,60,3336,0.21911,0.22056
1989,Lower Secondary Level,male,Some of both,0.14976,51,3336,0.14914,0.15039
1989,Lower Secondary Level,male,Paid,0.63040,254,3336,0.62955,0.63125
1989,Lower Secondary Level,female,Comp. time,0.38007,104,3336,0.37929,0.38084
1989,Lower Secondary Level,female,Some of both,0.13721,46,3336,0.13666,0.13776
1989,Lower Secondary Level,female,Paid,0.34865,134,3336,0.34789,0.34941
1989,Lower Secondary Level,female,Not compensated,0.13407,37,3336,0.13353,0.13462
1989,Upper Secondary Level,male,Comp. time,0.27736,340,3336,0.27704,0.27769
1989,Upper Secondary Level,male,Some of both,0.15581,208,3336,0.15555,0.15607
1989,Upper Secondary Level,male,Paid,0.44123,648,3336,0.44087,0.44159
1989,Upper Secondary Level,male,Not compensated,0.12560,152,3336,0.12536,0.12584
1989,Upper Secondary Level,female,Comp. time,0.45579,304,3336,0.45529,0.45630
1989,Upper Secondary Level,female,Some of both,0.11122,72,3336,0.11091,0.11154
1989,Upper Secondary Level,female,Paid,0.27779,198,3336,0.27734,0.27824
1989,Upper Secondary Level,female,Not compensated,0.15520,93,3336,0.15483,0.15556
1989,First Stage of Tertiary Education,male,Comp. time,0.24887,37,3336,0.24798,0.24976
1989,First Stage of Tertiary Education,male,Some of both,0.27056,41,3336,0.26964,0.27147
1989,First Stage of Tertiary Education,male,Paid,0.26588,40,3336,0.26497,0.26678
1989,First Stage of Tertiary Education,male,Not compensated,0.21470,33,3336,0.21385,0.21554
1989,First Stage of Tertiary Education,female,Comp. time,1.00000,45,3336,1.00000,1.00000
1989,Second Stage of Tertiary Education,male,Comp. time,0.17576,50,3336,0.17516,0.17635
1989,Second Stage of Tertiary Education,male,Some of both,0.16881,45,3336,0.16823,0.16939
1989,Second Stage of Tertiary Education,male,Paid,0.10397,32,3336,0.10350,0.10444
1989,Second Stage of Tertiary Education,male,Not compensated,0.55146,143,3336,0.55069,0.55224
1989,Second Stage of Tertiary Education,female,Not compensated,1.00000,44,3336,1.00000,1.00000
1990,Primary Level,male,Paid,1.00000,81,5874,1.00000,1.00000
1990,Primary Level,female,Paid,1.00000,33,5874,1.00000,1.00000
1990,Lower Secondary Level,male,Comp. time,0.24324,86,5874,0.24257,0.24392
1990,Lower Secondary Level,male,Some of both,0.12247,52,5874,0.12196,0.12299
1990,Lower Secondary Level,male,Paid,0.63428,298,5874,0.63352,0.63504
1990,Lower Secondary Level,female,Comp. time,0.35482,118,5874,0.35412,0.35553
1990,Lower Secondary Level,female,Some of both,0.14240,58,5874,0.14188,0.14291
1990,Lower Secondary Level,female,Paid,0.38661,180,5874,0.38589,0.38732
1990,Lower Secondary Level,female,Not compensated,0.11617,37,5874,0.11570,0.11664
1990,Upper Secondary Level,male,Comp. time,0.27450,525,5874,0.27422,0.27478
1990,Upper Secondary Level,male,Some of both,0.14704,341,5874,0.14682,0.14726
1990,Upper Secondary Level,male,Paid,0.47357,1113,5874,0.47326,0.47388
1990,Upper Secondary Level,male,Not compensated,0.10489,172,5874,0.10470,0.10508
1990,Upper Secondary Level,female,Comp. time,0.48878,636,5874,0.48836,0.48919
1990,Upper Secondary Level,female,Some of both,0.12228,180,5874,0.12201,0.12255
1990,Upper Secondary Level,female,Paid,0.28896,406,5874,0.28858,0.28933
1990,Upper Secondary Level,female,Not compensated,0.09998,99,5874,0.09974,0.10023
1990,Post-secondary Non-tertiary Level,male,Paid,1.00000,44,5874,1.00000,1.00000
1990,Post-secondary Non-tertiary Level,female,Comp. time,1.00000,35,5874,1.00000,1.00000
1990,First Stage of Tertiary Education,male,Comp. time,0.28932,86,5874,0.28852,0.29012
1990,First Stage of Tertiary Education,male,Some of both,0.25171,64,5874,0.25094,0.25248
1990,First Stage of Tertiary Education,male,Paid,0.31141,94,5874,0.31059,0.31223
1990,First Stage of Tertiary Education,male,Not compensated,0.14757,31,5874,0.14694,0.14819
1990,First Stage of Tertiary Education,female,Comp. time,1.00000,60,5874,1.00000,1.00000
1990,Second Stage of Tertiary Education,male,Comp. time,0.24683,170,5874,0.24631,0.24735
1990,Second Stage of Tertiary Education,male,Some of both,0.17416,107,5874,0.17369,0.17462
1990,Second Stage of Tertiary Education,male,Paid,0.10822,78,5874,0.10784,0.10860
1990,Second Stage of Tertiary Education,male,Not compensated,0.47080,254,5874,0.47019,0.47140
1990,Second Stage of Tertiary Education,female,Comp. time,0.45087,200,5874,0.45006,0.45168
1990,Second Stage of Tertiary Education,female,Some of both,0.11098,47,5874,0.11047,0.11149
1990,Second Stage of Tertiary Education,female,Paid,0.14980,88,5874,0.14922,0.15038
1990,Second Stage of Tertiary Education,female,Not compensated,0.28836,101,5874,0.28762,0.28909
1991,Primary Level,male,Paid,1.00000,98,5478,1.00000,1.00000
1991,Primary Level,female,Paid,1.00000,39,5478,1.00000,1.00000
1991,Lower Secondary Level,male,Comp. time,0.21814,79,5478,0.21748,0.21881
1991,Lower Secondary Level,male,Some of both,0.11865,54,5478,0.11813,0.11917
1991,Lower Secondary Level,male,Paid,0.66321,287,5478,0.66245,0.66397
1991,Lower Secondary Level,female,Comp. time,0.38753,134,5478,0.38681,0.38824
1991,Lower Secondary Level,female,Some of both,0.10598,50,5478,0.10553,0.10644
1991,Lower Secondary Level,female,Paid,0.38656,169,5478,0.38584,0.38727
1991,Lower Secondary Level,female,Not compensated,0.11993,41,5478,0.11945,0.12041
1991,Upper Secondary Level,male,Comp. time,0.29452,593,5478,0.29423,0.29482
1991,Upper Secondary Level,male,Some of both,0.17003,323,5478,0.16979,0.17027
1991,Upper Secondary Level,male,Paid,0.42869,886,5478,0.42838,0.42901
1991,Upper Secondary Level,male,Not compensated,0.10675,154,5478,0.10655,0.10695
1991,Upper Secondary Level,female,Comp. time,0.47557,591,5478,0.47516,0.47598
1991,Upper Secondary Level,female,Some of both,0.12926,155,5478,0.12898,0.12954
1991,Upper Secondary Level,female,Paid,0.28277,326,5478,0.28240,0.28315
1991,Upper Secondary Level,female,Not compensated,0.11239,122,5478,0.11213,0.11266
1991,Post-secondary Non-tertiary Level,male,Comp. time,0.49718,33,5478,0.49549,0.49886
1991,Post-secondary Non-tertiary Level,male,Paid,0.50282,43,5478,0.50114,0.50451
1991,Post-secondary Non-tertiary Level,female,Comp. time,1.00000,36,5478,1.00000,1.00000
1991,First Stage of Tertiary Education,male,Comp. time,0.33460,91,5478,0.33377,0.33542
1991,First Stage of Tertiary Education,male,Some of both,0.20567,47,5478,0.20496,0.20638
1991,First Stage of Tertiary Education,male,Paid,0.29472,75,5478,0.29393,0.29552
1991,First Stage of Tertiary Education,male,Not compensated,0.16501,38,5478,0.16436,0.16566
1991,First Stage of Tertiary Education,female,Comp. time,1.00000,61,5478,1.00000,1.00000
1991,Second Stage of Tertiary Education,male,Comp. time,0.26747,157,5478,0.26693,0.26800
1991,Second Stage of Tertiary Education,male,Some of both,0.14870,83,5478,0.14827,0.14913
1991,Second Stage of Tertiary Education,male,Paid,0.13465,73,5478,0.13424,0.13506
1991,Second Stage of Tertiary Education,male,Not compensated,0.44919,249,5478,0.44858,0.44979
1991,Second Stage of Tertiary Education,female,Comp. time,0.45753,194,5478,0.45671,0.45836
1991,Second Stage of Tertiary Education,female,Some of both,0.11336,38,5478,0.11284,0.11389
1991,Second Stage of Tertiary Education,female,Paid,0.09218,42,5478,0.09170,0.09266
1991,Second Stage of Tertiary Education,female,Not compensated,0.33692,117,5478,0.33614,0.33770
1992,Primary Level,male,Paid,1.00000,75,5073,1.00000,1.00000
1992,Primary Level,female,Paid,1.00000,32,5073,1.00000,1.00000
1992,Lower Secondary Level,male,Comp. time,0.22345,71,5073,0.22276,0.22415
1992,Lower Secondary Level,male,Some of both,0.15260,55,5073,0.15200,0.15320
1992,Lower Secondary Level,male,Paid,0.62395,249,5073,0.62314,0.62476
1992,Lower Secondary Level,female,Comp. time,0.40448,135,5073,0.40374,0.40523
1992,Lower Secondary Level,female,Some of both,0.10183,44,5073,0.10137,0.10228
1992,Lower Secondary Level,female,Paid,0.36911,144,5073,0.36838,0.36984
1992,Lower Secondary Level,female,Not compensated,0.12458,44,5073,0.12408,0.12508
1992,Upper Secondary Level,male,Comp. time,0.28629,540,5073,0.28600,0.28659
1992,Upper Secondary Level,male,Some of both,0.17661,337,5073,0.17636,0.17686
1992,Upper Secondary Level,male,Paid,0.44202,861,5073,0.44170,0.44234
1992,Upper Secondary Level,male,Not compensated,0.09508,143,5073,0.09489,0.09527
1992,Upper Secondary Level,female,Comp. time,0.47403,528,5073,0.47360,0.47445
1992,Upper Secondary Level,female,Some of both,0.17381,187,5073,0.17349,0.17413
1992,Upper Secondary Level,female,Paid,0.23851,269,5073,0.23815,0.23888
1992,Upper Secondary Level,female,Not compensated,0.11365,114,5073,0.11338,0.11392
1992,Post-secondary Non-tertiary Level,male,Comp. time,1.00000,33,5073,1.00000,1.00000
1992,Post-secondary Non-tertiary Level,female,Comp. time,1.00000,35,5073,1.00000,1.00000
1992,First Stage of Tertiary Education,male,Comp. time,0.31934,74,5073,0.31855,0.32013
1992,First Stage of Tertiary Education,male,Some of both,0.26354,69,5073,0.26279,0.26429
1992,First Stage of Tertiary Education,male,Paid,0.25504,67,5073,0.25430,0.25578
1992,First Stage of Tertiary Education,male,Not compensated,0.16208,47,5073,0.16145,0.16271
1992,First Stage of Tertiary Education,female,Comp. time,1.00000,62,5073,1.00000,1.00000
1992,Second Stage of Tertiary Education,male,Comp. time,0.25425,137,5073,0.25371,0.25479
1992,Second Stage of Tertiary Education,male,Some of both,0.18450,86,5073,0.18402,0.18498
1992,Second Stage of Tertiary Education,male,Paid,0.09604,55,5073,0.09567,0.09641
1992,Second Stage of Tertiary Education,male,Not compensated,0.46521,240,5073,0.46459,0.46583
1992,Second Stage of Tertiary Education,female,Comp. time,0.51043,178,5073,0.50957,0.51129
1992,Second Stage of Tertiary Education,female,Some of both,0.11602,40,5073,0.11547,0.11657
1992,Second Stage of Tertiary Education,female,Not compensated,0.37355,122,5073,0.37272,0.37439
1993,Primary Level,male,Paid,1.00000,71,4971,1.00000,1.00000
1993,Primary Level,female,Paid,1.00000,33,4971,1.00000,1.00000
1993,Lower Secondary Level,male,Comp. time,0.18435,71,4971,0.18371,0.18498
1993,Lower Secondary Level,male,Some of both,0.18459,61,4971,0.18395,0.18523
1993,Lower Secondary Level,male,Paid,0.63106,228,4971,0.63027,0.63185
1993,Lower Secondary Level,female,Comp. time,0.40025,124,4971,0.39948,0.40102
1993,Lower Secondary Level,female,Some of both,0.09022,39,4971,0.08977,0.09067
1993,Lower Secondary Level,female,Paid,0.36869,125,4971,0.36792,0.36945
1993,Lower Secondary Level,female,Not compensated,0.14084,43,4971,0.14029,0.14139
1993,Upper Secondary Level,male,Comp. time,0.27377,477,4971,0.27348,0.27406
1993,Upper Secondary Level,male,Some of both,0.17971,341,4971,0.17946,0.17996
1993,Upper Secondary Level,male,Paid,0.42518,805,4971,0.42486,0.42550
1993,Upper Secondary Level,male,Not compensated,0.12134,169,4971,0.12113,0.12156
1993,Upper Secondary Level,female,Comp. time,0.48893,549,4971,0.48851,0.48936
1993,Upper Secondary Level,female,Some of both,0.15305,166,4971,0.15274,0.15335
1993,Upper Secondary Level,female,Paid,0.23816,266,4971,0.23779,0.23852
1993,Upper Secondary Level,female,Not compensated,0.11986,122,4971,0.11959,0.12014
1993,Post-secondary Non-tertiary Level,male,Comp. time,1.00000,35,4971,1.00000,1.00000
1993,Post-secondary Non-tertiary Level,female,Comp. time,1.00000,42,4971,1.00000,1.00000
1993,First Stage of Tertiary Education,male,Comp. time,0.35573,71,4971,0.35485,0.35660
1993,First Stage of Tertiary Education,male,Some of both,0.25242,62,4971,0.25163,0.25321
1993,First Stage of Tertiary Education,male,Paid,0.23336,57,4971,0.23259,0.23413
1993,First Stage of Tertiary Education,male,Not compensated,0.15849,35,4971,0.15783,0.15916
1993,First Stage of Tertiary Education,female,Comp. time,1.00000,67,4971,1.00000,1.00000
1993,Second Stage of Tertiary Education,male,Comp. time,0.23766,122,4971,0.23715,0.23818
1993,Second Stage of Tertiary Education,male,Some of both,0.16363,90,4971,0.16318,0.16407
1993,Second Stage of Tertiary Education,male,Paid,0.11009,59,4971,0.10971,0.11047
1993,Second Stage of Tertiary Education,male,Not compensated,0.48862,256,4971,0.48801,0.48922
1993,Second Stage of Tertiary Education,female,Comp. time,0.44807,187,4971,0.44727,0.44888
1993,Second Stage of Tertiary Education,female,Some of both,0.13979,55,4971,0.13923,0.14036
1993,Second Stage of Tertiary Education,female,Paid,0.10755,36,4971,0.10705,0.10806
1993,Second Stage of Tertiary Education,female,Not compensated,0.30458,107,4971,0.30383,0.30533
1994,Primary Level,male,Paid,1.00000,54,4885,1.00000,1.00000
1994,Primary Level,female,Paid,1.00000,31,4885,1.00000,1.00000
1994,Lower Secondary Level,male,Comp. time,0.20804,63,4885,0.20735,0.20874
1994,Lower Secondary Level,male,Some of both,0.18279,50,4885,0.18212,0.18345
1994,Lower Secondary Level,male,Paid,0.60917,195,4885,0.60833,0.61001
1994,Lower Secondary Level,female,Comp. time,0.44326,126,4885,0.44241,0.44410
1994,Lower Secondary Level,female,Some of both,0.14710,45,4885,0.14650,0.14770
1994,Lower Secondary Level,female,Paid,0.31981,101,4885,0.31902,0.32060
1994,Lower Secondary Level,female,Not compensated,0.08983,32,4885,0.08935,0.09031
1994,Upper Secondary Level,male,Comp. time,0.31505,543,4885,0.31475,0.31535
1994,Upper Secondary Level,male,Some of both,0.19215,350,4885,0.19189,0.19241
1994,Upper Secondary Level,male,Paid,0.38533,720,4885,0.38501,0.38565
1994,Upper Secondary Level,male,Not compensated,0.10747,146,4885,0.10727,0.10768
1994,Upper Secondary Level,female,Comp. time,0.51570,581,4885,0.51528,0.51611
1994,Upper Secondary Level,female,Some of both,0.15805,174,4885,0.15775,0.15835
1994,Upper Secondary Level,female,Paid,0.21992,238,4885,0.21958,0.22026
1994,Upper Secondary Level,female,Not compensated,0.10634,120,4885,0.10608,0.10659
1994,Post-secondary Non-tertiary Level,male,Comp. time,1.00000,35,4885,1.00000,1.00000
1994,Post-secondary Non-tertiary Level,female,Comp. time,1.00000,51,4885,1.00000,1.00000
1994,First Stage of Tertiary Education,male,Comp. time,0.33631,68,4885,0.33545,0.33718
1994,First Stage of Tertiary Education,male,Some of both,0.27138,65,4885,0.27057,0.27219
1994,First Stage of Tertiary Education,male,Paid,0.24204,52,4885,0.24126,0.24282
1994,First Stage of Tertiary Education,male,Not compensated,0.15027,41,4885,0.14962,0.15092
1994,First Stage of Tertiary Education,female,Comp. time,1.00000,79,4885,1.00000,1.00000
1994,Second Stage of Tertiary Education,male,Comp. time,0.23436,132,4885,0.23385,0.23486
1994,Second Stage of Tertiary Education,male,Some of both,0.19092,98,4885,0.19046,0.19139
1994,Second Stage of Tertiary Education,male,Paid,0.08505,45,4885,0.08472,0.08538
1994,Second Stage of Tertiary Education,male,Not compensated,0.48967,252,4885,0.48908,0.49027
1994,Second Stage of Tertiary Education,female,Comp. time,0.44412,184,4885,0.44334,0.44490
1994,Second Stage of Tertiary Education,female,Some of both,0.09779,47,4885,0.09732,0.09825
1994,Second Stage of Tertiary Education,female,Paid,0.11213,39,4885,0.11164,0.11263
1994,Second Stage of Tertiary Education,female,Not compensated,0.34596,128,4885,0.34521,0.34670
1995,Primary Level,male,Paid,1.00000,48,5215,1.00000,1.00000
1995,Lower Secondary Level,male,Comp. time,0.25639,76,5215,0.25561,0.25716
1995,Lower Secondary Level,male,Some of both,0.12328,49,5215,0.12270,0.12387
1995,Lower Secondary Level,male,Paid,0.62033,213,5215,0.61947,0.62120
1995,Lower Secondary Level,female,Comp. time,0.41109,118,5215,0.41022,0.41196
1995,Lower Secondary Level,female,Some of both,0.13323,40,5215,0.13263,0.13383
1995,Lower Secondary Level,female,Paid,0.35242,106,5215,0.35158,0.35327
1995,Lower Secondary Level,female,Not compensated,0.10326,31,5215,0.10272,0.10379
1995,Upper Secondary Level,male,Comp. time,0.30184,530,5215,0.30153,0.30214
1995,Upper Secondary Level,male,Some of both,0.20188,371,5215,0.20162,0.20215
1995,Upper Secondary Level,male,Paid,0.39598,782,5215,0.39566,0.39630
1995,Upper Secondary Level,male,Not compensated,0.10030,151,5215,0.10010,0.10050
1995,Upper Secondary Level,female,Comp. time,0.53303,640,5215,0.53262,0.53344
1995,Upper Secondary Level,female,Some of both,0.15680,204,5215,0.15650,0.15709
1995,Upper Secondary Level,female,Paid,0.20038,241,5215,0.20005,0.20070
1995,Upper Secondary Level,female,Not compensated,0.10980,116,5215,0.10954,0.11006
1995,Post-secondary Non-tertiary Level,male,Comp. time,0.47039,52,5215,0.46911,0.47167
1995,Post-secondary Non-tertiary Level,male,Some of both,0.32494,37,5215,0.32374,0.32614
1995,Post-secondary Non-tertiary Level,male,Paid,0.20467,35,5215,0.20364,0.20571
1995,Post-secondary Non-tertiary Level,female,Comp. time,1.00000,43,5215,1.00000,1.00000
1995,First Stage of Tertiary Education,male,Comp. time,0.27985,69,5215,0.27903,0.28066
1995,First Stage of Tertiary Education,male,Some of both,0.29265,68,5215,0.29182,0.29348
1995,First Stage of Tertiary Education,male,Paid,0.24205,59,5215,0.24127,0.24283
1995,First Stage of Tertiary Education,male,Not compensated,0.18545,48,5215,0.18475,0.18616
1995,First Stage of Tertiary Education,female,Comp. time,1.00000,88,5215,1.00000,1.00000
1995,Second Stage of Tertiary Education,male,Comp. time,0.23979,137,5215,0.23930,0.24027
1995,Second Stage of Tertiary Education,male,Some of both,0.17619,104,5215,0.17575,0.17662
1995,Second Stage of Tertiary Education,male,Paid,0.10125,58,5215,0.10091,0.10160
1995,Second Stage of Tertiary Education,male,Not compensated,0.48278,263,5215,0.48221,0.48335
1995,Second Stage of Tertiary Education,female,Comp. time,0.48443,221,5215,0.48366,0.48519
1995,Second Stage of Tertiary Education,female,Some of both,0.12135,59,5215,0.12086,0.12185
1995,Second Stage of Tertiary Education,female,Paid,0.07097,32,5215,0.07058,0.07136
1995,Second Stage of Tertiary Education,female,Not compensated,0.32325,126,5215,0.32253,0.32396
1996,Primary Level,male,Paid,1.00000,44,4978,1.00000,1.00000
1996,Lower Secondary Level,male,Comp. time,0.33180,96,4978,0.33093,0.33267
1996,Lower Secondary Level,male,Some of both,0.11982,44,4978,0.11922,0.12042
1996,Lower Secondary Level,male,Paid,0.54838,167,4978,0.54746,0.54930
1996,Lower Secondary Level,female,Comp. time,0.54628,127,4978,0.54532,0.54724
1996,Lower Secondary Level,female,Some of both,0.14500,35,4978,0.14432,0.14568
1996,Lower Secondary Level,female,Paid,0.30872,79,4978,0.30783,0.30961
