"pglfs","year","n","percent","lower_confidence","upper_confidence"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1986","141","0.0143938247652294","0.0121312930607804","0.0166563564696784"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1986","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1986","121","0.0122937002843855","0.0102005033863523","0.0143868971824187"
"Erwerbstätig","1986","6306","0.534082680809841","0.524606932105019","0.543558429514662"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1986","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1986","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1987","1899","0.173708756696391","0.166467728587051","0.180949784805731"
"NE: 65 Jahre und älter","1987","1026","0.17581487282191","0.168539370321131","0.18309037532269"
"NE: derzeit in Ausbildung","1987","555","0.0408839353541573","0.0370992068469818","0.0446686638613328"
"NE: Mutterschutz/Elternzeit (seit 1991)","1987","","","",""
"NE: im Militär-/Zivildienst","1987","51","0.00562813113505101","0.00419831787300945","0.00705794439709257"
"NE: arbeitslos registriert","1987","455","0.0348554950129397","0.0313499576447616","0.0383610323811178"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1987","117","0.0124679067691529","0.0103471288912817","0.0145886846470242"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1987","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1987","115","0.0120762906026205","0.00998867139468852","0.0141639098105525"
"Erwerbstätig","1987","6298","0.544564611607777","0.535046278562284","0.55408294465327"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1987","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1987","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1988","1860","0.173691391341158","0.166274341839406","0.181108440842909"
"NE: 65 Jahre und älter","1988","1007","0.179088701466426","0.171581931598055","0.186595471334797"
"NE: derzeit in Ausbildung","1988","496","0.0427990023216369","0.0388363197409887","0.046761684902285"
"NE: Mutterschutz/Elternzeit (seit 1991)","1988","","","",""
"NE: im Militär-/Zivildienst","1988","54","0.00595706486860127","0.00445049378342623","0.0074636359537763"
"NE: arbeitslos registriert","1988","431","0.0354857759918705","0.0318637433196123","0.0391078086641288"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1988","88","0.00921265654602066","0.00734217444272275","0.0110831386493186"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1988","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1988","99","0.0104261955318713","0.00843754752315109","0.0124148435405915"
"Erwerbstätig","1988","5987","0.543339211932416","0.533586996715062","0.553091427149769"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1988","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1988","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1989","1833","0.177285080520996","0.169688830385918","0.184881330656074"
"NE: 65 Jahre und älter","1989","979","0.176183818635616","0.168606131951297","0.183761505319935"
"NE: derzeit in Ausbildung","1989","461","0.0424432195478478","0.0384333993044615","0.046453039791234"
"NE: Mutterschutz/Elternzeit (seit 1991)","1989","","","",""
"NE: im Militär-/Zivildienst","1989","45","0.00452531896374465","0.0031903284393089","0.00586030948818041"
"NE: arbeitslos registriert","1989","309","0.0274552714378603","0.0242051009760056","0.030705441899715"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1989","108","0.0115912400987825","0.00946225942119225","0.0137202207763728"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1989","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1989","94","0.00964572453624711","0.00770170245289489","0.0115897466195993"
"Erwerbstätig","1989","5881","0.550870326258906","0.540976847167263","0.560763805350548"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1989","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1989","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1990","2085","0.152598780087752","0.146636136152029","0.158561424023476"
"NE: 65 Jahre und älter","1990","1418","0.168173152539945","0.161971411871055","0.174374893208835"
"NE: derzeit in Ausbildung","1990","522","0.0340903680177087","0.0310815016787553","0.037099234356662"
"NE: Mutterschutz/Elternzeit (seit 1991)","1990","","","",""
"NE: im Militär-/Zivildienst","1990","52","0.00384869950758228","0.00282201157417501","0.00487538744098956"
"NE: arbeitslos registriert","1990","298","0.0207816788599076","0.0184163099594029","0.0231470477604123"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1990","203","0.0162371019428392","0.0141414542145665","0.018332749671112"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1990","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1990","187","0.013703764092901","0.0117760508660508","0.0156314773197512"
"Erwerbstätig","1990","9207","0.590566454951364","0.58241293945837","0.598719970444358"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1990","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1990","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1991","1919","0.143772964001774","0.137891129496272","0.149654798507275"
"NE: 65 Jahre und älter","1991","1422","0.174499519692819","0.168136906782473","0.180862132603165"
"NE: derzeit in Ausbildung","1991","527","0.0340167344285401","0.0309778734643216","0.0370555953927586"
"NE: Mutterschutz/Elternzeit (seit 1991)","1991","187","0.0117386638435048","0.0099330496720633","0.0135442780149464"
"NE: im Militär-/Zivildienst","1991","58","0.0042592419207811","0.00316750244138598","0.00535098140017623"
"NE: arbeitslos registriert","1991","565","0.0317379280062955","0.0287991589062562","0.0346766971063347"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1991","136","0.0118215028631338","0.0100096047829945","0.013633400943273"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1991","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1991","127","0.00994348157394703","0.00828014954762437","0.0116068136002697"
"Erwerbstätig","1991","8728","0.578209963669205","0.569931101294659","0.586488826043751"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1991","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1991","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1992","1894","0.145289473360299","0.139322268972352","0.151256677748246"
"NE: 65 Jahre und älter","1992","1426","0.175767450183092","0.169322220192615","0.182212680173569"
"NE: derzeit in Ausbildung","1992","570","0.0353106510358888","0.032185356759761","0.0384359453120166"
"NE: Mutterschutz/Elternzeit (seit 1991)","1992","194","0.0128431661292848","0.0109365053165793","0.0147498269419902"
"NE: im Militär-/Zivildienst","1992","49","0.00364998410776058","0.00262881947456878","0.00467114874095238"
"NE: arbeitslos registriert","1992","802","0.0463310304441527","0.0427716114147141","0.0498904494735913"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1992","164","0.0138089562394753","0.0118328728569918","0.0157850396219589"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1992","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1992","152","0.0118611971302253","0.0100279646166196","0.013694429643831"
"Erwerbstätig","1992","8146","0.555138091369822","0.546723027110471","0.563553155629172"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1992","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1992","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1993","1888","0.143703260218729","0.13771428773314","0.149692232704317"
"NE: 65 Jahre und älter","1993","1459","0.178884856642331","0.17234157398369","0.185428139300972"
"NE: derzeit in Ausbildung","1993","517","0.0333369575485792","0.0302721204179901","0.0364017946791682"
"NE: Mutterschutz/Elternzeit (seit 1991)","1993","185","0.0105524108515296","0.00880787818814081","0.0122969435149184"
"NE: im Militär-/Zivildienst","1993","44","0.00344534545131816","0.0024449451595842","0.00444574574305211"
"NE: arbeitslos registriert","1993","849","0.0510809003683953","0.0473220873016921","0.0548397134350986"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1993","184","0.0158561509181116","0.0137234250399466","0.0179888767962766"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1993","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1993","135","0.0109152922349443","0.00914134258347864","0.01268924188641"
"Erwerbstätig","1993","7918","0.552224825766063","0.543735077142669","0.560714574389457"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1993","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1993","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1994","1805","0.141600932561801","0.135595310959421","0.147606554164181"
"NE: 65 Jahre und älter","1994","1467","0.180244833165823","0.173623372810682","0.186866293520964"
"NE: derzeit in Ausbildung","1994","489","0.0312091891537295","0.02821391528417","0.034204463023289"
"NE: Mutterschutz/Elternzeit (seit 1991)","1994","193","0.0113209881592921","0.00949856126777624","0.013143415050808"
"NE: im Militär-/Zivildienst","1994","55","0.00384297586784238","0.00277717021547769","0.00490878152020707"
"NE: arbeitslos registriert","1994","931","0.0589667258503667","0.054908966504306","0.0630244851964273"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1994","212","0.0181675401595811","0.0158669087374553","0.0204681715817068"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1994","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1994","212","0.0184111058765201","0.0160953912142188","0.0207268205388213"
"Erwerbstätig","1994","7582","0.536235709205043","0.527645439328159","0.544825979081928"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1994","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1994","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1995","1770","0.136609347088305","0.130788180529232","0.142430513647377"
"NE: 65 Jahre und älter","1995","1503","0.182366546995581","0.175821420262723","0.188911673728439"
"NE: derzeit in Ausbildung","1995","554","0.0340028596232157","0.0309309262771011","0.0370747929693303"
"NE: Mutterschutz/Elternzeit (seit 1991)","1995","282","0.0170974135604707","0.0149001275335819","0.0192946995873595"
"NE: im Militär-/Zivildienst","1995","48","0.00358278781540879","0.00257004935956431","0.00459552627125326"
"NE: arbeitslos registriert","1995","912","0.0579819926943377","0.0540206508873444","0.061943334501331"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1995","190","0.0166616808021405","0.0144920939849235","0.0188312676193574"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1995","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1995","226","0.0168854482177573","0.0147015896672495","0.019069306768265"
"Erwerbstätig","1995","7886","0.534811923202784","0.52635755857605","0.543266287829518"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1995","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1995","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1996","1760","0.136966881986277","0.131084950649313","0.14284881332324"
"NE: 65 Jahre und älter","1996","1495","0.183464871383931","0.176843280685599","0.190086462082264"
"NE: derzeit in Ausbildung","1996","479","0.0294647234446355","0.0265716778225673","0.0323577690667037"
"NE: Mutterschutz/Elternzeit (seit 1991)","1996","229","0.0133061041954618","0.0113458377064259","0.0152663706844978"
"NE: im Militär-/Zivildienst","1996","38","0.00273189827059685","0.00183892869839556","0.00362486784279815"
"NE: arbeitslos registriert","1996","898","0.059453539677858","0.0554079911061036","0.0634990882496123"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1996","283","0.0221284389181199","0.0196118357934027","0.0246450420428371"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1996","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1996","262","0.0201573179531951","0.017752993990633","0.0225616419157572"
"Erwerbstätig","1996","7681","0.532326224169925","0.523790136344184","0.540862311995665"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1996","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1996","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1997","1702","0.135865682009271","0.129956241039008","0.141775122979533"
"NE: 65 Jahre und älter","1997","1532","0.187002714351575","0.180278068944661","0.193727359758489"
"NE: derzeit in Ausbildung","1997","492","0.0310233872852821","0.0280331741802964","0.0340136003902677"
"NE: Mutterschutz/Elternzeit (seit 1991)","1997","237","0.0156820309031346","0.0135392895800193","0.0178247722262498"
"NE: im Militär-/Zivildienst","1997","47","0.00300768609299826","0.00206327072670044","0.00395210145929608"
"NE: arbeitslos registriert","1997","916","0.0625329195118937","0.0583571814175191","0.0667086576062682"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1997","283","0.021502097362459","0.0190004778982714","0.0240037168266466"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1997","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1997","276","0.0213115998172089","0.0188208441193761","0.0238023555150417"
"Erwerbstätig","1997","7430","0.522071882666178","0.513457040431731","0.530686724900624"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1997","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1997","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1998","1941","0.139022352331763","0.133357632902237","0.144687071761289"
"NE: 65 Jahre und älter","1998","1800","0.185054997078807","0.178696496594622","0.191413497562993"
"NE: derzeit in Ausbildung","1998","554","0.0324448869125381","0.0295438641382207","0.0353459096868555"
"NE: Mutterschutz/Elternzeit (seit 1991)","1998","266","0.0165210293283533","0.0144339390277517","0.0186081196289548"
"NE: im Militär-/Zivildienst","1998","43","0.00242229035067438","0.00161741872476878","0.00322716197657997"
"NE: arbeitslos registriert","1998","984","0.0589747696216234","0.0551175540614621","0.0628319851817846"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1998","272","0.0216516505553717","0.0192686046267314","0.0240346964840119"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1998","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1998","311","0.020964205987266","0.0186184726292343","0.0233099393452977"
"Erwerbstätig","1998","8158","0.522943817833603","0.514765717575768","0.531121918091438"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1998","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1998","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1999","1788","0.128625785207711","0.123033835424132","0.134217734991291"
"NE: 65 Jahre und älter","1999","1735","0.186095095161707","0.179594528933558","0.192595661389856"
"NE: derzeit in Ausbildung","1999","494","0.0291071655535595","0.0262992599923769","0.031915071114742"
"NE: Mutterschutz/Elternzeit (seit 1991)","1999","279","0.0170792098130265","0.0149150464606604","0.0192433731653926"
"NE: im Militär-/Zivildienst","1999","","","",""
"NE: arbeitslos registriert","1999","793","0.0488989949436289","0.0452968583461501","0.0525011315411077"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1999","224","0.0171670381164263","0.0149974143307999","0.0193366619020528"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1999","135","0.0135691212415793","0.0116366809593057","0.015501561523853"
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1999","215","0.0164539946421997","0.0143291366718996","0.0185788526124998"
"Erwerbstätig","1999","8089","0.541917157950797","0.533595011493315","0.550239304408279"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1999","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1999","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","2000","3336","0.132585991454685","0.128319457178952","0.136852525730417"
"NE: 65 Jahre und älter","2000","3523","0.190958526540947","0.186013505738318","0.195903547343576"
"NE: derzeit in Ausbildung","2000","880","0.0311167755927053","0.0289323049377682","0.0333012462476424"
"NE: Mutterschutz/Elternzeit (seit 1991)","2000","504","0.0170378525191974","0.0154097227122377","0.018665982326157"
"NE: im Militär-/Zivildienst","2000","","","",""
"NE: arbeitslos registriert","2000","1227","0.0421725594862503","0.0396440078900372","0.0447011110824634"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","2000","383","0.0153436242602907","0.0137972324929652","0.0168900160276161"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","2000","180","0.00655488766508035","0.00553964989101952","0.00757012543914118"
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","2000","365","0.0139991051588964","0.0125210113587848","0.015477198959008"
"Erwerbstätig","2000","13743","0.544236415422527","0.537970611320574","0.55050221952448"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","2000","102","0.00494973111041587","0.00406680061520176","0.00583266160562998"
"NE: aber bezahlte Nebentätigkeit (seit 2017)","2000","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","2001","2849","0.123132365689714","0.118796568690956","0.127468162688471"
"NE: 65 Jahre und älter","2001","3291","0.192939273769936","0.187732373791494","0.198146173748378"
"NE: derzeit in Ausbildung","2001","771","0.0293561179685682","0.0271287340416156","0.0315835018955208"
"NE: Mutterschutz/Elternzeit (seit 1991)","2001","455","0.0171460571873554","0.0154331160687813","0.0188589983059296"
"NE: im Militär-/Zivildienst","2001","","","",""
"NE: arbeitslos registriert","2001","1121","0.0454933883329395","0.0427437256409643","0.0482430510249146"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","2001","360","0.0163810786642273","0.0147061338842433","0.0180560234442114"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","2001","222","0.0102342959792567","0.00890625647006459","0.0115623354884489"
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","2001","358","0.015765937320209","0.0141222284382457","0.0174096462021724"
"Erwerbstätig","2001","12542","0.545229736981876","0.538659188787906","0.551800285175845"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","2001","82","0.00383669562882307","0.00302094061457117","0.00465245064307496"
"NE: aber bezahlte Nebentätigkeit (seit 2017)","2001","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","2002","2836","0.122036201539638","0.117820308457744","0.126252094621532"
"NE: 65 Jahre und älter","2002","3432","0.199022158755334","0.193879734419346","0.204164583091321"
"NE: derzeit in Ausbildung","2002","883","0.0316383634667398","0.0293839543265819","0.0338927726068978"
"NE: Mutterschutz/Elternzeit (seit 1991)","2002","398","0.0159891225090813","0.0143735769572307","0.0176046680609318"
"NE: im Militär-/Zivildienst","2002","","","",""
"NE: arbeitslos registriert","2002","1117","0.0504035181850665","0.0475857392549998","0.0532212971151333"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","2002","410","0.0163029243007757","0.0146718626027794","0.017933985998772"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","2002","231","0.00922980476644858","0.00799814808457421","0.0104614614483229"
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","2002","338","0.014447962520424","0.0129110468933827","0.0159848781474654"
"Erwerbstätig","2002","13313","0.532211164758479","0.525784674407562","0.538637655109396"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","2002","189","0.00846434701268148","0.00728441267313925","0.0096442813522237"
"NE: aber bezahlte Nebentätigkeit (seit 2017)","2002","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","2003","2672","0.117517532158697","0.113290656135556","0.121744408181838"
"NE: 65 Jahre und älter","2003","3440","0.198692288989572","0.193455014901061","0.203929563078082"
"NE: derzeit in Ausbildung","2003","876","0.0331198680608969","0.0307710696059527","0.035468666515841"
"NE: Mutterschutz/Elternzeit (seit 1991)","2003","350","0.0162461501904052","0.0145868170393744","0.0179054833414361"
"NE: im Militär-/Zivildienst","2003","","","",""
"NE: arbeitslos registriert","2003","1218","0.057293815540161","0.0542434127724756","0.0603442183078465"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","2003","386","0.0158245038387411","0.0141864941721109","0.0174625135053712"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","2003","180","0.00816202008881353","0.00698106241544648","0.00934297776218057"
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","2003","359","0.0152434505318952","0.0136353202970774","0.0168515807667131"
"Erwerbstätig","2003","12572","0.524286547240608","0.517731554590022","0.530841539891195"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","2003","218","0.0127696789476821","0.0112959610175506","0.0142433968778136"
"NE: aber bezahlte Nebentätigkeit (seit 2017)","2003","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","2004","2458","0.110703390014633","0.10653198808041","0.114874791948856"
"NE: 65 Jahre und älter","2004","3543","0.206865598962303","0.201480473936194","0.212250723988412"
"NE: derzeit in Ausbildung","2004","976","0.0363739275106465","0.0338849118499955","0.0388629431712975"
"NE: Mutterschutz/Elternzeit (seit 1991)","2004","339","0.0147389259153731","0.01313683617198","0.0163410156587662"
"NE: im Militär-/Zivildienst","2004","","","",""
"NE: arbeitslos registriert","2004","1231","0.0622114693832184","0.0590002797900652","0.0654226589763715"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","2004","338","0.0152879339720416","0.0136567336872564","0.0169191342568267"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","2004","162","0.00778072361717865","0.0066125911791285","0.00894885605522881"
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","2004","274","0.0123043629591156","0.0108387496701683","0.0137699762480629"
"Erwerbstätig","2004","12186","0.519913426455935","0.51327135480343","0.526555498108441"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","2004","216","0.0134828616454334","0.0119495811331492","0.0150161421577176"
"NE: aber bezahlte Nebentätigkeit (seit 2017)","2004","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","2005","2194","0.100075890764875","0.0959988183566013","0.104152963173148"
"NE: 65 Jahre und älter","2005","3601","0.206530827864396","0.201031137730613","0.21203051799818"
"NE: derzeit in Ausbildung","2005","937","0.0380170028881837","0.0354189177129277","0.0406150880634397"
"NE: Mutterschutz/Elternzeit (seit 1991)","2005","338","0.0151973553241632","0.013535323402157","0.0168593872461694"
"NE: im Militär-/Zivildienst","2005","","","",""
"NE: arbeitslos registriert","2005","1145","0.0613428199698086","0.0580828310751098","0.0646028088645074"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","2005","356","0.0182933896692809","0.0164727722263876","0.0201140071121743"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","2005","197","0.00880535229168977","0.00753614198205224","0.0100745626013273"
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","2005","286","0.0137252631099512","0.0121445973614817","0.0153059288584208"
"Erwerbstätig","2005","11525","0.526913695063661","0.520130712819312","0.53369667730801"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","2005","223","0.0107557947172258","0.00935442167522403","0.0121571677592275"
"NE: aber bezahlte Nebentätigkeit (seit 2017)","2005","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","2006","2343","0.100180108857699","0.0962465414740409","0.104113676241358"
"NE: 65 Jahre und älter","2006","4226","0.213402206322348","0.208034436746045","0.21876997589865"
"NE: derzeit in Ausbildung","2006","930","0.0348644318125885","0.032461156604431","0.037267707020746"
"NE: Mutterschutz/Elternzeit (seit 1991)","2006","386","0.0176879591719947","0.0159610016822672","0.0194149166617222"
"NE: im Militär-/Zivildienst","2006","","","",""
"NE: arbeitslos registriert","2006","1245","0.0619311257094644","0.0587732873205325","0.0650889640983962"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","2006","309","0.013081058800952","0.011592451170087","0.0145696664318171"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","2006","184","0.0083699818841222","0.00717639196695526","0.00956357180128914"
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","2006","255","0.0124656550845787","0.0110120323479486","0.0139192778212089"
"Erwerbstätig","2006","12219","0.524727811356039","0.518185122127206","0.531270500584873"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","2006","275","0.0130106910060032","0.0115260397310942","0.0144953422809122"
"NE: aber bezahlte Nebentätigkeit (seit 2017)","2006","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","2007","1979","0.0907637769163916","0.086875158737371","0.0946523950954122"
"NE: 65 Jahre und älter","2007","4112","0.215000123089315","0.209439098617306","0.220561147561325"
"NE: derzeit in Ausbildung","2007","922","0.0376270301688027","0.0350511696847488","0.0402028906528567"
