"pglfs","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","184","0.255031533089647","0.222672347120868","0.287390719058425"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","31","0.164681676182007","0.106103428750305","0.223259923613709"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Baden-Wuerttemberg","kein Migrationshintergrund","268","0.190479012980076","0.169539911643468","0.211418114316683"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Baden-Wuerttemberg","direkter Migrationshintergrund","187","0.213202395219657","0.186324626155167","0.240080164284147"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Baden-Wuerttemberg","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Bayern","kein Migrationshintergrund","333","0.198588752176347","0.179180167292691","0.217997337060003"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Bayern","direkter Migrationshintergrund","88","0.253864247390055","0.214092115452876","0.293636379327235"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Bayern","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Saarland","kein Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Saarland","direkter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Saarland","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Berlin","kein Migrationshintergrund","45","0.15262793979307","0.11137919319471","0.193876686391429"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Berlin","direkter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Berlin","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Brandenburg","kein Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Brandenburg","direkter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Brandenburg","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Sachsen","kein Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Sachsen","direkter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Sachsen","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Sachsen-Anhalt","kein Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Thueringen","kein Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Thueringen","direkter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Thueringen","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Schleswig-Holstein","kein Migrationshintergrund","40","0.160501627115254","0.121598484335204","0.199404769895303"
"NE: 65 Jahre und älter","1984","Schleswig-Holstein","direkter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Hamburg","kein Migrationshintergrund","45","0.268661129669169","0.210087990912059","0.32723426842628"
"NE: 65 Jahre und älter","1984","Hamburg","direkter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Hamburg","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Niedersachsen","kein Migrationshintergrund","148","0.19053912060234","0.166531918741736","0.214546322462944"
"NE: 65 Jahre und älter","1984","Niedersachsen","direkter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Niedersachsen","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Bremen","kein Migrationshintergrund","32","0.384199996287192","0.28838598653524","0.480014006039145"
"NE: 65 Jahre und älter","1984","Bremen","direkter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Bremen","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Nordrhein-Westfalen","kein Migrationshintergrund","262","0.159973739251814","0.144910160225876","0.175037318277753"
"NE: 65 Jahre und älter","1984","Nordrhein-Westfalen","direkter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Nordrhein-Westfalen","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Hessen","kein Migrationshintergrund","96","0.171381096168188","0.144711939315766","0.198050253020611"
"NE: 65 Jahre und älter","1984","Hessen","direkter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Hessen","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","105","0.184626010991585","0.155821760984664","0.213430260998506"
"NE: 65 Jahre und älter","1984","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Baden-Wuerttemberg","kein Migrationshintergrund","199","0.19362886241273","0.172558454140434","0.214699270685027"
"NE: 65 Jahre und älter","1984","Baden-Wuerttemberg","direkter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Baden-Wuerttemberg","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Bayern","kein Migrationshintergrund","221","0.180532470310113","0.161819946391023","0.199244994229204"
"NE: 65 Jahre und älter","1984","Bayern","direkter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Bayern","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Saarland","kein Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Saarland","direkter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Saarland","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Berlin","kein Migrationshintergrund","45","0.225467124494669","0.177535935040674","0.273398313948663"
"NE: 65 Jahre und älter","1984","Berlin","direkter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Berlin","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Brandenburg","kein Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Brandenburg","direkter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Brandenburg","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Sachsen","kein Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Sachsen","direkter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Sachsen","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Sachsen-Anhalt","kein Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Thueringen","kein Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Thueringen","direkter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Thueringen","indirekter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Schleswig-Holstein","kein Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Schleswig-Holstein","direkter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Hamburg","kein Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Hamburg","direkter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Hamburg","indirekter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Niedersachsen","kein Migrationshintergrund","87","0.0757881876808613","0.059609695173675","0.0919666801880475"
"NE: derzeit in Ausbildung","1984","Niedersachsen","direkter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Niedersachsen","indirekter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Bremen","kein Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Bremen","direkter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Bremen","indirekter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Nordrhein-Westfalen","kein Migrationshintergrund","166","0.0688117865273068","0.0584100094439119","0.0792135636107017"
"NE: derzeit in Ausbildung","1984","Nordrhein-Westfalen","direkter Migrationshintergrund","62","0.0678850396147185","0.0519643980600037","0.0838056811694332"
"NE: derzeit in Ausbildung","1984","Nordrhein-Westfalen","indirekter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Hessen","kein Migrationshintergrund","52","0.0584940207576505","0.0418860073140855","0.0751020342012156"
"NE: derzeit in Ausbildung","1984","Hessen","direkter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Hessen","indirekter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","37","0.0499657280579739","0.0337909828495591","0.0661404732663887"
"NE: derzeit in Ausbildung","1984","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Baden-Wuerttemberg","kein Migrationshintergrund","74","0.0533775349887072","0.0413911540225784","0.065363915954836"
"NE: derzeit in Ausbildung","1984","Baden-Wuerttemberg","direkter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Baden-Wuerttemberg","indirekter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Bayern","kein Migrationshintergrund","79","0.0437027274489995","0.0337569311408992","0.0536485237570999"
"NE: derzeit in Ausbildung","1984","Bayern","direkter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Bayern","indirekter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Saarland","kein Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Saarland","direkter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Saarland","indirekter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Berlin","kein Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Berlin","direkter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Berlin","indirekter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Brandenburg","kein Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Brandenburg","direkter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Brandenburg","indirekter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Sachsen","kein Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Sachsen","direkter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Sachsen","indirekter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Sachsen-Anhalt","kein Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Thueringen","kein Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Thueringen","direkter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","Thueringen","indirekter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Schleswig-Holstein","kein Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Schleswig-Holstein","direkter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Hamburg","kein Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Hamburg","direkter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Hamburg","indirekter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Niedersachsen","kein Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Niedersachsen","direkter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Niedersachsen","indirekter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Bremen","kein Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Bremen","direkter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Bremen","indirekter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Nordrhein-Westfalen","kein Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Nordrhein-Westfalen","direkter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Nordrhein-Westfalen","indirekter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Hessen","kein Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Hessen","direkter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Hessen","indirekter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Baden-Wuerttemberg","kein Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Baden-Wuerttemberg","direkter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Baden-Wuerttemberg","indirekter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Bayern","kein Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Bayern","direkter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Bayern","indirekter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Saarland","kein Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Saarland","direkter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Saarland","indirekter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Berlin","kein Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Berlin","direkter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Berlin","indirekter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Brandenburg","kein Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Brandenburg","direkter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Brandenburg","indirekter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Sachsen","kein Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Sachsen","direkter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Sachsen","indirekter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Sachsen-Anhalt","kein Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Thueringen","kein Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Thueringen","direkter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Thueringen","indirekter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Schleswig-Holstein","kein Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Schleswig-Holstein","direkter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Hamburg","kein Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Hamburg","direkter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Hamburg","indirekter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Niedersachsen","kein Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Niedersachsen","direkter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Niedersachsen","indirekter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Bremen","kein Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Bremen","direkter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Bremen","indirekter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Nordrhein-Westfalen","kein Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Nordrhein-Westfalen","direkter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Nordrhein-Westfalen","indirekter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Hessen","kein Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Hessen","direkter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Hessen","indirekter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Baden-Wuerttemberg","kein Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Baden-Wuerttemberg","direkter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Baden-Wuerttemberg","indirekter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Bayern","kein Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Bayern","direkter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Bayern","indirekter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Saarland","kein Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Saarland","direkter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Saarland","indirekter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Berlin","kein Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Berlin","direkter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Berlin","indirekter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Brandenburg","kein Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Brandenburg","direkter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Brandenburg","indirekter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Sachsen","kein Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Sachsen","direkter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Sachsen","indirekter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Sachsen-Anhalt","kein Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Thueringen","kein Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Thueringen","direkter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","Thueringen","indirekter Migrationshintergrund","","","",""
"NE: arbeitslos registriert","1984","Schleswig-Holstein","kein Migrationshintergrund","","","",""
"NE: arbeitslos registriert","1984","Schleswig-Holstein","direkter Migrationshintergrund","","","",""
"NE: arbeitslos registriert","1984","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"NE: arbeitslos registriert","1984","Hamburg","kein Migrationshintergrund","","","",""
"NE: arbeitslos registriert","1984","Hamburg","direkter Migrationshintergrund","","","",""
"NE: arbeitslos registriert","1984","Hamburg","indirekter Migrationshintergrund","","","",""
"NE: arbeitslos registriert","1984","Niedersachsen","kein Migrationshintergrund","33","0.0318487599230326","0.021114566906146","0.0425829529399192"
"NE: arbeitslos registriert","1984","Niedersachsen","direkter Migrationshintergrund","","","",""
"NE: arbeitslos registriert","1984","Niedersachsen","indirekter Migrationshintergrund","","","",""
"NE: arbeitslos registriert","1984","Bremen","kein Migrationshintergrund","","","",""
"NE: arbeitslos registriert","1984","Bremen","direkter Migrationshintergrund","","","",""
"NE: arbeitslos registriert","1984","Bremen","indirekter Migrationshintergrund","","","",""
"NE: arbeitslos registriert","1984","Nordrhein-Westfalen","kein Migrationshintergrund","70","0.0296460611781546","0.0226764912912976","0.0366156310650115"
"NE: arbeitslos registriert","1984","Nordrhein-Westfalen","direkter Migrationshintergrund","62","0.0759479406650545","0.0591813404817045","0.0927145408484045"
"NE: arbeitslos registriert","1984","Nordrhein-Westfalen","indirekter Migrationshintergrund","","","",""
"NE: arbeitslos registriert","1984","Hessen","kein Migrationshintergrund","","","",""
"NE: arbeitslos registriert","1984","Hessen","direkter Migrationshintergrund","36","0.0648546612087645","0.0426610652718424","0.0870482571456866"
"NE: arbeitslos registriert","1984","Hessen","indirekter Migrationshintergrund","","","",""
"NE: arbeitslos registriert","1984","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","","","",""
"NE: arbeitslos registriert","1984","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","","","",""
"NE: arbeitslos registriert","1984","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","",""
"NE: arbeitslos registriert","1984","Baden-Wuerttemberg","kein Migrationshintergrund","","","",""
"NE: arbeitslos registriert","1984","Baden-Wuerttemberg","direkter Migrationshintergrund","30","0.0269290905863738","0.0163060521690514","0.0375521290036963"
"NE: arbeitslos registriert","1984","Baden-Wuerttemberg","indirekter Migrationshintergrund","","","",""
"NE: arbeitslos registriert","1984","Bayern","kein Migrationshintergrund","41","0.0255107932731233","0.0178400167659211","0.0331815697803255"
