"pglfs","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1985","Westdeutschland, alte Bundeslaender","maennlich","64","0.0132340036368594","0.0102023188956759","0.0162656883780429"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1985","Westdeutschland, alte Bundeslaender","weiblich","54","0.0107310121807034","0.0080401323141815","0.0134218920472254"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1985","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1985","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1985","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1985","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Erwerbstätig","1985","Westdeutschland, alte Bundeslaender","maennlich","4017","0.678631807243096","0.66624241861269","0.691021195873503"
"Erwerbstätig","1985","Westdeutschland, alte Bundeslaender","weiblich","2514","0.400876144913441","0.388077022857499","0.413675266969382"
"Erwerbstätig","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Erwerbstätig","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1985","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1985","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1985","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1985","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1986","Westdeutschland, alte Bundeslaender","maennlich","312","0.0683891259216695","0.0615723780230028","0.0752058738203362"
"Nicht erwerbstätig (NE): keine weitere Angabe","1986","Westdeutschland, alte Bundeslaender","weiblich","1717","0.290019613216628","0.277893149291333","0.302146077141924"
"Nicht erwerbstätig (NE): keine weitere Angabe","1986","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1986","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: 65 Jahre und älter","1986","Westdeutschland, alte Bundeslaender","maennlich","397","0.128111798776792","0.119085880506333","0.137137717047251"
"NE: 65 Jahre und älter","1986","Westdeutschland, alte Bundeslaender","weiblich","608","0.210017611648649","0.199132475105196","0.220902748192103"
"NE: 65 Jahre und älter","1986","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: 65 Jahre und älter","1986","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: derzeit in Ausbildung","1986","Westdeutschland, alte Bundeslaender","maennlich","314","0.0525763970930775","0.0465489425639229","0.058603851622232"
"NE: derzeit in Ausbildung","1986","Westdeutschland, alte Bundeslaender","weiblich","250","0.0369680496017362","0.0319257234231484","0.0420103757803241"
"NE: derzeit in Ausbildung","1986","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: derzeit in Ausbildung","1986","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1986","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1986","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1986","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1986","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: im Militär-/Zivildienst","1986","Westdeutschland, alte Bundeslaender","maennlich","44","0.00967832954424983","0.00703437018105984","0.0123222889074398"
"NE: im Militär-/Zivildienst","1986","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: im Militär-/Zivildienst","1986","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: im Militär-/Zivildienst","1986","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: arbeitslos registriert","1986","Westdeutschland, alte Bundeslaender","maennlich","217","0.0352307476952481","0.0302517825177047","0.0402097128727914"
"NE: arbeitslos registriert","1986","Westdeutschland, alte Bundeslaender","weiblich","219","0.0323410104392602","0.027613469711862","0.0370685511666584"
"NE: arbeitslos registriert","1986","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: arbeitslos registriert","1986","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1986","Westdeutschland, alte Bundeslaender","maennlich","70","0.0157813107219378","0.0124155458685208","0.0191470755753547"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1986","Westdeutschland, alte Bundeslaender","weiblich","71","0.0131508436056558","0.0101064590330791","0.0161952281782325"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1986","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1986","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1986","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1986","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1986","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1986","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1986","Westdeutschland, alte Bundeslaender","maennlich","40","0.00944121314200074","0.00682953015277452","0.012052896131227"
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1986","Westdeutschland, alte Bundeslaender","weiblich","81","0.0148491047256107","0.0116169002138691","0.0180813092373524"
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1986","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1986","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Erwerbstätig","1986","Westdeutschland, alte Bundeslaender","maennlich","3873","0.680791077105024","0.668201507865217","0.693380646344831"
"Erwerbstätig","1986","Westdeutschland, alte Bundeslaender","weiblich","2433","0.402653766762459","0.389547582584166","0.415759950940752"
"Erwerbstätig","1986","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Erwerbstätig","1986","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1986","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1986","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1986","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1986","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1986","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1986","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1986","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1986","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1987","Westdeutschland, alte Bundeslaender","maennlich","284","0.0626523883510816","0.0560707842117747","0.0692339924903885"
"Nicht erwerbstätig (NE): keine weitere Angabe","1987","Westdeutschland, alte Bundeslaender","weiblich","1615","0.273327627224624","0.261338330075573","0.285316924373675"
"Nicht erwerbstätig (NE): keine weitere Angabe","1987","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1987","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: 65 Jahre und älter","1987","Westdeutschland, alte Bundeslaender","maennlich","392","0.129063795576764","0.119958207661537","0.138169383491991"
"NE: 65 Jahre und älter","1987","Westdeutschland, alte Bundeslaender","weiblich","634","0.217751139787338","0.206648268072487","0.228854011502188"
"NE: 65 Jahre und älter","1987","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: 65 Jahre und älter","1987","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: derzeit in Ausbildung","1987","Westdeutschland, alte Bundeslaender","maennlich","305","0.0473578163112394","0.0415891775762428","0.0531264550462359"
"NE: derzeit in Ausbildung","1987","Westdeutschland, alte Bundeslaender","weiblich","250","0.0350767878804213","0.0301275432668709","0.0400260324939717"
"NE: derzeit in Ausbildung","1987","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: derzeit in Ausbildung","1987","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1987","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1987","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1987","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1987","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: im Militär-/Zivildienst","1987","Westdeutschland, alte Bundeslaender","maennlich","51","0.0119024424288413","0.0089571354877228","0.0148477493699599"
"NE: im Militär-/Zivildienst","1987","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: im Militär-/Zivildienst","1987","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: im Militär-/Zivildienst","1987","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: arbeitslos registriert","1987","Westdeutschland, alte Bundeslaender","maennlich","243","0.0385965529517757","0.0333648906793058","0.0438282152242455"
"NE: arbeitslos registriert","1987","Westdeutschland, alte Bundeslaender","weiblich","212","0.0314997219762352","0.0268009337799694","0.036198510172501"
"NE: arbeitslos registriert","1987","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: arbeitslos registriert","1987","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1987","Westdeutschland, alte Bundeslaender","maennlich","51","0.0117222198878228","0.00879902984549038","0.0146454099301551"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1987","Westdeutschland, alte Bundeslaender","weiblich","66","0.0131367966850816","0.0100737342363926","0.0161998591337705"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1987","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1987","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1987","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1987","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1987","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1987","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1987","Westdeutschland, alte Bundeslaender","maennlich","42","0.00963626463502623","0.00698309922311252","0.0122894300469399"
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1987","Westdeutschland, alte Bundeslaender","weiblich","73","0.0142650226363884","0.0110749619125932","0.0174550833601836"
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1987","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1987","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Erwerbstätig","1987","Westdeutschland, alte Bundeslaender","maennlich","3840","0.689068519857449","0.676497336664701","0.701639703050198"
"Erwerbstätig","1987","Westdeutschland, alte Bundeslaender","weiblich","2458","0.414942903809912","0.401688019836234","0.42819778778359"
"Erwerbstätig","1987","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Erwerbstätig","1987","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1987","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1987","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1987","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1987","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1987","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1987","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1987","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1987","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1988","Westdeutschland, alte Bundeslaender","maennlich","302","0.066481118221197","0.0595439727601966","0.0734182636821973"
"Nicht erwerbstätig (NE): keine weitere Angabe","1988","Westdeutschland, alte Bundeslaender","weiblich","1558","0.270660471305581","0.258428200679733","0.282892741931429"
"Nicht erwerbstätig (NE): keine weitere Angabe","1988","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1988","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: 65 Jahre und älter","1988","Westdeutschland, alte Bundeslaender","maennlich","390","0.131687874242205","0.122271560584943","0.141104187899468"
"NE: 65 Jahre und älter","1988","Westdeutschland, alte Bundeslaender","weiblich","617","0.221961594816321","0.210520456823687","0.233402732808956"
"NE: 65 Jahre und älter","1988","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: 65 Jahre und älter","1988","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: derzeit in Ausbildung","1988","Westdeutschland, alte Bundeslaender","maennlich","268","0.051050634854555","0.0449215986986607","0.0571796710104492"
"NE: derzeit in Ausbildung","1988","Westdeutschland, alte Bundeslaender","weiblich","228","0.0353356017385019","0.0302525543447291","0.0404186491322747"
"NE: derzeit in Ausbildung","1988","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: derzeit in Ausbildung","1988","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1988","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1988","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1988","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1988","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: im Militär-/Zivildienst","1988","Westdeutschland, alte Bundeslaender","maennlich","53","0.0124849669431688","0.00939299427603303","0.0155769396103045"
"NE: im Militär-/Zivildienst","1988","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: im Militär-/Zivildienst","1988","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: im Militär-/Zivildienst","1988","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: arbeitslos registriert","1988","Westdeutschland, alte Bundeslaender","maennlich","230","0.0387823646045439","0.033405883826311","0.0441588453827769"
"NE: arbeitslos registriert","1988","Westdeutschland, alte Bundeslaender","weiblich","201","0.0325040919098381","0.0276218041266071","0.0373863796930691"
"NE: arbeitslos registriert","1988","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: arbeitslos registriert","1988","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1988","Westdeutschland, alte Bundeslaender","maennlich","43","0.00941163470764637","0.00672289207995744","0.0121003773353353"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1988","Westdeutschland, alte Bundeslaender","weiblich","45","0.00903268564673689","0.00642792452451241","0.0116374467689614"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1988","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1988","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1988","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1988","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1988","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
