"pglfs","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","66 und älter","(noch) kein Abschluss","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","66 und älter","Hauptschulabschluss","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","66 und älter","Realschulabschluss","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","66 und älter","(Fach-)Abitur","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","66 und älter","AkademikerInnen","","","",""
"NE: im Militär-/Zivildienst","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"NE: im Militär-/Zivildienst","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"NE: im Militär-/Zivildienst","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"NE: im Militär-/Zivildienst","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"NE: im Militär-/Zivildienst","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"NE: im Militär-/Zivildienst","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"NE: im Militär-/Zivildienst","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"NE: im Militär-/Zivildienst","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"NE: im Militär-/Zivildienst","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"NE: im Militär-/Zivildienst","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"NE: im Militär-/Zivildienst","1984","66 und älter","(noch) kein Abschluss","","","",""
"NE: im Militär-/Zivildienst","1984","66 und älter","Hauptschulabschluss","","","",""
"NE: im Militär-/Zivildienst","1984","66 und älter","Realschulabschluss","","","",""
"NE: im Militär-/Zivildienst","1984","66 und älter","(Fach-)Abitur","","","",""
"NE: im Militär-/Zivildienst","1984","66 und älter","AkademikerInnen","","","",""
"NE: arbeitslos registriert","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"NE: arbeitslos registriert","1984","16-34 Jahre alt","Hauptschulabschluss","147","0.0700433144637229","0.0594671108363346","0.0806195180911111"
"NE: arbeitslos registriert","1984","16-34 Jahre alt","Realschulabschluss","34","0.0327336321797019","0.0217489380681253","0.0437183262912786"
"NE: arbeitslos registriert","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"NE: arbeitslos registriert","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"NE: arbeitslos registriert","1984","35-65 Jahre alt","(noch) kein Abschluss","50","0.0559575316170287","0.0396811169193187","0.0722339463147387"
"NE: arbeitslos registriert","1984","35-65 Jahre alt","Hauptschulabschluss","122","0.0270879000058578","0.0221072128402899","0.0320685871714257"
"NE: arbeitslos registriert","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"NE: arbeitslos registriert","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"NE: arbeitslos registriert","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"NE: arbeitslos registriert","1984","66 und älter","(noch) kein Abschluss","","","",""
"NE: arbeitslos registriert","1984","66 und älter","Hauptschulabschluss","","","",""
"NE: arbeitslos registriert","1984","66 und älter","Realschulabschluss","","","",""
"NE: arbeitslos registriert","1984","66 und älter","(Fach-)Abitur","","","",""
"NE: arbeitslos registriert","1984","66 und älter","AkademikerInnen","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","66 und älter","(noch) kein Abschluss","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","66 und älter","Hauptschulabschluss","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","66 und älter","Realschulabschluss","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","66 und älter","(Fach-)Abitur","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","66 und älter","AkademikerInnen","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","66 und älter","(noch) kein Abschluss","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","66 und älter","Hauptschulabschluss","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","66 und älter","Realschulabschluss","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","66 und älter","(Fach-)Abitur","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","66 und älter","AkademikerInnen","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","66 und älter","(noch) kein Abschluss","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","66 und älter","Hauptschulabschluss","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","66 und älter","Realschulabschluss","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","66 und älter","(Fach-)Abitur","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","66 und älter","AkademikerInnen","","","",""
"Erwerbstätig","1984","16-34 Jahre alt","(noch) kein Abschluss","178","0.190135751165264","0.156664716625491","0.223606785705038"
"Erwerbstätig","1984","16-34 Jahre alt","Hauptschulabschluss","1580","0.722543101253414","0.703988794080701","0.741097408426128"
"Erwerbstätig","1984","16-34 Jahre alt","Realschulabschluss","696","0.696978080399379","0.668607749092788","0.725348411705971"
"Erwerbstätig","1984","16-34 Jahre alt","(Fach-)Abitur","269","0.448822279807784","0.408097962671526","0.489546596944041"
"Erwerbstätig","1984","16-34 Jahre alt","AkademikerInnen","201","0.831135279627842","0.784509342694536","0.877761216561149"
"Erwerbstätig","1984","35-65 Jahre alt","(noch) kein Abschluss","496","0.615756564253096","0.581310353070547","0.650202775435644"
"Erwerbstätig","1984","35-65 Jahre alt","Hauptschulabschluss","2563","0.584903207487853","0.569785655043621","0.600020759932085"
"Erwerbstätig","1984","35-65 Jahre alt","Realschulabschluss","474","0.661671364764366","0.626671200435322","0.69667152909341"
"Erwerbstätig","1984","35-65 Jahre alt","(Fach-)Abitur","191","0.704066566374885","0.647484088260945","0.760649044488824"
"Erwerbstätig","1984","35-65 Jahre alt","AkademikerInnen","414","0.847942171706801","0.815885968591723","0.87999837482188"
"Erwerbstätig","1984","66 und älter","(noch) kein Abschluss","","","",""
"Erwerbstätig","1984","66 und älter","Hauptschulabschluss","","","",""
"Erwerbstätig","1984","66 und älter","Realschulabschluss","","","",""
"Erwerbstätig","1984","66 und älter","(Fach-)Abitur","","","",""
"Erwerbstätig","1984","66 und älter","AkademikerInnen","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","66 und älter","(noch) kein Abschluss","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","66 und älter","Hauptschulabschluss","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","66 und älter","Realschulabschluss","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","66 und älter","(Fach-)Abitur","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","66 und älter","AkademikerInnen","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","66 und älter","(noch) kein Abschluss","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","66 und älter","Hauptschulabschluss","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","66 und älter","Realschulabschluss","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","66 und älter","(Fach-)Abitur","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","66 und älter","AkademikerInnen","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","16-34 Jahre alt","(noch) kein Abschluss","90","0.100661890361883","0.0725163318942402","0.128807448829526"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","16-34 Jahre alt","Hauptschulabschluss","279","0.123863708193628","0.109155319183031","0.138572097204226"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","16-34 Jahre alt","Realschulabschluss","87","0.0821077787490609","0.0648581533853364","0.0993574041127854"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","16-34 Jahre alt","(Fach-)Abitur","32","0.0385751979369357","0.0220862028014702","0.0550641930724013"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","16-34 Jahre alt","AkademikerInnen","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","35-65 Jahre alt","(noch) kein Abschluss","189","0.330530187182969","0.294339501885654","0.366720872480285"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","35-65 Jahre alt","Hauptschulabschluss","1189","0.363041495888086","0.347571941225512","0.378511050550661"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","35-65 Jahre alt","Realschulabschluss","201","0.307749422181554","0.273032318181193","0.342466526181916"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","35-65 Jahre alt","(Fach-)Abitur","46","0.266163390249017","0.208416223820409","0.323910556677625"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","35-65 Jahre alt","AkademikerInnen","50","0.116415023534","0.0871697437940548","0.145660303273946"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","66 und älter","(noch) kein Abschluss","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","66 und älter","Hauptschulabschluss","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","66 und älter","Realschulabschluss","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","66 und älter","(Fach-)Abitur","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","66 und älter","AkademikerInnen","","","",""
"NE: 65 Jahre und älter","1985","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"NE: 65 Jahre und älter","1985","16-34 Jahre alt","Hauptschulabschluss","","","",""
"NE: 65 Jahre und älter","1985","16-34 Jahre alt","Realschulabschluss","","","",""
"NE: 65 Jahre und älter","1985","16-34 Jahre alt","(Fach-)Abitur","","","",""
"NE: 65 Jahre und älter","1985","16-34 Jahre alt","AkademikerInnen","","","",""
"NE: 65 Jahre und älter","1985","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"NE: 65 Jahre und älter","1985","35-65 Jahre alt","Hauptschulabschluss","","","",""
"NE: 65 Jahre und älter","1985","35-65 Jahre alt","Realschulabschluss","","","",""
"NE: 65 Jahre und älter","1985","35-65 Jahre alt","(Fach-)Abitur","","","",""
"NE: 65 Jahre und älter","1985","35-65 Jahre alt","AkademikerInnen","","","",""
"NE: 65 Jahre und älter","1985","66 und älter","(noch) kein Abschluss","","","",""
"NE: 65 Jahre und älter","1985","66 und älter","Hauptschulabschluss","803","0.969906774984008","0.958298016108244","0.981515533859772"
"NE: 65 Jahre und älter","1985","66 und älter","Realschulabschluss","157","0.951860522611133","0.919394641145795","0.984326404076472"
"NE: 65 Jahre und älter","1985","66 und älter","(Fach-)Abitur","36","0.858070596326968","0.754956164788211","0.961185027865725"
"NE: 65 Jahre und älter","1985","66 und älter","AkademikerInnen","49","0.921202384863171","0.850637580622046","0.991767189104297"
"NE: derzeit in Ausbildung","1985","16-34 Jahre alt","(noch) kein Abschluss","172","0.5740238889888","0.527767317880618","0.620280460096982"
"NE: derzeit in Ausbildung","1985","16-34 Jahre alt","Hauptschulabschluss","97","0.0409575901582611","0.0321086076237079","0.0498065726928142"
"NE: derzeit in Ausbildung","1985","16-34 Jahre alt","Realschulabschluss","139","0.143634060415063","0.121597181639488","0.165670939190638"
"NE: derzeit in Ausbildung","1985","16-34 Jahre alt","(Fach-)Abitur","140","0.266377332717075","0.228527196108648","0.304227469325501"
"NE: derzeit in Ausbildung","1985","16-34 Jahre alt","AkademikerInnen","","","",""
"NE: derzeit in Ausbildung","1985","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"NE: derzeit in Ausbildung","1985","35-65 Jahre alt","Hauptschulabschluss","","","",""
"NE: derzeit in Ausbildung","1985","35-65 Jahre alt","Realschulabschluss","","","",""
"NE: derzeit in Ausbildung","1985","35-65 Jahre alt","(Fach-)Abitur","","","",""
"NE: derzeit in Ausbildung","1985","35-65 Jahre alt","AkademikerInnen","","","",""
"NE: derzeit in Ausbildung","1985","66 und älter","(noch) kein Abschluss","","","",""
"NE: derzeit in Ausbildung","1985","66 und älter","Hauptschulabschluss","","","",""
"NE: derzeit in Ausbildung","1985","66 und älter","Realschulabschluss","","","",""
"NE: derzeit in Ausbildung","1985","66 und älter","(Fach-)Abitur","","","",""
"NE: derzeit in Ausbildung","1985","66 und älter","AkademikerInnen","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","16-34 Jahre alt","Hauptschulabschluss","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","16-34 Jahre alt","Realschulabschluss","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","16-34 Jahre alt","(Fach-)Abitur","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","16-34 Jahre alt","AkademikerInnen","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","35-65 Jahre alt","Hauptschulabschluss","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","35-65 Jahre alt","Realschulabschluss","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","35-65 Jahre alt","(Fach-)Abitur","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","35-65 Jahre alt","AkademikerInnen","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","66 und älter","(noch) kein Abschluss","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","66 und älter","Hauptschulabschluss","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","66 und älter","Realschulabschluss","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","66 und älter","(Fach-)Abitur","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","66 und älter","AkademikerInnen","","","",""
"NE: im Militär-/Zivildienst","1985","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"NE: im Militär-/Zivildienst","1985","16-34 Jahre alt","Hauptschulabschluss","","","",""
"NE: im Militär-/Zivildienst","1985","16-34 Jahre alt","Realschulabschluss","","","",""
"NE: im Militär-/Zivildienst","1985","16-34 Jahre alt","(Fach-)Abitur","","","",""
"NE: im Militär-/Zivildienst","1985","16-34 Jahre alt","AkademikerInnen","","","",""
"NE: im Militär-/Zivildienst","1985","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"NE: im Militär-/Zivildienst","1985","35-65 Jahre alt","Hauptschulabschluss","","","",""
"NE: im Militär-/Zivildienst","1985","35-65 Jahre alt","Realschulabschluss","","","",""
"NE: im Militär-/Zivildienst","1985","35-65 Jahre alt","(Fach-)Abitur","","","",""
"NE: im Militär-/Zivildienst","1985","35-65 Jahre alt","AkademikerInnen","","","",""
"NE: im Militär-/Zivildienst","1985","66 und älter","(noch) kein Abschluss","","","",""
"NE: im Militär-/Zivildienst","1985","66 und älter","Hauptschulabschluss","","","",""
"NE: im Militär-/Zivildienst","1985","66 und älter","Realschulabschluss","","","",""
