"pglfs","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"Erwerbstätig","1984","16-34 Jahre alt","weiblich","1249","0.554204023758087","0.534081975011393","0.574326072504781"
"Erwerbstätig","1984","35-65 Jahre alt","maennlich","2772","0.834806276937493","0.821979729291979","0.847632824583007"
"Erwerbstätig","1984","35-65 Jahre alt","weiblich","1406","0.423068785893648","0.405741537180248","0.440396034607049"
"Erwerbstätig","1984","66 und älter","maennlich","31","0.0536538789757333","0.0340782932444334","0.0732294647070332"
"Erwerbstätig","1984","66 und älter","weiblich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","16-34 Jahre alt","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","16-34 Jahre alt","weiblich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","35-65 Jahre alt","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","35-65 Jahre alt","weiblich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","66 und älter","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","66 und älter","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","16-34 Jahre alt","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","16-34 Jahre alt","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","35-65 Jahre alt","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","35-65 Jahre alt","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","66 und älter","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","66 und älter","weiblich","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","16-34 Jahre alt","maennlich","32","0.0102888787632944","0.00597600541559708","0.0146017521109918"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","16-34 Jahre alt","weiblich","495","0.183172866659384","0.16655775067149","0.199787982647279"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","35-65 Jahre alt","maennlich","271","0.122971945973917","0.111033842447378","0.134910049500456"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","35-65 Jahre alt","weiblich","1423","0.522034350127906","0.503788036225616","0.540280664030196"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","66 und älter","maennlich","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","66 und älter","weiblich","","","",""
"NE: 65 Jahre und älter","1985","16-34 Jahre alt","maennlich","","","",""
"NE: 65 Jahre und älter","1985","16-34 Jahre alt","weiblich","","","",""
"NE: 65 Jahre und älter","1985","35-65 Jahre alt","maennlich","","","",""
"NE: 65 Jahre und älter","1985","35-65 Jahre alt","weiblich","","","",""
"NE: 65 Jahre und älter","1985","66 und älter","maennlich","413","0.934322818458881","0.911358685069223","0.95728695184854"
"NE: 65 Jahre und älter","1985","66 und älter","weiblich","651","0.975875667425767","0.964266215189027","0.987485119662507"
"NE: derzeit in Ausbildung","1985","16-34 Jahre alt","maennlich","328","0.163646931559139","0.147835280728072","0.179458582390205"
"NE: derzeit in Ausbildung","1985","16-34 Jahre alt","weiblich","251","0.126253981728271","0.111987303211388","0.140520660245153"
"NE: derzeit in Ausbildung","1985","35-65 Jahre alt","maennlich","","","",""
"NE: derzeit in Ausbildung","1985","35-65 Jahre alt","weiblich","","","",""
"NE: derzeit in Ausbildung","1985","66 und älter","maennlich","","","",""
"NE: derzeit in Ausbildung","1985","66 und älter","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","16-34 Jahre alt","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","16-34 Jahre alt","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","35-65 Jahre alt","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","35-65 Jahre alt","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","66 und älter","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","66 und älter","weiblich","","","",""
"NE: im Militär-/Zivildienst","1985","16-34 Jahre alt","maennlich","36","0.0206605666182357","0.0145810900410962","0.0267400431953752"
"NE: im Militär-/Zivildienst","1985","16-34 Jahre alt","weiblich","","","",""
"NE: im Militär-/Zivildienst","1985","35-65 Jahre alt","maennlich","","","",""
"NE: im Militär-/Zivildienst","1985","35-65 Jahre alt","weiblich","","","",""
"NE: im Militär-/Zivildienst","1985","66 und älter","maennlich","","","",""
"NE: im Militär-/Zivildienst","1985","66 und älter","weiblich","","","",""
"NE: arbeitslos registriert","1985","16-34 Jahre alt","maennlich","117","0.0535884870732095","0.0439634101268892","0.0632135640195298"
"NE: arbeitslos registriert","1985","16-34 Jahre alt","weiblich","120","0.0548067854706237","0.0450302452495608","0.0645833256916866"
"NE: arbeitslos registriert","1985","35-65 Jahre alt","maennlich","159","0.0523512856758942","0.0442544944744592","0.0604480768773293"
"NE: arbeitslos registriert","1985","35-65 Jahre alt","weiblich","99","0.0295829261120742","0.0233938327005321","0.0357720195236163"
"NE: arbeitslos registriert","1985","66 und älter","maennlich","","","",""
"NE: arbeitslos registriert","1985","66 und älter","weiblich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1985","16-34 Jahre alt","maennlich","54","0.0298250836167754","0.0225549178957698","0.0370952493377809"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1985","16-34 Jahre alt","weiblich","37","0.0233103243654947","0.0168290532998046","0.0297915954311848"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1985","35-65 Jahre alt","maennlich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1985","35-65 Jahre alt","weiblich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1985","66 und älter","maennlich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1985","66 und älter","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1985","16-34 Jahre alt","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1985","16-34 Jahre alt","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1985","35-65 Jahre alt","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1985","35-65 Jahre alt","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1985","66 und älter","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1985","66 und älter","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1985","16-34 Jahre alt","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1985","16-34 Jahre alt","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1985","35-65 Jahre alt","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1985","35-65 Jahre alt","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1985","66 und älter","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1985","66 und älter","weiblich","","","",""
"Erwerbstätig","1985","16-34 Jahre alt","maennlich","1524","0.715813977870481","0.696537401707857","0.735090554033104"
"Erwerbstätig","1985","16-34 Jahre alt","weiblich","1167","0.604990884932718","0.583992509183139","0.625989260682297"
"Erwerbstätig","1985","35-65 Jahre alt","maennlich","2463","0.818496933381914","0.804485709035686","0.832508157728142"
"Erwerbstätig","1985","35-65 Jahre alt","weiblich","1328","0.436490526941035","0.418374403109996","0.454606650772074"
"Erwerbstätig","1985","66 und älter","maennlich","","","",""
"Erwerbstätig","1985","66 und älter","weiblich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1985","16-34 Jahre alt","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1985","16-34 Jahre alt","weiblich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1985","35-65 Jahre alt","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1985","35-65 Jahre alt","weiblich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1985","66 und älter","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1985","66 und älter","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1985","16-34 Jahre alt","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1985","16-34 Jahre alt","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1985","35-65 Jahre alt","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1985","35-65 Jahre alt","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1985","66 und älter","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1985","66 und älter","weiblich","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1986","16-34 Jahre alt","maennlich","40","0.0131234045719799","0.00823857130205151","0.0180082378419082"
"Nicht erwerbstätig (NE): keine weitere Angabe","1986","16-34 Jahre alt","weiblich","426","0.173913651201403","0.157368056324593","0.190459246078213"
"Nicht erwerbstätig (NE): keine weitere Angabe","1986","35-65 Jahre alt","maennlich","272","0.126751462165349","0.114332790915281","0.139170133415416"
"Nicht erwerbstätig (NE): keine weitere Angabe","1986","35-65 Jahre alt","weiblich","1291","0.497151056608205","0.47843318225883","0.51586893095758"
"Nicht erwerbstätig (NE): keine weitere Angabe","1986","66 und älter","maennlich","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1986","66 und älter","weiblich","","","",""
"NE: 65 Jahre und älter","1986","16-34 Jahre alt","maennlich","","","",""
"NE: 65 Jahre und älter","1986","16-34 Jahre alt","weiblich","","","",""
"NE: 65 Jahre und älter","1986","35-65 Jahre alt","maennlich","","","",""
"NE: 65 Jahre und älter","1986","35-65 Jahre alt","weiblich","","","",""
"NE: 65 Jahre und älter","1986","66 und älter","maennlich","393","0.940028770559353","0.917455438250491","0.962602102868215"
"NE: 65 Jahre und älter","1986","66 und älter","weiblich","600","0.965528003969785","0.951190665056004","0.979865342883565"
"NE: derzeit in Ausbildung","1986","16-34 Jahre alt","maennlich","311","0.142910266269425","0.127887845500875","0.157932687037976"
"NE: derzeit in Ausbildung","1986","16-34 Jahre alt","weiblich","239","0.110463041733755","0.0967796637323576","0.124146419735153"
"NE: derzeit in Ausbildung","1986","35-65 Jahre alt","maennlich","","","",""
"NE: derzeit in Ausbildung","1986","35-65 Jahre alt","weiblich","","","",""
"NE: derzeit in Ausbildung","1986","66 und älter","maennlich","","","",""
"NE: derzeit in Ausbildung","1986","66 und älter","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1986","16-34 Jahre alt","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1986","16-34 Jahre alt","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1986","35-65 Jahre alt","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1986","35-65 Jahre alt","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1986","66 und älter","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1986","66 und älter","weiblich","","","",""
"NE: im Militär-/Zivildienst","1986","16-34 Jahre alt","maennlich","44","0.0266713023090954","0.0197554304709719","0.0335871741472189"
"NE: im Militär-/Zivildienst","1986","16-34 Jahre alt","weiblich","","","",""
"NE: im Militär-/Zivildienst","1986","35-65 Jahre alt","maennlich","","","",""
"NE: im Militär-/Zivildienst","1986","35-65 Jahre alt","weiblich","","","",""
"NE: im Militär-/Zivildienst","1986","66 und älter","maennlich","","","",""
"NE: im Militär-/Zivildienst","1986","66 und älter","weiblich","","","",""
"NE: arbeitslos registriert","1986","16-34 Jahre alt","maennlich","84","0.0349559057960134","0.0270722270251541","0.0428395845668727"
"NE: arbeitslos registriert","1986","16-34 Jahre alt","weiblich","124","0.0560146712553018","0.0459769219432598","0.0660524205673438"
"NE: arbeitslos registriert","1986","35-65 Jahre alt","maennlich","133","0.0449142377760126","0.037183108945659","0.0526453666063662"
"NE: arbeitslos registriert","1986","35-65 Jahre alt","weiblich","95","0.0314585875128607","0.0249239382848909","0.0379932367408306"
"NE: arbeitslos registriert","1986","66 und älter","maennlich","","","",""
"NE: arbeitslos registriert","1986","66 und älter","weiblich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1986","16-34 Jahre alt","maennlich","56","0.0335766429309142","0.0258445439252368","0.0413087419365916"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1986","16-34 Jahre alt","weiblich","47","0.0266572473336252","0.0196258218657495","0.0336886728015009"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1986","35-65 Jahre alt","maennlich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1986","35-65 Jahre alt","weiblich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1986","66 und älter","maennlich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1986","66 und älter","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1986","16-34 Jahre alt","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1986","16-34 Jahre alt","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1986","35-65 Jahre alt","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1986","35-65 Jahre alt","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1986","66 und älter","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1986","66 und älter","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1986","16-34 Jahre alt","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1986","16-34 Jahre alt","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1986","35-65 Jahre alt","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1986","35-65 Jahre alt","weiblich","48","0.0178869310484781","0.0129250970017175","0.0228487650952388"
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1986","66 und älter","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1986","66 und älter","weiblich","","","",""
"Erwerbstätig","1986","16-34 Jahre alt","maennlich","1526","0.733072048850408","0.714084652409165","0.75205944529165"
"Erwerbstätig","1986","16-34 Jahre alt","weiblich","1152","0.616933412267899","0.595712741399687","0.638154083136111"
"Erwerbstätig","1986","35-65 Jahre alt","maennlich","2330","0.817407712942625","0.802986881925178","0.831828543960073"
"Erwerbstätig","1986","35-65 Jahre alt","weiblich","1268","0.43480901278797","0.416250615998662","0.453367409577277"
"Erwerbstätig","1986","66 und älter","maennlich","","","",""
"Erwerbstätig","1986","66 und älter","weiblich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1986","16-34 Jahre alt","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1986","16-34 Jahre alt","weiblich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1986","35-65 Jahre alt","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1986","35-65 Jahre alt","weiblich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1986","66 und älter","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1986","66 und älter","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1986","16-34 Jahre alt","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1986","16-34 Jahre alt","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1986","35-65 Jahre alt","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1986","35-65 Jahre alt","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1986","66 und älter","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1986","66 und älter","weiblich","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1987","16-34 Jahre alt","maennlich","34","0.0100983429824866","0.00579955126380462","0.0143971347011686"
"Nicht erwerbstätig (NE): keine weitere Angabe","1987","16-34 Jahre alt","weiblich","425","0.185920062355408","0.168731791126907","0.203108333583909"
"Nicht erwerbstätig (NE): keine weitere Angabe","1987","35-65 Jahre alt","maennlich","250","0.117341067553703","0.105201934076903","0.129480201030503"
"Nicht erwerbstätig (NE): keine weitere Angabe","1987","35-65 Jahre alt","weiblich","1190","0.462051692846917","0.443190359497139","0.480913026196694"
"Nicht erwerbstätig (NE): keine weitere Angabe","1987","66 und älter","maennlich","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1987","66 und älter","weiblich","","","",""
"NE: 65 Jahre und älter","1987","16-34 Jahre alt","maennlich","","","",""
"NE: 65 Jahre und älter","1987","16-34 Jahre alt","weiblich","","","",""
"NE: 65 Jahre und älter","1987","35-65 Jahre alt","maennlich","","","",""
"NE: 65 Jahre und älter","1987","35-65 Jahre alt","weiblich","","","",""
"NE: 65 Jahre und älter","1987","66 und älter","maennlich","388","0.921981881744742","0.896602655701826","0.947361107787659"
"NE: 65 Jahre und älter","1987","66 und älter","weiblich","631","0.964872366932597","0.950784165597374","0.978960568267819"
"NE: derzeit in Ausbildung","1987","16-34 Jahre alt","maennlich","299","0.127181232197079","0.112856092309286","0.141506372084873"
"NE: derzeit in Ausbildung","1987","16-34 Jahre alt","weiblich","241","0.106436640536899","0.0928114118790702","0.120061869194728"
"NE: derzeit in Ausbildung","1987","35-65 Jahre alt","maennlich","","","",""
"NE: derzeit in Ausbildung","1987","35-65 Jahre alt","weiblich","","","",""
"NE: derzeit in Ausbildung","1987","66 und älter","maennlich","","","",""
"NE: derzeit in Ausbildung","1987","66 und älter","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1987","16-34 Jahre alt","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1987","16-34 Jahre alt","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1987","35-65 Jahre alt","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1987","35-65 Jahre alt","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1987","66 und älter","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1987","66 und älter","weiblich","","","",""
"NE: im Militär-/Zivildienst","1987","16-34 Jahre alt","maennlich","51","0.0332319580747475","0.0255253295095472","0.0409385866399477"
"NE: im Militär-/Zivildienst","1987","16-34 Jahre alt","weiblich","","","",""
"NE: im Militär-/Zivildienst","1987","35-65 Jahre alt","maennlich","","","",""
"NE: im Militär-/Zivildienst","1987","35-65 Jahre alt","weiblich","","","",""
"NE: im Militär-/Zivildienst","1987","66 und älter","maennlich","","","",""
"NE: im Militär-/Zivildienst","1987","66 und älter","weiblich","","","",""
"NE: arbeitslos registriert","1987","16-34 Jahre alt","maennlich","100","0.0431627537184823","0.0344250175396963","0.0519004898972683"
"NE: arbeitslos registriert","1987","16-34 Jahre alt","weiblich","96","0.0437951962302013","0.0347540344002528","0.0528363580601498"
"NE: arbeitslos registriert","1987","35-65 Jahre alt","maennlich","142","0.0459434478985314","0.038046394759704","0.0538405010373588"
"NE: arbeitslos registriert","1987","35-65 Jahre alt","weiblich","116","0.0385827187647348","0.0312963824839853","0.0458690550454844"
"NE: arbeitslos registriert","1987","66 und älter","maennlich","","","",""
"NE: arbeitslos registriert","1987","66 und älter","weiblich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1987","16-34 Jahre alt","maennlich","33","0.019542220606553","0.0135907166919678","0.0254937245211383"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1987","16-34 Jahre alt","weiblich","32","0.018100699248278","0.0122106802506331","0.0239907182459229"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1987","35-65 Jahre alt","maennlich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1987","35-65 Jahre alt","weiblich","33","0.0152276643416569","0.0105948872670832","0.0198604414162306"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1987","66 und älter","maennlich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1987","66 und älter","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1987","16-34 Jahre alt","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1987","16-34 Jahre alt","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1987","35-65 Jahre alt","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1987","35-65 Jahre alt","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1987","66 und älter","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1987","66 und älter","weiblich","","","",""
