,Unnamed: 0,year,age_gr,sex,pld0043,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
113,113,2013,66 and older,female,Seldom,0.33293,846,25385,0.31539,0.34985
114,114,2013,66 and older,female,Never,0.35062,838,25385,0.33599,0.3685
115,115,2018,17-29 y.,male,Very often,0.06326,130,25559,0.05505,0.07381
116,116,2018,17-29 y.,male,Often,0.21903,460,25559,0.19572,0.24943
117,117,2018,17-29 y.,male,Sometimes,0.3707,782,25559,0.34229,0.40088
118,118,2018,17-29 y.,male,Seldom,0.2549,546,25559,0.2322,0.2776
119,119,2018,17-29 y.,male,Never,0.09211,181,25559,0.0742,0.11243
120,120,2018,17-29 y.,female,Very often,0.06728,142,25559,0.05459,0.07931
121,121,2018,17-29 y.,female,Often,0.26204,535,25559,0.23697,0.28347
122,122,2018,17-29 y.,female,Sometimes,0.35592,772,25559,0.32671,0.38576
123,123,2018,17-29 y.,female,Seldom,0.23486,514,25559,0.21344,0.26352
124,124,2018,17-29 y.,female,Never,0.0799,206,25559,0.06731,0.09433
125,125,2018,30-45 y.,male,Very often,0.04451,109,25559,0.03572,0.05468
126,126,2018,30-45 y.,male,Often,0.17895,471,25559,0.15656,0.19955
127,127,2018,30-45 y.,male,Sometimes,0.38633,1017,25559,0.35701,0.41874
128,128,2018,30-45 y.,male,Seldom,0.29557,861,25559,0.27288,0.3278
129,129,2018,30-45 y.,male,Never,0.09464,333,25559,0.08185,0.10714
130,130,2018,30-45 y.,female,Very often,0.04515,169,25559,0.03568,0.05567
131,131,2018,30-45 y.,female,Often,0.20985,779,25559,0.18889,0.22983
132,132,2018,30-45 y.,female,Sometimes,0.35332,1442,25559,0.33431,0.38012
133,133,2018,30-45 y.,female,Seldom,0.27265,1040,25559,0.25162,0.2959
134,134,2018,30-45 y.,female,Never,0.11903,499,25559,0.10448,0.13365
135,135,2018,46-65 y.,male,Very often,0.02667,125,25559,0.02168,0.0324
136,136,2018,46-65 y.,male,Often,0.14797,630,25559,0.13469,0.16182
137,137,2018,46-65 y.,male,Sometimes,0.35568,1586,25559,0.33627,0.37604
138,138,2018,46-65 y.,male,Seldom,0.32967,1461,25559,0.31281,0.34995
139,139,2018,46-65 y.,male,Never,0.14001,645,25559,0.12791,0.15034
140,140,2018,46-65 y.,female,Very often,0.03604,203,25559,0.03006,0.04173
141,141,2018,46-65 y.,female,Often,0.17657,870,25559,0.16469,0.19139
142,142,2018,46-65 y.,female,Sometimes,0.36831,1903,25559,0.34994,0.38878
143,143,2018,46-65 y.,female,Seldom,0.27945,1475,25559,0.26253,0.29612
144,144,2018,46-65 y.,female,Never,0.13963,703,25559,0.12796,0.14983
145,145,2018,66 and older,male,Very often,0.01424,43,25559,0.01034,0.01841
146,146,2018,66 and older,male,Often,0.0994,252,25559,0.08905,0.1118
147,147,2018,66 and older,male,Sometimes,0.28681,727,25559,0.2683,0.30445
148,148,2018,66 and older,male,Seldom,0.36147,856,25559,0.33847,0.3827
149,149,2018,66 and older,male,Never,0.23808,557,25559,0.22158,0.26013
150,150,2018,66 and older,female,Very often,0.0196,57,25559,0.01464,0.02509
151,151,2018,66 and older,female,Often,0.11335,293,25559,0.10148,0.12512
152,152,2018,66 and older,female,Sometimes,0.26822,702,25559,0.2543,0.28686
153,153,2018,66 and older,female,Seldom,0.31213,780,25559,0.2916,0.33077
154,154,2018,66 and older,female,Never,0.2867,703,25559,0.27044,0.30299
