year,quintil_oecd,sampreg,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,3rd Quintile,West,Often,0.11483,628,3704,0.10456,0.12510
2013,3rd Quintile,West,Sometimes,0.27573,1303,3704,0.26134,0.29012
2013,3rd Quintile,West,Seldom,0.26637,1155,3704,0.25214,0.28061
2013,3rd Quintile,West,Never,0.14876,520,3704,0.13730,0.16022
2013,3rd Quintile,East,Often,0.11148,141,1133,0.09314,0.12981
2013,3rd Quintile,East,Sometimes,0.30900,380,1133,0.28208,0.33592
2013,3rd Quintile,East,Seldom,0.30957,418,1133,0.28264,0.33651
2013,3rd Quintile,East,Never,0.14254,194,1133,0.12218,0.16291
2013,4th Quintile,West,Very often,0.01992,94,3937,0.01556,0.02429
2013,4th Quintile,West,Often,0.13375,657,3937,0.12312,0.14438
2013,4th Quintile,West,Sometimes,0.31301,1495,3937,0.29853,0.32750
2013,4th Quintile,West,Seldom,0.28903,1266,3937,0.27487,0.30319
2013,4th Quintile,West,Never,0.10310,425,3937,0.09360,0.11260
2013,4th Quintile,East,Often,0.09552,110,870,0.07598,0.11506
2013,4th Quintile,East,Sometimes,0.32422,322,870,0.29310,0.35534
2013,4th Quintile,East,Seldom,0.31795,321,870,0.28699,0.34892
2013,4th Quintile,East,Never,0.12719,117,870,0.10504,0.14935
2013,5th Quintile,West,Very often,0.02461,138,4818,0.02023,0.02898
2013,5th Quintile,West,Often,0.15569,881,4818,0.14545,0.16593
2013,5th Quintile,West,Sometimes,0.34058,1846,4818,0.32720,0.35397
2013,5th Quintile,West,Seldom,0.28179,1523,4818,0.26909,0.29450
2013,5th Quintile,West,Never,0.08346,430,4818,0.07565,0.09127
2013,5th Quintile,East,Often,0.09794,89,628,0.07468,0.12121
2013,5th Quintile,East,Sometimes,0.37836,264,628,0.34040,0.41632
2013,5th Quintile,East,Seldom,0.30494,216,628,0.26891,0.34098
2013,5th Quintile,East,Never,0.08762,59,628,0.06549,0.10975
2018,1st Quintile,West,Very often,0.04156,171,3440,0.03489,0.04823
2018,1st Quintile,West,Often,0.12409,571,3440,0.11307,0.13511
2018,1st Quintile,West,Sometimes,0.21125,1071,3440,0.19761,0.22490
2018,1st Quintile,West,Seldom,0.19969,863,3440,0.18633,0.21306
2018,1st Quintile,West,Never,0.17684,764,3440,0.16409,0.18959
2018,1st Quintile,East,Very often,0.02599,52,1274,0.01725,0.03473
2018,1st Quintile,East,Often,0.11535,158,1274,0.09780,0.13290
2018,1st Quintile,East,Sometimes,0.23784,396,1274,0.21445,0.26123
2018,1st Quintile,East,Seldom,0.20708,363,1274,0.18482,0.22934
2018,1st Quintile,East,Never,0.20305,305,1274,0.18095,0.22515
2018,2nd Quintile,West,Very often,0.02414,125,3699,0.01919,0.02909
2018,2nd Quintile,West,Often,0.11516,596,3699,0.10488,0.12545
2018,2nd Quintile,West,Sometimes,0.26548,1255,3699,0.25125,0.27971
2018,2nd Quintile,West,Seldom,0.23389,1042,3699,0.22025,0.24753
2018,2nd Quintile,West,Never,0.16932,681,3699,0.15723,0.18140
2018,2nd Quintile,East,Very often,0.01554,32,1418,0.00910,0.02198
2018,2nd Quintile,East,Often,0.08622,166,1418,0.07160,0.10083
2018,2nd Quintile,East,Sometimes,0.26938,440,1418,0.24628,0.29248
2018,2nd Quintile,East,Seldom,0.30098,476,1418,0.27710,0.32486
2018,2nd Quintile,East,Never,0.17233,304,1418,0.15266,0.19199
2018,3rd Quintile,West,Very often,0.02896,132,3669,0.02353,0.03439
2018,3rd Quintile,West,Often,0.14460,614,3669,0.13322,0.15598
2018,3rd Quintile,West,Sometimes,0.27679,1302,3669,0.26231,0.29127
2018,3rd Quintile,West,Seldom,0.26372,1139,3669,0.24946,0.27798
2018,3rd Quintile,West,Never,0.11958,482,3669,0.10908,0.13008
2018,3rd Quintile,East,Often,0.10467,132,1041,0.08606,0.12328
2018,3rd Quintile,East,Sometimes,0.28448,360,1041,0.25706,0.31190
2018,3rd Quintile,East,Seldom,0.27978,361,1041,0.25250,0.30706
2018,3rd Quintile,East,Never,0.15799,188,1041,0.13583,0.18016
2018,4th Quintile,West,Very often,0.02915,135,3878,0.02385,0.03444
2018,4th Quintile,West,Often,0.15826,715,3878,0.14677,0.16975
2018,4th Quintile,West,Sometimes,0.32814,1510,3878,0.31336,0.34292
2018,4th Quintile,West,Seldom,0.25670,1152,3878,0.24295,0.27045
2018,4th Quintile,West,Never,0.08972,366,3878,0.08073,0.09872
2018,4th Quintile,East,Often,0.13151,117,800,0.10808,0.15494
2018,4th Quintile,East,Sometimes,0.33145,287,800,0.29881,0.36410
2018,4th Quintile,East,Seldom,0.31186,292,800,0.27974,0.34398
2018,4th Quintile,East,Never,0.10794,104,800,0.08642,0.12946
2018,5th Quintile,West,Very often,0.03570,190,4455,0.03026,0.04115
2018,5th Quintile,West,Often,0.17143,872,4455,0.16036,0.18250
2018,5th Quintile,West,Sometimes,0.34865,1723,4455,0.33466,0.36265
2018,5th Quintile,West,Seldom,0.26776,1345,4455,0.25476,0.28077
2018,5th Quintile,West,Never,0.07491,325,4455,0.06718,0.08264
2018,5th Quintile,East,Often,0.19012,112,578,0.15810,0.22214
2018,5th Quintile,East,Sometimes,0.29778,214,578,0.26047,0.33509
2018,5th Quintile,East,Seldom,0.27667,205,578,0.24017,0.31317
2018,5th Quintile,East,Never,0.06908,47,578,0.04839,0.08978
