,Unnamed: 0,year,quintil_oecd,pld0043,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
41,41,2008,4th Quintile,Often,0.16396,653,19172,0.15253,0.17735
42,42,2008,4th Quintile,Sometimes,0.35722,1412,19172,0.34249,0.37368
43,43,2008,4th Quintile,Seldom,0.29713,1185,19172,0.28372,0.31301
44,44,2008,4th Quintile,Never,0.14495,526,19172,0.13529,0.15351
45,45,2008,5th Quintile,Very often,0.03428,189,19172,0.0299,0.03913
46,46,2008,5th Quintile,Often,0.18557,969,19172,0.17415,0.19739
47,47,2008,5th Quintile,Sometimes,0.35536,1915,19172,0.33996,0.37363
48,48,2008,5th Quintile,Seldom,0.31303,1588,19172,0.29776,0.3284
49,49,2008,5th Quintile,Never,0.11177,549,19172,0.10399,0.11988
50,50,2013,1st Quintile,Very often,0.0267,154,25406,0.02072,0.03314
51,51,2013,1st Quintile,Often,0.14102,775,25406,0.12738,0.15443
52,52,2013,1st Quintile,Sometimes,0.26633,1497,25406,0.24704,0.28337
53,53,2013,1st Quintile,Seldom,0.29804,1514,25406,0.2808,0.31873
54,54,2013,1st Quintile,Never,0.26791,1163,25406,0.25096,0.28376
55,55,2013,2nd Quintile,Very often,0.02198,129,25406,0.01786,0.02677
56,56,2013,2nd Quintile,Often,0.13247,749,25406,0.12169,0.14522
57,57,2013,2nd Quintile,Sometimes,0.29942,1644,25406,0.2839,0.32077
58,58,2013,2nd Quintile,Seldom,0.32131,1635,25406,0.30185,0.33921
59,59,2013,2nd Quintile,Never,0.22483,975,25406,0.21196,0.23634
60,60,2013,3rd Quintile,Very often,0.02309,125,25406,0.0184,0.02732
61,61,2013,3rd Quintile,Often,0.13849,765,25406,0.12629,0.15014
62,62,2013,3rd Quintile,Sometimes,0.34255,1714,25406,0.32483,0.36163
63,63,2013,3rd Quintile,Seldom,0.32476,1566,25406,0.30876,0.3417
64,64,2013,3rd Quintile,Never,0.17111,717,25406,0.16033,0.1826
65,65,2013,4th Quintile,Very often,0.02141,104,25406,0.01735,0.02671
66,66,2013,4th Quintile,Often,0.15049,773,25406,0.13799,0.16294
67,67,2013,4th Quintile,Sometimes,0.36325,1835,25406,0.34497,0.38261
68,68,2013,4th Quintile,Seldom,0.33669,1591,25406,0.32117,0.35385
69,69,2013,4th Quintile,Never,0.12816,552,25406,0.11754,0.13909
70,70,2013,5th Quintile,Very often,0.02762,161,25406,0.02288,0.03314
71,71,2013,5th Quintile,Often,0.1668,963,25406,0.15535,0.1803
72,72,2013,5th Quintile,Sometimes,0.38673,2083,25406,0.3663,0.40657
73,73,2013,5th Quintile,Seldom,0.32541,1745,25406,0.30829,0.33987
74,74,2013,5th Quintile,Never,0.09345,477,25406,0.08489,0.10184
75,75,2018,1st Quintile,Very often,0.04851,217,24316,0.04091,0.05695
76,76,2018,1st Quintile,Often,0.16446,732,24316,0.14733,0.18325
77,77,2018,1st Quintile,Sometimes,0.28844,1451,24316,0.26877,0.30802
78,78,2018,1st Quintile,Seldom,0.25936,1208,24316,0.24175,0.27828
79,79,2018,1st Quintile,Never,0.23922,1041,24316,0.22268,0.25714
80,80,2018,2nd Quintile,Very often,0.02809,163,24316,0.02378,0.03456
81,81,2018,2nd Quintile,Often,0.13266,768,24316,0.12289,0.1435
82,82,2018,2nd Quintile,Sometimes,0.3224,1722,24316,0.30152,0.33935
83,83,2018,2nd Quintile,Seldom,0.30806,1561,24316,0.29125,0.32852
84,84,2018,2nd Quintile,Never,0.20879,1027,24316,0.19606,0.22297
85,85,2018,3rd Quintile,Very often,0.03095,162,24316,0.02649,0.0364
86,86,2018,3rd Quintile,Often,0.16383,768,24316,0.15172,0.17773
87,87,2018,3rd Quintile,Sometimes,0.34771,1686,24316,0.33069,0.36528
88,88,2018,3rd Quintile,Seldom,0.31042,1477,24316,0.29447,0.32664
89,89,2018,3rd Quintile,Never,0.1471,654,24316,0.13607,0.15627
90,90,2018,4th Quintile,Very often,0.03305,153,24316,0.02639,0.03936
91,91,2018,4th Quintile,Often,0.17732,797,24316,0.16509,0.19079
92,92,2018,4th Quintile,Sometimes,0.36809,1747,24316,0.3481,0.38538
93,93,2018,4th Quintile,Seldom,0.31327,1441,24316,0.29441,0.33121
94,94,2018,4th Quintile,Never,0.10826,465,24316,0.09858,0.1166
95,95,2018,5th Quintile,Very often,0.03783,206,24316,0.03014,0.04567
96,96,2018,5th Quintile,Often,0.19416,988,24316,0.18056,0.20698
97,97,2018,5th Quintile,Sometimes,0.38277,1952,24316,0.36632,0.40414
98,98,2018,5th Quintile,Seldom,0.29927,1551,24316,0.28307,0.31687
99,99,2018,5th Quintile,Never,0.08597,379,24316,0.07729,0.09664
