year,age_gr,sampreg,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,17-29 y.,West,Often,0.25221,617,2327,0.23456,0.26986
2008,17-29 y.,West,Sometimes,0.41955,947,2327,0.39950,0.43961
2008,17-29 y.,West,Seldom,0.20121,461,2327,0.18492,0.21750
2008,17-29 y.,West,Never,0.06252,138,2327,0.05268,0.07236
2008,17-29 y.,East,Very often,0.04553,42,823,0.03128,0.05978
2008,17-29 y.,East,Often,0.24820,210,823,0.21867,0.27773
2008,17-29 y.,East,Sometimes,0.41783,332,823,0.38411,0.45155
2008,17-29 y.,East,Seldom,0.20473,176,823,0.17715,0.23232
2008,17-29 y.,East,Never,0.08371,63,823,0.06478,0.10265
2008,30-45 y.,West,Very often,0.04433,163,4005,0.03796,0.05071
2008,30-45 y.,West,Often,0.18192,743,4005,0.16997,0.19387
2008,30-45 y.,West,Sometimes,0.39714,1609,4005,0.38198,0.41229
2008,30-45 y.,West,Seldom,0.27614,1109,4005,0.26230,0.28999
2008,30-45 y.,West,Never,0.10047,381,4005,0.09115,0.10978
2008,30-45 y.,East,Very often,0.02815,42,1145,0.01857,0.03774
2008,30-45 y.,East,Often,0.16391,193,1145,0.14246,0.18536
2008,30-45 y.,East,Sometimes,0.36753,440,1145,0.33959,0.39546
2008,30-45 y.,East,Seldom,0.32989,353,1145,0.30264,0.35714
2008,30-45 y.,East,Never,0.11052,117,1145,0.09235,0.12869
2008,46-65 y.,West,Very often,0.02129,112,4974,0.01728,0.02531
2008,46-65 y.,West,Often,0.13662,739,4974,0.12708,0.14617
2008,46-65 y.,West,Sometimes,0.31269,1635,4974,0.29980,0.32557
2008,46-65 y.,West,Seldom,0.32514,1614,4974,0.31212,0.33816
2008,46-65 y.,West,Never,0.20425,874,4974,0.19305,0.21546
2008,46-65 y.,East,Very often,0.02199,36,1670,0.01496,0.02903
2008,46-65 y.,East,Often,0.12841,210,1670,0.11236,0.14446
2008,46-65 y.,East,Sometimes,0.31977,556,1670,0.29739,0.34214
2008,46-65 y.,East,Seldom,0.33973,564,1670,0.31701,0.36246
2008,46-65 y.,East,Never,0.19010,304,1670,0.17127,0.20892
2008,66 and older,West,Very often,0.01038,38,3130,0.00683,0.01394
2008,66 and older,West,Often,0.06979,226,3130,0.06086,0.07872
2008,66 and older,West,Sometimes,0.23619,755,3130,0.22130,0.25107
2008,66 and older,West,Seldom,0.31073,1011,3130,0.29451,0.32694
2008,66 and older,West,Never,0.37291,1100,3130,0.35597,0.38985
2008,66 and older,East,Often,0.07335,74,1089,0.05786,0.08884
2008,66 and older,East,Sometimes,0.24896,286,1089,0.22327,0.27466
2008,66 and older,East,Seldom,0.34280,376,1089,0.31460,0.37100
2008,66 and older,East,Never,0.32210,353,1089,0.29434,0.34987
2013,17-29 y.,West,Very often,0.04687,147,2859,0.03912,0.05462
2013,17-29 y.,West,Often,0.26377,732,2859,0.24761,0.27993
2013,17-29 y.,West,Sometimes,0.38971,1113,2859,0.37183,0.40759
2013,17-29 y.,West,Seldom,0.23037,661,2859,0.21493,0.24581
2013,17-29 y.,West,Never,0.06928,206,2859,0.05997,0.07859
2013,17-29 y.,East,Often,0.19221,141,675,0.16246,0.22196
2013,17-29 y.,East,Sometimes,0.39938,241,675,0.36240,0.43635
2013,17-29 y.,East,Seldom,0.29055,208,675,0.25627,0.32482
2013,17-29 y.,East,Never,0.08534,85,675,0.06425,0.10644
2013,30-45 y.,West,Very often,0.04046,217,6283,0.03558,0.04533
2013,30-45 y.,West,Often,0.18680,1195,6283,0.17717,0.19644
2013,30-45 y.,West,Sometimes,0.40333,2418,6283,0.39120,0.41546
2013,30-45 y.,West,Seldom,0.28896,1863,6283,0.27775,0.30017
2013,30-45 y.,West,Never,0.08045,590,6283,0.07372,0.08717
2013,30-45 y.,East,Very often,0.02267,47,1703,0.01560,0.02974
2013,30-45 y.,East,Often,0.15536,259,1703,0.13815,0.17257
2013,30-45 y.,East,Sometimes,0.36846,625,1703,0.34554,0.39138
2013,30-45 y.,East,Seldom,0.35521,570,1703,0.33247,0.37795
2013,30-45 y.,East,Never,0.09830,202,1703,0.08415,0.11244
2013,46-65 y.,West,Very often,0.01526,134,6885,0.01237,0.01816
2013,46-65 y.,West,Often,0.14685,1069,6885,0.13849,0.15521
2013,46-65 y.,West,Sometimes,0.35077,2518,6885,0.33950,0.36205
2013,46-65 y.,West,Seldom,0.34935,2284,6885,0.33809,0.36061
2013,46-65 y.,West,Never,0.13777,880,6885,0.12962,0.14591
2013,46-65 y.,East,Very often,0.01067,36,2072,0.00625,0.01510
2013,46-65 y.,East,Often,0.09071,220,2072,0.07834,0.10308
2013,46-65 y.,East,Sometimes,0.34938,678,2072,0.32884,0.36991
2013,46-65 y.,East,Seldom,0.34115,720,2072,0.32073,0.36157
2013,46-65 y.,East,Never,0.20809,418,2072,0.19060,0.22557
2013,66 and older,West,Very often,0.01650,54,3685,0.01239,0.02061
2013,66 and older,West,Often,0.07782,327,3685,0.06917,0.08647
2013,66 and older,West,Sometimes,0.23393,904,3685,0.22026,0.24760
2013,66 and older,West,Seldom,0.35395,1320,3685,0.33851,0.36939
2013,66 and older,West,Never,0.31780,1080,3685,0.30276,0.33284
2013,66 and older,East,Often,0.07557,84,1210,0.06067,0.09047
2013,66 and older,East,Sometimes,0.22368,277,1210,0.20019,0.24716
2013,66 and older,East,Seldom,0.32319,425,1210,0.29683,0.34955
2013,66 and older,East,Never,0.36681,424,1210,0.33964,0.39397
2018,17-29 y.,West,Very often,0.07313,239,3535,0.06455,0.08172
2018,17-29 y.,West,Often,0.24333,839,3535,0.22919,0.25748
2018,17-29 y.,West,Sometimes,0.36690,1305,3535,0.35101,0.38280
2018,17-29 y.,West,Seldom,0.23272,843,3535,0.21879,0.24666
2018,17-29 y.,West,Never,0.08390,309,3535,0.07476,0.09305
2018,17-29 y.,East,Very often,0.02014,33,731,0.00995,0.03033
2018,17-29 y.,East,Often,0.21975,156,731,0.18971,0.24979
2018,17-29 y.,East,Sometimes,0.34854,248,731,0.31397,0.38310
2018,17-29 y.,East,Seldom,0.30655,216,731,0.27311,0.34000
2018,17-29 y.,East,Never,0.10501,78,731,0.08277,0.12725
2018,30-45 y.,West,Very often,0.04595,225,5327,0.04033,0.05157
2018,30-45 y.,West,Often,0.19709,1032,5327,0.18640,0.20777
2018,30-45 y.,West,Sometimes,0.37254,1964,5327,0.35956,0.38553
2018,30-45 y.,West,Seldom,0.28110,1461,5327,0.26903,0.29318
2018,30-45 y.,West,Never,0.10332,645,5327,0.09514,0.11149
2018,30-45 y.,East,Very often,0.03975,53,1395,0.02950,0.05001
2018,30-45 y.,East,Often,0.18171,218,1395,0.16147,0.20195
2018,30-45 y.,East,Sometimes,0.35222,497,1395,0.32714,0.37729
2018,30-45 y.,East,Seldom,0.30484,440,1395,0.28068,0.32901
2018,30-45 y.,East,Never,0.12148,187,1395,0.10433,0.13863
2018,46-65 y.,West,Very often,0.03392,273,7482,0.02982,0.03802
2018,46-65 y.,West,Often,0.17147,1241,7482,0.16293,0.18001
2018,46-65 y.,West,Sometimes,0.36830,2779,7482,0.35737,0.37923
2018,46-65 y.,West,Seldom,0.29906,2239,7482,0.28868,0.30943
2018,46-65 y.,West,Never,0.12725,950,7482,0.11970,0.13481
2018,46-65 y.,East,Very often,0.01959,55,2117,0.01369,0.02550
2018,46-65 y.,East,Often,0.11349,259,2117,0.09998,0.12701
2018,46-65 y.,East,Sometimes,0.34101,709,2117,0.32081,0.36121
2018,46-65 y.,East,Seldom,0.32944,696,2117,0.30941,0.34946
2018,46-65 y.,East,Never,0.19647,398,2117,0.17954,0.21340
2018,66 and older,West,Very often,0.01853,83,3734,0.01421,0.02286
2018,66 and older,West,Often,0.10954,436,3734,0.09952,0.11956
2018,66 and older,West,Sometimes,0.27596,1099,3734,0.26162,0.29030
2018,66 and older,West,Seldom,0.33655,1222,3734,0.32139,0.35171
2018,66 and older,West,Never,0.25941,894,3734,0.24535,0.27347
2018,66 and older,East,Often,0.09448,109,1221,0.07807,0.11090
2018,66 and older,East,Sometimes,0.27536,330,1221,0.25030,0.30043
2018,66 and older,East,Seldom,0.32976,416,1221,0.30338,0.35614
2018,66 and older,East,Never,0.28956,366,1221,0.26411,0.31501
