"pld0043","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Selten","2003","(Fach-)Abitur","direkter Migrationshintergrund","103","","",""
"Selten","2003","(Fach-)Abitur","indirekter Migrationshintergrund","17","","",""
"Selten","2003","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2003","AkademikerIn","kein Migrationshintergrund","1113","","",""
"Selten","2003","AkademikerIn","direkter Migrationshintergrund","88","0.238580220873114","0.194914881133953","0.282245560612275"
"Selten","2003","AkademikerIn","indirekter Migrationshintergrund","9","0.130172962823696","0.047081833316351","0.21326409233104"
"Selten","2003","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2003","(noch) kein Abschluss","kein Migrationshintergrund","37","0.0957722198742067","0.0718641069525173","0.119680332795896"
"Nie","2003","(noch) kein Abschluss","direkter Migrationshintergrund","70","0.309484335099183","0.249214503927452","0.369754166270914"
"Nie","2003","(noch) kein Abschluss","indirekter Migrationshintergrund","6","0.160025189640705","0.079685452956289","0.24036492632512"
"Nie","2003","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2003","Hauptschule","kein Migrationshintergrund","1915","","",""
"Nie","2003","Hauptschule","direkter Migrationshintergrund","396","0.284682498566135","0.260574821183785","0.308790175948485"
"Nie","2003","Hauptschule","indirekter Migrationshintergrund","39","0.147722358381906","0.104172006862622","0.191272709901189"
"Nie","2003","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2003","Realschule","kein Migrationshintergrund","599","0.121468336756557","0.112712387205108","0.130224286308005"
"Nie","2003","Realschule","direkter Migrationshintergrund","26","","",""
"Nie","2003","Realschule","indirekter Migrationshintergrund","13","","",""
"Nie","2003","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2003","(Fach-)Abitur","kein Migrationshintergrund","121","","",""
"Nie","2003","(Fach-)Abitur","direkter Migrationshintergrund","79","0.189009714298331","0.150832230866606","0.227187197730056"
"Nie","2003","(Fach-)Abitur","indirekter Migrationshintergrund","14","","",""
"Nie","2003","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2003","AkademikerIn","kein Migrationshintergrund","300","0.0873123699199114","0.0784584305771158","0.096166309262707"
"Nie","2003","AkademikerIn","direkter Migrationshintergrund","59","0.159923839873232","0.122372669017471","0.197475010728993"
"Nie","2003","AkademikerIn","indirekter Migrationshintergrund","2","","",""
"Nie","2003","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2004","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Sehr oft","2004","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Sehr oft","2004","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Sehr oft","2004","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2004","Hauptschule","kein Migrationshintergrund","","","",""
"Sehr oft","2004","Hauptschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2004","Hauptschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2004","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2004","Realschule","kein Migrationshintergrund","","","",""
"Sehr oft","2004","Realschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2004","Realschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2004","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2004","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Sehr oft","2004","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Sehr oft","2004","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Sehr oft","2004","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2004","AkademikerIn","kein Migrationshintergrund","","","",""
"Sehr oft","2004","AkademikerIn","direkter Migrationshintergrund","","","",""
"Sehr oft","2004","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Sehr oft","2004","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2004","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Oft","2004","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Oft","2004","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Oft","2004","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2004","Hauptschule","kein Migrationshintergrund","","","",""
"Oft","2004","Hauptschule","direkter Migrationshintergrund","","","",""
"Oft","2004","Hauptschule","indirekter Migrationshintergrund","","","",""
"Oft","2004","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2004","Realschule","kein Migrationshintergrund","","","",""
"Oft","2004","Realschule","direkter Migrationshintergrund","","","",""
"Oft","2004","Realschule","indirekter Migrationshintergrund","","","",""
"Oft","2004","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2004","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Oft","2004","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Oft","2004","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Oft","2004","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2004","AkademikerIn","kein Migrationshintergrund","","","",""
"Oft","2004","AkademikerIn","direkter Migrationshintergrund","","","",""
"Oft","2004","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Oft","2004","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2004","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Manchmal","2004","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Manchmal","2004","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Manchmal","2004","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2004","Hauptschule","kein Migrationshintergrund","","","",""
"Manchmal","2004","Hauptschule","direkter Migrationshintergrund","","","",""
"Manchmal","2004","Hauptschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2004","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2004","Realschule","kein Migrationshintergrund","","","",""
"Manchmal","2004","Realschule","direkter Migrationshintergrund","","","",""
"Manchmal","2004","Realschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2004","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2004","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Manchmal","2004","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Manchmal","2004","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Manchmal","2004","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2004","AkademikerIn","kein Migrationshintergrund","","","",""
"Manchmal","2004","AkademikerIn","direkter Migrationshintergrund","","","",""
"Manchmal","2004","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Manchmal","2004","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2004","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Selten","2004","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Selten","2004","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Selten","2004","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2004","Hauptschule","kein Migrationshintergrund","","","",""
"Selten","2004","Hauptschule","direkter Migrationshintergrund","","","",""
"Selten","2004","Hauptschule","indirekter Migrationshintergrund","","","",""
"Selten","2004","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2004","Realschule","kein Migrationshintergrund","","","",""
"Selten","2004","Realschule","direkter Migrationshintergrund","","","",""
"Selten","2004","Realschule","indirekter Migrationshintergrund","","","",""
"Selten","2004","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2004","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Selten","2004","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Selten","2004","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Selten","2004","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2004","AkademikerIn","kein Migrationshintergrund","","","",""
"Selten","2004","AkademikerIn","direkter Migrationshintergrund","","","",""
"Selten","2004","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Selten","2004","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2004","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nie","2004","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nie","2004","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","2004","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2004","Hauptschule","kein Migrationshintergrund","","","",""
"Nie","2004","Hauptschule","direkter Migrationshintergrund","","","",""
"Nie","2004","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nie","2004","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2004","Realschule","kein Migrationshintergrund","","","",""
"Nie","2004","Realschule","direkter Migrationshintergrund","","","",""
"Nie","2004","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","2004","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2004","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nie","2004","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nie","2004","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","2004","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2004","AkademikerIn","kein Migrationshintergrund","","","",""
"Nie","2004","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nie","2004","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","2004","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2005","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Sehr oft","2005","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Sehr oft","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Sehr oft","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2005","Hauptschule","kein Migrationshintergrund","","","",""
"Sehr oft","2005","Hauptschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2005","Hauptschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2005","Realschule","kein Migrationshintergrund","","","",""
"Sehr oft","2005","Realschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2005","Realschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2005","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Sehr oft","2005","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Sehr oft","2005","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Sehr oft","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2005","AkademikerIn","kein Migrationshintergrund","","","",""
"Sehr oft","2005","AkademikerIn","direkter Migrationshintergrund","","","",""
"Sehr oft","2005","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Sehr oft","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2005","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Oft","2005","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Oft","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Oft","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2005","Hauptschule","kein Migrationshintergrund","","","",""
"Oft","2005","Hauptschule","direkter Migrationshintergrund","","","",""
"Oft","2005","Hauptschule","indirekter Migrationshintergrund","","","",""
"Oft","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2005","Realschule","kein Migrationshintergrund","","","",""
"Oft","2005","Realschule","direkter Migrationshintergrund","","","",""
"Oft","2005","Realschule","indirekter Migrationshintergrund","","","",""
"Oft","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2005","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Oft","2005","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Oft","2005","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Oft","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2005","AkademikerIn","kein Migrationshintergrund","","","",""
"Oft","2005","AkademikerIn","direkter Migrationshintergrund","","","",""
"Oft","2005","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Oft","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2005","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Manchmal","2005","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Manchmal","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Manchmal","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2005","Hauptschule","kein Migrationshintergrund","","","",""
"Manchmal","2005","Hauptschule","direkter Migrationshintergrund","","","",""
"Manchmal","2005","Hauptschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2005","Realschule","kein Migrationshintergrund","","","",""
"Manchmal","2005","Realschule","direkter Migrationshintergrund","","","",""
"Manchmal","2005","Realschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2005","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Manchmal","2005","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Manchmal","2005","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Manchmal","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2005","AkademikerIn","kein Migrationshintergrund","","","",""
"Manchmal","2005","AkademikerIn","direkter Migrationshintergrund","","","",""
"Manchmal","2005","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Manchmal","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2005","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Selten","2005","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Selten","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Selten","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2005","Hauptschule","kein Migrationshintergrund","","","",""
"Selten","2005","Hauptschule","direkter Migrationshintergrund","","","",""
"Selten","2005","Hauptschule","indirekter Migrationshintergrund","","","",""
"Selten","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2005","Realschule","kein Migrationshintergrund","","","",""
"Selten","2005","Realschule","direkter Migrationshintergrund","","","",""
"Selten","2005","Realschule","indirekter Migrationshintergrund","","","",""
"Selten","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2005","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Selten","2005","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Selten","2005","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Selten","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2005","AkademikerIn","kein Migrationshintergrund","","","",""
"Selten","2005","AkademikerIn","direkter Migrationshintergrund","","","",""
"Selten","2005","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Selten","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2005","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nie","2005","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nie","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2005","Hauptschule","kein Migrationshintergrund","","","",""
"Nie","2005","Hauptschule","direkter Migrationshintergrund","","","",""
"Nie","2005","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nie","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2005","Realschule","kein Migrationshintergrund","","","",""
"Nie","2005","Realschule","direkter Migrationshintergrund","","","",""
"Nie","2005","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2005","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nie","2005","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nie","2005","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2005","AkademikerIn","kein Migrationshintergrund","","","",""
"Nie","2005","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nie","2005","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2006","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Sehr oft","2006","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Sehr oft","2006","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Sehr oft","2006","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2006","Hauptschule","kein Migrationshintergrund","","","",""
"Sehr oft","2006","Hauptschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2006","Hauptschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2006","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2006","Realschule","kein Migrationshintergrund","","","",""
"Sehr oft","2006","Realschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2006","Realschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2006","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2006","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Sehr oft","2006","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Sehr oft","2006","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Sehr oft","2006","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2006","AkademikerIn","kein Migrationshintergrund","","","",""
"Sehr oft","2006","AkademikerIn","direkter Migrationshintergrund","","","",""
"Sehr oft","2006","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Sehr oft","2006","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2006","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Oft","2006","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Oft","2006","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Oft","2006","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2006","Hauptschule","kein Migrationshintergrund","","","",""
"Oft","2006","Hauptschule","direkter Migrationshintergrund","","","",""
"Oft","2006","Hauptschule","indirekter Migrationshintergrund","","","",""
"Oft","2006","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2006","Realschule","kein Migrationshintergrund","","","",""
"Oft","2006","Realschule","direkter Migrationshintergrund","","","",""
"Oft","2006","Realschule","indirekter Migrationshintergrund","","","",""
"Oft","2006","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2006","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Oft","2006","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Oft","2006","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Oft","2006","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2006","AkademikerIn","kein Migrationshintergrund","","","",""
"Oft","2006","AkademikerIn","direkter Migrationshintergrund","","","",""
"Oft","2006","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Oft","2006","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2006","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Manchmal","2006","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Manchmal","2006","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
