"year","migback","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1993","kein Migrationshintergrund","Staedtischer Raum","6.85","6.5","6007","6.8","6.9"
"1994","direkter Migrationshintergrund","Laendlicher Raum","6.47","6.5","380","6.26","6.68"
"1994","direkter Migrationshintergrund","Staedtischer Raum","6.78","6.5","1947","6.69","6.87"
"1994","indirekter Migrationshintergrund","Laendlicher Raum","7.84","7.5","70","7.46","8.22"
"1994","indirekter Migrationshintergrund","Staedtischer Raum","7.64","7.5","408","7.48","7.8"
"1994","kein Migrationshintergrund","Laendlicher Raum","6.67","6.5","3915","6.61","6.73"
"1994","kein Migrationshintergrund","Staedtischer Raum","6.91","6.5","5949","6.86","6.96"
"1995","direkter Migrationshintergrund","Laendlicher Raum","7.06","7.5","465","6.88","7.24"
"1995","direkter Migrationshintergrund","Staedtischer Raum","7.02","7.5","2272","6.94","7.1"
"1995","indirekter Migrationshintergrund","Laendlicher Raum","7.36","7.5","77","7.01","7.71"
"1995","indirekter Migrationshintergrund","Staedtischer Raum","7.51","7.5","419","7.35","7.67"
"1995","kein Migrationshintergrund","Laendlicher Raum","6.73","6.5","3987","6.67","6.79"
"1995","kein Migrationshintergrund","Staedtischer Raum","6.89","6.5","5861","6.84","6.94"
"1996","direkter Migrationshintergrund","Laendlicher Raum","6.54","6.5","456","6.35","6.73"
"1996","direkter Migrationshintergrund","Staedtischer Raum","6.78","6.5","2099","6.7","6.86"
"1996","indirekter Migrationshintergrund","Laendlicher Raum","7.06","6.5","88","6.57","7.55"
"1996","indirekter Migrationshintergrund","Staedtischer Raum","7.52","7.5","448","7.37","7.67"
"1996","kein Migrationshintergrund","Laendlicher Raum","6.54","6.5","3964","6.48","6.6"
"1996","kein Migrationshintergrund","Staedtischer Raum","6.84","6.5","5858","6.79","6.89"
"1997","direkter Migrationshintergrund","Laendlicher Raum","6.29","5.5","429","6.1","6.48"
"1997","direkter Migrationshintergrund","Staedtischer Raum","6.74","6.5","2012","6.65","6.83"
"1997","indirekter Migrationshintergrund","Laendlicher Raum","7.49","7.5","86","7.11","7.87"
"1997","indirekter Migrationshintergrund","Staedtischer Raum","7.35","7.5","470","7.19","7.51"
"1997","kein Migrationshintergrund","Laendlicher Raum","6.38","6.5","3916","6.32","6.44"
"1997","kein Migrationshintergrund","Staedtischer Raum","6.62","6.5","5772","6.57","6.67"
"1998","direkter Migrationshintergrund","Laendlicher Raum","6.64","6.5","412","6.44","6.84"
"1998","direkter Migrationshintergrund","Staedtischer Raum","7.05","6.5","1956","6.97","7.13"
"1998","indirekter Migrationshintergrund","Laendlicher Raum","7.77","7.5","92","7.43","8.11"
"1998","indirekter Migrationshintergrund","Staedtischer Raum","7.73","7.5","502","7.59","7.87"
"1998","kein Migrationshintergrund","Laendlicher Raum","6.64","6.5","4430","6.58","6.7"
"1998","kein Migrationshintergrund","Staedtischer Raum","6.92","6.5","6669","6.87","6.97"
"1999","direkter Migrationshintergrund","Laendlicher Raum","6.86","6.5","359","6.66","7.06"
"1999","direkter Migrationshintergrund","Staedtischer Raum","7.01","7.5","1819","6.92","7.1"
"1999","indirekter Migrationshintergrund","Laendlicher Raum","7.31","7.5","87","6.94","7.68"
"1999","indirekter Migrationshintergrund","Staedtischer Raum","7.63","7.5","511","7.48","7.78"
"1999","kein Migrationshintergrund","Laendlicher Raum","6.85","6.5","4308","6.79","6.91"
"1999","kein Migrationshintergrund","Staedtischer Raum","7.05","7.5","6397","7","7.1"
"2000","direkter Migrationshintergrund","Laendlicher Raum","6.99","6.5","578","6.83","7.15"
"2000","direkter Migrationshintergrund","Staedtischer Raum","7.24","7.5","2653","7.17","7.31"
"2000","indirekter Migrationshintergrund","Laendlicher Raum","7.58","7.5","115","7.28","7.88"
"2000","indirekter Migrationshintergrund","Staedtischer Raum","7.9","7.5","684","7.78","8.02"
"2000","kein Migrationshintergrund","Laendlicher Raum","6.89","6.5","7583","6.85","6.93"
"2000","kein Migrationshintergrund","Staedtischer Raum","7.15","7.5","11949","7.12","7.18"
"2001","direkter Migrationshintergrund","Laendlicher Raum","7.24","7.5","516","7.08","7.4"
"2001","direkter Migrationshintergrund","Staedtischer Raum","7.26","7.5","2324","7.19","7.33"
"2001","indirekter Migrationshintergrund","Laendlicher Raum","7.86","7.5","100","7.56","8.16"
"2001","indirekter Migrationshintergrund","Staedtischer Raum","7.99","7.5","650","7.87","8.11"
"2001","kein Migrationshintergrund","Laendlicher Raum","6.92","6.5","6872","6.87","6.97"
"2001","kein Migrationshintergrund","Staedtischer Raum","7.24","7.5","10910","7.21","7.27"
"2002","direkter Migrationshintergrund","Laendlicher Raum","6.79","6.5","470","6.61","6.97"
"2002","direkter Migrationshintergrund","Staedtischer Raum","7.03","6.5","2232","6.95","7.11"
"2002","indirekter Migrationshintergrund","Laendlicher Raum","7.74","7.5","96","7.37","8.11"
"2002","indirekter Migrationshintergrund","Staedtischer Raum","7.73","7.5","658","7.61","7.85"
"2002","kein Migrationshintergrund","Laendlicher Raum","6.66","6.5","6991","6.61","6.71"
"2002","kein Migrationshintergrund","Staedtischer Raum","7.02","6.5","11910","6.99","7.05"
"2003","direkter Migrationshintergrund","Laendlicher Raum","6.67","6.5","452","6.47","6.87"
"2003","direkter Migrationshintergrund","Staedtischer Raum","6.88","6.5","2072","6.8","6.96"
"2003","indirekter Migrationshintergrund","Laendlicher Raum","6.94","6.5","101","6.56","7.32"
"2003","indirekter Migrationshintergrund","Staedtischer Raum","7.62","7.5","663","7.49","7.75"
"2003","kein Migrationshintergrund","Laendlicher Raum","6.53","6.5","6741","6.48","6.58"
"2003","kein Migrationshintergrund","Staedtischer Raum","6.91","6.5","11600","6.88","6.94"
"2004","direkter Migrationshintergrund","Laendlicher Raum","6.8","6.5","439","6.61","6.99"
"2004","direkter Migrationshintergrund","Staedtischer Raum","6.67","6.5","2027","6.58","6.76"
"2004","indirekter Migrationshintergrund","Laendlicher Raum","6.69","6.5","117","6.3","7.08"
"2004","indirekter Migrationshintergrund","Staedtischer Raum","7.43","7.5","670","7.3","7.56"
"2004","kein Migrationshintergrund","Laendlicher Raum","6.35","6.5","6576","6.3","6.4"
"2004","kein Migrationshintergrund","Staedtischer Raum","6.72","6.5","11236","6.68","6.76"
"2005","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2005","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2005","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2005","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2005","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2005","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2006","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2006","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2006","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2006","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2006","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2006","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2007","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2007","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2007","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2007","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2007","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2007","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2008","direkter Migrationshintergrund","Laendlicher Raum","6.87","6.5","345","6.63","7.11"
"2008","direkter Migrationshintergrund","Staedtischer Raum","6.77","6.5","1485","6.66","6.88"
"2008","indirekter Migrationshintergrund","Laendlicher Raum","7.52","7.5","111","7.11","7.93"
"2008","indirekter Migrationshintergrund","Staedtischer Raum","7.76","7.5","641","7.63","7.89"
"2008","kein Migrationshintergrund","Laendlicher Raum","6.66","6.5","6023","6.61","6.71"
"2008","kein Migrationshintergrund","Staedtischer Raum","6.9","6.5","10048","6.86","6.94"
"2009","direkter Migrationshintergrund","Laendlicher Raum","6.74","6.5","323","6.5","6.98"
"2009","direkter Migrationshintergrund","Staedtischer Raum","6.73","6.5","1304","6.62","6.84"
"2009","indirekter Migrationshintergrund","Laendlicher Raum","7.16","7.5","118","6.82","7.5"
"2009","indirekter Migrationshintergrund","Staedtischer Raum","7.6","7.5","583","7.47","7.73"
"2009","kein Migrationshintergrund","Laendlicher Raum","6.66","6.5","5787","6.61","6.71"
"2009","kein Migrationshintergrund","Staedtischer Raum","6.93","6.5","9434","6.89","6.97"
"2010","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2010","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2010","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2010","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2010","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2010","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2011","direkter Migrationshintergrund","Laendlicher Raum","6.89","6.5","372","6.67","7.11"
"2011","direkter Migrationshintergrund","Staedtischer Raum","6.96","6.5","1255","6.85","7.07"
"2011","indirekter Migrationshintergrund","Laendlicher Raum","7.19","7.5","124","6.83","7.55"
"2011","indirekter Migrationshintergrund","Staedtischer Raum","7.71","7.5","571","7.58","7.84"
"2011","kein Migrationshintergrund","Laendlicher Raum","6.74","6.5","5850","6.69","6.79"
"2011","kein Migrationshintergrund","Staedtischer Raum","7.07","7.5","9580","7.03","7.11"
"2012","direkter Migrationshintergrund","Laendlicher Raum","7.88","7.5","301","7.68","8.08"
"2012","direkter Migrationshintergrund","Staedtischer Raum","7.91","7.5","781","7.79","8.03"
"2012","indirekter Migrationshintergrund","Laendlicher Raum","8.09","7.5","100","7.76","8.42"
"2012","indirekter Migrationshintergrund","Staedtischer Raum","8.05","7.5","379","7.88","8.22"
"2012","kein Migrationshintergrund","Laendlicher Raum","7.61","7.5","2279","7.54","7.68"
"2012","kein Migrationshintergrund","Staedtischer Raum","7.88","7.5","3207","7.82","7.94"
"2013","direkter Migrationshintergrund","Laendlicher Raum","7.54","7.5","1248","7.43","7.65"
"2013","direkter Migrationshintergrund","Staedtischer Raum","7.56","7.5","3870","7.5","7.62"
"2013","indirekter Migrationshintergrund","Laendlicher Raum","7.88","7.5","267","7.68","8.08"
"2013","indirekter Migrationshintergrund","Staedtischer Raum","8.33","8.5","1342","8.24","8.42"
"2013","kein Migrationshintergrund","Laendlicher Raum","6.98","7.5","6163","6.93","7.03"
"2013","kein Migrationshintergrund","Staedtischer Raum","7.22","7.5","10108","7.18","7.26"
"2014","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2014","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2014","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2014","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2014","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2014","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2015","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2015","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2015","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2015","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2015","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2015","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2016","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2016","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2016","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2016","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2016","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2016","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2017","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2017","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2017","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2017","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2017","kein Migrationshintergrund","Laendlicher Raum","","","","",""
"2017","kein Migrationshintergrund","Staedtischer Raum","","","","",""
"2018","direkter Migrationshintergrund","Laendlicher Raum","7.68","7.5","1071","7.57","7.79"
"2018","direkter Migrationshintergrund","Staedtischer Raum","7.7","7.5","3092","7.63","7.77"
"2018","indirekter Migrationshintergrund","Laendlicher Raum","7.87","7.5","310","7.69","8.05"
"2018","indirekter Migrationshintergrund","Staedtischer Raum","8.29","8.5","1348","8.2","8.38"
"2018","kein Migrationshintergrund","Laendlicher Raum","7.31","7.5","7219","7.27","7.35"
"2018","kein Migrationshintergrund","Staedtischer Raum","7.53","7.5","11443","7.5","7.56"
