"year","migback","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"1997","direkter Migrationshintergrund","6.65","6.5","2441","4","5","8","9","10","6.57","6.73","0","10","7","7"
"1997","indirekter Migrationshintergrund","7.38","7.5","556","5","6","9","9","10","7.23","7.53","0","10","8","8"
"1997","kein Migrationshintergrund","6.54","6.5","9689","4","5","8","9","10","6.5","6.58","0","10","7","7"
"1997","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1998","direkter Migrationshintergrund","6.97","6.5","2368","4","6","8","9","10","6.89","7.05","0","10","7","8"
"1998","indirekter Migrationshintergrund","7.74","7.5","594","5","7","9","10","10","7.61","7.87","2","10","8","8"
"1998","kein Migrationshintergrund","6.83","6.5","11099","4","5","8","9","10","6.79","6.87","0","10","7","7"
"1998","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1999","direkter Migrationshintergrund","6.99","6.5","2178","4","6","8","9","10","6.91","7.07","0","10","7","8"
"1999","indirekter Migrationshintergrund","7.59","7.5","598","5","7","9","9","10","7.45","7.73","0","10","8","8"
"1999","kein Migrationshintergrund","6.98","6.5","10705","4","6","8","9","10","6.94","7.02","0","10","7","8"
"1999","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2000","direkter Migrationshintergrund","7.19","7.5","3231","5","6","9","9","10","7.12","7.26","0","10","7","8"
"2000","indirekter Migrationshintergrund","7.86","7.5","799","6","7","9","10","10","7.75","7.97","0","10","8","8"
"2000","kein Migrationshintergrund","7.06","7.5","19532","5","6","8","9","10","7.03","7.09","0","10","8","8"
"2000","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2001","direkter Migrationshintergrund","7.26","7.5","2840","5","6","9","9","10","7.19","7.33","0","10","8","8"
"2001","indirekter Migrationshintergrund","7.97","7.5","750","6","7","9","10","10","7.86","8.08","0","10","8","8"
"2001","kein Migrationshintergrund","7.13","7.5","17782","5","6","8","9","10","7.1","7.16","0","10","8","8"
"2001","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2002","direkter Migrationshintergrund","6.98","6.5","2702","4","6","8","9","10","6.91","7.05","0","10","7","8"
"2002","indirekter Migrationshintergrund","7.73","7.5","754","5","7","9","9","10","7.62","7.84","0","10","8","8"
"2002","kein Migrationshintergrund","6.89","6.5","18901","4","6","8","9","10","6.86","6.92","0","10","7","8"
"2002","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2003","direkter Migrationshintergrund","6.84","6.5","2524","4","6","8","9","10","6.76","6.92","0","10","7","7"
"2003","indirekter Migrationshintergrund","7.53","7.5","764","5","7","9","10","10","7.41","7.65","0","10","8","8"
"2003","kein Migrationshintergrund","6.78","6.5","18341","4","5","8","9","10","6.75","6.81","0","10","7","7"
"2003","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2004","direkter Migrationshintergrund","6.69","6.5","2466","4","5","8","9","10","6.61","6.77","0","10","7","7"
"2004","indirekter Migrationshintergrund","7.31","7.5","787","5","6","9","10","10","7.18","7.44","0","10","8","8"
"2004","kein Migrationshintergrund","6.59","6.5","17812","4","5","8","9","10","6.56","6.62","0","10","7","7"
"2004","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2005","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2005","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2005","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2005","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2006","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2006","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2006","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2006","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2007","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2007","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2008","direkter Migrationshintergrund","6.79","6.5","1830","4","5","8","9","10","6.69","6.89","0","10","7","7"
"2008","indirekter Migrationshintergrund","7.71","7.5","752","5","7","9","10","10","7.58","7.84","0","10","8","8"
"2008","kein Migrationshintergrund","6.82","6.5","16071","4","5","8","9","10","6.79","6.85","0","10","7","7"
"2008","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2009","direkter Migrationshintergrund","6.73","6.5","1627","4","5","8","9","10","6.63","6.83","0","10","7","7"
"2009","indirekter Migrationshintergrund","7.51","7.5","701","5","7","9","10","10","7.39","7.63","0","10","8","8"
"2009","kein Migrationshintergrund","6.84","6.5","15221","4","5","8","9","10","6.81","6.87","0","10","7","7"
"2009","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2010","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2010","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2010","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2010","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2011","direkter Migrationshintergrund","6.94","6.5","1627","4","6","8","9","10","6.84","7.04","0","10","7","8"
"2011","indirekter Migrationshintergrund","7.61","7.5","695","5","7","9","10","10","7.48","7.74","0","10","8","8"
"2011","kein Migrationshintergrund","6.96","6.5","15430","4","6","8","9","10","6.93","6.99","0","10","7","8"
"2011","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2012","direkter Migrationshintergrund","7.9","7.5","1082","5","7","9","10","10","7.8","8","0","10","8","8"
"2012","indirekter Migrationshintergrund","8.06","7.5","479","6","7","9","10","10","7.91","8.21","0","10","8","8"
"2012","kein Migrationshintergrund","7.78","7.5","5486","5","7","9","10","10","7.74","7.82","0","10","8","8"
"2012","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2013","direkter Migrationshintergrund","7.55","7.5","5118","5","6","9","10","10","7.5","7.6","0","10","8","8"
"2013","indirekter Migrationshintergrund","8.24","8.5","1609","6","8","10","10","10","8.16","8.32","0","10","9","9"
"2013","kein Migrationshintergrund","7.13","7.5","16271","4","6","9","9","10","7.1","7.16","0","10","8","8"
"2013","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2014","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2014","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2014","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2014","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2015","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2015","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2015","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2015","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2016","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2016","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2016","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2016","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2017","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2017","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2017","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2017","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2018","direkter Migrationshintergrund","7.69","7.5","4163","5","7","9","10","10","7.63","7.75","0","10","8","8"
"2018","indirekter Migrationshintergrund","8.23","8.5","1658","6","7","9","10","10","8.15","8.31","0","10","9","9"
"2018","kein Migrationshintergrund","7.45","7.5","18662","5","7","9","10","10","7.42","7.48","0","10","8","8"
"2018","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
