"ple0097","year","age_gr","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Weder-noch","1999","46-65","direkter Migrationshintergrund","4","","",""
"Weder-noch","1999","46-65","indirekter Migrationshintergrund","","","",""
"Weder-noch","1999","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","1999","66","kein Migrationshintergrund","","","",""
"Weder-noch","1999","66","direkter Migrationshintergrund","","","",""
"Weder-noch","1999","66","indirekter Migrationshintergrund","","","",""
"Weder-noch","1999","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2000","17-29","kein Migrationshintergrund","3021","0.892914532455836","0.88246360407426","0.903365460837412"
"Gesetzliche KV","2000","17-29","direkter Migrationshintergrund","564","0.948580042516822","0.930789463382744","0.966370621650901"
"Gesetzliche KV","2000","17-29","indirekter Migrationshintergrund","592","0.954123670822824","0.937615377597952","0.970631964047697"
"Gesetzliche KV","2000","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2000","30-45","kein Migrationshintergrund","5921","0.860205472181503","0.851976032762846","0.868434911600161"
"Gesetzliche KV","2000","30-45","direkter Migrationshintergrund","1125","0.942201465606575","0.928858282111038","0.955544649102113"
"Gesetzliche KV","2000","30-45","indirekter Migrationshintergrund","144","0.908340568147704","0.863630942281228","0.953050194014179"
"Gesetzliche KV","2000","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2000","46-65","kein Migrationshintergrund","5606","0.856383159038933","0.84788815353712","0.864878164540746"
"Gesetzliche KV","2000","46-65","direkter Migrationshintergrund","1121","0.928601799563717","0.913922756448994","0.943280842678439"
"Gesetzliche KV","2000","46-65","indirekter Migrationshintergrund","26","","",""
"Gesetzliche KV","2000","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2000","66","kein Migrationshintergrund","","","",""
"Gesetzliche KV","2000","66","direkter Migrationshintergrund","","","",""
"Gesetzliche KV","2000","66","indirekter Migrationshintergrund","","","",""
"Gesetzliche KV","2000","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2000","17-29","kein Migrationshintergrund","307","0.0967997823539447","0.0868063686958597","0.10679319601203"
"Private KV","2000","17-29","direkter Migrationshintergrund","21","","",""
"Private KV","2000","17-29","indirekter Migrationshintergrund","20","","",""
"Private KV","2000","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2000","30-45","kein Migrationshintergrund","861","0.134318628171478","0.126226342118519","0.142410914224436"
"Private KV","2000","30-45","direkter Migrationshintergrund","46","0.0523163772574478","0.0395848742524419","0.0650478802624538"
"Private KV","2000","30-45","indirekter Migrationshintergrund","14","","",""
"Private KV","2000","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2000","46-65","kein Migrationshintergrund","910","0.138282794842471","0.129921118043141","0.146644471641801"
"Private KV","2000","46-65","direkter Migrationshintergrund","53","0.062803022286732","0.0489722935227641","0.0766337510506999"
"Private KV","2000","46-65","indirekter Migrationshintergrund","2","","",""
"Private KV","2000","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2000","66","kein Migrationshintergrund","","","",""
"Private KV","2000","66","direkter Migrationshintergrund","","","",""
"Private KV","2000","66","indirekter Migrationshintergrund","","","",""
"Private KV","2000","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2000","17-29","kein Migrationshintergrund","35","0.0102856851902194","0.00687567091395232","0.0136956994664865"
"Weder-noch","2000","17-29","direkter Migrationshintergrund","7","","",""
"Weder-noch","2000","17-29","indirekter Migrationshintergrund","5","","",""
"Weder-noch","2000","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2000","30-45","kein Migrationshintergrund","39","0.005475899647019","0.00372460402319484","0.00722719527084315"
"Weder-noch","2000","30-45","direkter Migrationshintergrund","4","","",""
"Weder-noch","2000","30-45","indirekter Migrationshintergrund","2","","",""
"Weder-noch","2000","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2000","46-65","kein Migrationshintergrund","31","0.00533404611859579","0.00356965878988356","0.00709843344730802"
"Weder-noch","2000","46-65","direkter Migrationshintergrund","8","","",""
"Weder-noch","2000","46-65","indirekter Migrationshintergrund","","","",""
"Weder-noch","2000","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2000","66","kein Migrationshintergrund","","","",""
"Weder-noch","2000","66","direkter Migrationshintergrund","","","",""
"Weder-noch","2000","66","indirekter Migrationshintergrund","","","",""
"Weder-noch","2000","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2001","17-29","kein Migrationshintergrund","2735","0.892341442835688","0.881343364810992","0.903339520860383"
"Gesetzliche KV","2001","17-29","direkter Migrationshintergrund","476","0.95574480757674","0.937663785061836","0.973825830091645"
"Gesetzliche KV","2001","17-29","indirekter Migrationshintergrund","519","0.932031827082022","0.910978046714866","0.953085607449177"
"Gesetzliche KV","2001","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2001","30-45","kein Migrationshintergrund","5314","0.858402223770061","0.849667563592263","0.86713688394786"
"Gesetzliche KV","2001","30-45","direkter Migrationshintergrund","984","0.935079005912428","0.920097445458545","0.950060566366311"
"Gesetzliche KV","2001","30-45","indirekter Migrationshintergrund","156","0.929852648529768","0.891347620488001","0.968357676571535"
"Gesetzliche KV","2001","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2001","46-65","kein Migrationshintergrund","5145","0.852281702637009","0.84331487123199","0.861248534042027"
"Gesetzliche KV","2001","46-65","direkter Migrationshintergrund","990","0.92176842278701","0.905487016944095","0.938049828629925"
"Gesetzliche KV","2001","46-65","indirekter Migrationshintergrund","28","","",""
"Gesetzliche KV","2001","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2001","66","kein Migrationshintergrund","","","",""
"Gesetzliche KV","2001","66","direkter Migrationshintergrund","","","",""
"Gesetzliche KV","2001","66","indirekter Migrationshintergrund","","","",""
"Gesetzliche KV","2001","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2001","17-29","kein Migrationshintergrund","273","0.0917397412459447","0.0814971250705065","0.101982357421383"
"Private KV","2001","17-29","direkter Migrationshintergrund","17","","",""
"Private KV","2001","17-29","indirekter Migrationshintergrund","26","","",""
"Private KV","2001","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2001","30-45","kein Migrationshintergrund","772","0.135560922628748","0.126984486976585","0.14413735828091"
"Private KV","2001","30-45","direkter Migrationshintergrund","48","0.0580682479808242","0.0438475996349418","0.0722888963267065"
"Private KV","2001","30-45","indirekter Migrationshintergrund","12","","",""
"Private KV","2001","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2001","46-65","kein Migrationshintergrund","842","0.142038532589949","0.133216528489206","0.150860536690692"
"Private KV","2001","46-65","direkter Migrationshintergrund","50","0.0685891098095565","0.0532645437814108","0.0839136758377021"
"Private KV","2001","46-65","indirekter Migrationshintergrund","3","","",""
"Private KV","2001","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2001","66","kein Migrationshintergrund","","","",""
"Private KV","2001","66","direkter Migrationshintergrund","","","",""
"Private KV","2001","66","indirekter Migrationshintergrund","","","",""
"Private KV","2001","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2001","17-29","kein Migrationshintergrund","43","0.0159188159183679","0.0114776414795645","0.0203599903571713"
"Weder-noch","2001","17-29","direkter Migrationshintergrund","4","","",""
"Weder-noch","2001","17-29","indirekter Migrationshintergrund","4","","",""
"Weder-noch","2001","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2001","30-45","kein Migrationshintergrund","34","0.00603685360119095","0.00409613377308063","0.00797757342930126"
"Weder-noch","2001","30-45","direkter Migrationshintergrund","7","","",""
"Weder-noch","2001","30-45","indirekter Migrationshintergrund","1","","",""
"Weder-noch","2001","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2001","46-65","kein Migrationshintergrund","28","","",""
"Weder-noch","2001","46-65","direkter Migrationshintergrund","5","","",""
"Weder-noch","2001","46-65","indirekter Migrationshintergrund","","","",""
"Weder-noch","2001","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2001","66","kein Migrationshintergrund","","","",""
"Weder-noch","2001","66","direkter Migrationshintergrund","","","",""
"Weder-noch","2001","66","indirekter Migrationshintergrund","","","",""
"Weder-noch","2001","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2002","17-29","kein Migrationshintergrund","2794","0.899420885399976","0.888949060793605","0.909892710006346"
"Gesetzliche KV","2002","17-29","direkter Migrationshintergrund","425","0.971526150916661","0.956003026680158","0.987049275153164"
"Gesetzliche KV","2002","17-29","indirekter Migrationshintergrund","492","0.948840694441596","0.930030133133722","0.96765125574947"
"Gesetzliche KV","2002","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2002","30-45","kein Migrationshintergrund","5231","0.864762879073012","0.856305609536817","0.873220148609206"
"Gesetzliche KV","2002","30-45","direkter Migrationshintergrund","897","0.94108173468779","0.926255705508149","0.955907763867431"
"Gesetzliche KV","2002","30-45","indirekter Migrationshintergrund","171","0.923020704206778","0.884917468728742","0.961123939684814"
"Gesetzliche KV","2002","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2002","46-65","kein Migrationshintergrund","5343","0.84560584806946","0.83699627717838","0.854215418960541"
"Gesetzliche KV","2002","46-65","direkter Migrationshintergrund","965","0.937079258812336","0.922314532710458","0.951843984914215"
"Gesetzliche KV","2002","46-65","indirekter Migrationshintergrund","34","0.882493400849321","0.78510431088507","0.979882490813573"
"Gesetzliche KV","2002","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2002","66","kein Migrationshintergrund","","","",""
"Gesetzliche KV","2002","66","direkter Migrationshintergrund","","","",""
"Gesetzliche KV","2002","66","indirekter Migrationshintergrund","","","",""
"Gesetzliche KV","2002","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2002","17-29","kein Migrationshintergrund","349","0.0914097188964648","0.0813758781998251","0.101443559593104"
"Private KV","2002","17-29","direkter Migrationshintergrund","16","","",""
"Private KV","2002","17-29","indirekter Migrationshintergrund","32","0.0482566834385826","0.0299596181986733","0.0665537486784919"
"Private KV","2002","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2002","30-45","kein Migrationshintergrund","1008","0.128610707018411","0.120331697787244","0.136889716249577"
"Private KV","2002","30-45","direkter Migrationshintergrund","69","0.0572641833715186","0.0426349104549387","0.0718934562880985"
"Private KV","2002","30-45","indirekter Migrationshintergrund","16","","",""
"Private KV","2002","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2002","46-65","kein Migrationshintergrund","1396","0.152062706116662","0.143506616590152","0.160618795643173"
"Private KV","2002","46-65","direkter Migrationshintergrund","70","0.0553326430478191","0.0414308608758963","0.0692344252197418"
"Private KV","2002","46-65","indirekter Migrationshintergrund","8","","",""
"Private KV","2002","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2002","66","kein Migrationshintergrund","","","",""
"Private KV","2002","66","direkter Migrationshintergrund","","","",""
"Private KV","2002","66","indirekter Migrationshintergrund","","","",""
"Private KV","2002","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2002","17-29","kein Migrationshintergrund","26","","",""
"Weder-noch","2002","17-29","direkter Migrationshintergrund","","","",""
"Weder-noch","2002","17-29","indirekter Migrationshintergrund","3","","",""
"Weder-noch","2002","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2002","30-45","kein Migrationshintergrund","42","0.00662641390857768","0.00461995958205841","0.00863286823509694"
"Weder-noch","2002","30-45","direkter Migrationshintergrund","3","","",""
"Weder-noch","2002","30-45","indirekter Migrationshintergrund","1","","",""
"Weder-noch","2002","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2002","46-65","kein Migrationshintergrund","27","","",""
"Weder-noch","2002","46-65","direkter Migrationshintergrund","4","","",""
"Weder-noch","2002","46-65","indirekter Migrationshintergrund","","","",""
"Weder-noch","2002","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2002","66","kein Migrationshintergrund","","","",""
"Weder-noch","2002","66","direkter Migrationshintergrund","","","",""
"Weder-noch","2002","66","indirekter Migrationshintergrund","","","",""
"Weder-noch","2002","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2003","17-29","kein Migrationshintergrund","2738","0.900584349537817","0.890068182556845","0.911100516518789"
"Gesetzliche KV","2003","17-29","direkter Migrationshintergrund","365","0.977010511105923","0.961922125932912","0.992098896278934"
"Gesetzliche KV","2003","17-29","indirekter Migrationshintergrund","474","0.945926845819488","0.926259947964796","0.96559374367418"
"Gesetzliche KV","2003","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2003","30-45","kein Migrationshintergrund","4884","0.865575564020128","0.856812804435276","0.87433832360498"
"Gesetzliche KV","2003","30-45","direkter Migrationshintergrund","838","0.943782226997973","0.928674640910819","0.958889813085127"
"Gesetzliche KV","2003","30-45","indirekter Migrationshintergrund","193","0.919228303954541","0.882720769847631","0.95573583806145"
"Gesetzliche KV","2003","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2003","46-65","kein Migrationshintergrund","5154","0.842710532577307","0.833880129413379","0.851540935741234"
"Gesetzliche KV","2003","46-65","direkter Migrationshintergrund","925","0.944917592888855","0.930691912680744","0.959143273096966"
"Gesetzliche KV","2003","46-65","indirekter Migrationshintergrund","39","0.923392960290023","0.844806202331554","1.00197971824849"
"Gesetzliche KV","2003","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2003","66","kein Migrationshintergrund","","","",""
"Gesetzliche KV","2003","66","direkter Migrationshintergrund","","","",""
"Gesetzliche KV","2003","66","indirekter Migrationshintergrund","","","",""
"Gesetzliche KV","2003","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2003","17-29","kein Migrationshintergrund","338","0.0880615725638154","0.0781019272362561","0.0980212178913748"
"Private KV","2003","17-29","direkter Migrationshintergrund","11","","",""
"Private KV","2003","17-29","indirekter Migrationshintergrund","30","0.0442569459511669","0.0263724159854067","0.062141475916927"
"Private KV","2003","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2003","30-45","kein Migrationshintergrund","906","0.128155046883109","0.119568139528938","0.13674195423728"
"Private KV","2003","30-45","direkter Migrationshintergrund","51","0.0523859880689719","0.0377727766242498","0.0669991995136939"
"Private KV","2003","30-45","indirekter Migrationshintergrund","20","","",""
"Private KV","2003","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2003","46-65","kein Migrationshintergrund","1346","0.153535692843372","0.144791887072538","0.162279498614206"
"Private KV","2003","46-65","direkter Migrationshintergrund","61","0.0511760919893904","0.0374357991863184","0.0649163847924623"
"Private KV","2003","46-65","indirekter Migrationshintergrund","5","","",""
"Private KV","2003","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2003","66","kein Migrationshintergrund","","","",""
"Private KV","2003","66","direkter Migrationshintergrund","","","",""
"Private KV","2003","66","indirekter Migrationshintergrund","","","",""
"Private KV","2003","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2003","17-29","kein Migrationshintergrund","34","0.0113540778983675","0.00763046761557974","0.0150776881811552"
"Weder-noch","2003","17-29","direkter Migrationshintergrund","3","","",""
"Weder-noch","2003","17-29","indirekter Migrationshintergrund","4","","",""
"Weder-noch","2003","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2003","30-45","kein Migrationshintergrund","31","0.00626938909676312","0.00424172394378206","0.00829705424974417"
"Weder-noch","2003","30-45","direkter Migrationshintergrund","4","","",""
"Weder-noch","2003","30-45","indirekter Migrationshintergrund","1","","",""
"Weder-noch","2003","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2003","46-65","kein Migrationshintergrund","30","0.003753774579321","0.00227054308227785","0.00523700607636416"
"Weder-noch","2003","46-65","direkter Migrationshintergrund","2","","",""
"Weder-noch","2003","46-65","indirekter Migrationshintergrund","","","",""
"Weder-noch","2003","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2003","66","kein Migrationshintergrund","","","",""
"Weder-noch","2003","66","direkter Migrationshintergrund","","","",""
"Weder-noch","2003","66","indirekter Migrationshintergrund","","","",""
"Weder-noch","2003","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2004","17-29","kein Migrationshintergrund","2679","0.916648260018532","0.906789930878396","0.926506589158667"
"Gesetzliche KV","2004","17-29","direkter Migrationshintergrund","352","0.976671646568321","0.961186404739535","0.992156888397107"
"Gesetzliche KV","2004","17-29","indirekter Migrationshintergrund","487","0.959999174523141","0.943123811746285","0.976874537299998"
"Gesetzliche KV","2004","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2004","30-45","kein Migrationshintergrund","4552","0.866659429110434","0.857608484568727","0.875710373652142"
"Gesetzliche KV","2004","30-45","direkter Migrationshintergrund","800","0.958666700741484","0.945253057019439","0.972080344463529"
"Gesetzliche KV","2004","30-45","indirekter Migrationshintergrund","198","0.921516442043983","0.885817057416994","0.957215826670971"
"Gesetzliche KV","2004","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2004","46-65","kein Migrationshintergrund","4999","0.84317750314254","0.834207473385649","0.852147532899431"
"Gesetzliche KV","2004","46-65","direkter Migrationshintergrund","888","0.939387375676203","0.924229668234497","0.954545083117908"
"Gesetzliche KV","2004","46-65","indirekter Migrationshintergrund","41","0.930672198919594","0.858053034867934","1.00329136297125"
"Gesetzliche KV","2004","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2004","66","kein Migrationshintergrund","","","",""
"Gesetzliche KV","2004","66","direkter Migrationshintergrund","","","",""
"Gesetzliche KV","2004","66","indirekter Migrationshintergrund","","","",""
"Gesetzliche KV","2004","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2004","17-29","kein Migrationshintergrund","341","0.0833517399814684","0.0734934108413329","0.0932100691216039"
"Private KV","2004","17-29","direkter Migrationshintergrund","13","","",""
"Private KV","2004","17-29","indirekter Migrationshintergrund","31","0.0400008254768588","0.0231254627000022","0.0568761882537155"
"Private KV","2004","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2004","30-45","kein Migrationshintergrund","867","0.133340570889566","0.124289626347858","0.142391515431273"
"Private KV","2004","30-45","direkter Migrationshintergrund","46","0.0413332992585162","0.0279196555364712","0.0547469429805611"
"Private KV","2004","30-45","indirekter Migrationshintergrund","20","","",""
"Private KV","2004","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2004","46-65","kein Migrationshintergrund","1314","0.15682249685746","0.147852467100569","0.165792526614351"
"Private KV","2004","46-65","direkter Migrationshintergrund","64","0.0606126243237976","0.045454916882092","0.0757703317655031"
"Private KV","2004","46-65","indirekter Migrationshintergrund","6","","",""
"Private KV","2004","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2004","66","kein Migrationshintergrund","","","",""
"Private KV","2004","66","direkter Migrationshintergrund","","","",""
"Private KV","2004","66","indirekter Migrationshintergrund","","","",""
"Private KV","2004","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2004","17-29","kein Migrationshintergrund","","","",""
"Weder-noch","2004","17-29","direkter Migrationshintergrund","","","",""
"Weder-noch","2004","17-29","indirekter Migrationshintergrund","","","",""
"Weder-noch","2004","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2004","30-45","kein Migrationshintergrund","","","",""
"Weder-noch","2004","30-45","direkter Migrationshintergrund","","","",""
"Weder-noch","2004","30-45","indirekter Migrationshintergrund","","","",""
"Weder-noch","2004","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2004","46-65","kein Migrationshintergrund","","","",""
"Weder-noch","2004","46-65","direkter Migrationshintergrund","","","",""
"Weder-noch","2004","46-65","indirekter Migrationshintergrund","","","",""
"Weder-noch","2004","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2004","66","kein Migrationshintergrund","","","",""
"Weder-noch","2004","66","direkter Migrationshintergrund","","","",""
"Weder-noch","2004","66","indirekter Migrationshintergrund","","","",""
"Weder-noch","2004","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2005","17-29","kein Migrationshintergrund","2608","0.914829117616619","0.904737428555471","0.924920806677767"
"Gesetzliche KV","2005","17-29","direkter Migrationshintergrund","298","0.975438464702678","0.958235805320451","0.992641124084905"
"Gesetzliche KV","2005","17-29","indirekter Migrationshintergrund","488","0.965853873282991","0.950214849220304","0.981492897345678"
"Gesetzliche KV","2005","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2005","30-45","kein Migrationshintergrund","4194","0.864723544676404","0.855233001080173","0.874214088272634"
"Gesetzliche KV","2005","30-45","direkter Migrationshintergrund","734","0.943090632133694","0.92690501283602","0.959276251431367"
"Gesetzliche KV","2005","30-45","indirekter Migrationshintergrund","217","0.934525318551086","0.903164934426166","0.965885702676007"
"Gesetzliche KV","2005","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2005","46-65","kein Migrationshintergrund","4755","0.841763450698744","0.832531098716728","0.85099580268076"
"Gesetzliche KV","2005","46-65","direkter Migrationshintergrund","828","0.947814942307788","0.933120888885622","0.962508995729955"
"Gesetzliche KV","2005","46-65","indirekter Migrationshintergrund","41","0.902979547429089","0.819246272540668","0.986712822317509"
"Gesetzliche KV","2005","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gesetzliche KV","2005","66","kein Migrationshintergrund","","","",""
"Gesetzliche KV","2005","66","direkter Migrationshintergrund","","","",""
"Gesetzliche KV","2005","66","indirekter Migrationshintergrund","","","",""
"Gesetzliche KV","2005","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2005","17-29","kein Migrationshintergrund","331","0.085170882383381","0.0750791933222327","0.0952625714445292"
"Private KV","2005","17-29","direkter Migrationshintergrund","13","","",""
"Private KV","2005","17-29","indirekter Migrationshintergrund","30","0.0341461267170092","0.0185071026543225","0.049785150779696"
"Private KV","2005","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2005","30-45","kein Migrationshintergrund","795","0.135276455323596","0.125785911727366","0.144766998919827"
"Private KV","2005","30-45","direkter Migrationshintergrund","53","0.0569093678663062","0.0407237485686326","0.0730949871639797"
"Private KV","2005","30-45","indirekter Migrationshintergrund","22","","",""
"Private KV","2005","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2005","46-65","kein Migrationshintergrund","1248","0.158236549301256","0.14900419731924","0.167468901283271"
"Private KV","2005","46-65","direkter Migrationshintergrund","52","0.0521850576922115","0.0374910042700454","0.0668791111143776"
"Private KV","2005","46-65","indirekter Migrationshintergrund","7","","",""
"Private KV","2005","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Private KV","2005","66","kein Migrationshintergrund","","","",""
"Private KV","2005","66","direkter Migrationshintergrund","","","",""
"Private KV","2005","66","indirekter Migrationshintergrund","","","",""
"Private KV","2005","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2005","17-29","kein Migrationshintergrund","","","",""
"Weder-noch","2005","17-29","direkter Migrationshintergrund","","","",""
"Weder-noch","2005","17-29","indirekter Migrationshintergrund","","","",""
"Weder-noch","2005","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weder-noch","2005","30-45","kein Migrationshintergrund","","","",""
"Weder-noch","2005","30-45","direkter Migrationshintergrund","","","",""
"Weder-noch","2005","30-45","indirekter Migrationshintergrund","","","",""
