year,migback,pgisced97,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Direct migration background,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.07780,98,1007,0.06124,0.09435
1984,Direct migration background,Lower Secondary Level,Not employed: Pensioner,0.11548,32,1007,0.09573,0.13523
1984,Direct migration background,Lower Secondary Level,Not employed: registered unemployed,0.04946,53,1007,0.03606,0.06285
1984,Direct migration background,Lower Secondary Level,Not employed: no further information,0.22972,230,1007,0.20372,0.25571
1984,Direct migration background,Upper Secondary Level,Self-employed,0.03808,39,1012,0.02628,0.04988
1984,Direct migration background,Upper Secondary Level,Blue-collar worker,0.42836,563,1012,0.39786,0.45887
1984,Direct migration background,Upper Secondary Level,White-collar worker,0.17409,109,1012,0.15072,0.19746
1984,Direct migration background,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.05691,66,1012,0.04263,0.07119
1984,Direct migration background,Upper Secondary Level,Not employed: Pensioner,0.09209,37,1012,0.07426,0.10991
1984,Direct migration background,Upper Secondary Level,Not employed: registered unemployed,0.05920,69,1012,0.04465,0.07375
1984,Direct migration background,Upper Secondary Level,Not employed: no further information,0.13009,129,1012,0.10935,0.15082
1984,Direct migration background,Post-secondary Non-tertiary Level,Blue-collar worker,0.44678,61,61,0.32098,0.57258
1984,Direct migration background,Second Stage of Tertiary Education,White-collar worker,0.32694,35,35,0.16926,0.48462
1984,Indirect migration background,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.44572,32,32,0.27075,0.62069
1985,No migration background,Pre-primary Level,Apprentice/ Trainee/ Intern,0.97098,151,151,0.94411,0.99784
1985,No migration background,Lower Secondary Level,Self-employed,0.03105,71,2075,0.02358,0.03851
1985,No migration background,Lower Secondary Level,Blue-collar worker,0.17249,399,2075,0.15623,0.18875
1985,No migration background,Lower Secondary Level,White-collar worker,0.06753,162,2075,0.05673,0.07833
1985,No migration background,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.15927,365,2075,0.14352,0.17501
1985,No migration background,Lower Secondary Level,Not employed: Pensioner,0.33454,549,2075,0.31424,0.35485
1985,No migration background,Lower Secondary Level,Not employed: registered unemployed,0.03233,72,2075,0.02472,0.03994
1985,No migration background,Lower Secondary Level,Not employed: no further information,0.19665,457,2075,0.17954,0.21375
1985,No migration background,Upper Secondary Level,Self-employed,0.05190,230,4189,0.04518,0.05862
1985,No migration background,Upper Secondary Level,Blue-collar worker,0.20592,907,4189,0.19367,0.21817
1985,No migration background,Upper Secondary Level,Civil servant,0.04558,213,4189,0.03926,0.05190
1985,No migration background,Upper Secondary Level,White-collar worker,0.25197,1133,4189,0.23882,0.26512
1985,No migration background,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.04875,231,4189,0.04223,0.05528
1985,No migration background,Upper Secondary Level,Not employed: Pensioner,0.22746,728,4189,0.21477,0.24016
1985,No migration background,Upper Secondary Level,Not employed: registered unemployed,0.04158,177,4189,0.03554,0.04763
1985,No migration background,Upper Secondary Level,Not employed: no further information,0.12135,570,4189,0.11146,0.13124
1985,No migration background,Post-secondary Non-tertiary Level,White-collar worker,0.37900,68,68,0.26284,0.49517
1985,No migration background,First Stage of Tertiary Education,Self-employed,0.12718,73,541,0.09907,0.15528
1985,No migration background,First Stage of Tertiary Education,Blue-collar worker,0.08046,49,541,0.05752,0.10340
1985,No migration background,First Stage of Tertiary Education,Civil servant,0.07842,44,541,0.05574,0.10109
1985,No migration background,First Stage of Tertiary Education,White-collar worker,0.36299,222,541,0.32243,0.40354
1985,No migration background,First Stage of Tertiary Education,Not employed: Pensioner,0.22257,98,541,0.18748,0.25765
1985,No migration background,First Stage of Tertiary Education,Not employed: no further information,0.08398,55,541,0.06059,0.10738
1985,No migration background,Second Stage of Tertiary Education,Self-employed,0.09739,66,597,0.07359,0.12119
1985,No migration background,Second Stage of Tertiary Education,Civil servant,0.25639,172,597,0.22133,0.29144
1985,No migration background,Second Stage of Tertiary Education,White-collar worker,0.38416,254,597,0.34511,0.42321
1985,No migration background,Second Stage of Tertiary Education,Not employed: Pensioner,0.15524,70,597,0.12616,0.18431
1985,No migration background,Second Stage of Tertiary Education,Not employed: no further information,0.04584,35,597,0.02905,0.06263
1985,Direct migration background,Primary Level,Blue-collar worker,0.50012,401,712,0.46337,0.53688
1985,Direct migration background,Primary Level,Not employed: Pensioner,0.07685,31,712,0.05727,0.09643
1985,Direct migration background,Primary Level,Not employed: registered unemployed,0.08453,61,712,0.06408,0.10498
1985,Direct migration background,Primary Level,Not employed: no further information,0.29574,219,712,0.26219,0.32928
1985,Direct migration background,Lower Secondary Level,Blue-collar worker,0.45252,510,892,0.41984,0.48520
1985,Direct migration background,Lower Secondary Level,White-collar worker,0.04169,33,892,0.02856,0.05481
1985,Direct migration background,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.08115,83,892,0.06322,0.09908
1985,Direct migration background,Lower Secondary Level,Not employed: Pensioner,0.14861,35,892,0.12526,0.17197
1985,Direct migration background,Lower Secondary Level,Not employed: registered unemployed,0.05750,61,892,0.04221,0.07278
1985,Direct migration background,Lower Secondary Level,Not employed: no further information,0.20096,170,892,0.17465,0.22728
1985,Direct migration background,Upper Secondary Level,Self-employed,0.04027,32,895,0.02738,0.05316
1985,Direct migration background,Upper Secondary Level,Blue-collar worker,0.41500,491,895,0.38270,0.44730
1985,Direct migration background,Upper Secondary Level,White-collar worker,0.17531,104,895,0.15039,0.20024
1985,Direct migration background,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.04890,58,895,0.03476,0.06303
1985,Direct migration background,Upper Secondary Level,Not employed: Pensioner,0.12069,41,895,0.09933,0.14204
1985,Direct migration background,Upper Secondary Level,Not employed: registered unemployed,0.05260,57,895,0.03796,0.06723
1985,Direct migration background,Upper Secondary Level,Not employed: no further information,0.13216,112,895,0.10996,0.15436
1985,Direct migration background,Post-secondary Non-tertiary Level,Blue-collar worker,0.46852,56,56,0.33664,0.60040
1985,Direct migration background,Second Stage of Tertiary Education,White-collar worker,0.37552,42,42,0.22729,0.52376
1985,Indirect migration background,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.42560,36,36,0.26179,0.58940
1986,No migration background,Pre-primary Level,Apprentice/ Trainee/ Intern,0.98267,144,144,0.96128,1.00406
1986,No migration background,Lower Secondary Level,Self-employed,0.02902,63,1914,0.02150,0.03655
1986,No migration background,Lower Secondary Level,Blue-collar worker,0.16815,365,1914,0.15139,0.18491
1986,No migration background,Lower Secondary Level,White-collar worker,0.08055,172,1914,0.06836,0.09275
1986,No migration background,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.14974,336,1914,0.13375,0.16573
1986,No migration background,Lower Secondary Level,Not employed: Pensioner,0.33722,498,1914,0.31603,0.35840
1986,No migration background,Lower Secondary Level,Not employed: registered unemployed,0.03779,75,1914,0.02925,0.04634
1986,No migration background,Lower Secondary Level,Not employed: no further information,0.18930,405,1914,0.17174,0.20685
1986,No migration background,Upper Secondary Level,Self-employed,0.05178,220,4054,0.04496,0.05861
1986,No migration background,Upper Secondary Level,Blue-collar worker,0.21095,903,4054,0.19839,0.22351
1986,No migration background,Upper Secondary Level,Civil servant,0.04294,192,4054,0.03669,0.04918
1986,No migration background,Upper Secondary Level,White-collar worker,0.24361,1063,4054,0.23040,0.25683
1986,No migration background,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.05493,246,4054,0.04791,0.06194
1986,No migration background,Upper Secondary Level,Not employed: Pensioner,0.23187,701,4054,0.21888,0.24487
1986,No migration background,Upper Secondary Level,Not employed: Military/Community Service,0.00842,36,4054,0.00561,0.01124
1986,No migration background,Upper Secondary Level,Not employed: registered unemployed,0.03358,143,4054,0.02803,0.03913
1986,No migration background,Upper Secondary Level,Not employed: no further information,0.12191,550,4054,0.11184,0.13198
1986,No migration background,Post-secondary Non-tertiary Level,White-collar worker,0.42063,75,75,0.30815,0.53311
1986,No migration background,First Stage of Tertiary Education,Self-employed,0.11943,65,502,0.09103,0.14783
1986,No migration background,First Stage of Tertiary Education,Blue-collar worker,0.08779,51,502,0.06301,0.11257
1986,No migration background,First Stage of Tertiary Education,Civil servant,0.07094,39,502,0.04846,0.09342
1986,No migration background,First Stage of Tertiary Education,White-collar worker,0.35784,201,502,0.31587,0.39982
1986,No migration background,First Stage of Tertiary Education,Not employed: Pensioner,0.22715,90,502,0.19046,0.26384
1986,No migration background,First Stage of Tertiary Education,Not employed: no further information,0.09408,56,502,0.06851,0.11964
1986,No migration background,Second Stage of Tertiary Education,Self-employed,0.09708,66,591,0.07319,0.12097
1986,No migration background,Second Stage of Tertiary Education,Civil servant,0.26179,175,591,0.22631,0.29726
1986,No migration background,Second Stage of Tertiary Education,White-collar worker,0.38473,246,591,0.34547,0.42399
1986,No migration background,Second Stage of Tertiary Education,Not employed: Pensioner,0.13524,61,591,0.10765,0.16284
1986,No migration background,Second Stage of Tertiary Education,Not employed: no further information,0.05938,43,591,0.04031,0.07845
1986,Direct migration background,Primary Level,Blue-collar worker,0.50217,365,647,0.46362,0.54073
1986,Direct migration background,Primary Level,Not employed: Pensioner,0.08725,34,647,0.06549,0.10901
1986,Direct migration background,Primary Level,Not employed: registered unemployed,0.05841,47,647,0.04032,0.07649
1986,Direct migration background,Primary Level,Not employed: no further information,0.29522,201,647,0.26005,0.33040
1986,Direct migration background,Lower Secondary Level,Blue-collar worker,0.43247,499,866,0.39945,0.46548
1986,Direct migration background,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.09299,103,866,0.07364,0.11234
1986,Direct migration background,Lower Secondary Level,Not employed: Pensioner,0.16347,39,866,0.13883,0.18811
1986,Direct migration background,Lower Secondary Level,Not employed: registered unemployed,0.05110,62,866,0.03643,0.06578
1986,Direct migration background,Lower Secondary Level,Not employed: no further information,0.20470,163,866,0.17781,0.23159
1986,Direct migration background,Upper Secondary Level,Self-employed,0.04578,34,864,0.03184,0.05973
1986,Direct migration background,Upper Secondary Level,Blue-collar worker,0.40301,480,864,0.37029,0.43574
1986,Direct migration background,Upper Secondary Level,White-collar worker,0.18874,101,864,0.16264,0.21485
1986,Direct migration background,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.03856,39,864,0.02571,0.05140
1986,Direct migration background,Upper Secondary Level,Not employed: Pensioner,0.13213,46,864,0.10953,0.15472
1986,Direct migration background,Upper Secondary Level,Not employed: registered unemployed,0.05458,63,864,0.03943,0.06974
1986,Direct migration background,Upper Secondary Level,Not employed: no further information,0.12356,101,864,0.10161,0.14552
1986,Direct migration background,Post-secondary Non-tertiary Level,Blue-collar worker,0.44206,53,53,0.30707,0.57704
1986,Direct migration background,Second Stage of Tertiary Education,White-collar worker,0.32032,37,37,0.16790,0.47274
1986,Indirect migration background,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.53737,38,38,0.37671,0.69803
1987,No migration background,Pre-primary Level,Apprentice/ Trainee/ Intern,0.94643,144,144,0.90953,0.98334
1987,No migration background,Lower Secondary Level,Self-employed,0.03324,69,1819,0.02500,0.04148
1987,No migration background,Lower Secondary Level,Blue-collar worker,0.18536,363,1819,0.16749,0.20322
1987,No migration background,Lower Secondary Level,White-collar worker,0.07992,156,1819,0.06745,0.09238
1987,No migration background,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.12823,318,1819,0.11286,0.14360
1987,No migration background,Lower Secondary Level,Not employed: Pensioner,0.34241,475,1819,0.32060,0.36423
1987,No migration background,Lower Secondary Level,Not employed: registered unemployed,0.03627,68,1819,0.02767,0.04486
1987,No migration background,Lower Secondary Level,Not employed: no further information,0.18652,370,1819,0.16861,0.20442
1987,No migration background,Upper Secondary Level,Self-employed,0.04880,209,4024,0.04214,0.05546
1987,No migration background,Upper Secondary Level,Blue-collar worker,0.21687,928,4024,0.20413,0.22960
1987,No migration background,Upper Secondary Level,Civil servant,0.04459,198,4024,0.03821,0.05096
1987,No migration background,Upper Secondary Level,White-collar worker,0.24842,1057,4024,0.23507,0.26178
1987,No migration background,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.05238,239,4024,0.04549,0.05926
1987,No migration background,Upper Secondary Level,Not employed: Pensioner,0.22877,685,4024,0.21579,0.24175
1987,No migration background,Upper Secondary Level,Not employed: Military/Community Service,0.00924,39,4024,0.00629,0.01220
1987,No migration background,Upper Secondary Level,Not employed: registered unemployed,0.03329,142,4024,0.02775,0.03884
1987,No migration background,Upper Secondary Level,Not employed: no further information,0.11763,527,4024,0.10768,0.12759
1987,No migration background,Post-secondary Non-tertiary Level,White-collar worker,0.42246,76,76,0.31067,0.53425
1987,No migration background,First Stage of Tertiary Education,Self-employed,0.11424,57,483,0.08584,0.14264
1987,No migration background,First Stage of Tertiary Education,Blue-collar worker,0.07592,40,483,0.05227,0.09957
1987,No migration background,First Stage of Tertiary Education,Civil servant,0.07396,38,483,0.05059,0.09732
1987,No migration background,First Stage of Tertiary Education,White-collar worker,0.37168,203,483,0.32854,0.41482
1987,No migration background,First Stage of Tertiary Education,Not employed: Pensioner,0.22021,85,483,0.18322,0.25720
1987,No migration background,First Stage of Tertiary Education,Not employed: no further information,0.10702,60,483,0.07942,0.13462
1987,No migration background,Second Stage of Tertiary Education,Self-employed,0.10859,72,600,0.08367,0.13351
1987,No migration background,Second Stage of Tertiary Education,Civil servant,0.25045,172,600,0.21575,0.28515
1987,No migration background,Second Stage of Tertiary Education,White-collar worker,0.37474,251,600,0.33597,0.41350
1987,No migration background,Second Stage of Tertiary Education,Not employed: Pensioner,0.14678,66,600,0.11844,0.17512
1987,No migration background,Second Stage of Tertiary Education,Not employed: no further information,0.05660,39,600,0.03810,0.07511
1987,Direct migration background,Primary Level,Blue-collar worker,0.49998,344,624,0.46072,0.53924
1987,Direct migration background,Primary Level,Not employed: Pensioner,0.08571,41,624,0.06373,0.10769
1987,Direct migration background,Primary Level,Not employed: registered unemployed,0.10006,61,624,0.07650,0.12363
1987,Direct migration background,Primary Level,Not employed: no further information,0.24941,178,624,0.21544,0.28339
1987,Direct migration background,Lower Secondary Level,Blue-collar worker,0.43449,491,885,0.40181,0.46717
1987,Direct migration background,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.09973,122,885,0.07998,0.11949
1987,Direct migration background,Lower Secondary Level,Not employed: Pensioner,0.15274,41,885,0.12903,0.17645
1987,Direct migration background,Lower Secondary Level,Not employed: registered unemployed,0.05754,68,885,0.04219,0.07289
1987,Direct migration background,Lower Secondary Level,Not employed: no further information,0.19390,163,885,0.16783,0.21996
1987,Direct migration background,Upper Secondary Level,Self-employed,0.04372,31,850,0.02997,0.05747
1987,Direct migration background,Upper Secondary Level,Blue-collar worker,0.41280,483,850,0.37968,0.44592
1987,Direct migration background,Upper Secondary Level,White-collar worker,0.18024,105,850,0.15438,0.20609
1987,Direct migration background,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.04406,32,850,0.03026,0.05787
1987,Direct migration background,Upper Secondary Level,Not employed: Pensioner,0.13375,48,850,0.11086,0.15665
1987,Direct migration background,Upper Secondary Level,Not employed: registered unemployed,0.03598,49,850,0.02345,0.04850
1987,Direct migration background,Upper Secondary Level,Not employed: no further information,0.13374,102,850,0.11084,0.15663
1987,Direct migration background,Post-secondary Non-tertiary Level,Blue-collar worker,0.44179,49,49,0.30130,0.58228
1987,Direct migration background,Second Stage of Tertiary Education,White-collar worker,0.32844,34,34,0.16820,0.48868
1987,Indirect migration background,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.38949,38,38,0.23236,0.54661
1988,No migration background,Pre-primary Level,Apprentice/ Trainee/ Intern,0.97225,120,120,0.94274,1.00176
1988,No migration background,Lower Secondary Level,Self-employed,0.03484,62,1708,0.02614,0.04354
1988,No migration background,Lower Secondary Level,Blue-collar worker,0.18129,337,1708,0.16302,0.19957
1988,No migration background,Lower Secondary Level,White-collar worker,0.08295,155,1708,0.06987,0.09604
1988,No migration background,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.12924,307,1708,0.11333,0.14516
1988,No migration background,Lower Secondary Level,Not employed: Pensioner,0.34322,442,1708,0.32070,0.36574
1988,No migration background,Lower Secondary Level,Not employed: registered unemployed,0.03886,65,1708,0.02969,0.04803
1988,No migration background,Lower Secondary Level,Not employed: no further information,0.18214,340,1708,0.16383,0.20045
1988,No migration background,Upper Secondary Level,Self-employed,0.04801,201,3818,0.04122,0.05479
1988,No migration background,Upper Secondary Level,Blue-collar worker,0.20971,847,3818,0.19680,0.22263
1988,No migration background,Upper Secondary Level,Civil servant,0.04512,187,3818,0.03853,0.05170
1988,No migration background,Upper Secondary Level,White-collar worker,0.25508,1021,3818,0.24125,0.26890
1988,No migration background,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.04744,202,3818,0.04069,0.05418
1988,No migration background,Upper Secondary Level,Not employed: Pensioner,0.23088,669,3818,0.21751,0.24425
1988,No migration background,Upper Secondary Level,Not employed: Military/Community Service,0.00906,36,3818,0.00606,0.01207
1988,No migration background,Upper Secondary Level,Not employed: registered unemployed,0.03985,151,3818,0.03365,0.04606
1988,No migration background,Upper Secondary Level,Not employed: no further information,0.11486,504,3818,0.10474,0.12497
1988,No migration background,Post-secondary Non-tertiary Level,White-collar worker,0.42805,74,74,0.31454,0.54156
1988,No migration background,First Stage of Tertiary Education,Self-employed,0.11896,58,472,0.08972,0.14819
1988,No migration background,First Stage of Tertiary Education,Blue-collar worker,0.07940,41,472,0.05499,0.10382
1988,No migration background,First Stage of Tertiary Education,Civil servant,0.07282,37,472,0.04935,0.09628
1988,No migration background,First Stage of Tertiary Education,White-collar worker,0.37758,191,472,0.33380,0.42137
1988,No migration background,First Stage of Tertiary Education,Not employed: Pensioner,0.23414,86,472,0.19590,0.27239
1988,No migration background,First Stage of Tertiary Education,Not employed: no further information,0.10285,59,472,0.07542,0.13028
1988,No migration background,Second Stage of Tertiary Education,Self-employed,0.10169,64,573,0.07692,0.12646
1988,No migration background,Second Stage of Tertiary Education,Civil servant,0.24431,161,573,0.20909,0.27952
1988,No migration background,Second Stage of Tertiary Education,White-collar worker,0.40748,256,573,0.36722,0.44775
1988,No migration background,Second Stage of Tertiary Education,Not employed: Pensioner,0.13248,60,573,0.10470,0.16027
1988,No migration background,Second Stage of Tertiary Education,Not employed: no further information,0.04910,32,573,0.03139,0.06681
1988,Direct migration background,Primary Level,Blue-collar worker,0.49315,310,583,0.45253,0.53377
1988,Direct migration background,Primary Level,Not employed: Pensioner,0.09531,42,583,0.07145,0.11917
1988,Direct migration background,Primary Level,Not employed: registered unemployed,0.10031,57,583,0.07590,0.12472
1988,Direct migration background,Primary Level,Not employed: no further information,0.26700,174,583,0.23105,0.30294
1988,Direct migration background,Lower Secondary Level,Blue-collar worker,0.42705,475,852,0.39382,0.46029
1988,Direct migration background,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.08477,102,852,0.06606,0.10349
1988,Direct migration background,Lower Secondary Level,Not employed: Pensioner,0.17202,46,852,0.14667,0.19738
1988,Direct migration background,Lower Secondary Level,Not employed: registered unemployed,0.05167,70,852,0.03680,0.06654
1988,Direct migration background,Lower Secondary Level,Not employed: no further information,0.19504,159,852,0.16842,0.22166
1988,Direct migration background,Upper Secondary Level,Blue-collar worker,0.38214,440,796,0.34837,0.41592
1988,Direct migration background,Upper Secondary Level,White-collar worker,0.17570,106,796,0.14925,0.20216
1988,Direct migration background,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.04728,36,796,0.03252,0.06203
1988,Direct migration background,Upper Secondary Level,Not employed: Pensioner,0.14564,57,796,0.12112,0.17016
1988,Direct migration background,Upper Secondary Level,Not employed: registered unemployed,0.05869,53,796,0.04235,0.07503
1988,Direct migration background,Upper Secondary Level,Not employed: no further information,0.13317,104,796,0.10955,0.15679
1988,Direct migration background,Post-secondary Non-tertiary Level,Blue-collar worker,0.47498,46,46,0.32908,0.62089
1988,Direct migration background,Second Stage of Tertiary Education,White-collar worker,0.40297,37,37,0.24274,0.56320
1988,Indirect migration background,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.40680,42,42,0.25644,0.55717
1989,No migration background,Pre-primary Level,Apprentice/ Trainee/ Intern,0.95833,116,116,0.92180,0.99485
1989,No migration background,Lower Secondary Level,Self-employed,0.03253,61,1578,0.02378,0.04129
1989,No migration background,Lower Secondary Level,Blue-collar worker,0.17661,310,1578,0.15779,0.19543
1989,No migration background,Lower Secondary Level,White-collar worker,0.09105,157,1578,0.07685,0.10525
1989,No migration background,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.13045,263,1578,0.11383,0.14707
1989,No migration background,Lower Secondary Level,Not employed: Pensioner,0.36254,438,1578,0.33881,0.38626
1989,No migration background,Lower Secondary Level,Not employed: registered unemployed,0.02912,52,1578,0.02082,0.03742
1989,No migration background,Lower Secondary Level,Not employed: no further information,0.17312,297,1578,0.15445,0.19179
1989,No migration background,Upper Secondary Level,Self-employed,0.04540,183,3697,0.03869,0.05211
1989,No migration background,Upper Secondary Level,Blue-collar worker,0.21143,828,3697,0.19827,0.22460
1989,No migration background,Upper Secondary Level,Civil servant,0.04476,179,3697,0.03809,0.05143
1989,No migration background,Upper Secondary Level,White-collar worker,0.27060,1044,3697,0.25628,0.28492
1989,No migration background,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.04749,197,3697,0.04063,0.05435
1989,No migration background,Upper Secondary Level,Not employed: Pensioner,0.22926,640,3697,0.21571,0.24281
1989,No migration background,Upper Secondary Level,Not employed: Military/Community Service,0.00678,34,3697,0.00414,0.00943
1989,No migration background,Upper Secondary Level,Not employed: registered unemployed,0.02821,108,3697,0.02287,0.03354
1989,No migration background,Upper Secondary Level,Not employed: no further information,0.11606,484,3697,0.10573,0.12638
1989,No migration background,Post-secondary Non-tertiary Level,White-collar worker,0.48852,97,97,0.38852,0.58851
1989,No migration background,First Stage of Tertiary Education,Self-employed,0.11152,53,447,0.08231,0.14074
1989,No migration background,First Stage of Tertiary Education,Blue-collar worker,0.07891,41,447,0.05389,0.10393
1989,No migration background,First Stage of Tertiary Education,Civil servant,0.07432,36,447,0.04998,0.09866
1989,No migration background,First Stage of Tertiary Education,White-collar worker,0.38447,186,447,0.33932,0.42962
1989,No migration background,First Stage of Tertiary Education,Not employed: Pensioner,0.23205,81,447,0.19287,0.27123
1989,No migration background,First Stage of Tertiary Education,Not employed: no further information,0.09160,50,447,0.06483,0.11837
1989,No migration background,Second Stage of Tertiary Education,Self-employed,0.09685,64,573,0.07261,0.12109
1989,No migration background,Second Stage of Tertiary Education,Civil servant,0.23072,147,573,0.19619,0.26524
1989,No migration background,Second Stage of Tertiary Education,White-collar worker,0.42340,262,573,0.38290,0.46389
1989,No migration background,Second Stage of Tertiary Education,Not employed: Pensioner,0.13343,61,573,0.10557,0.16130
1989,No migration background,Second Stage of Tertiary Education,Not employed: no further information,0.06641,39,573,0.04600,0.08681
1989,Direct migration background,Primary Level,Blue-collar worker,0.48118,284,523,0.43832,0.52404
1989,Direct migration background,Primary Level,Not employed: Pensioner,0.11050,52,523,0.08360,0.13739
1989,Direct migration background,Primary Level,Not employed: no further information,0.31277,187,523,0.27300,0.35254
1989,Direct migration background,Lower Secondary Level,Blue-collar worker,0.43004,476,854,0.39682,0.46327
1989,Direct migration background,Lower Secondary Level,White-collar worker,0.04659,38,854,0.03245,0.06074
1989,Direct migration background,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.06009,74,854,0.04414,0.07604
1989,Direct migration background,Lower Secondary Level,Not employed: Pensioner,0.20221,50,854,0.17525,0.22916
1989,Direct migration background,Lower Secondary Level,Not employed: registered unemployed,0.03655,44,854,0.02396,0.04915
1989,Direct migration background,Lower Secondary Level,Not employed: no further information,0.20137,172,854,0.17446,0.22828
1989,Direct migration background,Upper Secondary Level,Blue-collar worker,0.39723,455,769,0.36262,0.43184
1989,Direct migration background,Upper Secondary Level,White-collar worker,0.17949,101,769,0.15235,0.20664
1989,Direct migration background,Upper Secondary Level,Not employed: Pensioner,0.14556,57,769,0.12062,0.17051
1989,Direct migration background,Upper Secondary Level,Not employed: registered unemployed,0.05638,40,769,0.04007,0.07269
1989,Direct migration background,Upper Secondary Level,Not employed: no further information,0.14820,116,769,0.12307,0.17333
1989,Direct migration background,Post-secondary Non-tertiary Level,Blue-collar worker,0.45613,43,43,0.30549,0.60676
1989,Direct migration background,Second Stage of Tertiary Education,White-collar worker,0.36709,38,38,0.21177,0.52240
1989,Indirect migration background,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.45947,56,56,0.32776,0.59118
1990,No migration background,Pre-primary Level,Apprentice/ Trainee/ Intern,0.95460,126,126,0.91811,0.99110
