year,quintil_oecd,sampreg,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,4th Quintile,West,Civil servant,0.05454,122,2471,0.04558,0.06349
1984,4th Quintile,West,White-collar worker,0.24995,567,2471,0.23288,0.26703
1984,4th Quintile,West,Apprentice/ Trainee/ Intern,0.08678,220,2471,0.07567,0.09788
1984,4th Quintile,West,Not employed: Pensioner,0.18472,306,2471,0.16942,0.20003
1984,4th Quintile,West,Not employed: registered unemployed,0.02368,68,2471,0.01768,0.02967
1984,4th Quintile,West,Not employed: no further information,0.12177,287,2471,0.10888,0.13467
1984,5th Quintile,West,Self-employed,0.11340,284,2385,0.10067,0.12613
1984,5th Quintile,West,Blue-collar worker,0.13841,469,2385,0.12454,0.15227
1984,5th Quintile,West,Civil servant,0.09852,223,2385,0.08655,0.11048
1984,5th Quintile,West,White-collar worker,0.33553,781,2385,0.31658,0.35449
1984,5th Quintile,West,Apprentice/ Trainee/ Intern,0.05430,131,2385,0.04520,0.06340
1984,5th Quintile,West,Not employed: Pensioner,0.15761,279,2385,0.14299,0.17224
1984,5th Quintile,West,Not employed: no further information,0.09071,218,2385,0.07918,0.10224
1985,1st Quintile,West,Self-employed,0.03118,59,2230,0.02396,0.03839
1985,1st Quintile,West,Blue-collar worker,0.16015,574,2230,0.14493,0.17538
1985,1st Quintile,West,White-collar worker,0.08600,169,2230,0.07436,0.09764
1985,1st Quintile,West,Apprentice/ Trainee/ Intern,0.12326,284,2230,0.10961,0.13691
1985,1st Quintile,West,Not employed: Pensioner,0.31281,372,2230,0.29357,0.33206
1985,1st Quintile,West,Not employed: registered unemployed,0.09131,218,2230,0.07936,0.10327
1985,1st Quintile,West,Not employed: no further information,0.18566,554,2230,0.16952,0.20180
1985,2nd Quintile,West,Self-employed,0.03257,71,2142,0.02505,0.04009
1985,2nd Quintile,West,Blue-collar worker,0.20679,629,2142,0.18963,0.22394
1985,2nd Quintile,West,Civil servant,0.02459,48,2142,0.01803,0.03115
1985,2nd Quintile,West,White-collar worker,0.12773,255,2142,0.11359,0.14187
1985,2nd Quintile,West,Apprentice/ Trainee/ Intern,0.09684,223,2142,0.08431,0.10937
1985,2nd Quintile,West,Not employed: Pensioner,0.28212,364,2142,0.26306,0.30118
1985,2nd Quintile,West,Not employed: registered unemployed,0.04425,113,2142,0.03554,0.05297
1985,2nd Quintile,West,Not employed: no further information,0.17809,439,2142,0.16189,0.19430
1985,3rd Quintile,West,Self-employed,0.03796,80,2195,0.02996,0.04596
1985,3rd Quintile,West,Blue-collar worker,0.22716,705,2195,0.20963,0.24469
1985,3rd Quintile,West,Civil servant,0.03756,76,2195,0.02961,0.04552
1985,3rd Quintile,West,White-collar worker,0.18536,378,2195,0.16910,0.20162
1985,3rd Quintile,West,Apprentice/ Trainee/ Intern,0.11126,246,2195,0.09810,0.12442
1985,3rd Quintile,West,Not employed: Pensioner,0.23429,334,2195,0.21657,0.25201
1985,3rd Quintile,West,Not employed: registered unemployed,0.03209,79,2195,0.02472,0.03947
1985,3rd Quintile,West,Not employed: no further information,0.13171,297,2195,0.11756,0.14586
1985,4th Quintile,West,Self-employed,0.04981,110,2205,0.04072,0.05889
1985,4th Quintile,West,Blue-collar worker,0.21847,636,2205,0.20122,0.23572
1985,4th Quintile,West,Civil servant,0.05861,125,2205,0.04880,0.06841
1985,4th Quintile,West,White-collar worker,0.27063,568,2205,0.25208,0.28918
1985,4th Quintile,West,Apprentice/ Trainee/ Intern,0.08348,193,2205,0.07193,0.09503
1985,4th Quintile,West,Not employed: Pensioner,0.18592,273,2205,0.16967,0.20216
1985,4th Quintile,West,Not employed: registered unemployed,0.01971,53,2205,0.01391,0.02551
1985,4th Quintile,West,Not employed: no further information,0.11044,247,2205,0.09736,0.12353
1985,5th Quintile,West,Self-employed,0.10243,236,2176,0.08968,0.11517
1985,5th Quintile,West,Blue-collar worker,0.13962,396,2176,0.12505,0.15419
1985,5th Quintile,West,Civil servant,0.10068,208,2176,0.08803,0.11332
1985,5th Quintile,West,White-collar worker,0.33403,715,2176,0.31421,0.35385
1985,5th Quintile,West,Apprentice/ Trainee/ Intern,0.06575,147,2176,0.05534,0.07617
1985,5th Quintile,West,Not employed: Pensioner,0.15995,259,2176,0.14454,0.17535
1985,5th Quintile,West,Not employed: registered unemployed,0.01606,40,2176,0.01077,0.02134
1985,5th Quintile,West,Not employed: no further information,0.07966,175,2176,0.06828,0.09103
1986,1st Quintile,West,Self-employed,0.02947,59,2047,0.02215,0.03680
1986,1st Quintile,West,Blue-collar worker,0.15269,504,2047,0.13711,0.16828
1986,1st Quintile,West,White-collar worker,0.06355,121,2047,0.05298,0.07412
1986,1st Quintile,West,Apprentice/ Trainee/ Intern,0.11825,273,2047,0.10426,0.13224
1986,1st Quintile,West,Not employed: Pensioner,0.35004,400,2047,0.32937,0.37071
1986,1st Quintile,West,Not employed: registered unemployed,0.08786,204,2047,0.07559,0.10013
1986,1st Quintile,West,Not employed: no further information,0.18867,486,2047,0.17171,0.20562
1986,2nd Quintile,West,Self-employed,0.03715,68,2077,0.02901,0.04529
1986,2nd Quintile,West,Blue-collar worker,0.21068,622,2077,0.19313,0.22822
1986,2nd Quintile,West,Civil servant,0.02160,44,2077,0.01534,0.02785
1986,2nd Quintile,West,White-collar worker,0.12703,244,2077,0.11271,0.14136
1986,2nd Quintile,West,Apprentice/ Trainee/ Intern,0.09229,230,2077,0.07984,0.10474
1986,2nd Quintile,West,Not employed: Pensioner,0.29070,340,2077,0.27117,0.31023
1986,2nd Quintile,West,Not employed: registered unemployed,0.03437,93,2077,0.02653,0.04220
1986,2nd Quintile,West,Not employed: no further information,0.17922,436,2077,0.16272,0.19572
1986,3rd Quintile,West,Self-employed,0.03778,73,2082,0.02958,0.04597
1986,3rd Quintile,West,Blue-collar worker,0.22763,661,2082,0.20962,0.24565
1986,3rd Quintile,West,Civil servant,0.04132,82,2082,0.03277,0.04987
1986,3rd Quintile,West,White-collar worker,0.21118,398,2082,0.19364,0.22872
1986,3rd Quintile,West,Apprentice/ Trainee/ Intern,0.10785,245,2082,0.09453,0.12118
1986,3rd Quintile,West,Not employed: Pensioner,0.22073,291,2082,0.20291,0.23855
1986,3rd Quintile,West,Not employed: registered unemployed,0.02253,63,2082,0.01616,0.02891
1986,3rd Quintile,West,Not employed: no further information,0.12440,269,2082,0.11022,0.13858
1986,4th Quintile,West,Self-employed,0.03464,85,2208,0.02701,0.04227
1986,4th Quintile,West,Blue-collar worker,0.24280,705,2208,0.22491,0.26069
1986,4th Quintile,West,Civil servant,0.06158,118,2208,0.05155,0.07160
1986,4th Quintile,West,White-collar worker,0.26653,548,2208,0.24808,0.28498
1986,4th Quintile,West,Apprentice/ Trainee/ Intern,0.07826,187,2208,0.06706,0.08947
1986,4th Quintile,West,Not employed: Pensioner,0.18020,266,2208,0.16416,0.19623
1986,4th Quintile,West,Not employed: registered unemployed,0.02699,61,2208,0.02023,0.03375
1986,4th Quintile,West,Not employed: no further information,0.10577,238,2208,0.09294,0.11860
1986,5th Quintile,West,Self-employed,0.11538,248,2087,0.10167,0.12909
1986,5th Quintile,West,Blue-collar worker,0.12887,354,2087,0.11449,0.14325
1986,5th Quintile,West,Civil servant,0.09542,195,2087,0.08281,0.10802
1986,5th Quintile,West,White-collar worker,0.33803,686,2087,0.31773,0.35833
1986,5th Quintile,West,Apprentice/ Trainee/ Intern,0.07096,158,2087,0.05994,0.08198
1986,5th Quintile,West,Not employed: Pensioner,0.14725,226,2087,0.13204,0.16245
1986,5th Quintile,West,Not employed: registered unemployed,0.01479,37,2087,0.00961,0.01997
1986,5th Quintile,West,Not employed: no further information,0.08530,183,2087,0.07332,0.09729
1987,1st Quintile,West,Self-employed,0.02665,45,2013,0.01961,0.03369
1987,1st Quintile,West,Blue-collar worker,0.15906,487,2013,0.14308,0.17504
1987,1st Quintile,West,White-collar worker,0.05704,112,2013,0.04691,0.06717
1987,1st Quintile,West,Apprentice/ Trainee/ Intern,0.11097,272,2013,0.09725,0.12470
1987,1st Quintile,West,Not employed: Pensioner,0.37432,420,2013,0.35318,0.39547
1987,1st Quintile,West,Not employed: registered unemployed,0.08502,207,2013,0.07283,0.09721
1987,1st Quintile,West,Not employed: no further information,0.17899,470,2013,0.16224,0.19574
1987,2nd Quintile,West,Self-employed,0.02935,53,2046,0.02203,0.03666
1987,2nd Quintile,West,Blue-collar worker,0.22818,652,2046,0.20999,0.24637
1987,2nd Quintile,West,Civil servant,0.02335,46,2046,0.01681,0.02990
1987,2nd Quintile,West,White-collar worker,0.14975,263,2046,0.13429,0.16522
1987,2nd Quintile,West,Apprentice/ Trainee/ Intern,0.08649,234,2046,0.07431,0.09868
1987,2nd Quintile,West,Not employed: Pensioner,0.27456,319,2046,0.25522,0.29391
1987,2nd Quintile,West,Not employed: registered unemployed,0.03055,84,2046,0.02309,0.03800
1987,2nd Quintile,West,Not employed: no further information,0.16946,395,2046,0.15320,0.18572
1987,3rd Quintile,West,Self-employed,0.04393,99,2091,0.03515,0.05272
1987,3rd Quintile,West,Blue-collar worker,0.22609,642,2091,0.20816,0.24402
1987,3rd Quintile,West,Civil servant,0.04107,74,2091,0.03256,0.04958
1987,3rd Quintile,West,White-collar worker,0.20237,385,2091,0.18514,0.21959
1987,3rd Quintile,West,Apprentice/ Trainee/ Intern,0.08996,235,2091,0.07769,0.10222
1987,3rd Quintile,West,Not employed: Pensioner,0.22925,301,2091,0.21123,0.24727
1987,3rd Quintile,West,Not employed: registered unemployed,0.03297,81,2091,0.02531,0.04062
1987,3rd Quintile,West,Not employed: no further information,0.13000,274,2091,0.11558,0.14442
1987,4th Quintile,West,Self-employed,0.05162,110,2136,0.04223,0.06100
1987,4th Quintile,West,Blue-collar worker,0.23838,656,2136,0.22031,0.25646
1987,4th Quintile,West,Civil servant,0.06215,123,2136,0.05191,0.07239
1987,4th Quintile,West,White-collar worker,0.27513,539,2136,0.25619,0.29408
1987,4th Quintile,West,Apprentice/ Trainee/ Intern,0.07157,183,2136,0.06064,0.08250
1987,4th Quintile,West,Not employed: Pensioner,0.16425,246,2136,0.14854,0.17997
1987,4th Quintile,West,Not employed: registered unemployed,0.02370,55,2136,0.01725,0.03016
1987,4th Quintile,West,Not employed: no further information,0.10493,224,2136,0.09193,0.11793
1987,5th Quintile,West,Self-employed,0.10628,225,2078,0.09302,0.11953
1987,5th Quintile,West,Blue-collar worker,0.14903,391,2078,0.13371,0.16435
1987,5th Quintile,West,Civil servant,0.09588,190,2078,0.08322,0.10855
1987,5th Quintile,West,White-collar worker,0.34257,692,2078,0.32216,0.36298
1987,5th Quintile,West,Apprentice/ Trainee/ Intern,0.06646,158,2078,0.05574,0.07717
1987,5th Quintile,West,Not employed: Pensioner,0.13668,209,2078,0.12190,0.15145
1987,5th Quintile,West,Not employed: registered unemployed,0.01754,44,2078,0.01189,0.02319
1987,5th Quintile,West,Not employed: no further information,0.08034,169,2078,0.06865,0.09203
1988,1st Quintile,West,Self-employed,0.02666,47,1949,0.01950,0.03381
1988,1st Quintile,West,Blue-collar worker,0.17242,492,1949,0.15564,0.18919
1988,1st Quintile,West,White-collar worker,0.06066,114,1949,0.05006,0.07126
1988,1st Quintile,West,Apprentice/ Trainee/ Intern,0.11480,262,1949,0.10064,0.12896
1988,1st Quintile,West,Not employed: Pensioner,0.34775,380,1949,0.32660,0.36890
1988,1st Quintile,West,Not employed: registered unemployed,0.08003,181,1949,0.06798,0.09208
1988,1st Quintile,West,Not employed: no further information,0.18875,473,1949,0.17137,0.20612
1988,2nd Quintile,West,Self-employed,0.03395,69,1973,0.02596,0.04195
1988,2nd Quintile,West,Blue-collar worker,0.18824,560,1973,0.17099,0.20549
1988,2nd Quintile,West,Civil servant,0.02287,38,1973,0.01627,0.02947
1988,2nd Quintile,West,White-collar worker,0.15432,280,1973,0.13838,0.17027
1988,2nd Quintile,West,Apprentice/ Trainee/ Intern,0.08269,215,1973,0.07054,0.09485
1988,2nd Quintile,West,Not employed: Pensioner,0.32209,364,1973,0.30146,0.34271
1988,2nd Quintile,West,Not employed: registered unemployed,0.02693,66,1973,0.01979,0.03408
1988,2nd Quintile,West,Not employed: no further information,0.16487,381,1973,0.14849,0.18124
1988,3rd Quintile,West,Self-employed,0.03925,74,1989,0.03072,0.04779
1988,3rd Quintile,West,Blue-collar worker,0.23597,634,1989,0.21731,0.25464
1988,3rd Quintile,West,Civil servant,0.04005,69,1989,0.03143,0.04867
1988,3rd Quintile,West,White-collar worker,0.20679,361,1989,0.18899,0.22460
1988,3rd Quintile,West,Apprentice/ Trainee/ Intern,0.10430,237,1989,0.09087,0.11774
1988,3rd Quintile,West,Not employed: Pensioner,0.20172,258,1989,0.18408,0.21936
1988,3rd Quintile,West,Not employed: registered unemployed,0.03983,95,1989,0.03123,0.04843
1988,3rd Quintile,West,Not employed: no further information,0.12578,261,1989,0.11120,0.14036
1988,4th Quintile,West,Self-employed,0.04245,88,2050,0.03372,0.05118
1988,4th Quintile,West,Blue-collar worker,0.24038,635,2050,0.22188,0.25888
1988,4th Quintile,West,Civil servant,0.05960,108,2050,0.04935,0.06985
1988,4th Quintile,West,White-collar worker,0.27912,514,2050,0.25969,0.29854
1988,4th Quintile,West,Apprentice/ Trainee/ Intern,0.06693,165,2050,0.05611,0.07775
1988,4th Quintile,West,Not employed: Pensioner,0.17312,248,2050,0.15674,0.18950
1988,4th Quintile,West,Not employed: registered unemployed,0.03471,82,2050,0.02678,0.04263
1988,4th Quintile,West,Not employed: no further information,0.09735,210,2050,0.08451,0.11018
1988,5th Quintile,West,Self-employed,0.11122,223,1923,0.09717,0.12528
1988,5th Quintile,West,Blue-collar worker,0.13078,333,1923,0.11571,0.14586
1988,5th Quintile,West,Civil servant,0.09836,184,1923,0.08505,0.11167
1988,5th Quintile,West,White-collar worker,0.37041,680,1923,0.34882,0.39200
1988,5th Quintile,West,Apprentice/ Trainee/ Intern,0.04983,113,1923,0.04010,0.05956
1988,5th Quintile,West,Not employed: Pensioner,0.14403,207,1923,0.12833,0.15973
1988,5th Quintile,West,Not employed: registered unemployed,0.01511,33,1923,0.00965,0.02056
1988,5th Quintile,West,Not employed: no further information,0.07149,150,1923,0.05998,0.08301
1989,1st Quintile,West,Self-employed,0.01957,40,1898,0.01334,0.02581
1989,1st Quintile,West,Blue-collar worker,0.15120,477,1898,0.13508,0.16732
1989,1st Quintile,West,White-collar worker,0.07822,133,1898,0.06613,0.09030
1989,1st Quintile,West,Apprentice/ Trainee/ Intern,0.11948,254,1898,0.10488,0.13408
1989,1st Quintile,West,Not employed: Pensioner,0.38265,402,1898,0.36077,0.40452
1989,1st Quintile,West,Not employed: registered unemployed,0.06212,127,1898,0.05126,0.07298
1989,1st Quintile,West,Not employed: no further information,0.17288,465,1898,0.15586,0.18990
1989,2nd Quintile,West,Self-employed,0.03360,63,1951,0.02560,0.04160
1989,2nd Quintile,West,Blue-collar worker,0.22445,614,1951,0.20594,0.24297
1989,2nd Quintile,West,Civil servant,0.02311,38,1951,0.01644,0.02978
1989,2nd Quintile,West,White-collar worker,0.16220,278,1951,0.14584,0.17856
1989,2nd Quintile,West,Apprentice/ Trainee/ Intern,0.08043,198,1951,0.06836,0.09250
1989,2nd Quintile,West,Not employed: Pensioner,0.27233,303,1951,0.25257,0.29209
1989,2nd Quintile,West,Not employed: registered unemployed,0.03479,81,1951,0.02666,0.04292
1989,2nd Quintile,West,Not employed: no further information,0.16566,376,1951,0.14916,0.18216
1989,3rd Quintile,West,Self-employed,0.02955,57,1889,0.02191,0.03719
1989,3rd Quintile,West,Blue-collar worker,0.24420,601,1889,0.22483,0.26358
1989,3rd Quintile,West,Civil servant,0.03901,68,1889,0.03028,0.04775
1989,3rd Quintile,West,White-collar worker,0.22494,393,1889,0.20610,0.24377
1989,3rd Quintile,West,Apprentice/ Trainee/ Intern,0.08430,182,1889,0.07176,0.09683
1989,3rd Quintile,West,Not employed: Pensioner,0.22449,288,1889,0.20567,0.24331
1989,3rd Quintile,West,Not employed: registered unemployed,0.02245,49,1889,0.01577,0.02913
1989,3rd Quintile,West,Not employed: no further information,0.12904,251,1889,0.11392,0.14416
1989,4th Quintile,West,Self-employed,0.05185,96,1997,0.04212,0.06157
1989,4th Quintile,West,Blue-collar worker,0.21597,589,1997,0.19792,0.23402
1989,4th Quintile,West,Civil servant,0.05684,101,1997,0.04668,0.06700
1989,4th Quintile,West,White-collar worker,0.28341,521,1997,0.26364,0.30318
1989,4th Quintile,West,Apprentice/ Trainee/ Intern,0.08682,188,1997,0.07447,0.09918
1989,4th Quintile,West,Not employed: Pensioner,0.18163,249,1997,0.16471,0.19854
1989,4th Quintile,West,Not employed: registered unemployed,0.01669,39,1997,0.01107,0.02231
1989,4th Quintile,West,Not employed: no further information,0.10321,214,1997,0.08987,0.11656
1989,5th Quintile,West,Self-employed,0.10165,203,1816,0.08775,0.11555
1989,5th Quintile,West,Blue-collar worker,0.13134,312,1816,0.11580,0.14688
1989,5th Quintile,West,Civil servant,0.09412,163,1816,0.08069,0.10755
1989,5th Quintile,West,White-collar worker,0.38560,694,1816,0.36320,0.40799
1989,5th Quintile,West,Apprentice/ Trainee/ Intern,0.05162,104,1816,0.04144,0.06180
1989,5th Quintile,West,Not employed: Pensioner,0.13863,199,1816,0.12274,0.15453
1989,5th Quintile,West,Not employed: no further information,0.07692,141,1816,0.06466,0.08917
1990,1st Quintile,West,Self-employed,0.02284,41,1880,0.01609,0.02960
1990,1st Quintile,West,Blue-collar worker,0.18183,505,1880,0.16439,0.19927
1990,1st Quintile,West,White-collar worker,0.07132,120,1880,0.05969,0.08296
1990,1st Quintile,West,Apprentice/ Trainee/ Intern,0.09771,219,1880,0.08429,0.11114
1990,1st Quintile,West,Not employed: Pensioner,0.37067,408,1880,0.34884,0.39251
1990,1st Quintile,West,Not employed: registered unemployed,0.06171,138,1880,0.05083,0.07259
1990,1st Quintile,West,Not employed: no further information,0.18460,449,1880,0.16705,0.20214
1990,2nd Quintile,West,Self-employed,0.02747,50,1873,0.02007,0.03488
1990,2nd Quintile,West,Blue-collar worker,0.21949,579,1873,0.20074,0.23824
1990,2nd Quintile,West,Civil servant,0.03296,49,1873,0.02488,0.04105
1990,2nd Quintile,West,White-collar worker,0.16637,270,1873,0.14950,0.18324
1990,2nd Quintile,West,Apprentice/ Trainee/ Intern,0.09461,197,1873,0.08135,0.10787
1990,2nd Quintile,West,Not employed: Pensioner,0.26748,323,1873,0.24743,0.28754
1990,2nd Quintile,West,Not employed: registered unemployed,0.02399,57,1873,0.01706,0.03092
1990,2nd Quintile,West,Not employed: no further information,0.16197,348,1873,0.14528,0.17866
1990,3rd Quintile,West,Self-employed,0.02983,58,1875,0.02213,0.03753
1990,3rd Quintile,West,Blue-collar worker,0.23637,597,1875,0.21713,0.25560
1990,3rd Quintile,West,Civil servant,0.04016,62,1875,0.03127,0.04905
1990,3rd Quintile,West,White-collar worker,0.22383,379,1875,0.20496,0.24270
1990,3rd Quintile,West,Apprentice/ Trainee/ Intern,0.08718,190,1875,0.07441,0.09995
1990,3rd Quintile,West,Not employed: Pensioner,0.22779,292,1875,0.20880,0.24678
1990,3rd Quintile,West,Not employed: registered unemployed,0.02341,53,1875,0.01656,0.03025
1990,3rd Quintile,West,Not employed: no further information,0.12344,244,1875,0.10855,0.13833
1990,4th Quintile,West,Self-employed,0.05256,103,1925,0.04259,0.06253
1990,4th Quintile,West,Blue-collar worker,0.23340,589,1925,0.21450,0.25230
1990,4th Quintile,West,Civil servant,0.06219,108,1925,0.05140,0.07298
1990,4th Quintile,West,White-collar worker,0.29404,509,1925,0.27368,0.31440
1990,4th Quintile,West,Apprentice/ Trainee/ Intern,0.07577,157,1925,0.06394,0.08759
1990,4th Quintile,West,Not employed: Pensioner,0.17414,245,1925,0.15719,0.19108
1990,4th Quintile,West,Not employed: registered unemployed,0.02053,44,1925,0.01419,0.02687
1990,4th Quintile,West,Not employed: no further information,0.08139,170,1925,0.06917,0.09361
1990,5th Quintile,West,Self-employed,0.10737,202,1793,0.09304,0.12171
1990,5th Quintile,West,Blue-collar worker,0.12149,279,1793,0.10637,0.13662
1990,5th Quintile,West,Civil servant,0.08723,150,1793,0.07417,0.10030
1990,5th Quintile,West,White-collar worker,0.39784,715,1793,0.37518,0.42050
1990,5th Quintile,West,Apprentice/ Trainee/ Intern,0.05515,103,1793,0.04458,0.06572
1990,5th Quintile,West,Not employed: Pensioner,0.13868,211,1793,0.12268,0.15468
1990,5th Quintile,West,Not employed: no further information,0.07524,133,1793,0.06302,0.08745
1991,1st Quintile,West,Self-employed,0.01992,40,1827,0.01351,0.02633
1991,1st Quintile,West,Blue-collar worker,0.17841,486,1827,0.16085,0.19597
1991,1st Quintile,West,White-collar worker,0.07423,127,1827,0.06221,0.08625
1991,1st Quintile,West,Apprentice/ Trainee/ Intern,0.10592,232,1827,0.09180,0.12003
1991,1st Quintile,West,Not employed: Pensioner,0.39423,420,1827,0.37182,0.41665
1991,1st Quintile,West,Not employed: registered unemployed,0.05343,124,1827,0.04311,0.06374
1991,1st Quintile,West,Not employed: no further information,0.16449,398,1827,0.14748,0.18149
1991,2nd Quintile,West,Self-employed,0.03288,56,1879,0.02482,0.04095
1991,2nd Quintile,West,Blue-collar worker,0.22197,583,1879,0.20317,0.24076
1991,2nd Quintile,West,Civil servant,0.02441,44,1879,0.01743,0.03139
1991,2nd Quintile,West,White-collar worker,0.17014,296,1879,0.15315,0.18714
1991,2nd Quintile,West,Apprentice/ Trainee/ Intern,0.08745,191,1879,0.07467,0.10022
1991,2nd Quintile,West,Not employed: Pensioner,0.28657,328,1879,0.26612,0.30702
1991,2nd Quintile,West,Not employed: registered unemployed,0.03076,59,1879,0.02295,0.03857
1991,2nd Quintile,West,Not employed: no further information,0.14280,322,1879,0.12698,0.15862
1991,3rd Quintile,West,Self-employed,0.03515,64,1869,0.02680,0.04350
1991,3rd Quintile,West,Blue-collar worker,0.23147,589,1869,0.21235,0.25060
1991,3rd Quintile,West,Civil servant,0.04042,63,1869,0.03149,0.04935
1991,3rd Quintile,West,White-collar worker,0.23089,374,1869,0.21178,0.25000
1991,3rd Quintile,West,Apprentice/ Trainee/ Intern,0.08551,195,1869,0.07283,0.09819
1991,3rd Quintile,West,Not employed: Pensioner,0.21399,280,1869,0.19540,0.23259
1991,3rd Quintile,West,Not employed: registered unemployed,0.01818,41,1869,0.01212,0.02424
1991,3rd Quintile,West,Not employed: no further information,0.13872,263,1869,0.12305,0.15440
1991,4th Quintile,West,Self-employed,0.05672,113,1929,0.04640,0.06705
1991,4th Quintile,West,Blue-collar worker,0.22218,565,1929,0.20362,0.24073
1991,4th Quintile,West,Civil servant,0.06331,101,1929,0.05244,0.07418
1991,4th Quintile,West,White-collar worker,0.29968,530,1929,0.27923,0.32013
1991,4th Quintile,West,Apprentice/ Trainee/ Intern,0.07069,158,1929,0.05925,0.08213
1991,4th Quintile,West,Not employed: Pensioner,0.18968,263,1929,0.17218,0.20718
1991,4th Quintile,West,Not employed: registered unemployed,0.01129,31,1929,0.00657,0.01601
1991,4th Quintile,West,Not employed: no further information,0.08227,168,1929,0.07000,0.09453
1991,5th Quintile,West,Self-employed,0.10141,186,1815,0.08752,0.11530
1991,5th Quintile,West,Blue-collar worker,0.13265,303,1815,0.11704,0.14826
1991,5th Quintile,West,Civil servant,0.09368,164,1815,0.08027,0.10709
1991,5th Quintile,West,White-collar worker,0.40908,733,1815,0.38646,0.43171
1991,5th Quintile,West,Apprentice/ Trainee/ Intern,0.04922,101,1815,0.03927,0.05918
1991,5th Quintile,West,Not employed: Pensioner,0.13372,198,1815,0.11806,0.14938
1991,5th Quintile,West,Not employed: no further information,0.06753,130,1815,0.05598,0.07907
1992,1st Quintile,West,Blue-collar worker,0.12787,243,1141,0.10849,0.14726
1992,1st Quintile,West,White-collar worker,0.08053,82,1141,0.06474,0.09633
1992,1st Quintile,West,Apprentice/ Trainee/ Intern,0.10471,147,1141,0.08694,0.12249
1992,1st Quintile,West,Not employed: Pensioner,0.40875,300,1141,0.38021,0.43729
1992,1st Quintile,West,Not employed: registered unemployed,0.07892,105,1141,0.06327,0.09457
1992,1st Quintile,West,Not employed: no further information,0.17709,264,1141,0.15493,0.19925
1992,1st Quintile,East,Blue-collar worker,0.18949,372,1562,0.17005,0.20893
1992,1st Quintile,East,White-collar worker,0.12061,230,1562,0.10445,0.13676
1992,1st Quintile,East,Apprentice/ Trainee/ Intern,0.05591,114,1562,0.04451,0.06730
1992,1st Quintile,East,Not employed: Pensioner,0.44098,532,1562,0.41635,0.46561
1992,1st Quintile,East,Not employed: registered unemployed,0.14818,263,1562,0.13055,0.16580
1992,1st Quintile,East,Not employed: no further information,0.02689,51,1562,0.01886,0.03491
1992,2nd Quintile,West,Self-employed,0.02348,37,1620,0.01611,0.03086
1992,2nd Quintile,West,Blue-collar worker,0.21428,486,1620,0.19429,0.23427
1992,2nd Quintile,West,White-collar worker,0.12934,198,1620,0.11299,0.14568
1992,2nd Quintile,West,Apprentice/ Trainee/ Intern,0.09152,183,1620,0.07747,0.10556
1992,2nd Quintile,West,Not employed: Pensioner,0.32458,310,1620,0.30178,0.34739
1992,2nd Quintile,West,Not employed: registered unemployed,0.03424,73,1620,0.02538,0.04309
1992,2nd Quintile,West,Not employed: no further information,0.16474,333,1620,0.14667,0.18281
1992,2nd Quintile,East,Self-employed,0.02519,34,1178,0.01624,0.03414
1992,2nd Quintile,East,Blue-collar worker,0.29522,367,1178,0.26916,0.32128
