year,migback,sex,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Direct migration background,female,Apprentice/ Trainee/ Intern,0.05169,95,1582,0.04078,0.06261
1984,Direct migration background,female,Not employed: Pensioner,0.08348,55,1582,0.06985,0.09712
1984,Direct migration background,female,Not employed: registered unemployed,0.04321,77,1582,0.03319,0.05323
1984,Direct migration background,female,Not employed: no further information,0.33280,625,1582,0.30957,0.35603
1984,Indirect migration background,male,Apprentice/ Trainee/ Intern,0.03048,35,35,-0.02730,0.08826
1985,No migration background,male,Self-employed,0.06331,295,3779,0.05554,0.07107
1985,No migration background,male,Blue-collar worker,0.21643,1007,3779,0.20330,0.22956
1985,No migration background,male,Civil servant,0.07240,352,3779,0.06413,0.08066
1985,No migration background,male,White-collar worker,0.17745,855,3779,0.16526,0.18963
1985,No migration background,male,Apprentice/ Trainee/ Intern,0.09742,471,3779,0.08796,0.10687
1985,No migration background,male,Not employed: Pensioner,0.16479,600,3779,0.15296,0.17662
1985,No migration background,male,Not employed: Military/Community Service,0.00740,37,3779,0.00467,0.01013
1985,No migration background,male,Not employed: registered unemployed,0.03729,162,3779,0.03125,0.04333
1985,No migration background,female,Self-employed,0.03029,161,4158,0.02508,0.03550
1985,No migration background,female,Blue-collar worker,0.07824,409,4158,0.07008,0.08641
1985,No migration background,female,Civil servant,0.01702,94,4158,0.01309,0.02095
1985,No migration background,female,White-collar worker,0.18654,992,4158,0.17470,0.19838
1985,No migration background,female,Apprentice/ Trainee/ Intern,0.07057,365,4158,0.06278,0.07835
1985,No migration background,female,Not employed: Pensioner,0.24693,878,4158,0.23382,0.26004
1985,No migration background,female,Not employed: registered unemployed,0.02579,134,4158,0.02097,0.03061
1985,No migration background,female,Not employed: no further information,0.20662,1125,4158,0.19432,0.21893
1985,Direct migration background,male,Self-employed,0.04332,61,1516,0.03307,0.05358
1985,Direct migration background,male,Blue-collar worker,0.48605,1023,1516,0.46089,0.51122
1985,Direct migration background,male,White-collar worker,0.09736,98,1516,0.08243,0.11228
1985,Direct migration background,male,Apprentice/ Trainee/ Intern,0.07466,123,1516,0.06142,0.08789
1985,Direct migration background,male,Not employed: Pensioner,0.10114,62,1516,0.08596,0.11633
1985,Direct migration background,male,Not employed: registered unemployed,0.06686,116,1516,0.05428,0.07943
1985,Direct migration background,male,Not employed: no further information,0.01365,33,1516,0.00781,0.01950
1985,Direct migration background,female,Self-employed,0.02228,35,1363,0.01444,0.03012
1985,Direct migration background,female,Blue-collar worker,0.23987,480,1363,0.21719,0.26255
1985,Direct migration background,female,White-collar worker,0.13236,123,1363,0.11436,0.15036
1985,Direct migration background,female,Apprentice/ Trainee/ Intern,0.04682,72,1363,0.03560,0.05804
1985,Direct migration background,female,Not employed: Pensioner,0.11288,59,1363,0.09607,0.12968
1985,Direct migration background,female,Not employed: registered unemployed,0.04956,84,1363,0.03804,0.06109
1985,Direct migration background,female,Not employed: no further information,0.30784,510,1363,0.28332,0.33235
1985,Indirect migration background,male,Apprentice/ Trainee/ Intern,0.03445,35,35,-0.02686,0.09576
1985,Indirect migration background,female,Apprentice/ Trainee/ Intern,0.04100,31,31,-0.02996,0.11196
1986,No migration background,male,Self-employed,0.06229,278,3638,0.05444,0.07015
1986,No migration background,male,Blue-collar worker,0.22115,980,3638,0.20767,0.23464
1986,No migration background,male,Civil servant,0.07173,337,3638,0.06335,0.08012
1986,No migration background,male,White-collar worker,0.17654,794,3638,0.16414,0.18893
1986,No migration background,male,Apprentice/ Trainee/ Intern,0.09751,465,3638,0.08787,0.10715
1986,No migration background,male,Not employed: Pensioner,0.16850,582,3638,0.15634,0.18067
1986,No migration background,male,Not employed: Military/Community Service,0.01043,47,3638,0.00712,0.01373
1986,No migration background,male,Not employed: registered unemployed,0.02896,121,3638,0.02351,0.03441
1986,No migration background,male,Not employed: no further information,0.00771,34,3638,0.00487,0.01056
1986,No migration background,female,Self-employed,0.02975,152,3953,0.02445,0.03505
1986,No migration background,female,Blue-collar worker,0.07730,395,3953,0.06897,0.08562
1986,No migration background,female,Civil servant,0.01681,86,3953,0.01280,0.02082
1986,No migration background,female,White-collar worker,0.19056,971,3953,0.17831,0.20280
1986,No migration background,female,Apprentice/ Trainee/ Intern,0.06597,349,3953,0.05823,0.07371
1986,No migration background,female,Not employed: Pensioner,0.24538,800,3953,0.23196,0.25880
1986,No migration background,female,Not employed: registered unemployed,0.02917,145,3953,0.02392,0.03442
1986,No migration background,female,Not employed: no further information,0.20430,1055,3953,0.19173,0.21687
1986,Direct migration background,male,Self-employed,0.04881,61,1493,0.03788,0.05974
1986,Direct migration background,male,Blue-collar worker,0.47701,996,1493,0.45166,0.50235
1986,Direct migration background,male,White-collar worker,0.09770,98,1493,0.08264,0.11277
1986,Direct migration background,male,Apprentice/ Trainee/ Intern,0.07161,124,1493,0.05853,0.08470
1986,Direct migration background,male,Not employed: Pensioner,0.11263,72,1493,0.09658,0.12867
1986,Direct migration background,male,Not employed: registered unemployed,0.06602,107,1493,0.05342,0.07862
1986,Direct migration background,male,Not employed: no further information,0.01444,35,1493,0.00838,0.02049
1986,Direct migration background,female,Self-employed,0.03137,37,1304,0.02190,0.04083
1986,Direct migration background,female,Blue-collar worker,0.23038,450,1304,0.20752,0.25325
1986,Direct migration background,female,White-collar worker,0.12967,111,1304,0.11143,0.14791
1986,Direct migration background,female,Apprentice/ Trainee/ Intern,0.04320,83,1304,0.03216,0.05424
1986,Direct migration background,female,Not employed: Pensioner,0.13385,65,1304,0.11536,0.15234
1986,Direct migration background,female,Not employed: registered unemployed,0.04346,84,1304,0.03239,0.05453
1986,Direct migration background,female,Not employed: no further information,0.30952,474,1304,0.28442,0.33463
1986,Indirect migration background,male,Apprentice/ Trainee/ Intern,0.03615,39,39,-0.02320,0.09550
1986,Indirect migration background,female,Apprentice/ Trainee/ Intern,0.04238,34,34,-0.02635,0.11111
1987,No migration background,male,Self-employed,0.06079,264,3561,0.05294,0.06864
1987,No migration background,male,Blue-collar worker,0.22542,979,3561,0.21169,0.23915
1987,No migration background,male,Civil servant,0.07230,334,3561,0.06379,0.08081
1987,No migration background,male,White-collar worker,0.18162,802,3561,0.16895,0.19428
1987,No migration background,male,Apprentice/ Trainee/ Intern,0.08333,441,3561,0.07425,0.09241
1987,No migration background,male,Not employed: Pensioner,0.16644,558,3561,0.15420,0.17867
1987,No migration background,male,Not employed: Military/Community Service,0.01157,50,3561,0.00805,0.01508
1987,No migration background,male,Not employed: registered unemployed,0.03148,133,3561,0.02575,0.03722
1987,No migration background,female,Self-employed,0.03201,161,3865,0.02646,0.03756
1987,No migration background,female,Blue-collar worker,0.08333,410,3865,0.07461,0.09204
1987,No migration background,female,Civil servant,0.01766,87,3865,0.01350,0.02181
1987,No migration background,female,White-collar worker,0.19375,946,3865,0.18129,0.20621
1987,No migration background,female,Apprentice/ Trainee/ Intern,0.06355,350,3865,0.05586,0.07124
1987,No migration background,female,Not employed: Pensioner,0.24416,785,3865,0.23062,0.25771
1987,No migration background,female,Not employed: registered unemployed,0.02683,128,3865,0.02173,0.03192
1987,No migration background,female,Not employed: no further information,0.19853,998,3865,0.18595,0.21111
1987,Direct migration background,male,Self-employed,0.05381,66,1479,0.04231,0.06531
1987,Direct migration background,male,Blue-collar worker,0.48578,967,1479,0.46030,0.51127
1987,Direct migration background,male,White-collar worker,0.10402,98,1479,0.08846,0.11959
1987,Direct migration background,male,Apprentice/ Trainee/ Intern,0.06936,122,1479,0.05641,0.08231
1987,Direct migration background,male,Not employed: Pensioner,0.11396,78,1479,0.09776,0.13016
1987,Direct migration background,male,Not employed: registered unemployed,0.05500,111,1479,0.04338,0.06663
1987,Direct migration background,male,Not employed: no further information,0.01558,37,1479,0.00927,0.02189
1987,Direct migration background,female,Self-employed,0.02871,36,1303,0.01964,0.03778
1987,Direct migration background,female,Blue-collar worker,0.24060,443,1303,0.21738,0.26382
1987,Direct migration background,female,White-collar worker,0.12400,121,1303,0.10610,0.14190
1987,Direct migration background,female,Apprentice/ Trainee/ Intern,0.05108,93,1303,0.03912,0.06304
1987,Direct migration background,female,Not employed: Pensioner,0.13170,70,1303,0.11333,0.15007
1987,Direct migration background,female,Not employed: registered unemployed,0.05679,90,1303,0.04422,0.06936
1987,Direct migration background,female,Not employed: no further information,0.30263,450,1303,0.27768,0.32758
1987,Indirect migration background,male,Apprentice/ Trainee/ Intern,0.03023,43,43,-0.02155,0.08201
1987,Indirect migration background,female,Apprentice/ Trainee/ Intern,0.03336,34,34,-0.02791,0.09463
1988,No migration background,male,Self-employed,0.06008,251,3412,0.05211,0.06806
1988,No migration background,male,Blue-collar worker,0.21835,902,3412,0.20448,0.23221
1988,No migration background,male,Civil servant,0.07088,312,3412,0.06227,0.07950
1988,No migration background,male,White-collar worker,0.19123,794,3412,0.17803,0.20443
1988,No migration background,male,Apprentice/ Trainee/ Intern,0.08245,400,3412,0.07322,0.09168
1988,No migration background,male,Not employed: Pensioner,0.16564,541,3412,0.15317,0.17812
1988,No migration background,male,Not employed: Military/Community Service,0.01163,50,3412,0.00804,0.01523
1988,No migration background,male,Not employed: registered unemployed,0.03252,130,3412,0.02657,0.03848
1988,No migration background,male,Not employed: no further information,0.00884,32,3412,0.00570,0.01198
1988,No migration background,female,Self-employed,0.03223,152,3655,0.02650,0.03795
1988,No migration background,female,Blue-collar worker,0.07977,381,3655,0.07098,0.08855
1988,No migration background,female,Civil servant,0.01856,85,3655,0.01419,0.02294
1988,No migration background,female,White-collar worker,0.20128,916,3655,0.18828,0.21428
1988,No migration background,female,Apprentice/ Trainee/ Intern,0.06059,315,3655,0.05286,0.06833
1988,No migration background,female,Not employed: Pensioner,0.24574,751,3655,0.23178,0.25970
1988,No migration background,female,Not employed: registered unemployed,0.02786,119,3655,0.02253,0.03320
1988,No migration background,female,Not employed: no further information,0.19163,936,3655,0.17887,0.20439
1988,Direct migration background,male,Self-employed,0.04729,60,1392,0.03614,0.05845
1988,Direct migration background,male,Blue-collar worker,0.47317,896,1392,0.44693,0.49941
1988,Direct migration background,male,White-collar worker,0.10589,95,1392,0.08972,0.12206
1988,Direct migration background,male,Apprentice/ Trainee/ Intern,0.06995,101,1392,0.05654,0.08335
1988,Direct migration background,male,Not employed: Pensioner,0.13530,89,1392,0.11733,0.15328
1988,Direct migration background,male,Not employed: registered unemployed,0.06079,112,1392,0.04824,0.07335
1988,Direct migration background,male,Not employed: no further information,0.01487,39,1392,0.00851,0.02123
1988,Direct migration background,female,Self-employed,0.02632,31,1257,0.01747,0.03518
1988,Direct migration background,female,Blue-collar worker,0.23391,422,1257,0.21050,0.25732
1988,Direct migration background,female,White-collar worker,0.13685,120,1257,0.11784,0.15586
1988,Direct migration background,female,Apprentice/ Trainee/ Intern,0.04354,80,1257,0.03225,0.05482
1988,Direct migration background,female,Not employed: Pensioner,0.13290,72,1257,0.11413,0.15168
1988,Direct migration background,female,Not employed: registered unemployed,0.05878,89,1257,0.04578,0.07179
1988,Direct migration background,female,Not employed: no further information,0.30232,443,1257,0.27692,0.32772
1988,Indirect migration background,male,Blue-collar worker,0.04601,33,82,0.00038,0.09164
1988,Indirect migration background,male,Apprentice/ Trainee/ Intern,0.05105,49,82,0.00312,0.09898
1988,Indirect migration background,female,Apprentice/ Trainee/ Intern,0.04604,48,48,-0.01388,0.10596
1989,No migration background,male,Self-employed,0.05728,237,3288,0.04934,0.06523
1989,No migration background,male,Blue-collar worker,0.21549,870,3288,0.20144,0.22955
1989,No migration background,male,Civil servant,0.06864,292,3288,0.05999,0.07728
1989,No migration background,male,White-collar worker,0.20319,809,3288,0.18944,0.21695
1989,No migration background,male,Apprentice/ Trainee/ Intern,0.08956,387,3288,0.07980,0.09932
1989,No migration background,male,Not employed: Pensioner,0.16394,513,3288,0.15128,0.17660
1989,No migration background,male,Not employed: Military/Community Service,0.00906,46,3288,0.00582,0.01230
1989,No migration background,male,Not employed: registered unemployed,0.02278,93,3288,0.01768,0.02788
1989,No migration background,male,Not employed: no further information,0.01218,41,3288,0.00843,0.01593
1989,No migration background,female,Self-employed,0.03019,142,3514,0.02453,0.03585
1989,No migration background,female,Blue-collar worker,0.07816,358,3514,0.06929,0.08704
1989,No migration background,female,Civil servant,0.01920,82,3514,0.01466,0.02374
1989,No migration background,female,White-collar worker,0.21580,952,3514,0.20220,0.22940
1989,No migration background,female,Apprentice/ Trainee/ Intern,0.05665,278,3514,0.04900,0.06429
1989,No migration background,female,Not employed: Pensioner,0.25086,743,3514,0.23653,0.26520
1989,No migration background,female,Not employed: registered unemployed,0.02238,97,3514,0.01749,0.02728
1989,No migration background,female,Not employed: no further information,0.18666,862,3514,0.17378,0.19955
1989,Direct migration background,male,Self-employed,0.03988,45,1332,0.02937,0.05040
1989,Direct migration background,male,Blue-collar worker,0.48357,879,1332,0.45672,0.51041
1989,Direct migration background,male,White-collar worker,0.11186,105,1332,0.09493,0.12880
1989,Direct migration background,male,Apprentice/ Trainee/ Intern,0.04780,75,1332,0.03634,0.05926
1989,Direct migration background,male,Not employed: Pensioner,0.14536,94,1332,0.12642,0.16429
1989,Direct migration background,male,Not employed: registered unemployed,0.05172,75,1332,0.03982,0.06362
1989,Direct migration background,male,Not employed: no further information,0.03095,59,1332,0.02165,0.04026
1989,Direct migration background,female,Blue-collar worker,0.24169,429,1214,0.21759,0.26578
1989,Direct migration background,female,White-collar worker,0.13635,116,1214,0.11704,0.15567
1989,Direct migration background,female,Apprentice/ Trainee/ Intern,0.04008,68,1214,0.02904,0.05112
1989,Direct migration background,female,Not employed: Pensioner,0.16046,88,1214,0.13980,0.18111
1989,Direct migration background,female,Not employed: registered unemployed,0.03889,50,1214,0.02801,0.04977
1989,Direct migration background,female,Not employed: no further information,0.31863,463,1214,0.29241,0.34486
1989,Indirect migration background,male,Blue-collar worker,0.04494,35,95,0.00306,0.08682
1989,Indirect migration background,male,Apprentice/ Trainee/ Intern,0.08192,60,95,0.02648,0.13736
1989,Indirect migration background,female,Apprentice/ Trainee/ Intern,0.06745,58,58,0.00234,0.13256
1990,No migration background,male,Self-employed,0.05187,303,5209,0.04585,0.05790
1990,No migration background,male,Blue-collar worker,0.25166,1888,5209,0.23987,0.26345
1990,No migration background,male,Civil servant,0.05424,282,5209,0.04809,0.06039
1990,No migration background,male,White-collar worker,0.20105,1328,5209,0.19016,0.21193
1990,No migration background,male,Apprentice/ Trainee/ Intern,0.07540,471,5209,0.06823,0.08257
1990,No migration background,male,Not employed: Pensioner,0.14800,712,5209,0.13835,0.15764
1990,No migration background,male,Not employed: Military/Community Service,0.01042,74,5209,0.00767,0.01318
1990,No migration background,male,Not employed: registered unemployed,0.01777,82,5209,0.01418,0.02136
1990,No migration background,male,Not employed: no further information,0.01141,69,5209,0.00852,0.01429
1990,No migration background,female,Self-employed,0.02583,176,5667,0.02170,0.02996
1990,No migration background,female,Blue-collar worker,0.09781,832,5667,0.09008,0.10555
1990,No migration background,female,Civil servant,0.01650,88,5667,0.01318,0.01981
1990,No migration background,female,White-collar worker,0.24328,1949,5667,0.23211,0.25446
1990,No migration background,female,Apprentice/ Trainee/ Intern,0.05203,393,5667,0.04624,0.05781
1990,No migration background,female,Not employed: Pensioner,0.23844,1164,5667,0.22734,0.24953
1990,No migration background,female,Not employed: registered unemployed,0.01520,85,5667,0.01201,0.01838
1990,No migration background,female,Not employed: no further information,0.15246,980,5667,0.14310,0.16182
1990,Direct migration background,male,Self-employed,0.05350,56,1382,0.04163,0.06537
1990,Direct migration background,male,Blue-collar worker,0.48188,875,1382,0.45553,0.50824
1990,Direct migration background,male,White-collar worker,0.12240,122,1382,0.10511,0.13969
1990,Direct migration background,male,Apprentice/ Trainee/ Intern,0.05832,85,1382,0.04596,0.07068
1990,Direct migration background,male,Not employed: Pensioner,0.14573,117,1382,0.12713,0.16434
1990,Direct migration background,male,Not employed: registered unemployed,0.05123,87,1382,0.03960,0.06285
1990,Direct migration background,male,Not employed: no further information,0.02014,40,1382,0.01273,0.02755
1990,Direct migration background,female,Blue-collar worker,0.23898,437,1252,0.21534,0.26261
1990,Direct migration background,female,White-collar worker,0.16933,158,1252,0.14855,0.19012
1990,Direct migration background,female,Apprentice/ Trainee/ Intern,0.03308,51,1252,0.02317,0.04299
1990,Direct migration background,female,Not employed: Pensioner,0.18200,117,1252,0.16062,0.20338
1990,Direct migration background,female,Not employed: registered unemployed,0.03650,55,1252,0.02611,0.04689
1990,Direct migration background,female,Not employed: no further information,0.28518,434,1252,0.26016,0.31020
1990,Indirect migration background,male,Blue-collar worker,0.04717,43,115,0.00825,0.08608
1990,Indirect migration background,male,Apprentice/ Trainee/ Intern,0.08658,72,115,0.03495,0.13820
1990,Indirect migration background,female,Apprentice/ Trainee/ Intern,0.06043,63,63,0.00111,0.11974
1991,No migration background,male,Self-employed,0.05529,333,5085,0.04901,0.06157
1991,No migration background,male,Blue-collar worker,0.23999,1722,5085,0.22825,0.25173
1991,No migration background,male,Civil servant,0.05566,306,5085,0.04936,0.06196
1991,No migration background,male,White-collar worker,0.19648,1216,5085,0.18556,0.20741
1991,No migration background,male,Apprentice/ Trainee/ Intern,0.06962,453,5085,0.06262,0.07661
1991,No migration background,male,Not employed: Pensioner,0.15950,747,5085,0.14943,0.16956
1991,No migration background,male,Not employed: Military/Community Service,0.00874,59,5085,0.00618,0.01130
1991,No migration background,male,Not employed: registered unemployed,0.02768,198,5085,0.02317,0.03219
1991,No migration background,male,Not employed: no further information,0.00890,51,5085,0.00632,0.01148
1991,No migration background,female,Self-employed,0.02688,180,5512,0.02261,0.03115
1991,No migration background,female,Blue-collar worker,0.09345,730,5512,0.08576,0.10113
1991,No migration background,female,Civil servant,0.01683,96,5512,0.01344,0.02023
1991,No migration background,female,White-collar worker,0.23648,1774,5512,0.22526,0.24770
1991,No migration background,female,Apprentice/ Trainee/ Intern,0.05134,385,5512,0.04552,0.05717
1991,No migration background,female,Not employed: Pensioner,0.24768,1165,5512,0.23628,0.25908
1991,No migration background,female,Not employed: registered unemployed,0.02771,260,5512,0.02337,0.03204
1991,No migration background,female,Not employed: no further information,0.14594,922,5512,0.13662,0.15526
1991,Direct migration background,male,Self-employed,0.05712,64,1323,0.04461,0.06963
1991,Direct migration background,male,Blue-collar worker,0.46789,842,1323,0.44099,0.49478
1991,Direct migration background,male,White-collar worker,0.14177,127,1323,0.12297,0.16058
1991,Direct migration background,male,Apprentice/ Trainee/ Intern,0.04886,74,1323,0.03724,0.06048
1991,Direct migration background,male,Not employed: Pensioner,0.15056,125,1323,0.13128,0.16984
1991,Direct migration background,male,Not employed: registered unemployed,0.06315,91,1323,0.05004,0.07626
1991,Direct migration background,female,Blue-collar worker,0.24016,426,1231,0.21629,0.26403
1991,Direct migration background,female,White-collar worker,0.17287,168,1231,0.15173,0.19400
1991,Direct migration background,female,Apprentice/ Trainee/ Intern,0.04396,54,1231,0.03250,0.05541
1991,Direct migration background,female,Not employed: Pensioner,0.19742,128,1231,0.17517,0.21966
1991,Direct migration background,female,Not employed: registered unemployed,0.03575,51,1231,0.02537,0.04612
1991,Direct migration background,female,Not employed: no further information,0.26169,404,1231,0.23712,0.28625
1991,Indirect migration background,male,Blue-collar worker,0.06187,47,137,0.02138,0.10236
1991,Indirect migration background,male,Apprentice/ Trainee/ Intern,0.09208,90,137,0.04349,0.14068
1991,Indirect migration background,female,Blue-collar worker,0.03831,33,113,0.00276,0.07386
1991,Indirect migration background,female,Apprentice/ Trainee/ Intern,0.07935,80,113,0.02929,0.12941
1992,No migration background,male,Self-employed,0.05780,334,4930,0.05128,0.06431
1992,No migration background,male,Blue-collar worker,0.22469,1571,4930,0.21303,0.23634
1992,No migration background,male,Civil servant,0.05134,286,4930,0.04518,0.05750
1992,No migration background,male,White-collar worker,0.19852,1167,4930,0.18738,0.20966
1992,No migration background,male,Apprentice/ Trainee/ Intern,0.06675,435,4930,0.05978,0.07372
1992,No migration background,male,Not employed: Pensioner,0.17145,795,4930,0.16092,0.18197
1992,No migration background,male,Not employed: Military/Community Service,0.00808,52,4930,0.00558,0.01058
1992,No migration background,male,Not employed: registered unemployed,0.03745,255,4930,0.03215,0.04275
1992,No migration background,male,Not employed: no further information,0.00622,35,4930,0.00402,0.00841
1992,No migration background,female,Self-employed,0.02490,169,5415,0.02074,0.02905
1992,No migration background,female,Blue-collar worker,0.07367,568,5415,0.06671,0.08063
1992,No migration background,female,Civil servant,0.01586,89,5415,0.01253,0.01918
1992,No migration background,female,White-collar worker,0.23458,1713,5415,0.22329,0.24586
1992,No migration background,female,Apprentice/ Trainee/ Intern,0.05436,424,5415,0.04832,0.06040
1992,No migration background,female,Not employed: Pensioner,0.25290,1189,5415,0.24132,0.26448
1992,No migration background,female,Not employed: registered unemployed,0.04223,400,5415,0.03688,0.04759
1992,No migration background,female,Not employed: no further information,0.14356,863,5415,0.13422,0.15290
1992,Direct migration background,male,Self-employed,0.05892,62,1284,0.04603,0.07180
1992,Direct migration background,male,Blue-collar worker,0.45248,785,1284,0.42524,0.47971
1992,Direct migration background,male,White-collar worker,0.13867,129,1284,0.11976,0.15758
1992,Direct migration background,male,Apprentice/ Trainee/ Intern,0.05331,67,1284,0.04101,0.06560
1992,Direct migration background,male,Not employed: Pensioner,0.16516,143,1284,0.14484,0.18548
1992,Direct migration background,male,Not employed: registered unemployed,0.06842,98,1284,0.05461,0.08224
1992,Direct migration background,female,Blue-collar worker,0.21822,373,1197,0.19482,0.24163
1992,Direct migration background,female,White-collar worker,0.17354,157,1197,0.15208,0.19501
1992,Direct migration background,female,Apprentice/ Trainee/ Intern,0.03618,50,1197,0.02560,0.04677
1992,Direct migration background,female,Not employed: Pensioner,0.20552,141,1197,0.18262,0.22842
1992,Direct migration background,female,Not employed: registered unemployed,0.05831,84,1197,0.04503,0.07159
1992,Direct migration background,female,Not employed: no further information,0.25945,392,1197,0.23460,0.28429
1992,Indirect migration background,male,Blue-collar worker,0.05889,51,161,0.02241,0.09536
1992,Indirect migration background,male,Apprentice/ Trainee/ Intern,0.12654,110,161,0.07503,0.17806
1992,Indirect migration background,female,Blue-collar worker,0.03882,36,165,0.00926,0.06839
1992,Indirect migration background,female,White-collar worker,0.05026,36,165,0.01682,0.08370
1992,Indirect migration background,female,Apprentice/ Trainee/ Intern,0.11925,93,165,0.06965,0.16885
1993,No migration background,male,Self-employed,0.05987,346,4839,0.05319,0.06656
1993,No migration background,male,Blue-collar worker,0.21560,1476,4839,0.20401,0.22719
1993,No migration background,male,Civil servant,0.05721,303,4839,0.05067,0.06376
1993,No migration background,male,White-collar worker,0.18966,1111,4839,0.17861,0.20071
1993,No migration background,male,Apprentice/ Trainee/ Intern,0.06634,425,4839,0.05932,0.07335
1993,No migration background,male,Not employed: Pensioner,0.17296,804,4839,0.16230,0.18361
1993,No migration background,male,Not employed: Military/Community Service,0.00839,52,4839,0.00582,0.01097
1993,No migration background,male,Not employed: registered unemployed,0.04536,285,4839,0.03949,0.05122
1993,No migration background,male,Not employed: no further information,0.00654,37,4839,0.00427,0.00881
1993,No migration background,female,Self-employed,0.02805,183,5304,0.02360,0.03249
1993,No migration background,female,Blue-collar worker,0.07646,556,5304,0.06931,0.08362
1993,No migration background,female,Civil servant,0.01756,98,5304,0.01402,0.02110
1993,No migration background,female,White-collar worker,0.23043,1646,5304,0.21909,0.24176
1993,No migration background,female,Apprentice/ Trainee/ Intern,0.05019,398,5304,0.04431,0.05607
1993,No migration background,female,Not employed: Pensioner,0.25327,1189,5304,0.24156,0.26497
1993,No migration background,female,Not employed: registered unemployed,0.04621,414,5304,0.04056,0.05186
1993,No migration background,female,Not employed: no further information,0.13571,820,5304,0.12649,0.14493
1993,Direct migration background,male,Self-employed,0.06332,63,1279,0.04996,0.07667
1993,Direct migration background,male,Blue-collar worker,0.43204,723,1279,0.40488,0.45919
1993,Direct migration background,male,White-collar worker,0.14790,122,1279,0.12844,0.16737
1993,Direct migration background,male,Apprentice/ Trainee/ Intern,0.04939,59,1279,0.03751,0.06127
1993,Direct migration background,male,Not employed: Pensioner,0.18480,164,1279,0.16352,0.20608
1993,Direct migration background,male,Not employed: registered unemployed,0.07685,116,1279,0.06224,0.09145
1993,Direct migration background,male,Not employed: no further information,0.01883,32,1279,0.01138,0.02629
1993,Direct migration background,female,Blue-collar worker,0.23271,369,1169,0.20848,0.25695
1993,Direct migration background,female,White-collar worker,0.17588,156,1169,0.15405,0.19772
1993,Direct migration background,female,Apprentice/ Trainee/ Intern,0.02936,38,1169,0.01968,0.03905
1993,Direct migration background,female,Not employed: Pensioner,0.21803,151,1169,0.19435,0.24171
1993,Direct migration background,female,Not employed: registered unemployed,0.05254,77,1169,0.03975,0.06534
1993,Direct migration background,female,Not employed: no further information,0.25907,378,1169,0.23394,0.28420
1993,Indirect migration background,male,Blue-collar worker,0.08214,65,187,0.04268,0.12160
1993,Indirect migration background,male,Apprentice/ Trainee/ Intern,0.16770,122,187,0.11401,0.22139
1993,Indirect migration background,female,White-collar worker,0.07398,46,159,0.03317,0.11479
1993,Indirect migration background,female,Apprentice/ Trainee/ Intern,0.15975,113,159,0.10262,0.21688
1994,No migration background,male,Self-employed,0.06008,355,4757,0.05333,0.06684
1994,No migration background,male,Blue-collar worker,0.20620,1379,4757,0.19470,0.21770
1994,No migration background,male,Civil servant,0.05899,309,4757,0.05229,0.06569
1994,No migration background,male,White-collar worker,0.19062,1118,4757,0.17946,0.20179
1994,No migration background,male,Apprentice/ Trainee/ Intern,0.05940,380,4757,0.05268,0.06612
1994,No migration background,male,Not employed: Pensioner,0.17373,781,4757,0.16296,0.18450
